source,intermediate_1,intermediate_2,intermediate_3,target,stmt_type_1,stmt_type_2,stmt_type_3,stmt_type_4,belief_1,belief_2,belief_3,belief_4,evidence_1,evidence_2,evidence_3,evidence_4,logfoldchange,pval,edge1_statements,edge2_statements,edge3_statements,edge4_statements,edge1_pmids,edge2_pmids,edge3_pmids,edge4_pmids
ABHD17C,KRAS,CKS1B,MIR1258,IPP,Depalmitoylation,Complex,Activation,DecreaseAmount,0.6351178583063539,0.7758941660771121,0.5346178581543906,0.6301266297471854,1,2,1,1,1.2829194,0.0201102460940725,Database: biopax,1) Further investigation into the CKS1B-KRAS interaction could provide new avenues for early diagnosis and targeted therapies.,1) The MTS assay and soft agar colony formation assay results showed that overexpression of CKS1B promotes HCCLM3-miR-1258 stable cell growth and proliferation (Figure and ).,Database: biopax,,37682707; 39897042,27270326,23446348
BAG6,HIF1A,MIR361,MIR484,MFSD12,Inhibition,Inhibition,Activation,DecreaseAmount,0.414159988237093,0.5820018208830471,0.4526838539358291,0.6301266297471854,1,1,1,1,-1.2786908,0.0451122699234468,"1) In addition, we confirmed that Poly-G3 inhibited HIF1α in nTreg cells but not in effector CD4 + T cells in protein levels ( xref ).",1) Downregulated miR-361 was also restored by hypoxia inducible factor-1α inhibition with YC-1.,"1) The mitochondrial dynamic-related lncRNA ( MDRL ) reduces mitochondrial fission and apoptosis upon I / R by downregulating miR-361 , which inhibits the progression of miR-484 by binding directly to the primary transcript of miR-484 and precludes Drosha from processing it into pre-miR-484 [ 42 ] .",Database: biopax,30344014,23128854,33299883,23622248
MYEOV,MYC,BACH1,MIR375,TTC7B,DecreaseAmount,Complex,Activation,DecreaseAmount,0.4738574987008168,0.4261616001712757,0.4526838539358291,0.6301266297471854,1,1,1,1,-1.8855958,0.0479484721755913,"1) Of note, the expression level of MYC was also significantly reduced by the knockdown of MYEOV (Table S4, S5).","1) Bach1 and c-Myc interact with Nrf2 for binding of ARE/EpRE elements, a role which may be critical in dampening the stress response when no longer necessary.","1) Isoflurane facilitated PC cell proliferation , migration , and invasion by activating BACH1 to upregulate miR-375 .",Database: biopax,36698109,29709705,35532539,20215506
NEAT1,BCL2,CDKN2A,MIR650,CDKN2AIPNL,Inhibition,Activation,IncreaseAmount,DecreaseAmount,0.4824092651701481,0.3668028661364628,0.6163664161553967,0.6301266297471854,1,2,1,1,-1.2538377,0.0218388333610263,"1) In addition , Liu et al. confirmed that upregulated NEAT1 increased BAX expression and decreased Bcl-2 expression , resulting in decreased neuronal cell activity and brain injury in cecal ligation and puncture ( CLP ) - induced sepsis model ( 54 ) .","1) This result is experimentally supported by the fact that both miR-449a and miR-34a directly inhibit the expressions of c-Myc, HDAC1, and Bcl2, which initiates the activation of p16 and p21, leading to cycle arrest.

2) Recent advances have demonstrated that the senescence-associated ncRNAs can regulate cell proliferation and cell cycle arrest by affecting the transcripts of the inhibitor of CDK4/alternative reading frame (INK4/ARF)/very long integenic non-coding RNAs (vlincRNA) VAD/MIR31HG locus to increase p14  , p15  , p16  , and B-cell lymphoma-2 (Bcl-2).",1) The p16(INK4a)-induced expression of two microRNAs (miR-410 and miR-650 chosen as an example) in MCF7 cells is confirmed by individual reverse transcription-qPCR.,Database: biopax,34630395,38238253; 35453680,21170085,27292025
RPL7L1,AXL,NR3C1,MIR665,SLX4IP,Complex,Complex,Activation,DecreaseAmount,0.8302066725941236,0.8302066725941236,0.4526838539358291,0.6301266297471854,1,1,1,1,1.3063511,0.0360322929777957,Database: biogrid,Database: biogrid,"1) Moreover , high concentration of corticosterone upregulated miR-665 by activating the glucocorticoid receptor to suppress cathepsin D , thus causing lysosomal degradation dysfunction and autophagy flux blockade .",Database: biopax,35384245,31182584,37743032,23313552
TRPC4AP,RBX1,RIGI,MIR484,RPL36,Complex,Complex,Complex,DecreaseAmount,0.8086435874890908,0.8302066725941236,0.8302066725941236,0.6301266297471854,1,1,1,1,0.13791782,0.0003030504695495,"1) We characterize a new Myc-interacting factor, TRPC4AP (transient receptor potential cation channel, subfamily C, member 4-associated protein)/TRUSS (tumor necrosis factor receptor-associated ubiquitous scaffolding and signaling protein), which is the receptor for a DDB1 (damage-specific DNA-binding protein 1)-CUL4 (Cullin 4) E3 ligase complex for selective Myc degradation through the proteasome. TRPC4AP/TRUSS binds specifically to the Myc C terminus and promotes its ubiquitination and destruction through the recognition of evolutionarily conserved domains in the Myc N terminus.",Database: biogrid,Database: biogrid,Database: biopax,20551172,32513696,32513696,23622248
VPS11,RAB5A,RIGI,MIR484,BRI3,Activation,Complex,Complex,DecreaseAmount,0.3715222573296911,0.4261616001712757,0.8302066725941236,0.6301266297471854,1,1,1,1,0.34512746,0.0003657533665818,"1) RNAi of the core components vps-11, vps-16, and vps-18 also caused concentration of RAB-5 and RAB-7 at the apical membrane (XREF_FIG), whereas the RAB-7-positive late endosomal compartment remained unaffected (XREF_FIG and Supplemental Figure S4, A and B).","1) To support the subcellular colocalization of RIG-I and Rab5, we conducted co-IP analyses to demonstrate the association of RIG-I and Rab5 in cells ( xref ).",Database: biogrid,Database: biopax,25273556,39504361,32513696,23622248
B3GNT8,NR2F2,REST,PAX4,PLS3,Complex,DecreaseAmount,Inhibition,DecreaseAmount,0.8302066725941236,0.6301266297471854,0.4357402620936744,0.6301266297471854,1,1,1,1,0.5489163,5.662865572003496e-05,Database: biogrid,Database: biopax,1) This Pax4 NRSE (neuron-restrictive silencer element) is conserved throughout evolution (XREF_FIG B) and confers NRSF dependent transcriptional repression of Pax4 [XREF_BIBR].,Database: biopax,33961781,,28282933,
ALS2CL,RAB5C,LBR,PGR,RANBP9,Activation,Complex,Complex,DecreaseAmount,0.3715222573296911,0.8302066725941236,0.4261616001712757,0.6309317981560123,1,1,1,2,-2.9851725,0.0228723840300194,"1) The results showed that human ALS2CL exclusively catalyzed GDP dissociation on Rab5A, Rab5B, and Rab5C, as in the cases for ALS2_1018-1657 ( Fig. 4A ), suggesting that humanALS2CL retained selective catalytic activity with all the members of Rab5 family.",Database: biogrid,"1) Sources of heterogeneity were explored by meta-regression analysis according to specific features: assisted reproductive technology/spontaneous conception, study design and quality of papers included Results: data from 38 studies were extracted. (i) septum versus no septum: a lower PR and LBR were associated with septate uterus vs. controls (OR 0.45, 95% CI 0.27–0.76; p < 0.0001; and OR 0.21, 95% CI 0.12–0.39; p < 0.0001); a higher proportion of SA and PL was associated with septate uterus vs. controls (OR 4.29, 95% CI 2.90–6.36; p < 0.0001; OR 2.56, 95% CI 1.52–4.31; p = 0.0004). (ii) treated versus untreated septum: PR and PL were not different in removed vs. unremoved septum(OR 1.10, 95% CI 0.49–2.49; p = 0.82 and OR 0.81, 95% CI 0.35–1.86; p = 0.62); a lower proportion of SA was associated with removed vs. unremoved septum (OR 0.47, 95% CI 0.21–1.04; p = 0.001); (iii) before-after septum removal: the proportion of LBR was higher after the removal of septum (OR 49.58, 95% CI 29.93–82.13; p < 0.0001) and the proportion of SA and PL was lower after the removal of the septum (OR 0.02, 95% CI 0.02–0.04; p < 0.000 and OR 0.05, 95% CI 0.03–0.08; p < 0.0001) Conclusions: the results show the detrimental effect of the uterine septum on PR, LBR, SA and PL.",Database: biopax,15388334,34079125,35743362,
ALS2CL,RAB5C,LBR,MECOM,JPT2,Activation,Complex,Complex,DecreaseAmount,0.3715222573296911,0.8302066725941236,0.8302066725941236,0.6301266297471854,1,1,1,1,-1.8841251,0.0429835764175636,"1) The results showed that human ALS2CL exclusively catalyzed GDP dissociation on Rab5A, Rab5B, and Rab5C, as in the cases for ALS2_1018-1657 ( Fig. 4A ), suggesting that humanALS2CL retained selective catalytic activity with all the members of Rab5 family.",Database: biogrid,Database: biogrid,Database: biopax,15388334,34079125,30462309,
ALS2CL,RAB5C,LBR,MBOAT7,CRIP2,Activation,Complex,Complex,IncreaseAmount,0.3715222573296911,0.8302066725941236,0.8302066725941236,0.4844526880351076,1,1,1,1,0.26691,0.000419463063874,"1) The results showed that human ALS2CL exclusively catalyzed GDP dissociation on Rab5A, Rab5B, and Rab5C, as in the cases for ALS2_1018-1657 ( Fig. 4A ), suggesting that humanALS2CL retained selective catalytic activity with all the members of Rab5 family.",Database: biogrid,Database: biogrid,"1) MBOAT7, a phospholipid-remodeling enzyme, was upregulated in LSC as well as cysteine rich protein 2 (CRIP2) which was the most highly expressed.",15388334,34079125,35271311,39877586
AGPAT4,REL,BCL3,SP1,SARAF,Complex,Complex,Complex,DecreaseAmount,0.8302066725941236,0.5569884418680263,0.4443350122709595,0.6301266297471854,1,5,1,1,-0.5954938,0.0003241999940002,Database: biogrid,"1) IκBα and IκBβ are the two major cytoplasmic inhibitory proteins, along with other less characterized factors including IκBγ, IκBɛ, and Bcl-3, which bind to Rel proteins and restrict their nuclear entry.

2) This suggests that all complexes contain p50; in other words, all kappaB sites were bound by p50 homodimers, p50 and p65 heterodimers and/or p50 heterodimers with other transcription factors including other NF-kappaB members (as shown later, binding of c-Rel and Bcl-3 was detected by a DNA pull-down assay).

3) In support of this, we detected p65, c-Rel and Bcl-3 binding to the kappaB probe (XREF_FIG).

4) Single-base changes in NF-kappaB binding sites have been demonstrated to affect recruitment of the TF Irf3 protein by DNA bound p65 and Rel containing dimers as well as the recruitment of the cofactors histone de-acetylase 3 (HDAC3) and Tip60 to a DNA bound, ternary complex containing p50 homodimers and Bcl3.

5) For example, Bcl3, which binds only c-Rel and RelA, accounts for more than 90% of the IkappaB proteins in THP-1 monocytes [50].

6) For example, Bcl3, which binds only c-Rel and RelA, accounts for more than 90% of the IκB proteins in THP-1 monocytes  [50] .

7) In support of this, we detected p65, c-Rel and Bcl-3 binding to the κB probe ( xref ).","1) Plotting average ChIP-seq signals across EBNA 2 binding sites confirmed the binding of BATF, Bcl11a, Bcl3, IRF4, PAX5, SP1, TCF12 and p300 (XREF_SUPPLEMENTARY).",Database: biopax,25416956,9918122; 24243859; 12732617; 24634496,24068937,
ARG2,BCL2,RGS2,IL2,FKBP15,Activation,IncreaseAmount,Activation,DecreaseAmount,0.3715222573296911,0.4844526880351076,0.3715222573296911,0.4738574987008168,1,1,1,1,-1.869266,0.0489591747202917,"1) Research has also demonstrated that circ-PVT1 triggers the activation of Arginase 2 (ARG2), which in turn inhibits BAX and activates bcl2, ultimately resulting in the suppression of apoptosis ( Li et al., 2022 ).",1) This suggests a survival advantage of low RGS2 expressing tumour cells by the BCL-2 associated prevention of hypoxia-induced cell-death  .,1) Rgs2 −/− T lymphocytes proliferated less and produced less interleukin-2 (IL-2) after phorbol ester or T-cell receptor (CD3/CD28) stimulation.,"1) Paradoxically, IL-2 increases the expression of a second cdk inhibitor, p21Cipl and Wafl, in Stimulus Detector -==> Signal -= :> Response < Mitogenic signals Tort p/Tor2p / Nutrient supply G1-~ S mTor progression rotein serine threonine kinase cascade A7T ~ ip ~ DNAPw UNA damage Unreplicated DNA _ ======> Tdlpirad3p ~ mer4lp G1 ---> S or G2 ---> M arrest 1996 Current Opinion in Immunology A working model of signal-transduction pathways governed by the P13K homologs.",37536436,30467386,18006065,8793996
AGPAT1,HAL,RGN,FDFT1,DYNLRB1,Complex,Complex,Complex,IncreaseAmount,0.8302066725941236,0.4261616001712757,0.4098057272206696,0.4844526880351076,1,1,42,1,-0.45270944,7.819870483383205e-05,Database: biogrid,"1) The gases collected in gas bags after each experiment were analyzed using a Hiden analytical HPR20 MS with 200 amu mass range capability to evaluate the content of CO 2 , H 2 and CH 4 and equipped with a HAL-RC quadrupole mass spectrometer.","1) Based on these findings, it can be suggested that the RC-SS complex could be an effective drug delivery carrier for localized cancer therapy.

2) The nanoformulation showed peaks similar to that of red clay, confirming the effective encapsulation of ACV within the RC-SS carrier.

3) The decreased peak intensity indicated the addition of ACV on the interlayers of the RC-SS complex ( xref ).

4) The thermogram of nanocomplex F1 showed an exothermic peak at 368.16 °C, confirming the increase in the degradation temperature of the ACV-loaded RC-SS complex from 295.34 °C and its thermal stability.

5) They were characterized into four groups: patients with rampant caries with Sjogren’s syndrome (RC-SS) or high-sugar diet (RC-HD), common dental caries (DC), and healthy individuals (HP).

6) OTU principal component analysis revealed a significant difference between healthy individuals and those with RC-SS.

7) A significant difference ( P  < 0.01) in age was found between the RC-SS group (48.90 ± 2.51) and RC-HD group (20.88 ± 1.80) (Fig.  xref c).

8) The timing of the initial clinical detection of dental caries was significantly different ( P  < 0.01) between the RC-SS group (6.60 ± 0.98) and the RC-HD group (1.61 ± 0.28) or DC group (0.96 ± 0.17) (Fig.  xref d).

9) The saliva flow rate of the RC-SS group is lower than the other three groups (Fig.  xref e).

10) The DMFT results revealed that RC-SS group (20.40 ± 1.14) and RC-HD group (20.50 ± 1.41) had significantly higher DMFT than the DC group (2.79 ± 0.318); however, there was no significant difference between the two groups.

11) Based on the DMFS results, the RC-SS group (44.80 ± 1.86) and RC-HD group (40.00 ± 3.55) had significantly higher DMFS than the DC group (3.21 ± 0.28), and DMFS was significantly higher in patients with rampant caries than in patients with DMFT.

12) A total of 44 saliva samples (10 RC-SS, 8 RC-HD, 14 DC, 12 HP) and 41 plaque samples (7RC-SS, 12RC-HD, 14 DC, 8 HP) passed quality inspection and were subjected to 16S rRNA amplicon library sequencing.

13) Based on the saliva samples, the RC-SS group exhibited clear segregation in community structures among the groups, occupying the first 2 principal components.

14) However, based on the plaque samples, the RC-SS and RC-HD microbiota overlapped with some HP and DC microbiota.

15) Microbiota compositions and biomarkers for RC-HD and RC-SS.

16) To compare the oral microbiota community of rampant caries with different etiologies (SS or HD), oral samples from patients with rampant caries of different causes were collected and detected separately (called RC-SS and RC-HD).

17) For saliva samples, Prevotella, Dialister and Fretibacterium significant enriched in the RC-SS group.

18) Relative abundance screening of major species between RC-HD and RC-SS patient plaque microbial communities using the Wilcoxon rank-sum test is depicted in Fig.  xref c, d, e, f.

19) The level of Veillonella and Leptotrichia in the RC-HD group was significantly higher than that in the RC-SS group ( P  < 0.05) (Fig.  xref c).

20) Prevotella tannerae were higher in the RC-SS group than the RC-HD group.","1) Thus, gestational SS increases the level of BLP and GAX.",33961781,21930374,37514105; 38515087; 35291312; 31777853; 25800934; 37690634,26361040
AGPAT1,HAL,RAF1,ELK1,MRPL54,Complex,Complex,IncreaseAmount,DecreaseAmount,0.8302066725941236,0.8302066725941236,0.6163664161553967,0.6301266297471854,1,1,1,1,-0.6634935,9.606511457891036e-05,Database: biogrid,Database: biogrid,"1) RKTG expression inhibits EGF-stimulated ERK and RSK phosphorylation, blocks NGF-mediated PC12 cell differentiation, and antagonizes Ras- and Raf-1-stimulated Elk-1 transactivation.",Database: biopax,33961781,36244648,17724343,
B3GNT8,ATR,RGR,SOX9,TMEM132A,Complex,Complex,Complex,DecreaseAmount,0.8302066725941236,0.4443350122709595,0.4443350122709595,0.6301266297471854,1,1,1,1,-1.2307026,0.0333650914991005,Database: biogrid,"1) ATR is bound to RGR via Schiff base linkage to lysine and RGR exhibits broad absorption spectra with maxima at 370 nm (E = 6.61 X lo4K ' c m - ') and 469 nm (E = 6.28 X lo4 W'cm-') for unprotonated and protonated forms, respectively (194).","1) Chromatin immunoprecipitation in human fetal RPE cells indicates that SOX9 and OTX2 bind the RPE65, RGR, and RLBP1 promoter regions [207].",Database: biopax,33961781,16120006,38786093,
B3GNT8,ATR,RGN,NR1H4,CYP51A1,Complex,Complex,IncreaseAmount,DecreaseAmount,0.8302066725941236,0.4261616001712757,0.4844526880351076,0.4738574987008168,1,1,1,1,0.47987893,0.0001145320542219,Database: biogrid,"1) The strain distribution of each resistance strain gauge is shown in xref and xref , xref and xref for RC-FRP1, RC-FRP3, and RC-FRP5, respectively (the abscissa number in the figure corresponds to the resistance strain gauge number).

2) At the same level, the strain of RC-FRP1, RC-FRP3, RC-FRP5 are lost, 2005.5 µε and −181.8 µε, respective.","1) In this study, HFHC diet intake reduced FXR and TGR5, RC alkaloids treatment significantly increased the protein levels of FXR and TGR5.","1) CYP2B6/2b10 expression is positively regulated by the PXR and CAR; and Cyp51a1 expression is negatively regulated by the FXR XREF_BIBR, XREF_BIBR, XREF_BIBR.",33961781,32245144,27287254,29352187
CALCOCO1,BCL2L1,MCL1,AGAP2,ANKRD1,IncreaseAmount,Complex,Inhibition,DecreaseAmount,0.4844526880351076,0.8444287068977416,0.4357402620936744,0.4738574987008168,1,287,1,1,-0.9110734,1.2722388583888777e-05,"1) Hence, we believed that cocoa induces apoptosis by modulating the expressions of Bcl-xl, Bax and caspase 3.We determined that the administration of a cocoa diet during the early stage of colitis significantly suppressed the development of CAC by modulating the NF-κB/IL-6/STAT3 signaling pathway and also induces apoptosis by activating caspase 3 in a mouse model, and our findings may merit further clinical investigation of this natural product as a chemopreventive agent against CAC in humans.The authors declare that there are no conflicts of interest.","1) KPT-330 and A-1331852 combination disrupted bindings of Mcl-1 and Bcl-xL to Bax, Bak, and/or Bim, elicited mitochondrial outer membrane permeabilization, and triggered apoptosis.

2) We designed a BH3 α-helical mimetic BH3-M6 that binds to Bcl-X(L) and Mcl-1 and prevents their binding to fluorescently labeled Bak- or Bim-BH3 peptides in vitro.

3) JY-1-106 disrupts interactions between both BCL-x L and MCL-1 with BAK1, leading to apoptosis through the mitochondrial pathway in human cancer cells, sensitizes tumor cells to conventional chemotherapeutic agents and inhibits tumor growth in a xenograft model of lung cancer [XREF_BIBR].

4) Crystal structures of α/β-peptides bound to Bcl-x L or Mcl-1.

5) Interacting with Bcl-xl and Mcl-1, Bim initiates cytochrome c release from mitochondria, activates Caspase 9 and consequently triggers mitochondrial apoptotic pathway [ xref ].

6) In addition, ASF/SF2 directly binds Bcl-x and Mcl1 mRNAs, and its enforced expression attenuated the effect of AURKA inhibition on Bcl-x splicing ( xref ).

7) The intrinsically disordered N-terminal transcriptional activation domain of p53 has also been shown to weakly interact with the BC groove of BCL-xL [ xref , xref ] and MCL-1 in a non-canonical fashion.

8) The novel BH3 alpha-helix mimetic JY-1-106 induces apoptosis in a subset of cancer cells (lung cancer, colon cancer and mesothelioma) by disrupting Bcl-xL and Mcl-1 protein protein interactions with Bak.

9) To evaluate this possibility, we first determined whether JY-1-106 disrupts the binding of Bcl-xL and Mcl-1 to Bak in vitro using fluorescence polarization (FP) assays [XREF_BIBR].

10) In this report, we characterize the novel alpha-helix mimetic JY-1-106 that disrupts the interactions between both Bcl-xL and Mcl-1 with Bak, which leads to apoptosis through the mitochondrial pathway in human cancer cells.

11) In response to death stimuli, certain BH3-only proteins, the so-called sensitizers, displace activators that include Bid and Bim from their inhibitory associations with Bcl-xL or Mcl-1.

12) The control compound JY-1-106a makes few favorable contacts leading to increased fluctuations of the binding regions of both Bcl-xL and Mcl-1, confirming that the side chains attached to the trisarylamide scaffold are required for interaction with Bcl-xL and Mcl-1.

13) Our current results suggest that the abilities of JY-1-106 to bind both Mcl-1 and Bcl-xL contribute to Bax activation in these cancer cells.

14) Since their BH3 domains have much higher affinities to Bcl-xL/Bcl-2 or Mcl-1, elevated PUMA and Bim levels can bind in an inhibitory manner to Bcl-xL and Mcl-1.

15) Previous articles have shown that upregulation of Mcl-1 is associated with resistance to the Bcl-xL inhibitor, ABT-737, but this phenomenon was abrogated by cotreatment with sorafenib or Mek inhibitors ( xref , xref ).

16) It has been reported that activator BH3-only proteins can bind both Bcl-xL and Mcl-1, and activator BH3-only proteins that were freed from Bcl-xL and Mcl-1 can directly activate Bax [ xref ].

17) Bad binds strongly to Bcl-2, Bcl-X L and Bcl-w; whereas, Noxa binds exclusively to Mcl-1 and Bfl-1/A1.

18) Interactions between anti-apoptotic proteins BCL-2, BCL-X L, and MCL-1 and pro apoptotic proteins BIM and NOXA were studied by BiFC.

19) In addition to the interaction between BCL2L1 and MCL1, synthetic lethality between BCL2L1 and BCL2L2 (Bcl-w) was detected in Meljuso, OVCAR8, and A375 at an FDR < 0.01, HT29 (0.03) and A549 (0.31).

20) Thus, small molecules confirmed the synthetic lethal interaction between MCL1 and BCL2L1.","1) ATF4 suppresses the expression of the cellular senescence-associated gene Cdkn2a (cyclin-dependent kinase inhibitor 2a) to drive oncogenic transformation (Horiguchi et al. 2012) and enhances expression of the anti-apoptotic gene myeloid cell leukemia-1 (Mcl-1) (Hu et al. 2012), the autophagy-initiating kinase Ulk1 (Pike et al. 2013), and heme oxygenase 1 (Hmox-1) (Dey et al. 2015) to promote cancer cell survival.","1) 19
 Moreover, AGAP2‐AS1 suppressed the transcription of ANKRD1 and ANGPTL4 through recruiting EZH2, thereby deteriorating pancreatic cancer,
30
 whereas AGAP2‐AS1 was poorly discussed in activating CAFs.",26355019,20164920; 22754595; 21797225; 20705336; 22357666; 26117852; 28970875; 23422441; 25172548; 29149594,28860159,36541122
ARHGAP26,RAC3,RBMX,SMC5,SLF2,Gap,Complex,Complex,IncreaseAmount,0.6351178583063539,0.8302066725941236,0.8302066725941236,0.4844526880351076,1,1,1,1,-1.4051522,0.0421915596421142,Database: biopax,Database: biogrid,Database: biogrid,"1) Importantly, the elevated spontaneous levels of chromosomal aberrations in the SLF2/SMC5 patient fibroblasts and the U-2 OS SLF2 HM cells, were rescued by re-expression of either WT SLF2 or SMC5 (Fig. 6h, i).",,31871319,36373674,36333305
AAGAB,BCAR1,SLX4,USP45,CORO1B,Complex,Complex,Complex,DecreaseAmount,0.8302066725941236,0.8302066725941236,0.8303458270021431,0.4738574987008168,1,1,4,1,0.7797119,7.615691679627148e-05,Database: biogrid,Database: biogrid,"1) Moreover, we observed that in SLX4 knockout mouse embryonic fibroblasts (Castor et al, ), co-immunoprecipitation of USP45 and ERCC1 was unaffected (Fig ) consistent with USP45 binding to ERCC1 and not to SLX4.

2) In agreement with USP45 associating with SLX4 indirectly through its ability to bind ERCC1, we found that USP45 did not co-immunoprecipitate with SLX4 from ERCC1 knockout mouse embryonic fibroblasts (MEFs) (Fig xref D; McWhir et al , xref ; Melton et al , xref ).","1) The in vivo ubiquitination assay showed that USP45 depletion led to increased levels of ubiquitinated Coro1B (Fig. 5, I and J).",33001583,33001583,25538220,40067150
