names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
STUB1,3.5729628,0.47744432,0.0003529650091797941,1.0,0.8166666666666667
PSMG1,2.7558577,0.74895096,0.005853843672588384,1.0,0.4
TALDO1,2.7353768,0.32584468,0.006230888011759195,1.0,0.9166666666666666
DHCR7,2.7199807,0.54225504,0.006528571388861709,1.0,0.5666666666666667
STAT1,2.704272,0.5017172,0.006845420349480652,1.0,0.6
CDC40,2.6941879,0.5845813,0.007056037039217264,1.0,0.5
PDAP1,2.6497037,0.3382042,0.008056237216917006,1.0,0.8416666666666667
RPS6KA3,2.5108542,0.44168362,0.012043943780935408,1.0,0.6083333333333333
NANS,2.4940093,0.5437409,0.01263092399030073,1.0,0.5166666666666667
FXYD5,2.4683585,0.21655126,0.013573431570456249,1.0,0.9333333333333333
HERPUD1,2.4616263,0.5267674,0.013830873171630247,1.0,0.49166666666666664
GTPBP4,2.4575925,0.47371346,0.01398717800635914,1.0,0.5916666666666667
SAP30BP,2.4389296,0.5692806,0.014730836663901356,1.0,0.4583333333333333
SUN1,2.3911219,0.5999543,0.01679697225355684,1.0,0.4166666666666667
NR2F1,2.3887641,0.33027613,0.01690514662376926,1.0,0.7583333333333333
NSD1,2.364619,0.49308112,0.01804863010162421,1.0,0.5083333333333333
SRRM1,2.3522906,0.26471952,0.018658189054170035,1.0,0.8916666666666667
SVIL,2.3353605,0.3697746,0.019524593545931727,1.0,0.625
RASIP1,2.316101,0.5546777,0.020552747538772186,1.0,0.4583333333333333
SCARA3,2.3155046,0.66796565,0.02058533305233071,1.0,0.375
NFE2L1,2.3119254,0.37976855,0.020781793756877772,1.0,0.6083333333333333
MPV17,2.2878938,0.41034338,0.02214370905980435,1.0,0.5583333333333333
GALNT6,2.2814739,0.4080481,0.022520416501062512,1.0,0.6
DESI1,2.2793434,0.34643885,0.022646655095947304,1.0,0.625
NCOR1,2.2602546,0.46707836,0.02380545990756376,1.0,0.5666666666666667
SERPIND1,2.2477558,0.6127831,0.024591767840760705,1.0,0.375
PGM2L1,2.2467616,0.7977873,0.024655270340184315,1.0,0.31666666666666665
ACOT7,2.2443187,0.31137937,0.024811908737643204,1.0,0.7333333333333333
PURA,2.2409098,0.3967093,0.02503191393100471,1.0,0.5666666666666667
SYNE1,2.2376146,0.50550514,0.025246189082319626,1.0,0.5083333333333333
NAPRT,2.2341208,0.53549165,0.02547512699350981,1.0,0.425
SLC16A1,2.2052317,0.49783197,0.027437842902960217,1.0,0.4666666666666667
NOLC1,2.1862564,0.56787026,0.028796859283941142,1.0,0.4666666666666667
PPA1,2.1783879,0.25228432,0.02937717903476439,1.0,0.925
GARS,2.17728,0.32100356,0.029459687298880037,1.0,0.8083333333333333
YIPF3,2.170775,0.45948225,0.029948191333548528,1.0,0.5083333333333333
HNRNPUL1,2.1671104,0.39535826,0.030226428818953228,1.0,0.575
SPTLC2,2.1669686,0.42158338,0.03023725778525325,1.0,0.49166666666666664
NDUFB9,2.1587024,0.24621993,0.030873272747945497,1.0,0.925
OCIAD2,2.1585886,0.3201822,0.030882094637109322,1.0,0.7166666666666667
VKORC1,2.1491861,0.29661065,0.031619644031551285,1.0,0.775
ROCK2,2.127143,0.37854692,0.03340820695531313,1.0,0.5583333333333333
SH3GLB1,2.1265464,0.29734948,0.03345778782627631,1.0,0.8083333333333333
CDYL,2.1260352,0.35825157,0.033500335805015456,1.0,0.5833333333333334
GCNT2,2.1052134,1.0913874,0.035272740187595554,1.0,0.21666666666666667
HMGA1,2.1026,0.16250192,0.03550075137387252,1.0,0.9666666666666667
NUDC,2.0907545,0.23382127,0.03655006866156336,1.0,0.9083333333333333
INIP,2.0883684,0.88841224,0.03676460962287939,1.0,0.25833333333333336
PTPRB,2.0748186,0.61783147,0.03800334073592985,1.0,0.35833333333333334
COX7A2L,2.0576613,0.24312325,0.03962265356462664,1.0,0.7833333333333333
KATNA1,2.055048,0.8320311,0.03987437146871251,1.0,0.275
TPPP3,2.0517812,0.38340962,0.04019092569111869,1.0,0.575
SMARCD1,2.0421515,0.3359098,0.04113650095117261,1.0,0.6083333333333333
DNAJC19,2.0307322,0.35887387,0.04228216323441192,1.0,0.5583333333333333
GLCE,2.0183756,0.47321877,0.04355216463842382,1.0,0.4666666666666667
ERGIC1,2.0170972,0.40285525,0.04368536432175426,1.0,0.525
RPRD1A,1.999883,0.6211479,0.04551288923809251,1.0,0.35
SDCBP,1.9784932,0.23714086,0.047873093910598144,1.0,0.9333333333333333
DLG1,1.975539,0.32622212,0.04820701757951372,1.0,0.65
DANCR,1.9726416,0.3479562,0.04853641811857093,1.0,0.55
AKAP9,1.9628414,0.29799682,0.04966460767988668,1.0,0.6583333333333333
EIF3G,1.9597167,0.23829368,0.05002891236444755,1.0,0.8333333333333334
DNAJA1,1.9518481,0.24504843,0.050956232730448935,1.0,0.85
POLD2,1.9449455,0.378002,0.0517815424120224,1.0,0.5333333333333333
ARF3,1.9377018,0.37776256,0.05265960473742678,1.0,0.6083333333333333
TUBB6,1.9340091,0.23356761,0.05311201280659171,1.0,0.825
R3HDM2,1.9312253,0.3645052,0.053455201555995764,1.0,0.5833333333333334
TNFRSF10B,1.9259417,0.3631052,0.05411165350001284,1.0,0.5166666666666667
SMNDC1,1.9248906,0.41581273,0.05424303707067802,1.0,0.4666666666666667
C17orf49,1.9084718,0.26837498,0.05633025457514116,1.0,0.8
EIF3E,1.8983593,0.107962556,0.05764877205937631,1.0,0.9916666666666667
MRPS7,1.8966833,0.41501138,0.057869749588999965,1.0,0.4583333333333333
PRPF38A,1.8958595,0.55988336,0.05797862345901162,1.0,0.35
NDUFB6,1.8921382,0.27401185,0.0584725563496275,1.0,0.6333333333333333
IGF2R,1.8864286,0.7386024,0.059237214710908564,1.0,0.26666666666666666
TCEAL9,1.8814007,0.24676445,0.05991742492858872,1.0,0.8083333333333333
SPAG9,1.8813156,0.29294088,0.05992900950783519,1.0,0.6416666666666667
FUCA2,1.8760887,0.3700102,0.060643089158221995,1.0,0.55
ESM1,1.8670557,0.3627883,0.061893822612499746,1.0,0.5333333333333333
NFE2L3,1.8644422,0.465398,0.06225962619779187,1.0,0.45
RGS4,1.8644139,0.5214107,0.06226361212846652,1.0,0.4083333333333333
NMB,1.8632208,0.81273454,0.062431211942241244,1.0,0.24166666666666667
CPNE3,1.8559772,0.2331981,0.0634568103344403,1.0,0.7583333333333333
CNPY2,1.8507504,0.26093253,0.06420546408693224,1.0,0.7166666666666667
CFL2,1.8429103,0.26828304,0.06534210495947637,1.0,0.7333333333333333
LRRFIP1,1.8374847,0.2646833,0.06613836805983164,1.0,0.7916666666666666
PRR12,1.8332238,0.7998356,0.06676929572299292,1.0,0.275
UBA6,1.8325137,0.40718824,0.06687493061901256,1.0,0.44166666666666665
CCDC80,1.8287072,0.28163695,0.06744348145114475,1.0,0.6666666666666666
PPIB,1.8161516,0.1259804,0.06934711051471779,1.0,0.975
SVIP,1.8157539,0.24351877,0.06940812014950283,1.0,0.775
PSIP1,1.8126293,0.33485746,0.06988901682313266,1.0,0.6
C12orf75,1.8115499,0.1584573,0.07005577900466158,1.0,0.7666666666666667
GPX4,1.809533,0.1358016,0.07036823601583013,1.0,0.9916666666666667
ATF7IP,1.7966934,0.4695606,0.07238430691753503,1.0,0.39166666666666666
METTL5,1.7895918,0.32265642,0.07351955004004997,1.0,0.5833333333333334
DDX21,1.7808428,0.22314036,0.0749381463508528,1.0,0.875
ANP32A,1.7729458,0.30400476,0.0762376879644665,1.0,0.65
ATP2B4,1.7726617,0.3863192,0.07628477441425816,1.0,0.5
TRIM37,1.7628047,0.47994822,0.07793342056591235,1.0,0.4
CIR1,1.7621515,0.4472827,0.07804371423016629,1.0,0.4583333333333333
COA6,1.7595664,0.3922038,0.07848134026115208,1.0,0.44166666666666665
PHAX,1.7536864,0.5651417,0.07948425960249335,1.0,0.3333333333333333
RRAS,1.7410456,0.18532734,0.08167558261564466,1.0,0.7916666666666666
BAX,1.7395685,0.2001112,0.08193481537780514,1.0,0.9333333333333333
LAMP2,1.7380913,0.28425887,0.08219471510984339,1.0,0.5833333333333334
ARPC3,1.737154,0.15775147,0.08235999794222877,1.0,0.9833333333333333
MORC4,1.7343701,0.76128936,0.08285242676998529,1.0,0.23333333333333334
IMPDH1,1.7334611,0.43067077,0.08301373564334702,1.0,0.35833333333333334
INTS6,1.7284049,0.52641046,0.08391566655339389,1.0,0.38333333333333336
RECQL,1.7282344,0.30747104,0.08394620638766172,1.0,0.5416666666666666
NUTF2,1.727439,0.22516875,0.08408884460313763,1.0,0.7833333333333333
TOR1AIP1,1.727013,0.5355652,0.08416533859332093,1.0,0.31666666666666665
TLE1,1.725479,0.38905376,0.08444118340445197,1.0,0.475
