names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
SEC61A1,4.091409,1.3832592,4.2876005277343626e-05,1.0,0.71875
VAPA,2.9552577,0.62906265,0.0031240798633870594,1.0,0.875
B4GALT5,2.9142294,0.8643786,0.0035656779300557054,1.0,0.6875
TRAPPC3,2.7645316,0.78670967,0.005700459890402115,1.0,0.6875
JUND,2.5786843,0.49195307,0.009917735289350403,1.0,0.90625
SLC25A37,2.5658214,0.6280931,0.010293179337711832,1.0,0.75
TXN2,2.522797,0.7649429,0.011642552662744696,1.0,0.6875
TXNRD2,2.5053325,0.5663439,0.012233634950356637,1.0,0.84375
DNTTIP1,2.502394,1.1881675,0.012335658567251448,1.0,0.5
HDGFL2,2.4928577,1.1477758,0.012671965089229444,1.0,0.5
RTRAF,2.4743395,0.5340413,0.01334828076961567,1.0,0.96875
ATP5MG,2.4333665,0.28770116,0.014959147656083971,1.0,0.96875
SEC11A,2.415791,0.42434746,0.01570107359517769,1.0,0.96875
S100A10,2.3988252,0.2359474,0.01644776538383107,1.0,1.0
RRP7A,2.3944452,1.0238335,0.016645533961529013,1.0,0.53125
MDK,2.3520308,0.36893722,0.01867123232610756,1.0,0.96875
CCT4,2.3268592,0.51669234,0.01997275442267632,1.0,0.90625
DOLK,2.3076758,2.218759,0.0210171746805147,1.0,0.3125
MICB,2.2815063,1.521545,0.022518498347666407,1.0,0.40625
S100A6,2.2776253,0.18179494,0.022748909081684403,1.0,1.0
JAGN1,2.2767937,1.0967991,0.022798548470768586,1.0,0.46875
PPP1R14B,2.2621565,0.41379127,0.023687731770854866,1.0,0.96875
GRINA,2.2448027,0.70257884,0.02478080125614501,1.0,0.65625
MRPL45,2.2153068,1.036883,0.026739021839484935,1.0,0.46875
CSNK2A1,2.214974,0.47219944,0.02676184810881757,1.0,0.8125
EMP1,2.1917984,0.54880357,0.02839405459312526,1.0,0.8125
SURF4,2.1426754,0.94494134,0.03213916484575955,1.0,0.53125
RPAIN,2.1232703,0.69590235,0.03373121549956453,1.0,0.65625
RSL1D1,2.1138449,0.529141,0.03452852611708418,1.0,0.78125
RNF168,2.1103518,0.9546405,0.03482806156539219,1.0,0.5
DENND10,2.1020908,0.884886,0.03554532841741814,1.0,0.53125
NOP16,2.0897822,0.8942755,0.03663736520542409,1.0,0.53125
CLEC14A,2.0720956,0.5724144,0.03825651571909539,1.0,0.8125
XRN2,2.062892,0.42635465,0.03912288372953611,1.0,0.90625
DBNDD2,2.0444293,0.92387676,0.0409111519848702,1.0,0.46875
TTC1,2.0428214,0.5879677,0.04107011470515697,1.0,0.6875
NCOA4,2.0144897,0.78445697,0.04395813898827813,1.0,0.59375
