names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
RPS20,3.7407277,0.14635855,0.00018348830349993573,1.0,1.0
RAI14,3.3340201,0.38733104,0.0008560047088001394,1.0,0.9215686274509803
LPGAT1,3.2025554,0.7770262,0.0013621411925180099,1.0,0.49019607843137253
RAB10,3.0861812,0.47456843,0.0020274517590039218,1.0,0.7254901960784313
TCP1,3.0752876,0.4773259,0.002102996564834548,1.0,0.7254901960784313
SF3A3,3.0424213,0.6753465,0.0023468308719919837,1.0,0.5098039215686274
HECW2,2.9344413,0.95236343,0.0033414871797993865,1.0,0.37254901960784315
GNL3L,2.9062042,0.7090782,0.003658426356237198,1.0,0.4803921568627451
TFDP1,2.852106,0.5751738,0.004343059756162466,1.0,0.5882352941176471
IFT57,2.8502545,0.42074862,0.004368425743632438,1.0,0.8137254901960784
SLIRP,2.8416445,0.3020572,0.004488150767892359,1.0,0.8725490196078431
RPL7,2.799551,0.1104623,0.00511737176224719,1.0,1.0
ZNF148,2.7928543,0.5987876,0.005224520015027242,1.0,0.5490196078431373
MRPL43,2.788318,0.5233464,0.0052982515817007764,1.0,0.6372549019607843
EIF4A2,2.6931758,0.26350084,0.007077495215027571,1.0,0.8725490196078431
CUEDC2,2.6626241,0.42347613,0.0077533979647556915,1.0,0.696078431372549
TOMM70,2.656915,0.54788613,0.007885934111718458,1.0,0.5490196078431373
DYNC1I2,2.6010888,0.32915157,0.009292842414916057,1.0,0.9019607843137255
SEC13,2.5856278,0.6119866,0.009720185850272635,1.0,0.5098039215686274
ST3GAL2,2.5766473,0.9813955,0.009976367061347555,1.0,0.30392156862745096
DMAC1,2.5642724,0.4155767,0.010339236627362046,1.0,0.6764705882352942
STRAP,2.4765983,0.4164461,0.013264106839963813,1.0,0.7058823529411765
TPPP3,2.4492254,0.44178575,0.014316386298997097,1.0,0.6568627450980392
EIF3L,2.4337027,0.40186778,0.014945269215486265,1.0,0.6666666666666666
TLK1,2.4315732,0.593086,0.015033408827640196,1.0,0.45098039215686275
RPL7A,2.410002,0.066884585,0.015952437181726103,1.0,1.0
ARHGAP24,2.3884614,0.5472231,0.01691908379307886,1.0,0.4803921568627451
SRSF7,2.3729696,0.42345652,0.01764571702999524,1.0,0.6764705882352942
DNPH1,2.3547003,0.36988762,0.018537649882046595,1.0,0.7352941176470589
RBM25,2.3544533,0.31146142,0.01854996840043484,1.0,0.8431372549019608
INTS3,2.3471704,0.88535756,0.018916601540269983,1.0,0.29411764705882354
SMS,2.3193345,0.29445797,0.020376909765577295,1.0,0.9019607843137255
SSR2,2.3093975,0.21578182,0.020921537701388455,1.0,0.9019607843137255
TMF1,2.2993987,0.47151563,0.021482309748403348,1.0,0.5392156862745098
COPS4,2.2767165,0.48887452,0.0228031664798277,1.0,0.5294117647058824
RPL13A,2.2661314,0.07625309,0.023443343616295062,1.0,1.0
DDX21,2.257614,0.27352792,0.02396974167300641,1.0,0.8921568627450981
HCLS1,2.2424614,0.45158416,0.024931560792103215,1.0,0.5882352941176471
COL18A1,2.2300866,0.36867234,0.025741698668536137,1.0,0.7156862745098039
ARID4B,2.2155204,0.4657525,0.026724359805840838,1.0,0.5196078431372549
ACTN4,2.2153971,0.3150896,0.02673282399165378,1.0,0.8529411764705882
PA2G4,2.199319,0.22114486,0.02785525868567876,1.0,0.9803921568627451
HNRNPM,2.1938257,0.3775888,0.028247941305764995,1.0,0.7843137254901961
