names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
PDLIM4,4.0400834,0.6048403,5.343216025847836e-05,1.0,0.875
HDGFL3,3.502886,0.6789109,0.00046024615651926867,1.0,0.75
ERLEC1,3.1172185,0.47855598,0.0018256622597362052,1.0,0.7875
IPO8,3.0854461,1.2565162,0.0020324705849417398,1.0,0.3875
RAC2,2.9431686,0.5270369,0.0032487129457258795,1.0,0.7125
BUD31,2.785529,0.5539259,0.0053440474286769344,1.0,0.725
PPIC,2.6428676,0.33876032,0.008220720213241176,1.0,0.875
SORBS2,2.622512,0.7408443,0.008728413733445949,1.0,0.5125
SRSF4,2.6206617,0.49446312,0.008775928945556677,1.0,0.7375
DDX46,2.5711179,0.5199575,0.01013708399182317,1.0,0.6625
SNRNP200,2.5676262,0.75201905,0.01023974711185802,1.0,0.5625
MYL12B,2.5669281,0.17987815,0.010260390449603633,1.0,0.975
TRPV2,2.5416846,0.72921354,0.011031963754621711,1.0,0.5
GARS-DT,2.5286267,0.91830003,0.011450977424366572,1.0,0.4
TUBA1A,2.4496148,0.3600723,0.01430091636664173,1.0,0.8625
CHMP2A,2.4116974,0.39123556,0.015878457241902306,1.0,0.85
CNPY3,2.401956,0.8213134,0.01630766436747521,1.0,0.425
COX7A2,2.3981504,0.19210607,0.01647809684917867,1.0,0.9625
LETM2,2.3867333,0.6205636,0.01699881717398496,1.0,0.525
MT-ND4L,2.3691711,0.258231,0.017827997617419992,1.0,0.9125
UBL5,2.3686476,0.25547865,0.017853259604331654,1.0,1.0
PTTG1,2.3542278,0.70700705,0.018561235274896476,1.0,0.525
PEA15,2.334466,0.45484343,0.01957133303159614,1.0,0.6625
CD47,2.3305557,0.37407807,0.019776806042632447,1.0,0.7375
BASP1,2.3157518,0.30712458,0.020571826973326306,1.0,0.9
GSTO1,2.283316,0.3585282,0.022411760958322372,1.0,0.9
STRBP,2.2829669,0.8127117,0.022432320682650705,1.0,0.3375
CSNK2B,2.2518928,0.41166314,0.024329048318676914,1.0,0.7625
CDC123,2.2387648,0.538069,0.025171219857743107,1.0,0.5875
SNRPC,2.2294426,0.4360386,0.025784467995250884,1.0,0.6
ATP6V0C,2.228919,0.3054909,0.025819300224740622,1.0,0.7625
MRPL16,2.2078655,0.5581032,0.027253660304910145,1.0,0.525
HMGN2,2.192468,0.3421876,0.028345732692300233,1.0,0.925
CRELD1,2.1773849,0.9994827,0.029451866296189323,1.0,0.35
HDAC1,2.1664915,0.5109764,0.03027365247290108,1.0,0.575
CLIC1,2.1656885,0.18023245,0.030335005090328607,1.0,0.9375
NDUFA1,2.1556678,0.2728746,0.03110960669209143,1.0,0.925
UBA52,2.1464155,0.090847164,0.03183984350318969,1.0,1.0
DLGAP5,2.133148,1.33152,0.03291259372066283,1.0,0.25
MPST,2.1217656,0.46581283,0.033857415631192676,1.0,0.5875
CD81,2.1204739,0.20671576,0.03396610128934517,1.0,0.9625
EMD,2.113002,0.45765495,0.034600584299604845,1.0,0.5875
LAMP2,2.104064,0.48221812,0.035372866005713544,1.0,0.6125
LARP6,2.0989664,0.59168583,0.0358198592775791,1.0,0.475
IFI27L1,2.0947418,0.89241904,0.03619395467073853,1.0,0.3375
PDHA1,2.0882475,0.47393596,0.03677550288786796,1.0,0.5625
FXN,2.0862575,0.94051623,0.03695530493549472,1.0,0.35
C18orf32,2.0847213,0.37775078,0.037094610987285365,1.0,0.7125
YIPF3,2.077075,0.44487607,0.03779464416633868,1.0,0.6
DDT,2.0687304,0.2690952,0.03857140056805595,1.0,0.925
MTHFD1L,2.065134,0.52921295,0.03891031331271829,1.0,0.55
CCDC34,2.0582907,0.80573666,0.03956222439331686,1.0,0.375
CTSL,2.0559864,0.32234338,0.03978382176165143,1.0,0.8875
EMC1,2.0379355,0.58607733,0.04155637769354156,1.0,0.4375
ACLY,2.0285087,0.33556348,0.042508367064872356,1.0,0.875
MTCL1,2.0244584,1.1881944,0.042922998847553635,1.0,0.2625
MYL6,2.0232713,0.08559686,0.04304517481633627,1.0,0.9875
AGO2,2.0142982,0.52985835,0.043978222750600406,1.0,0.55
SVIP,2.0097942,0.3423823,0.04445296218924724,1.0,0.7875
NEDD8,2.006233,0.12244735,0.04483139225117349,1.0,0.925
TNRC6B,1.9970853,0.43579742,0.04581590961024633,1.0,0.575
EPS8L1,1.9909403,0.7662955,0.04648744136831708,1.0,0.35
MAN1A2,1.9663255,0.45732638,0.04926101950223646,1.0,0.5875
NARF,1.955886,0.74774593,0.050478580387593994,1.0,0.3625
RBX1,1.9426882,0.25869548,0.0520538324993815,1.0,0.925
MBD2,1.9374162,0.4892199,0.052694491946561894,1.0,0.5125
PSMD7,1.9369972,0.30920517,0.05274568675483977,1.0,0.8
NORAD,1.9341342,0.3910903,0.05309663165538575,1.0,0.725
RALY,1.9307126,0.34743652,0.05351861046292788,1.0,0.6125
TANK,1.9183877,0.5165162,0.05506187446485252,1.0,0.4375
PPM1K,1.915385,0.7771073,0.05544342298153514,1.0,0.3125
AL450998.2,1.9153152,1.5216502,0.055452322351875104,1.0,0.2125
UBE2C,1.9142329,1.258464,0.05559041487695921,1.0,0.2375
DDX3X,1.9117888,0.33992317,0.05590329091295674,1.0,0.7875
TMED2,1.9000225,0.3381458,0.05743016255034253,1.0,0.8125
ARHGAP19,1.8993243,1.5224555,0.0575218576696136,1.0,0.2
ZFAND6,1.8951694,0.36569035,0.05806996380035307,1.0,0.6625
COL5A1,1.8947853,0.4431304,0.05812084746817119,1.0,0.625
COPS6,1.8931444,0.30934888,0.05833867700344034,1.0,0.8375
LSM6,1.8856027,0.4269181,0.05934850429861673,1.0,0.55
LINC02802,1.8836825,0.45418355,0.05960794054747544,1.0,0.5125
MRPS21,1.8812734,0.21731839,0.05993474497431971,1.0,0.95
SP3,1.87855,0.6191405,0.06030596389711986,1.0,0.35
GALNT11,1.8777819,0.5845796,0.06041101061523127,1.0,0.4625
TMSB10,1.8742905,0.07671247,0.06089040901227549,1.0,1.0
UBE2T,1.8739064,0.56582695,0.060943334722751305,1.0,0.35
USP48,1.8694024,0.39042714,0.06156685783678711,1.0,0.7
NXPE3,1.8630828,0.71149576,0.06245061896651362,1.0,0.3375
SELENOH,1.862175,0.28456646,0.06257842576376986,1.0,0.8625
TRAPPC1,1.8595564,0.16693793,0.0629483116488171,1.0,0.875
ATP5MF,1.8504088,0.2747103,0.0642546575590777,1.0,0.9625
TOR1AIP2,1.8481044,0.42806354,0.06458724295396803,1.0,0.55
SNX17,1.8419245,0.43064526,0.06548619593579208,1.0,0.5625
SHLD2,1.8397946,1.0341862,0.06579838488580174,1.0,0.25
AKR1A1,1.838014,0.44417536,0.06606033592791904,1.0,0.575
TUBA1B,1.8364428,0.31079566,0.06629218227051362,1.0,0.9
NR2F1,1.8348368,0.3136657,0.06652987318380774,1.0,0.7875
ARL6IP1,1.8258986,0.497057,0.06786553017154104,1.0,0.525
ZKSCAN1,1.8252352,0.33895668,0.06796553395102503,1.0,0.6625
ECHS1,1.8234197,0.38856518,0.0682398483709865,1.0,0.6625
MAGT1,1.8186015,0.47113818,0.06897225250454843,1.0,0.5125
ARHGAP5,1.8173445,0.47426108,0.06916437294506145,1.0,0.45
FBXL15,1.8154941,0.7119522,0.06944801668264694,1.0,0.325
VRK1,1.8070447,1.1383661,0.07075530779473761,1.0,0.225
DEK,1.8067654,0.305496,0.07079886629749628,1.0,0.7875
DCAF10,1.7963609,0.5767446,0.0724371510912999,1.0,0.4
SRP14,1.7904952,0.116969354,0.07337434621569905,1.0,0.9875
NDUFB10,1.7808588,0.19426191,0.07493553774920222,1.0,0.875
HAND2,1.7805445,0.9750932,0.07498689940219612,1.0,0.2375
C1orf35,1.7776815,0.5650798,0.07545618655034836,1.0,0.375
CARD8,1.776599,0.31863958,0.07563422327284589,1.0,0.8125
DKC1,1.7752025,0.44870064,0.07586445449118982,1.0,0.575
MRPL19,1.771711,0.3617046,0.07644253497987759,1.0,0.6
ADTRP,1.7627031,0.4373556,0.07795058496660395,1.0,0.4625
MAF1,1.7617953,0.44132572,0.07810389341032312,1.0,0.5625
VAMP5,1.7606431,0.18557526,0.07829883061674865,1.0,1.0
RAC1,1.7603987,0.13207309,0.0783402318044793,1.0,0.9625
VHL,1.7517748,0.8674477,0.07981254614014152,1.0,0.2625
UBXN4,1.7412305,0.2698637,0.0816431791510526,1.0,0.8375
TIMP2,1.7411956,0.3621468,0.08164929696507231,1.0,0.675
NCOA3,1.7362028,0.36538094,0.0825279811815599,1.0,0.575
TPD52L2,1.735679,0.42599294,0.08262059339744492,1.0,0.4875
FAM43A,1.735679,0.34451106,0.08262059339744492,1.0,0.7125
SERPINB1,1.7337239,0.27172425,0.082967090245412,1.0,0.725
CCNDBP1,1.725484,0.5616409,0.08444028537124483,1.0,0.4
NOL9,1.7219925,0.73113614,0.08507087210137168,1.0,0.2875
CTTN,1.7151842,0.39759243,0.08631146749050066,1.0,0.675
STIP1,1.7145208,0.3615757,0.08643312330030792,1.0,0.65
LAMTOR4,1.7129846,0.21322922,0.08671538426449181,1.0,0.825
ACTB,1.7085154,0.07146395,0.08754074075702055,1.0,1.0
PSMC3IP,1.7069792,1.873306,0.08782591650751416,1.0,0.15
CD2AP,1.7042907,0.46976107,0.08832677666881106,1.0,0.4125
TMEM14B,1.7026149,0.2888643,0.08864016458782348,1.0,0.725
MORF4L1,1.70052,0.20520893,0.0890331589859051,1.0,0.9875
TOP2A,1.6991583,1.1802773,0.08928935722787953,1.0,0.2375
NOTCH4,1.6974126,0.5126796,0.08961868476843558,1.0,0.45
ABI1,1.6945845,0.5614878,0.09015427028374631,1.0,0.3625
POLE3,1.6945496,0.578792,0.09016089851235898,1.0,0.4
GSPT1,1.693188,0.2281833,0.09041970546914972,1.0,0.7875
TRAPPC12,1.6873223,0.9118057,0.09154140679013702,1.0,0.275
DDHD1,1.6866589,0.62218654,0.09166896678077548,1.0,0.325
EIF3L,1.6830627,0.3547859,0.09236296431860566,1.0,0.6625
RC3H2,1.6827135,0.5905776,0.09243056684001617,1.0,0.3625
PFN1,1.6782445,0.13384047,0.0932993932331564,1.0,1.0
ENDOD1,1.6781397,0.57725555,0.09331983467551008,1.0,0.3875
MCFD2,1.6752417,0.24894325,0.09388680767128096,1.0,0.8375
SF3B5,1.6744038,0.25056475,0.09405126555705541,1.0,0.825
PTMS,1.6673859,0.14733222,0.09543768540235509,1.0,1.0
TMEM160,1.666583,0.4208269,0.09559736863045001,1.0,0.6
GMCL1,1.6642436,0.58445233,0.09606375231614599,1.0,0.3625
RYK,1.6613457,0.44158825,0.0966440344844942,1.0,0.4875
