names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
NUTM2A-AS1,3.2694042,0.6606143,0.001077742544991313,1.0,0.5943396226415094
MIR99AHG,2.959374,0.7160398,0.003082648325972863,1.0,0.49056603773584906
KPNA4,2.796748,0.45298842,0.005161977877957242,1.0,0.6981132075471698
MGAT4A,2.7852485,0.49030155,0.005348670138651916,1.0,0.6509433962264151
SMARCD1,2.7098064,0.50753146,0.006732249562201805,1.0,0.6698113207547169
WASF2,2.6604497,0.40343976,0.007803638480167535,1.0,0.7075471698113207
TAPBP,2.633759,0.44837007,0.008444541641988445,1.0,0.7547169811320755
PDIA5,2.6285841,0.7377641,0.00857411236804712,1.0,0.4339622641509434
TXN2,2.614089,0.4669788,0.008946575472813316,1.0,0.6509433962264151
MRPL34,2.585189,0.45077124,0.00973256144894997,1.0,0.6320754716981132
BCAT1,2.5772,0.42954156,0.009960430294810536,1.0,0.6698113207547169
HK1,2.5663059,0.546098,0.010278816125265993,1.0,0.5094339622641509
ZMAT2,2.525604,0.4632498,0.011549960886696744,1.0,0.5943396226415094
NUDT14,2.5231225,0.6315771,0.011631787656889749,1.0,0.44339622641509435
GSDME,2.5091417,0.74588794,0.012102495068293615,1.0,0.3867924528301887
UBE3C,2.5022721,0.6097719,0.012339899567455704,1.0,0.46226415094339623
CHMP4A,2.4918017,0.60838187,0.012709696676685804,1.0,0.4716981132075472
APLN,2.4915898,0.34995756,0.012717278280923028,1.0,0.8867924528301887
RNASEK,2.4900465,0.22720715,0.012772636608598363,1.0,1.0
IGFBP7,2.4730093,0.28819594,0.01339806715979417,1.0,0.9622641509433962
SELENOS,2.450646,0.3614323,0.014260014753157673,1.0,0.7452830188679245
CD63,2.4460764,0.17768969,0.014442038400827287,1.0,0.9905660377358491
PCAT19,2.431127,0.36628592,0.015051929763889369,1.0,0.7264150943396226
PSMB6,2.4261944,0.26617128,0.015258088620135042,1.0,0.8018867924528302
MRPL27,2.4170556,0.37118432,0.01564662961232294,1.0,0.6698113207547169
MRPL41,2.4111545,0.2707105,0.01590210949452394,1.0,0.9150943396226415
SQSTM1,2.3876412,0.30150384,0.01695688525648128,1.0,0.8113207547169812
PLOD2,2.3859465,0.3683026,0.017035224469774474,1.0,0.7830188679245284
BRD7,2.3844638,0.38829142,0.017104031607196528,1.0,0.7735849056603774
APBA2,2.3509037,1.0475196,0.01872788245833511,1.0,0.2641509433962264
PRKAG2,2.3421884,0.5542443,0.019171039577168505,1.0,0.4716981132075472
MDK,2.3241222,0.23401983,0.02011894957995901,1.0,0.9622641509433962
SNHG4,2.281302,0.8966557,0.0225305858751874,1.0,0.27358490566037735
AKIRIN1,2.274947,0.46736887,0.022909109192745764,1.0,0.5471698113207547
FLNB,2.260724,0.30841467,0.023776350519034036,1.0,0.8867924528301887
HLA-E,2.2503443,0.21793981,0.02442709706227906,1.0,0.9433962264150944
HAUS1,2.2488918,0.58865607,0.02451938370096434,1.0,0.41509433962264153
CCNY,2.2486496,0.40458032,0.024534794143310397,1.0,0.5566037735849056
MRPS6,2.24753,0.5269644,0.024606176651229685,1.0,0.4528301886792453
C7orf61,2.2391171,0.8607395,0.025148287896150746,1.0,0.32075471698113206
UTRN,2.238058,0.34215692,0.025217266716777657,1.0,0.7452830188679245
NAF1,2.2345176,1.4231719,0.025449043120468237,1.0,0.20754716981132076
SMURF2,2.229494,0.26208127,0.025781050015674344,1.0,0.8490566037735849
IPO8,2.201502,0.8265056,0.027700500359311563,1.0,0.32075471698113206
ROBO4,2.1909409,0.34830493,0.028456079164855895,1.0,0.7264150943396226
ILK,2.1901238,0.4091876,0.02851526663628704,1.0,0.5849056603773585
RALBP1,2.185524,0.29314303,0.028850452762029435,1.0,0.8018867924528302
CTNNB1,2.1753259,0.39284563,0.029605712395005195,1.0,0.5943396226415094
EMP1,2.1722996,0.31333953,0.029833071208619916,1.0,0.7547169811320755
MYH9,2.1592267,0.29064736,0.03083259165229034,1.0,0.7924528301886793
RBM19,2.1545966,1.1614504,0.03119341772445968,1.0,0.2358490566037736
MTRF1L,2.1514797,0.6127889,0.03143836245361026,1.0,0.3867924528301887
UFD1,2.1512072,0.48038718,0.03145984356328585,1.0,0.5094339622641509
HMGCR,2.1408274,0.39919886,0.03228794854746759,1.0,0.6132075471698113
LASP1,2.1315978,0.56042165,0.033039929395914956,1.0,0.41509433962264153
BPTF,2.1219745,0.3349998,0.0338398751926154,1.0,0.7169811320754716
PPP3CA,2.093226,0.37897027,0.03632898315717596,1.0,0.6132075471698113
CUL5,2.088929,0.38994443,0.03671412660852045,1.0,0.5283018867924528
