names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
NDUFB6,3.208007,0.4919315,0.0013365814677003462,1.0,0.647887323943662
RPL21,3.068131,0.11958032,0.0021540223767601775,1.0,1.0
CCT7,2.6685178,0.32346037,0.007618673695556658,1.0,0.7464788732394366
H1FX,2.6571808,0.46170616,0.007879718901809152,1.0,0.6056338028169014
ZC3H13,2.6536884,0.38380376,0.0079617316432531,1.0,0.6619718309859155
SNRPB,2.6432896,0.22481234,0.008210479491403317,1.0,0.9084507042253521
MPHOSPH10,2.6227264,0.79825854,0.00872292966184794,1.0,0.352112676056338
VOPP1,2.6198335,0.5118249,0.008797271664845003,1.0,0.5
PAFAH1B1,2.5905395,0.43323985,0.009582563775594388,1.0,0.5845070422535211
NKAP,2.5317168,0.46300998,0.011350560429083886,1.0,0.5140845070422535
CUX1,2.5264,0.4209163,0.011523813947887098,1.0,0.5422535211267606
PARP1,2.5077918,0.36543176,0.012148826719665187,1.0,0.6619718309859155
TMEM30A,2.494526,0.29546598,0.01261254948353336,1.0,0.8661971830985915
DKC1,2.4844398,0.4978253,0.012975541987251466,1.0,0.5070422535211268
PSMD3,2.4737282,0.68983495,0.01337113541051994,1.0,0.38028169014084506
TRAPPC3,2.4453726,0.36467606,0.0144702603206841,1.0,0.647887323943662
RORA,2.442636,0.743925,0.014580436601985745,1.0,0.3591549295774648
EIF5A,2.4349475,0.20037457,0.014893947137306528,1.0,0.9507042253521126
DDX5,2.4173815,0.16630346,0.015632618924825144,1.0,0.971830985915493
ATP5MD,2.410423,0.18669407,0.01593403582333105,1.0,0.9788732394366197
RPL22L1,2.3784184,0.13623534,0.017387081169674277,1.0,0.9859154929577465
ZNF622,2.3708866,0.643171,0.01774548075894084,1.0,0.3380281690140845
BMS1,2.366534,0.47890565,0.017955521463464266,1.0,0.44366197183098594
SREK1,2.3181102,0.4824233,0.02044332522632749,1.0,0.49295774647887325
PTMA,2.29786,0.053447224,0.021569762018073545,1.0,1.0
STK17A,2.2797465,0.31374168,0.022622718938100604,1.0,0.7394366197183099
RPAP3,2.2597308,0.7207662,0.023837962936265656,1.0,0.352112676056338
UTP14A,2.237682,0.69924945,0.025241792556566722,1.0,0.3028169014084507
PRKAR2B,2.2084663,0.29323125,0.027211785489515868,1.0,0.6690140845070423
IER3,2.1739597,0.3625561,0.029708153272001023,1.0,0.6549295774647887
POLR2E,2.1725523,0.39800546,0.029814017913785944,1.0,0.5422535211267606
EBNA1BP2,2.1691644,0.3047461,0.030070208384597036,1.0,0.6408450704225352
RPS21,2.1638997,0.07605144,0.030472042535856114,1.0,1.0
SMS,2.1411734,0.22183518,0.03226005289105426,1.0,0.852112676056338
DHCR7,2.113365,0.41088128,0.03456953995429194,1.0,0.5140845070422535
OTUB1,2.0919938,0.43379804,0.036439060105482146,1.0,0.4788732394366197
FADS2,2.0773468,0.19305114,0.03776955262240365,1.0,0.795774647887324
PYURF,2.0767474,0.23351279,0.03782487236300331,1.0,0.795774647887324
ELP4,2.0460722,1.0328531,0.04074927159906343,1.0,0.21830985915492956
YIPF3,2.045603,0.37553203,0.04079544223982014,1.0,0.5211267605633803
TCF15,2.0360904,0.3362298,0.04174128826264868,1.0,0.6056338028169014
CDC42EP2,2.030513,0.6417127,0.042304423816989366,1.0,0.352112676056338
RFK,2.024623,0.3696051,0.04290610138530208,1.0,0.5985915492957746
LEPROT,2.0112529,0.26631492,0.044298746354743755,1.0,0.6971830985915493
KYAT3,2.0038774,0.7660511,0.045083204301222764,1.0,0.2887323943661972
ERH,2.003721,0.19955777,0.045099961904323825,1.0,0.852112676056338
MRPL20,1.9979873,0.2685911,0.04571804393803228,1.0,0.852112676056338
PDAP1,1.9931136,0.23522262,0.04624901042929226,1.0,0.795774647887324
DSTN,1.9923056,0.09656906,0.04633753140476989,1.0,1.0
MRPS15,1.9916801,0.22955419,0.046406161700941695,1.0,0.795774647887324
SAT1,1.9856858,0.2848112,0.04706821877545966,1.0,0.6690140845070423
SENP6,1.9833142,0.3430276,0.047332347911977685,1.0,0.528169014084507
PITPNB,1.9797436,0.39730725,0.04773234295654604,1.0,0.5352112676056338
DDX46,1.9734626,0.3311867,0.0484428791019189,1.0,0.6126760563380281
SMIM30,1.9721334,0.4034261,0.04859437489784891,1.0,0.4788732394366197
CALD1,1.9575386,0.17457932,0.0502841825405824,1.0,0.9507042253521126
DNAJC8,1.9555578,0.22401707,0.05051726480344419,1.0,0.823943661971831
RPL5,1.9445856,0.052419465,0.05182487322054446,1.0,1.0
MPP6,1.93132,0.88729686,0.05344350397320777,1.0,0.23943661971830985
CCDC90B,1.9231102,0.43047944,0.05446620178746439,1.0,0.45774647887323944
NMD3,1.9099227,0.64677,0.056143159128535965,1.0,0.31690140845070425
PPAT,1.9041369,0.61500275,0.05689235294177574,1.0,0.3028169014084507
DDAH2,1.901661,0.39244124,0.057215485740381045,1.0,0.49295774647887325
RRM2B,1.8986118,0.26412436,0.05761554548713762,1.0,0.6971830985915493
RBFA,1.8912622,0.44852567,0.0585893571900438,1.0,0.4154929577464789
ATP5ME,1.8866491,0.10017572,0.05920753328424123,1.0,0.971830985915493
TTC32,1.8802899,0.57304037,0.06006857404144881,1.0,0.3380281690140845
COL5A2,1.8767455,0.3123519,0.06055298803622978,1.0,0.6549295774647887
NDUFB9,1.8700475,0.15231213,0.06147722795940769,1.0,0.8802816901408451
TMEM160,1.8693959,0.27074677,0.06156775461652076,1.0,0.6056338028169014
ATP5PD,1.8663727,0.2012933,0.06198924347901125,1.0,0.8380281690140845
ATP6V0E1,1.8605869,0.23308934,0.06280254384237144,1.0,0.823943661971831
MCTS1,1.8555307,0.29683325,0.06352047061893626,1.0,0.6619718309859155
GAR1,1.8450277,0.4802856,0.06503351522106023,1.0,0.3873239436619718
UBL5,1.8441415,0.16754808,0.0651625152332643,1.0,0.9929577464788732
QSOX1,1.8420826,0.28023243,0.06546306557724318,1.0,0.647887323943662
RPLP2,1.8240476,0.06689935,0.06814488903835565,1.0,1.0
SND1,1.8158901,0.39155254,0.06938724461276279,1.0,0.4788732394366197
SCRN1,1.8127365,0.39240703,0.06987247474520837,1.0,0.4507042253521127
H2AFJ,1.8037971,0.20913449,0.07126311796155034,1.0,0.704225352112676
MFSD10,1.8018686,0.42992574,0.07156609603453573,1.0,0.4225352112676056
RPL34,1.7991059,0.043871723,0.0720019297509246,1.0,1.0
GLUD1,1.7976725,0.3001967,0.07222892511683376,1.0,0.5633802816901409
CCDC18-AS1,1.79749,0.66678756,0.07225785742864677,1.0,0.2746478873239437
TUBB,1.795379,0.17208461,0.07259333635594817,1.0,0.8732394366197183
SNHG25,1.7889416,0.26784492,0.07362421930475233,1.0,0.5985915492957746
RER1,1.762332,0.21494412,0.07801321783115633,1.0,0.6971830985915493
MDM2,1.7621496,0.2735455,0.07804402852735234,1.0,0.6408450704225352
RAB5C,1.7589178,0.23192908,0.07859146206665953,1.0,0.7183098591549296
ZFP91,1.7581881,0.2971309,0.07871550755374095,1.0,0.6126760563380281
NTHL1,1.752298,0.40909022,0.07972257408165107,1.0,0.4225352112676056
THOC2,1.7484148,0.4114291,0.08039223528745156,1.0,0.47183098591549294
SPG7,1.7472941,0.3651817,0.08058634058223796,1.0,0.4295774647887324
S100A6,1.7459388,0.05223475,0.08082158085430269,1.0,1.0
PSMB1,1.7382244,0.19683696,0.0821712818896946,1.0,0.8309859154929577
ERGIC3,1.7350969,0.19946736,0.08272363940578967,1.0,0.8591549295774648
HDGFL3,1.7323344,0.2799382,0.08321405484867397,1.0,0.5985915492957746
TMEM14B,1.7319955,0.27690312,0.08327436194562499,1.0,0.7253521126760564
BUD31,1.7308748,0.25974724,0.08347409153826857,1.0,0.6267605633802817
S100A10,1.7157848,0.08459776,0.08620144349856215,1.0,1.0
DNAJA4,1.70291,1.1573398,0.08858491335350478,1.0,0.1619718309859155
SLC25A6,1.701633,0.15560386,0.08882419814056498,1.0,0.9929577464788732
RPSA,1.7012942,0.060629103,0.08888776920157006,1.0,1.0
JPT1,1.6954823,0.13813119,0.0899839761548462,1.0,0.9436619718309859
IFT52,1.6911298,0.4942673,0.09081200722793349,1.0,0.31690140845070425
SF3B1,1.6904001,0.26020548,0.09095143678867527,1.0,0.6197183098591549
HECTD1,1.6892794,0.250395,0.09116589589656833,1.0,0.5985915492957746
MRGBP,1.6813564,0.43776613,0.09269369317417692,1.0,0.4084507042253521
RDX,1.677812,0.19932611,0.09338380406049401,1.0,0.8169014084507042
NCOR1,1.6710619,0.26315346,0.0947094564900481,1.0,0.5492957746478874
VDAC3,1.6690551,0.17462145,0.09510646437042743,1.0,0.6338028169014085
DARS,1.6657451,0.26032358,0.09576418112847994,1.0,0.5633802816901409
FGD5-AS1,1.6650937,0.36624405,0.09589408088526871,1.0,0.4225352112676056
NIFK,1.6587083,0.34317005,0.09717457567403683,1.0,0.528169014084507
MSI2,1.654356,0.3772736,0.09805521123545695,1.0,0.4295774647887324
PSMB4,1.6542778,0.22098698,0.09807108913582929,1.0,0.6971830985915493
