names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
RPL31,3.2624652,0.20203318,0.001104477471456566,1.0,1.0
MAN1A2,3.1278684,0.63301533,0.001760789390616605,1.0,0.6041666666666666
TNPO1,2.7943528,0.37363216,0.005200372851885862,1.0,0.78125
LAGE3,2.7375095,0.56285036,0.006190632333104516,1.0,0.59375
RDX,2.6383681,0.36026114,0.008330606696791394,1.0,0.8020833333333334
ACER3,2.6049817,0.5953876,0.00918791816264264,1.0,0.5104166666666666
CTNNBL1,2.6048543,0.676468,0.009191332628875228,1.0,0.5208333333333334
ATP6V0B,2.446451,0.41348916,0.0144270393083186,1.0,0.71875
PPA1,2.4200664,0.27259493,0.015517673440113205,1.0,0.9166666666666666
BST2,2.4152286,0.24438305,0.0157253332311332,1.0,0.9375
COPS6,2.4071765,0.36134067,0.016076401004712956,1.0,0.84375
DHRS7,2.4058716,0.5710538,0.016133937489282053,1.0,0.5
PLA2G12A,2.3961642,0.77092177,0.01656766335970102,1.0,0.3958333333333333
PRPF8,2.3841336,0.4759796,0.01711938425323577,1.0,0.5625
GNG11,2.369366,0.23241173,0.017818616380361394,1.0,0.9583333333333334
ARID1B,2.3173923,0.5383242,0.020482372316379477,1.0,0.5208333333333334
RAD21,2.3135731,0.4313224,0.020691154204105642,1.0,0.6979166666666666
PRPF38B,2.3091173,0.513606,0.0209370759850337,1.0,0.5729166666666666
ANXA7,2.2983596,0.5203655,0.0215413252945026,1.0,0.53125
KXD1,2.283942,0.48961186,0.022374937628313114,1.0,0.5520833333333334
BASP1,2.278054,0.29057693,0.022723358645370416,1.0,0.90625
PFDN4,2.2761445,0.36063796,0.022837367995030434,1.0,0.6875
PNRC2,2.2338462,0.5548205,0.025493192071906257,1.0,0.5520833333333334
PIR,2.2235343,0.28339165,0.02617979535283008,1.0,0.8229166666666666
RAD23B,2.2053928,0.43201077,0.027426540016054535,1.0,0.5833333333333334
MTPN,2.1657999,0.23841318,0.03032647556563301,1.0,0.9375
GALE,2.135055,0.85034794,0.03275651567691218,1.0,0.3229166666666667
SET,2.1261435,0.15512829,0.03349131721647772,1.0,0.9791666666666666
COA4,2.106506,0.35848776,0.035160409609931886,1.0,0.7291666666666666
SLC2A3,2.1010954,0.97864217,0.035632579708860274,1.0,0.2916666666666667
CTBS,2.099186,0.8336555,0.03580051440893864,1.0,0.3229166666666667
ABCF1,2.0855958,0.425287,0.03701525517601879,1.0,0.625
EEF1G,2.0835907,0.07889089,0.03719741720143874,1.0,0.9791666666666666
CLCN3,2.081299,0.25040558,0.0374065363509495,1.0,0.8229166666666666
MEIS2,2.072674,0.5105267,0.03820263111231796,1.0,0.5
EBPL,2.0605798,0.40036553,0.03934315574159092,1.0,0.6458333333333334
RBX1,2.0581608,0.24340856,0.03957469672095007,1.0,0.9166666666666666
CDC42EP3,2.0568879,0.42650327,0.03969702426667243,1.0,0.53125
ZC3H13,2.0483582,0.38190976,0.04052492393134655,1.0,0.6666666666666666
AGPS,2.0461938,0.6083285,0.04073730126044535,1.0,0.40625
RAD54L2,2.039192,0.94981086,0.041430878499328076,1.0,0.2604166666666667
THRAP3,2.037346,0.3181537,0.04161538764831845,1.0,0.7291666666666666
TRIAP1,2.0346406,0.5000161,0.04188704555389632,1.0,0.4895833333333333
RAPGEF2,2.033686,0.98997736,0.04198328248349628,1.0,0.2708333333333333
RSL24D1,2.0230875,0.2789455,0.04306413634515417,1.0,0.875
TUFM,2.0188863,0.26966438,0.043499044994459654,1.0,0.8333333333333334
PSMA5,2.0179315,0.34836295,0.04359840364935757,1.0,0.6875
BOD1,2.0150988,0.5304155,0.043894296224185406,1.0,0.4479166666666667
BABAM1,2.0088608,0.5319119,0.044551907508183025,1.0,0.4895833333333333
RARS,2.0059326,0.3997182,0.04486343720163955,1.0,0.5520833333333334
PFDN1,2.0021453,0.4455379,0.045269117336535714,1.0,0.5416666666666666
SEPTIN7,1.9951115,0.2559949,0.04603072915436686,1.0,0.90625
GALNT1,1.9939975,0.19879489,0.046152330761252636,1.0,0.9479166666666666
GPX3,1.9929154,0.8361803,0.04627071695673875,1.0,0.3125
ARL6IP4,1.990974,0.23144096,0.046483756611292865,1.0,0.9375
STAT5B,1.9870273,0.98623073,0.0469193666481416,1.0,0.2604166666666667
TLK2,1.9766835,0.7772119,0.048077411530232775,1.0,0.3125
CALD1,1.9725142,0.26246563,0.04855093654936177,1.0,0.96875
PRKDC,1.9563142,0.22453162,0.05042814927205843,1.0,0.9270833333333334
ZNRF1,1.94788,0.5433889,0.05142931689488601,1.0,0.4375
DRAP1,1.9446656,0.21749882,0.05181524786608376,1.0,0.8854166666666666
IL6ST,1.9428833,0.33030936,0.052030271588411066,1.0,0.8645833333333334
COPB2,1.937759,0.43259412,0.052652626196745454,1.0,0.6041666666666666
PLAAT3,1.9361677,0.41432258,0.052847165736686144,1.0,0.5104166666666666
RERE,1.9309162,0.49137804,0.053493412908455974,1.0,0.4479166666666667
HADHA,1.9147799,0.23022291,0.055520578039229634,1.0,0.875
TAF9,1.911088,0.45122564,0.05599327724874346,1.0,0.5104166666666666
GRK6,1.9108652,0.98664135,0.05602190910955087,1.0,0.2708333333333333
MIR100HG,1.9069186,0.57534844,0.05653112640233064,1.0,0.4583333333333333
DPYSL2,1.8918962,0.22089031,0.05850480599473683,1.0,0.8854166666666666
GDI2,1.8837804,0.23371728,0.05959469327113994,1.0,0.8229166666666666
ATP2B4,1.8826345,0.4306371,0.05974990801474087,1.0,0.5104166666666666
GLRX,1.8815843,0.40793815,0.05989248262219148,1.0,0.5104166666666666
ATP5F1B,1.8810114,0.20031002,0.05997036943930396,1.0,0.9270833333333334
CCBE1,1.8778605,0.41888314,0.060400249757003185,1.0,0.5520833333333334
ADD3,1.8738822,0.6246796,0.06094667334806892,1.0,0.375
AAGAB,1.8661481,0.738598,0.06202064087978586,1.0,0.2916666666666667
SPG21,1.8618833,0.33737487,0.06261953811821593,1.0,0.5729166666666666
ALYREF,1.8591781,0.42232758,0.0630019087967122,1.0,0.5
GTF3A,1.8530991,0.23767741,0.0638681624285844,1.0,0.78125
ARHGEF3,1.8491843,0.6065134,0.06443120138225768,1.0,0.3958333333333333
USP48,1.8432963,0.34485206,0.06528575848795204,1.0,0.6770833333333334
NR2F6,1.8414822,0.56525147,0.06555093036699472,1.0,0.4479166666666667
OLA1,1.841323,0.31124604,0.06557423336031684,1.0,0.6875
DNAJC2,1.8376629,0.54689175,0.0661120899314359,1.0,0.3854166666666667
RRP1B,1.8317431,0.60854536,0.06698970514864347,1.0,0.3958333333333333
MTDH,1.8280194,0.102622874,0.06754665118812539,1.0,0.9270833333333334
NUP50,1.8259188,0.7408499,0.0678625029308794,1.0,0.3229166666666667
TIAL1,1.8182166,0.49630618,0.06903103530540643,1.0,0.4791666666666667
GUK1,1.8167526,0.17664206,0.06925501204660481,1.0,0.9583333333333334
SMAD4,1.8116602,0.58124655,0.07003871462470429,1.0,0.375
ANAPC10,1.8108327,0.73096645,0.07016675112933406,1.0,0.3020833333333333
IFITM3,1.808382,0.09122456,0.07054706324146788,1.0,0.9791666666666666
MZT2B,1.7963196,0.16700159,0.0724437073106124,1.0,0.9270833333333334
XRCC5,1.7959695,0.21490946,0.07249937241187861,1.0,0.90625
RBM39,1.7895086,0.30617467,0.07353294737750417,1.0,0.875
MRPS12,1.7866441,0.37668967,0.07399502254377645,1.0,0.5729166666666666
ASB9,1.7862941,0.6915793,0.07405166082266174,1.0,0.3229166666666667
SEPTIN11,1.7809789,0.31085753,0.07491589391428109,1.0,0.7604166666666666
TRIP12,1.7803742,0.37533855,0.07501473962749172,1.0,0.5729166666666666
MRPS16,1.7750591,0.31072405,0.07588813103195216,1.0,0.65625
TIMMDC1,1.7727994,0.3923027,0.07626195819763489,1.0,0.4895833333333333
PLS3,1.7691393,0.28890175,0.07687063830634185,1.0,0.7708333333333334
TSPO,1.754276,0.16190541,0.07938322337819627,1.0,1.0
MZT2A,1.746383,0.28513074,0.0807444386766531,1.0,0.6979166666666666
MRPS9,1.7446324,0.8194122,0.08104887460203794,1.0,0.3333333333333333
NUMB,1.7423728,0.33475772,0.08144325085877287,1.0,0.59375
ING4,1.7135692,1.1667491,0.08660787433343009,1.0,0.22916666666666666
MRPL36,1.7113094,0.32511154,0.08702399768374847,1.0,0.5833333333333334
YBX3,1.7085406,0.17701003,0.08753609397037979,1.0,1.0
EIF2AK2,1.6946002,0.31014287,0.09015127614294896,1.0,0.5416666666666666
RABAC1,1.6884576,0.13291846,0.0913234129548165,1.0,0.9166666666666666
EXOC1,1.686548,0.48275402,0.09169029398422662,1.0,0.46875
YWHAE,1.6836518,0.09733678,0.09224898971676954,1.0,0.9895833333333334
SNCG,1.6829834,0.20797615,0.09237830702427352,1.0,0.7083333333333334
KDELR2,1.681774,0.20348825,0.09261267981140692,1.0,0.8020833333333334
UQCRH,1.6807555,0.061555848,0.09281041646761898,1.0,0.9583333333333334
RPS5,1.6800234,0.08068538,0.09295274892005162,1.0,1.0
TCOF1,1.6727669,0.50366193,0.09437319306062467,1.0,0.375
FADS3,1.6643009,0.47316614,0.09605231223345775,1.0,0.46875
PGRMC2,1.6633142,0.36630553,0.09624954510655154,1.0,0.46875
MBD2,1.6608318,0.4520591,0.0967472421897892,1.0,0.4895833333333333
