names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
ICAM2,3.2640934,0.42202494,0.001098149799285558,1.0,0.9146341463414634
SELENOW,3.0625572,0.23950073,0.00219454568464122,1.0,1.0
STARD4,2.8490562,0.643811,0.004384911279075058,1.0,0.5975609756097561
KLF6,2.69793,0.5603491,0.0069772096302799114,1.0,0.7073170731707317
PIK3C2A,2.65714,0.52773285,0.007880668384125267,1.0,0.6951219512195121
PTPRE,2.6484168,0.46992022,0.008086979053424415,1.0,0.7195121951219512
OST4,2.6358314,0.24168918,0.008393142226120717,1.0,1.0
UTRN,2.6288664,0.4934322,0.008567000480356402,1.0,0.7195121951219512
CPD,2.5990756,0.48696882,0.009347518051290145,1.0,0.6951219512195121
ANXA6,2.5703192,0.5051449,0.010160484478839197,1.0,0.6463414634146342
SRRM2,2.5683882,0.3446921,0.010217262779740407,1.0,0.9024390243902439
G6PC3,2.5624232,0.6503824,0.010394455415309282,1.0,0.524390243902439
SYNJ2,2.5530102,0.53189725,0.010679636929287065,1.0,0.6463414634146342
PLAT,2.5420456,0.35777387,0.011020581813306868,1.0,0.975609756097561
GNS,2.5179439,0.508102,0.011804210929687536,1.0,0.6707317073170732
EMC2,2.4336057,0.6172315,0.01494927391227046,1.0,0.524390243902439
RALGDS,2.4284337,1.0265698,0.015164202039468243,1.0,0.34146341463414637
CD99,2.417469,0.1396498,0.015628868773722614,1.0,1.0
MAZ,2.3984358,0.48342198,0.016465258029035586,1.0,0.6585365853658537
SRRD,2.3697484,1.0485592,0.01780019097034647,1.0,0.32926829268292684
PRSS23,2.3683348,0.22817989,0.017868359595797658,1.0,0.975609756097561
ATP6V0B,2.350026,0.41376615,0.018772107984456363,1.0,0.7439024390243902
RAB27B,2.348233,1.5098549,0.01886272400419163,1.0,0.25609756097560976
SNHG3,2.3133044,0.4342739,0.02070590190684525,1.0,0.6829268292682927
AP1G1,2.3122702,0.78375715,0.02076280194545845,1.0,0.4146341463414634
VDAC2,2.2984092,0.34370276,0.0215385146989286,1.0,0.8902439024390244
SYT1,2.2503095,0.63625497,0.02442931280496354,1.0,0.4878048780487805
PAFAH1B2,2.2478957,0.4242546,0.024582836677609923,1.0,0.7195121951219512
KIF2A,2.2469647,0.48925197,0.024642276035894018,1.0,0.573170731707317
PHPT1,2.2413445,0.19560584,0.02500376497528656,1.0,0.9512195121951219
PEA15,2.2375863,0.5206894,0.025248050734198856,1.0,0.5975609756097561
CDC42BPB,2.2368622,0.4644141,0.02529535155063603,1.0,0.6951219512195121
PIGP,2.2331727,0.7112439,0.02553755319938302,1.0,0.4146341463414634
ARPC5L,2.2227943,0.39826944,0.026229676303086716,1.0,0.7073170731707317
SF1,2.2195187,0.43085617,0.026451459808199247,1.0,0.6585365853658537
RABGAP1,2.2103124,0.66267526,0.027083484234554814,1.0,0.4268292682926829
ODF2L,2.192831,0.46963322,0.02831955382349732,1.0,0.6219512195121951
SNX3,2.191245,0.3008774,0.0284340701648252,1.0,0.9634146341463414
MALAT1,2.1888313,0.15249407,0.0286090995086024,1.0,1.0
PSMA2,2.1821423,0.33388266,0.029099038070172077,1.0,0.8902439024390244
FLOT1,2.1812801,0.44170702,0.02916269671117718,1.0,0.6463414634146342
ACTR10,2.176522,0.6304092,0.029516253207793757,1.0,0.4878048780487805
ITGB1,2.1573856,0.13012445,0.030975639547830707,1.0,1.0
UBXN2A,2.1545236,0.6398829,0.031199128688553353,1.0,0.4146341463414634
RAB3B,2.152903,0.48133963,0.031326295334715905,1.0,0.6097560975609756
TRIM37,2.146938,0.6521836,0.031798215014496235,1.0,0.45121951219512196
MYCBP2,2.1370077,0.43182492,0.03259735994688995,1.0,0.6097560975609756
DNAJB9,2.1286292,0.9398894,0.03328495882477739,1.0,0.2926829268292683
TMEM65,2.1280775,0.45166534,0.03333066511907872,1.0,0.6219512195121951
ATAD1,2.1251466,0.6418304,0.033574381271486944,1.0,0.43902439024390244
SDHB,2.1248019,0.50008136,0.03360315372533434,1.0,0.5487804878048781
GNB4,2.1208022,0.62470573,0.0339384583654194,1.0,0.4634146341463415
CMIP,2.113768,0.33727735,0.03453507218068823,1.0,0.7317073170731707
NF2,2.1102166,0.60801154,0.034839692394806575,1.0,0.4146341463414634
SPART,2.1087685,0.43689945,0.034964563414713115,1.0,0.6341463414634146
TRIML2,2.1077342,0.52940774,0.03505399077579441,1.0,0.4878048780487805
MED31,2.1025622,0.47793835,0.0355040619798258,1.0,0.524390243902439
FLT1,2.0919766,0.6150149,0.03644059529718449,1.0,0.43902439024390244
GLCE,2.0863564,0.5177131,0.03694634257304094,1.0,0.524390243902439
ROCK2,2.0750124,0.502209,0.037985372318965954,1.0,0.573170731707317
SLC33A1,2.0739436,0.8588716,0.03808454362502484,1.0,0.32926829268292684
CHCHD1,2.0665994,0.37840188,0.03877191759947048,1.0,0.6829268292682927
LPIN1,2.063772,0.4054047,0.03903933623991628,1.0,0.6219512195121951
TGFB1I1,2.0624273,0.35143685,0.039167071881213426,1.0,0.7439024390243902
PNPLA6,2.062186,0.62662697,0.039190036320518616,1.0,0.4024390243902439
CDK6,2.05529,0.5368332,0.039851009917533174,1.0,0.47560975609756095
B4GALT5,2.0538762,0.3678778,0.03998767148612503,1.0,0.7195121951219512
H2AFJ,2.0520833,0.36228994,0.0401615700668981,1.0,0.7926829268292683
BNIP3L,2.0488765,0.3867448,0.040474180535591354,1.0,0.6707317073170732
PAFAH1B1,2.0468423,0.41501316,0.04067357096495436,1.0,0.6341463414634146
PHAX,2.0460494,0.65189683,0.04075152467513728,1.0,0.3902439024390244
CD93,2.041291,0.32190725,0.04122191081670043,1.0,0.8902439024390244
MTG1,2.036188,0.6453273,0.041731486011799906,1.0,0.4024390243902439
HIGD2A,2.0310848,0.32949746,0.04224638368319161,1.0,0.8658536585365854
PDS5B,2.0257404,0.5776283,0.04279138644758688,1.0,0.47560975609756095
CALR,2.0256026,0.15882164,0.0428055293495504,1.0,0.975609756097561
CYHR1,2.0204995,0.5074418,0.0433316018043883,1.0,0.45121951219512196
KLF2,2.0179825,0.52315426,0.043593088719381244,1.0,0.5609756097560976
SPTBN1,2.0098107,0.2914644,0.04445123108761575,1.0,0.8536585365853658
KIN,2.0019493,0.874195,0.045290194674792436,1.0,0.3048780487804878
TOR1AIP2,1.9987081,0.40592992,0.04563994859148273,1.0,0.5975609756097561
NBL1,1.9971565,0.47188675,0.04580818785543336,1.0,0.5365853658536586
SPATA20,1.99195,0.6138917,0.04637654669057778,1.0,0.4024390243902439
IL32,1.9907087,0.35075682,0.046512922437616934,1.0,0.7560975609756098
SOBP,1.9896743,0.89465296,0.046626826607559055,1.0,0.3048780487804878
ARHGAP26,1.9892606,0.5793987,0.04667245396303925,1.0,0.4268292682926829
DNAJC3,1.9891571,0.48728502,0.04668386667137711,1.0,0.5121951219512195
LUC7L3,1.9877434,0.34692445,0.04684007587765017,1.0,0.7073170731707317
STX7,1.9832954,0.6122696,0.04733443497172947,1.0,0.4024390243902439
NASP,1.9792268,0.3530066,0.0477904746561067,1.0,0.7195121951219512
AP1S2,1.974641,0.27783728,0.04830890668254182,1.0,0.7804878048780488
BST2,1.9739513,0.14914371,0.048387273509446625,1.0,0.926829268292683
HEXA,1.9662278,0.56645525,0.04927230016707456,1.0,0.4634146341463415
CHCHD5,1.9629867,0.33894587,0.049647720487356696,1.0,0.7439024390243902
PLEK2,1.9580215,0.84725124,0.05022748329305741,1.0,0.3048780487804878
DUSP4,1.9497464,0.5584706,0.05120636106292083,1.0,0.43902439024390244
ZNF217,1.9456432,0.6497078,0.051697613957612784,1.0,0.3780487804878049
SBDS,1.9370232,0.36593688,0.05274251062009322,1.0,0.6707317073170732
STX8,1.9329201,0.43973163,0.053246048483245254,1.0,0.5
MEF2A,1.9324028,0.47141314,0.05330980370952657,1.0,0.5
BAD,1.9314029,0.44813716,0.05343324462570487,1.0,0.5609756097560976
ILF3,1.9308512,0.29666695,0.05350145208392079,1.0,0.7560975609756098
DDRGK1,1.9301271,0.43678474,0.05359108470110898,1.0,0.5609756097560976
REST,1.9297134,0.48321056,0.05364235961333433,1.0,0.5121951219512195
BUD31,1.9235759,0.36746895,0.05440775996342625,1.0,0.7682926829268293
KCTD12,1.9195417,0.33143273,0.054915806275968565,1.0,0.7926829268292683
FNDC3B,1.9186453,0.4021307,0.055029241017802724,1.0,0.6463414634146342
ABHD17A,1.916611,0.49816197,0.05528737536158354,1.0,0.524390243902439
KMT5A,1.912301,0.55664796,0.055837605192967675,1.0,0.4146341463414634
PIM3,1.9086115,1.16622,0.056312218241993735,1.0,0.24390243902439024
PECAM1,1.8992674,0.36761916,0.05752931863654929,1.0,0.8170731707317073
LPP,1.8964746,0.3257434,0.057897318973050865,1.0,0.8048780487804879
FOXC2,1.8946127,0.67456454,0.05814373781139646,1.0,0.34146341463414637
MICB,1.8906474,0.8117384,0.05867142340189332,1.0,0.3048780487804878
CUL3,1.8889924,0.46519247,0.05889284812986124,1.0,0.5121951219512195
CAVIN1,1.8791311,0.19753712,0.06022659689920077,1.0,0.9634146341463414
MIPOL1,1.8767865,0.79770046,0.060547370245146906,1.0,0.3780487804878049
TSPYL1,1.8725454,0.7030671,0.061131189334733736,1.0,0.35365853658536583
LRPPRC,1.8684077,0.38038307,0.06170525469938574,1.0,0.6219512195121951
CIR1,1.8673733,0.456048,0.061849466197081704,1.0,0.5
APP,1.8649253,0.20954986,0.062191878268791134,1.0,0.975609756097561
UBA6,1.8495471,0.518867,0.06437884532008614,1.0,0.45121951219512196
RAPGEF5,1.8484437,0.6056154,0.06453816853675425,1.0,0.4146341463414634
HDGFL3,1.8475817,0.37487763,0.0646628661005108,1.0,0.6463414634146342
COPS9,1.8387893,0.1669302,0.06594617331487942,1.0,0.9024390243902439
NACC2,1.8374791,0.9792889,0.06613919617698348,1.0,0.24390243902439024
C5orf24,1.8366171,0.3417702,0.06626643859335246,1.0,0.6585365853658537
GUK1,1.8344793,0.19261304,0.06658287023313363,1.0,0.975609756097561
FKBP1A,1.8256179,0.12412365,0.06790782788827496,1.0,1.0
FAM3A,1.8254801,0.79076517,0.06792861994099478,1.0,0.2926829268292683
METTL9,1.8216183,0.3578725,0.06851292639967797,1.0,0.7195121951219512
NECTIN2,1.82117,0.4439137,0.06858101447564509,1.0,0.5609756097560976
LIMA1,1.8192391,0.31839862,0.0688749530255654,1.0,0.7804878048780488
CTSZ,1.8122052,0.13120921,0.0699544951523417,1.0,0.975609756097561
PTPN11,1.810826,0.42315948,0.07016779017684846,1.0,0.6463414634146342
TRAPPC2L,1.8106881,0.42457032,0.07018914899935656,1.0,0.5487804878048781
MT-ND6,1.8096192,0.2692541,0.07035486082148572,1.0,0.8292682926829268
ADTRP,1.8087572,0.4497638,0.07048873307117913,1.0,0.45121951219512196
C12orf29,1.8065505,0.7247372,0.0708323984369547,1.0,0.3170731707317073
PAIP1,1.802999,0.45832616,0.07138836896839786,1.0,0.4878048780487805
LAMC1,1.7975512,0.25573274,0.07224816368480229,1.0,0.926829268292683
RIOK3,1.7973098,0.36324367,0.07228645116828863,1.0,0.573170731707317
SEC22B,1.7967926,0.4465096,0.07236855172290865,1.0,0.524390243902439
SNRK,1.7963098,0.31060958,0.07244524777450759,1.0,0.7439024390243902
SERPINE2,1.7935859,0.4273872,0.07287928078246139,1.0,0.5365853658536586
ADD3,1.7932067,0.5719682,0.07293988419347279,1.0,0.3902439024390244
BCAP29,1.7930688,0.28705153,0.07296193201931617,1.0,0.7073170731707317
PRUNE2,1.7924826,0.74995947,0.07305569612673471,1.0,0.3170731707317073
ATP5PD,1.7876898,0.18535106,0.07382605984150328,1.0,0.8292682926829268
RESF1,1.7872416,0.54045004,0.07389844661227804,1.0,0.4878048780487805
ANAPC5,1.7845867,0.35489097,0.07432838954443437,1.0,0.7073170731707317
C8orf82,1.7806214,0.6816797,0.07497431624572047,1.0,0.36585365853658536
FAR1,1.7765528,0.5025346,0.07564185077928905,1.0,0.4146341463414634
YWHAH,1.7740012,0.27056724,0.07606294326455251,1.0,0.8048780487804879
RPL36AL,1.7728289,0.20391847,0.0762570583409081,1.0,0.9878048780487805
CKS2,1.7709326,0.42809552,0.07657192331926072,1.0,0.5853658536585366
AGO3,1.770036,0.5674,0.07672113714777118,1.0,0.43902439024390244
SRGN,1.7682086,0.18183483,0.0770260379169466,1.0,0.9878048780487805
IFI27,1.7680362,0.16130804,0.07705485304612668,1.0,0.9878048780487805
PDPN,1.763209,1.0141546,0.07786524982020367,1.0,0.23170731707317074
IDI1,1.7611057,0.33956584,0.0782205155578461,1.0,0.7073170731707317
UBXN1,1.7564853,0.27048287,0.07900556905374881,1.0,0.7926829268292683
ANKH,1.7523477,0.7422854,0.07971403043973907,1.0,0.3048780487804878
NKIRAS2,1.7495204,0.5823977,0.08020110925174957,1.0,0.36585365853658536
SIN3B,1.7465895,0.6170798,0.08070855760975477,1.0,0.3780487804878049
UBE2H,1.7461413,0.33251712,0.08078639674168538,1.0,0.7439024390243902
TP53I11,1.7429347,0.51358193,0.0813450254232332,1.0,0.4146341463414634
AC025171.2,1.739797,1.9626149,0.08189467113371991,1.0,0.15853658536585366
FUBP3,1.7383488,0.675486,0.0821493678675972,1.0,0.34146341463414637
TSPAN6,1.7369696,0.57650024,0.08239253302634544,1.0,0.3780487804878049
EIF4G1,1.7367283,0.3033252,0.0824351468663942,1.0,0.7073170731707317
TNFRSF10A,1.7363145,0.62922174,0.0825082407334168,1.0,0.3780487804878049
OSTC,1.7349008,0.21514823,0.08275837461890224,1.0,0.8658536585365854
CD44,1.7322114,0.27885714,0.08323593572495687,1.0,0.8902439024390244
DHTKD1,1.7292806,0.80137146,0.083758894286575,1.0,0.2804878048780488
CCNY,1.7272463,0.3518242,0.08412345082676202,1.0,0.5609756097560976
PIN1,1.7252119,0.34203348,0.08448929059186659,1.0,0.6463414634146342
SUZ12,1.707765,0.36781356,0.08767996033003671,1.0,0.5365853658536586
CLIP1,1.7073857,0.3754718,0.08775038753166792,1.0,0.5975609756097561
OCIAD2,1.7069719,0.32277966,0.08782726923850018,1.0,0.6951219512195121
YPEL5,1.7054204,0.7040963,0.08811605962430369,1.0,0.35365853658536583
IQCK,1.7023171,1.2617549,0.08869593729750477,1.0,0.2073170731707317
SDHAF4,1.6929386,0.7542432,0.09046716800649991,1.0,0.2926829268292683
C18orf32,1.692111,0.31805918,0.09062480973035848,1.0,0.6707317073170732
EHD4,1.691249,0.29723275,0.0907892547539547,1.0,0.7073170731707317
NPC1,1.6911455,0.6022721,0.0908090042744425,1.0,0.3780487804878049
HTT,1.6907663,0.5394931,0.09088144874650757,1.0,0.34146341463414637
NFX1,1.6904215,0.85829,0.090947347683718,1.0,0.2682926829268293
LAMA4,1.6897664,0.2372625,0.0910726615262702,1.0,0.8414634146341463
DEGS1,1.6854908,0.40333903,0.09189391260861773,1.0,0.5365853658536586
MYL6,1.680043,0.10883253,0.09294895489721837,1.0,1.0
MPHOSPH10,1.6787328,0.5659494,0.09320414418259221,1.0,0.34146341463414637
UBL4A,1.6762502,0.7172017,0.093689202372365,1.0,0.2926829268292683
RGCC,1.6723194,0.84619486,0.09446135008773802,1.0,0.2926829268292683
CTNNB1,1.6693542,0.40066046,0.09504721616301183,1.0,0.5975609756097561
TSC22D3,1.6674577,0.35799196,0.09542342158045423,1.0,0.6707317073170732
MTA2,1.6671818,1.0870811,0.09547824157090107,1.0,0.21951219512195122
ROCK1,1.666251,0.34976104,0.09566344524882325,1.0,0.6341463414634146
GATC,1.665389,0.56634814,0.09583518648640113,1.0,0.34146341463414637
C12orf65,1.6638373,0.53183556,0.09614494260949859,1.0,0.35365853658536583
TMEM97,1.6637338,0.4505198,0.09616562147260385,1.0,0.4268292682926829
PGRMC1,1.661734,0.38385487,0.0965661128526983,1.0,0.4878048780487805
SNRPA,1.6604238,0.44097546,0.09682922642008746,1.0,0.47560975609756095
TNPO3,1.6597342,0.64153314,0.09696793736403633,1.0,0.34146341463414637
