names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
PALM2-AKAP2,3.3419142,0.36947042,0.0008320274955468909,1.0,0.9369369369369369
SSBP1,3.3345246,0.36169413,0.0008544536411988066,1.0,0.8828828828828829
FAM118A,3.288501,0.7429924,0.0010072238367472349,1.0,0.4954954954954955
LUZP1,3.2703815,0.5977352,0.0010740255502480237,1.0,0.6936936936936937
SP100,3.2096376,0.5170367,0.0013290240403534264,1.0,0.7117117117117117
UBE2H,3.141977,0.47727382,0.0016781121051162849,1.0,0.7747747747747747
DLG1,3.1069496,0.5068639,0.0018902864699278713,1.0,0.7027027027027027
ITGA6,3.093116,0.42244372,0.0019806674029331475,1.0,0.8378378378378378
MLXIP,3.0321949,0.5599861,0.0024278248865665653,1.0,0.6666666666666666
RAB11FIP1,2.9924674,0.47177762,0.0027673218242089317,1.0,0.7027027027027027
PJA2,2.9549274,0.48781544,0.0031274255942854825,1.0,0.6486486486486487
TMED2,2.842278,0.41527972,0.004479241234518441,1.0,0.7927927927927928
HAUS4,2.7794356,0.6994179,0.005445346328445564,1.0,0.43243243243243246
GNL3L,2.768144,0.6567487,0.005637654529565978,1.0,0.4594594594594595
MARCH6,2.760695,0.58980167,0.005767849704648411,1.0,0.5225225225225225
TSNAX,2.7436395,0.7338079,0.006076221871922021,1.0,0.4594594594594595
TPM4,2.7399743,0.16815655,0.00614440046613159,1.0,0.990990990990991
MYO5A,2.7139328,0.46877703,0.006648967039319415,1.0,0.6666666666666666
MAP3K4,2.6421337,0.93716586,0.008238549569643717,1.0,0.3153153153153153
RTL8C,2.626763,0.37432078,0.008620131578454702,1.0,0.7117117117117117
SH3D19,2.6243393,0.55500585,0.008681725242413106,1.0,0.5765765765765766
PIGT,2.6238072,0.45235226,0.008695298336943554,1.0,0.6576576576576577
ORMDL1,2.5961103,0.49988732,0.00942857597699576,1.0,0.6126126126126126
ITGA5,2.5796165,0.21293564,0.009891009504626975,1.0,0.918918918918919
ST3GAL1,2.5389433,0.57120377,0.011118785510731363,1.0,0.44144144144144143
COQ10B,2.5265875,0.7418593,0.011517666636617263,1.0,0.45045045045045046
ZRANB2,2.51772,0.34928444,0.011811722049423056,1.0,0.7027027027027027
PLOD2,2.5118673,0.3891869,0.012009427694325886,1.0,0.7027027027027027
ASAP1,2.5112169,0.2798287,0.01203157506420118,1.0,0.9369369369369369
APP,2.510862,0.23247792,0.012043670701225006,1.0,0.990990990990991
FAM210B,2.481392,0.44172117,0.01308704257400536,1.0,0.6306306306306306
TJP1,2.46945,0.39287478,0.013532093592976179,1.0,0.7297297297297297
DYNLT3,2.4656665,0.6058421,0.013675862825643294,1.0,0.44144144144144143
RTF2,2.446128,0.34597275,0.014439976319628324,1.0,0.7117117117117117
CFAP97,2.4454482,0.41759032,0.014467229025160747,1.0,0.6666666666666666
CHID1,2.4444726,0.44715506,0.014506409955971402,1.0,0.5945945945945946
SERBP1,2.4410143,0.1556527,0.014646079141022566,1.0,1.0
TMEM30A,2.4339201,0.34988347,0.014936294780832141,1.0,0.8828828828828829
RBM25,2.433802,0.35422269,0.014941174329876437,1.0,0.8288288288288288
MSMO1,2.4098885,0.30835572,0.01595739494223619,1.0,0.8648648648648649
CSNK1G3,2.4080558,0.5548353,0.01603772624891557,1.0,0.4594594594594595
MRPL54,2.4077013,0.42699707,0.016053315241952353,1.0,0.6216216216216216
AP1S2,2.4030013,0.3470632,0.01626113044815819,1.0,0.8288288288288288
TMOD3,2.3787925,0.27688688,0.017369453354443128,1.0,0.8738738738738738
APRT,2.3766642,0.18714648,0.01746998463597013,1.0,0.963963963963964
NUCB2,2.3750384,0.33866733,0.017547122700960375,1.0,0.6846846846846847
NAV1,2.371905,0.44904009,0.01769663141400039,1.0,0.5585585585585585
TOMM7,2.3677964,0.17726034,0.017894376469754725,1.0,1.0
FSTL1,2.367294,0.2497955,0.017918693479537343,1.0,0.9459459459459459
RECQL,2.3116934,0.47716734,0.020794583151257363,1.0,0.5675675675675675
PABPC1,2.2798288,0.18645781,0.022617843795097594,1.0,1.0
INSIG1,2.273119,0.2804404,0.023019015350675482,1.0,0.7297297297297297
DSTYK,2.248585,0.81096065,0.0245389171909419,1.0,0.2972972972972973
SLC25A24,2.2302287,0.54581463,0.025732260160779515,1.0,0.46846846846846846
SEM1,2.2257652,0.18722503,0.026029903405706233,1.0,0.9279279279279279
RO60,2.2176957,0.46469426,0.026575585790019292,1.0,0.5855855855855856
AFAP1,2.205015,0.4120972,0.027453048728855706,1.0,0.5765765765765766
SELENOT,2.2021477,0.3911611,0.027654878565420524,1.0,0.7027027027027027
HSD17B4,2.1997828,0.5597639,0.02782229783629392,1.0,0.44144144144144143
SERPINE1,2.1718793,0.17800273,0.029864773349054928,1.0,0.990990990990991
RNF10,2.1632776,0.42791137,0.030519838387412485,1.0,0.5315315315315315
