names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
SNHG25,3.440341,0.68283826,0.0005809819395755496,1.0,0.6931818181818182
H2AFJ,3.3250408,0.48726228,0.0008840560357561793,1.0,0.7954545454545454
NARS,3.2473645,0.49126485,0.0011647908376234875,1.0,0.8522727272727273
PET100,3.16054,0.5272969,0.0015747687430788708,1.0,0.7954545454545454
ACAA2,3.1415453,0.77932733,0.0016805881622187755,1.0,0.5340909090909091
CUTA,3.0741816,0.46560025,0.002110809372530618,1.0,0.8295454545454546
ROMO1,3.072851,0.27066752,0.0021202438883626126,1.0,0.9545454545454546
BTG3,3.003957,0.70976144,0.002664930446506397,1.0,0.5340909090909091
MMAB,2.9715226,0.6023775,0.0029632711972711976,1.0,0.6477272727272727
UBA1,2.8878253,0.5634879,0.0038791540842262728,1.0,0.6931818181818182
DYNLT1,2.7010365,0.3055475,0.006912378381539176,1.0,0.9204545454545454
NMT1,2.6860332,0.51081514,0.007230586867878799,1.0,0.7159090909090909
COX8A,2.675754,0.2114101,0.007456131628241995,1.0,0.9886363636363636
SERF2,2.660851,0.13818409,0.007794344797887434,1.0,1.0
PGRMC1,2.6385295,0.6927912,0.008326646697941172,1.0,0.5
PROCR,2.621098,0.28931665,0.008764705078672427,1.0,0.9772727272727273
MRPS16,2.6051636,0.44552413,0.009183039716459071,1.0,0.6931818181818182
PSMB4,2.5991426,0.43004885,0.009345697959151517,1.0,0.7159090909090909
NDUFV3,2.5874994,0.40532982,0.009667537993677238,1.0,0.7045454545454546
BCKDK,2.5416255,0.7478325,0.011033833580113948,1.0,0.4431818181818182
BAX,2.5191376,0.26597333,0.011764266437462112,1.0,0.8977272727272727
MTIF3,2.5150793,0.44267845,0.011900565730997162,1.0,0.7159090909090909
SS18L2,2.4904954,0.78639114,0.012756508878881334,1.0,0.42045454545454547
FAU,2.4416277,0.120265715,0.014621214407472336,1.0,1.0
PES1,2.4264252,0.9242757,0.01524839480233488,1.0,0.3522727272727273
UQCRB,2.4024403,0.1921394,0.016286090559334714,1.0,1.0
FUOM,2.3975835,0.68451345,0.016503618752766548,1.0,0.5
