names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
NDUFA10,3.2159817,0.4521817,0.001299991572540921,1.0,0.734375
MAP4K4,3.0868585,0.33165282,0.002022837766344109,1.0,0.9296875
CLIC4,2.7616875,0.33748084,0.0057503495710203205,1.0,0.828125
SCAF11,2.7338455,0.34684289,0.006259941327791585,1.0,0.7890625
PSME2,2.6722524,0.31527674,0.007534396961559566,1.0,0.7578125
PNN,2.669064,0.44894573,0.007606293080872704,1.0,0.671875
TMEM219,2.627947,0.35723564,0.008590188926914736,1.0,0.703125
MARK3,2.5985658,0.56993496,0.009361406869562149,1.0,0.4765625
RBBP4,2.5085812,0.35761103,0.012121713882321214,1.0,0.703125
CPLANE1,2.4884348,0.7523114,0.012830674860182122,1.0,0.359375
PSPC1,2.4650178,0.8928994,0.013700640961916026,1.0,0.3203125
SNX5,2.463836,0.3927241,0.013745897059807366,1.0,0.640625
DNAJA1,2.4326134,0.32018504,0.014990294056996204,1.0,0.828125
TOMM7,2.423461,0.12673828,0.015373401031590442,1.0,0.9921875
POLK,2.3972132,0.5994576,0.016520308004187006,1.0,0.4140625
GTF2F1,2.3778365,0.5169976,0.017414545166613945,1.0,0.5234375
CHD4,2.3561237,0.30313197,0.0184667711727713,1.0,0.734375
KCNN3,2.3310027,0.48406938,0.019753221210383726,1.0,0.515625
RRBP1,2.298873,0.27815378,0.02151214955420273,1.0,0.8828125
KPNA4,2.2973063,0.32560238,0.021601296016785912,1.0,0.6640625
CSNK1G1,2.2952452,0.7189981,0.021719083839279812,1.0,0.3359375
DPYSL2,2.2894182,0.21521959,0.022055058977886358,1.0,0.890625
MTPN,2.2868621,0.23029433,0.022203865185854224,1.0,0.953125
FHL1,2.2835367,0.30425668,0.022398779775891168,1.0,0.640625
ABHD14B,2.2752087,0.6730023,0.02289341086627005,1.0,0.3828125
PBRM1,2.2638576,0.46874982,0.023582876373018317,1.0,0.515625
CINP,2.2288146,0.40241534,0.02582624239399863,1.0,0.5546875
CSNK2A1,2.2169962,0.27967513,0.026623351117557686,1.0,0.8046875
SEPTIN11,2.2043808,0.2585783,0.027497579278221683,1.0,0.75
ATP5ME,2.1728284,0.16835475,0.029793240135442232,1.0,0.9765625
LAMTOR3,2.1723886,0.6944873,0.029826365926559684,1.0,0.328125
TNPO3,2.166232,0.73124,0.03029346224805498,1.0,0.328125
LUC7L,2.161917,0.63604647,0.030624580869498676,1.0,0.359375
LRRC57,2.158014,0.93905944,0.030926736149032137,1.0,0.265625
PRNP,2.1579041,0.38787037,0.03093528449436744,1.0,0.640625
HNRNPL,2.1576843,0.41061068,0.030952387270093144,1.0,0.4921875
PRKAR2B,2.106453,0.31604475,0.035165035057671636,1.0,0.65625
HIF1A,2.1039517,0.24666028,0.03538265697133325,1.0,0.734375
EEF1G,2.103512,0.1318341,0.03542103871942409,1.0,1.0
RIOK3,2.100626,0.4429893,0.035673801538191205,1.0,0.53125
DUSP6,2.0881755,0.24216329,0.036782003105985,1.0,0.71875
PSIP1,2.0676446,0.34090766,0.03867346558272771,1.0,0.609375
TIMM44,2.0663252,0.63460946,0.03879778139680584,1.0,0.328125
ATP5IF1,2.054974,0.21647511,0.03988151101251087,1.0,0.90625
SPG7,2.0474432,0.50151604,0.0406145833473314,1.0,0.4375
LAMTOR1,2.0450246,0.29907614,0.04085243284541696,1.0,0.6640625
FAM104A,2.031942,0.7046097,0.04215953849203793,1.0,0.3359375
CDKN1A,2.0160282,0.21816556,0.04379701972063018,1.0,0.859375
C19orf53,2.013637,0.21716946,0.04404764793691224,1.0,0.9375
SMARCA1,2.0127027,0.29107141,0.04414592310151981,1.0,0.640625
SMIM30,2.0090747,0.41548043,0.04452921782245458,1.0,0.4921875
RAD23A,2.0081127,0.23656158,0.04463131867572994,1.0,0.7890625
DOCK4,1.9882687,0.42707524,0.04678197497857708,1.0,0.53125
NUTM2A-AS1,1.9856303,0.37460363,0.04707439818162453,1.0,0.5234375
FAM131A,1.9850805,1.1613687,0.04713551282439676,1.0,0.21875
SENP6,1.9801333,0.4071526,0.04768855370638623,1.0,0.5078125
POLR2I,1.9677926,0.2644134,0.04909189808702346,1.0,0.7890625
CMTM7,1.9675179,0.5103412,0.04912354335674726,1.0,0.40625
TRIM8,1.966336,0.3818437,0.04925981315436088,1.0,0.53125
C17orf49,1.9650717,0.23583177,0.049405941157069616,1.0,0.75
WBP11,1.9640273,0.45630595,0.04952692973298671,1.0,0.4375
DST,1.9552047,0.23931211,0.05055891544874977,1.0,0.8984375
