names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
EIF2AK4,3.02904,0.6683906,0.0024533217071554645,1.0,0.75
BABAM1,3.0143657,0.91550475,0.002575172181108123,1.0,0.5769230769230769
SUCLG2,2.9666088,0.83947885,0.003011037328309396,1.0,0.5961538461538461
PCAT19,2.9512398,0.66852796,0.0031650101971259143,1.0,0.75
SARS,2.9510229,0.5354607,0.003167235448205531,1.0,0.9038461538461539
EIF2S3,2.804887,0.5202872,0.005033422410452543,1.0,0.8846153846153846
RANBP2,2.7257843,1.0405602,0.006414889180056933,1.0,0.4807692307692308
EIF3L,2.6848872,0.62590355,0.007255429250604815,1.0,0.6538461538461539
OST4,2.6118627,0.30726913,0.009005041219851889,1.0,1.0
FAM192A,2.5868988,0.6423927,0.009684399819746933,1.0,0.6346153846153846
PRPF3,2.5731797,1.6017154,0.010076887466482986,1.0,0.3269230769230769
AC008875.3,2.5409656,0.6243948,0.011054680860145327,1.0,0.6730769230769231
SRP14,2.5197356,0.23342548,0.011744305153707066,1.0,0.9807692307692307
MRPS26,2.4617326,0.5213798,0.013826767542499972,1.0,0.7115384615384616
LARP7,2.4589975,0.8707349,0.013932557750071255,1.0,0.5192307692307693
JUND,2.4583898,0.39154217,0.013956163495633375,1.0,0.9038461538461539
PDS5A,2.4497502,0.6900958,0.014295540234144378,1.0,0.5961538461538461
NTN4,2.441067,0.71870023,0.014643936810990755,1.0,0.5384615384615384
NDUFB7,2.4288673,0.3456527,0.015146073592179428,1.0,0.9038461538461539
TGFB1,2.375206,0.5476323,0.017539155985364485,1.0,0.7115384615384616
ABL2,2.3710382,0.6938719,0.017738198239137967,1.0,0.5384615384615384
ZMAT3,2.369649,0.3978535,0.017804984134178293,1.0,0.8461538461538461
DPH5,2.358578,0.7224588,0.018345103769661128,1.0,0.5192307692307693
LRP10,2.3409514,0.5772905,0.019234670473825165,1.0,0.6730769230769231
UBE2K,2.268361,0.47030747,0.023307208350636894,1.0,0.7115384615384616
MRPL33,2.25716,0.43915287,0.02399808304455991,1.0,0.8846153846153846
RP9,2.2513423,0.912298,0.024363866465931718,1.0,0.4230769230769231
TJP1,2.2308502,0.47201854,0.02569104820546772,1.0,0.6923076923076923
COL5A1,2.208882,0.60019404,0.027182838967374338,1.0,0.6346153846153846
IL6ST,2.2067983,0.49012163,0.027328159585472005,1.0,0.8461538461538461
CBX6,2.1931224,0.7944874,0.028298560947530107,1.0,0.4807692307692308
GSTZ1,2.179707,0.9194177,0.02927918071535854,1.0,0.40384615384615385
CDK4,2.158043,0.48524252,0.03092449891600615,1.0,0.6923076923076923
ATP2C1,2.1499677,0.7519103,0.03155777542283006,1.0,0.4807692307692308
MXD4,2.1313858,0.47148228,0.03305736408889156,1.0,0.7115384615384616
BAX,2.12826,0.31392246,0.03331553312881546,1.0,0.9230769230769231
FKBP3,2.1232238,0.4590157,0.03373510065047489,1.0,0.7307692307692307
SRSF4,2.1139765,0.46481505,0.03451728566394358,1.0,0.6923076923076923
MIGA1,2.0804164,0.74946886,0.03748735950687769,1.0,0.46153846153846156
GPRC5A,2.0743816,0.8879265,0.03804388086200623,1.0,0.40384615384615385
GOPC,2.063658,0.83365136,0.03905014750015412,1.0,0.4423076923076923
CCNT2,2.0408216,1.2302511,0.041268558999087615,1.0,0.3076923076923077
ADD3,2.0376089,0.84214234,0.041589060473537484,1.0,0.4230769230769231
BANF1,2.0369577,0.2545739,0.04165428323681364,1.0,0.8653846153846154
NPDC1,2.0233686,0.44912636,0.04303514881364536,1.0,0.75
MDK,2.0199823,0.30146757,0.04338522271224073,1.0,0.9807692307692307
PTTG1IP,2.0151632,0.28973708,0.04388755063589319,1.0,0.9038461538461539
ATP2B1,2.010344,0.47908843,0.04439478055243349,1.0,0.6730769230769231
RPL36,1.9956697,0.10039697,0.04596988114134382,1.0,1.0
LAMC1,1.9823413,0.38147965,0.047441058163841636,1.0,0.9615384615384616
DYSF,1.9713138,0.4509576,0.04868799507447993,1.0,0.6923076923076923
LSM7,1.9687957,0.28655893,0.048976555874698874,1.0,0.8846153846153846
MOSPD3,1.9580722,1.1687535,0.05022154930497424,1.0,0.3076923076923077
RPS7,1.9539477,0.10726751,0.05070740487942877,1.0,1.0
UXT,1.9536438,0.3152804,0.05074335998804682,1.0,0.7884615384615384
SCAF11,1.9513862,0.39275095,0.051011124213650394,1.0,0.8269230769230769
HDGFL2,1.9463066,0.8456947,0.05161792206928411,1.0,0.40384615384615385
CLCN3,1.9447436,0.3619169,0.051805839960536074,1.0,0.8846153846153846
RSL24D1,1.9445266,0.3429763,0.05183198488193856,1.0,0.8461538461538461
POLR2H,1.9344108,0.47617045,0.05306263852178671,1.0,0.6346153846153846
RPS20,1.9291576,0.12325894,0.05371130488594865,1.0,1.0
CAAP1,1.928897,0.8533018,0.05374364169482273,1.0,0.38461538461538464
SERPINB6,1.9241214,0.37105212,0.05433936953947628,1.0,0.9423076923076923
HCLS1,1.919693,0.55131954,0.054896684890968744,1.0,0.5769230769230769
TXNRD1,1.9177828,0.30103457,0.05513856262672716,1.0,0.9038461538461539
