names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
FADS2,3.1445928,0.4563357,0.0016631814069596876,1.0,0.8611111111111112
HNRNPK,2.840932,0.31365627,0.004498190218570508,1.0,0.9305555555555556
BABAM1,2.7864609,0.75004995,0.005328704809764759,1.0,0.5416666666666666
SQSTM1,2.7209408,0.44071317,0.00650964053250359,1.0,0.8611111111111112
TUBB,2.7117703,0.39574608,0.006692495716287854,1.0,0.9166666666666666
CLIC4,2.7094867,0.42190287,0.0067387380284248686,1.0,0.875
RNF11,2.6939447,0.65741885,0.007061187906808828,1.0,0.5694444444444444
CPD,2.686505,0.5551909,0.007220384536767142,1.0,0.7222222222222222
FGD5,2.664923,1.3012857,0.007700597484991971,1.0,0.3472222222222222
ST13,2.6528428,0.29972696,0.00798170426222927,1.0,0.9861111111111112
USP15,2.6315553,0.7893197,0.008499505833203125,1.0,0.5
TRIM28,2.6236367,0.6410318,0.008699649630160063,1.0,0.5833333333333334
ZFP36L1,2.615571,0.36381698,0.008907836936351499,1.0,0.9444444444444444
MED31,2.6148713,0.7078598,0.008926106949400306,1.0,0.5277777777777778
KRR1,2.6147976,0.82929045,0.008928032054243494,1.0,0.4861111111111111
GLCE,2.6080947,0.64325094,0.009104776524162668,1.0,0.5416666666666666
EIF2A,2.4755447,0.50561994,0.013303313626991498,1.0,0.625
ADGRL4,2.4673316,0.4434924,0.013612423252804578,1.0,0.8194444444444444
PDIA3,2.4649377,0.27202672,0.013703708710485957,1.0,0.9583333333333334
TMED3,2.4409246,0.38349977,0.014649708558369206,1.0,0.6944444444444444
EHD4,2.412934,0.45755765,0.015824678519233377,1.0,0.7083333333333334
SNX3,2.410172,0.26099756,0.01594500499321508,1.0,0.9027777777777778
ZHX1,2.4085515,0.7014954,0.016015970318134194,1.0,0.4861111111111111
NARS,2.3955874,0.42014524,0.01659375942997305,1.0,0.7777777777777778
IFNAR1,2.3927515,0.60118705,0.016722564019043654,1.0,0.5416666666666666
PDS5A,2.3748891,0.57830286,0.017554224787210845,1.0,0.5833333333333334
AP1G1,2.3736737,0.90115523,0.017612107272398165,1.0,0.4166666666666667
BBIP1,2.3563268,0.73266983,0.018456667038890887,1.0,0.4722222222222222
FZD6,2.332498,0.60411537,0.019674502937251117,1.0,0.5277777777777778
YWHAZ,2.3142307,0.14510497,0.020655077999892142,1.0,1.0
SERINC3,2.3079696,0.39137396,0.0210008317621537,1.0,0.7916666666666666
PSMB4,2.3034394,0.4163691,0.021254129207133432,1.0,0.75
CLU,2.2771063,0.378138,0.022779882237906352,1.0,0.75
COLEC12,2.2761855,0.39452413,0.022834909613683802,1.0,0.7916666666666666
GART,2.2734601,0.57266647,0.022998468001392526,1.0,0.5416666666666666
ATP1A1,2.2691143,0.48100114,0.02326138234195045,1.0,0.6111111111111112
CMTM3,2.2550821,0.77875495,0.02412817707213578,1.0,0.4166666666666667
SGMS2,2.239319,0.63118577,0.025135169174719016,1.0,0.5277777777777778
USP14,2.2340891,0.38016218,0.02547720726759682,1.0,0.7083333333333334
NBDY,2.2258394,0.33481425,0.02602494693409296,1.0,0.75
MDM2,2.2258394,0.5314801,0.02602494693409296,1.0,0.6666666666666666
SYNCRIP,2.2240715,0.43482417,0.02614363530261152,1.0,0.6527777777777778
ADA,2.2211988,0.55228764,0.026337501800948,1.0,0.5416666666666666
ZDHHC3,2.193503,0.6687565,0.028271170457254746,1.0,0.4444444444444444
TMEM167A,2.184811,0.43758285,0.028902705062173965,1.0,0.6388888888888888
ZNF720,2.177703,0.85762143,0.0294281630094593,1.0,0.3472222222222222
KDM1A,2.1684217,0.5008521,0.03012660733975048,1.0,0.625
LNPEP,2.1572256,0.61522114,0.03098809157836337,1.0,0.4861111111111111
PIAS3,2.1462135,0.88204783,0.03185594812879402,1.0,0.3472222222222222
RBM17,2.1384056,0.41598338,0.032483837061917244,1.0,0.625
TOP2B,2.132697,0.61172724,0.03294958904886201,1.0,0.5
CHCHD1,2.1128826,0.43946266,0.0346108141560923,1.0,0.6666666666666666
MESD,2.1121461,0.35970283,0.03467392464372385,1.0,0.7638888888888888
CYB5B,2.0908585,0.4229085,0.03654075172788069,1.0,0.6666666666666666
NUTF2,2.0815036,0.35448536,0.037387822042595005,1.0,0.7777777777777778
MICAL2,2.0785573,0.5578197,0.03765805308889161,1.0,0.5277777777777778
ASH1L,2.0653355,0.52007484,0.03889126627859198,1.0,0.5555555555555556
SYF2,2.0619104,0.41944063,0.03921627250189434,1.0,0.7083333333333334
KATNA1,2.0586693,1.0116022,0.039525926072928944,1.0,0.3055555555555556
DKK3,2.05657,0.7552525,0.039727602690297036,1.0,0.4166666666666667
CTTN,2.0564227,0.49918675,0.03974178816762265,1.0,0.625
CD2AP,2.0532553,0.6764949,0.04004781718618355,1.0,0.4166666666666667
PPP1R7,2.047952,0.39357212,0.04056471358630551,1.0,0.5972222222222222
CPSF1,2.0461473,1.1045424,0.04074188679013598,1.0,0.2916666666666667
YWHAE,2.0422802,0.15751305,0.0411237531046802,1.0,0.9861111111111112
NAA25,2.032815,0.816805,0.04207122850127592,1.0,0.375
SMARCA1,2.0279534,0.45057872,0.04256500756524677,1.0,0.625
ASXL1,2.024344,0.48398304,0.04293476340463951,1.0,0.5833333333333334
CHCHD5,2.019409,0.39115277,0.043444739442570116,1.0,0.7083333333333334
DZIP1,1.9976425,0.7054969,0.04575542882086742,1.0,0.4166666666666667
COX15,1.9963535,0.9231431,0.045895459393339035,1.0,0.3194444444444444
PLS3,1.9936281,0.31533659,0.046192712776512185,1.0,0.7361111111111112
HNRNPUL2,1.9640539,0.60815495,0.0495238472362877,1.0,0.5
MOB1A,1.9630594,0.47837856,0.0496392666601786,1.0,0.5833333333333334
MORF4L2,1.9616599,0.277075,0.04980209095260809,1.0,0.8194444444444444
ITGAV,1.9579769,0.5133846,0.050232717258041716,1.0,0.4861111111111111
IMMT,1.9558408,0.37323663,0.05048390744741288,1.0,0.6527777777777778
CHMP7,1.9536679,1.122653,0.05074050752147984,1.0,0.2638888888888889
BCAP31,1.9491378,0.2398389,0.051278967538569115,1.0,0.8055555555555556
NDUFA3,1.9346638,0.29125205,0.05303157071712409,1.0,0.7638888888888888
VKORC1,1.9342954,0.32218364,0.05307681120635902,1.0,0.7777777777777778
MAP7D3,1.9301705,0.40122327,0.05358571127383281,1.0,0.5972222222222222
ACIN1,1.9185692,0.5811475,0.0550388790968784,1.0,0.4861111111111111
VPS13C,1.9182377,0.3861741,0.05508087624568338,1.0,0.5972222222222222
CYCS,1.9177958,0.27681416,0.055136913997701924,1.0,0.8333333333333334
OTUD6B-AS1,1.9173537,0.40384817,0.05519299926644058,1.0,0.6111111111111112
ABCF1,1.9165436,0.46651357,0.055295945767941355,1.0,0.5972222222222222
