names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
HINT1,3.26039,0.15182756,0.0011125912308567027,1.0,0.9895833333333334
RPL3,3.1552873,0.086712666,0.0016034009138064058,1.0,1.0
UBAP2,3.1058154,0.63077176,0.0018975506782255153,1.0,0.4166666666666667
GAS5,3.0547817,0.11387926,0.0022522446105941365,1.0,0.984375
MACROD1,2.9313586,0.5815811,0.0033748299873804636,1.0,0.421875
TRAPPC5,2.8835826,0.2550521,0.003931794845812769,1.0,0.8489583333333334
DBN1,2.8347802,0.4310788,0.004585722338558038,1.0,0.53125
FAM228B,2.7397861,1.0388327,0.006147916348960371,1.0,0.23958333333333334
VIM,2.6960046,0.05913653,0.007017669795722269,1.0,1.0
C18orf32,2.6595423,0.34128138,0.007824691539575507,1.0,0.703125
RSL1D1,2.644837,0.31017205,0.00817303225601102,1.0,0.7552083333333334
AKR1B1,2.634438,0.32389432,0.008427666292178417,1.0,0.7135416666666666
IER2,2.632586,0.3200016,0.008473756770725118,1.0,0.7604166666666666
RTN4,2.612168,0.1260517,0.00899700367094075,1.0,0.9791666666666666
SLC25A23,2.6050942,0.49920368,0.009184900613463937,1.0,0.453125
RPS11,2.6016355,0.07991561,0.009278043216943452,1.0,1.0
ACTG1,2.6006758,0.09564495,0.009304031683528908,1.0,0.9947916666666666
G6PC3,2.5953426,0.48469537,0.009449666489603907,1.0,0.4791666666666667
FAAP20,2.5911028,0.25924045,0.00956689019506357,1.0,0.8020833333333334
UVRAG,2.5525205,0.47698388,0.010694659357457368,1.0,0.4427083333333333
RALA,2.5035841,0.20620067,0.012294240129642468,1.0,0.78125
RABAC1,2.4999022,0.19140805,0.012422755243055007,1.0,0.9427083333333334
CDH13,2.4943013,0.5836315,0.01262053594569784,1.0,0.359375
SLC39A10,2.486759,0.3858392,0.012891272416554259,1.0,0.5572916666666666
CD320,2.456634,0.2669187,0.014024549984697944,1.0,0.75
TMEM181,2.448065,0.39658198,0.014362570503860524,1.0,0.4635416666666667
IFT57,2.4467485,0.31590995,0.014415137873774256,1.0,0.7239583333333334
FAU,2.4316862,0.097814195,0.01502872779390024,1.0,1.0
RPL27A,2.4251702,0.055554163,0.015301214218639975,1.0,1.0
SELENOH,2.417159,0.25924608,0.01564217727475235,1.0,0.8958333333333334
