names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
IDS,3.0955098,0.4837527,0.0019647483992301608,1.0,0.6456692913385826
COL6A1,3.056656,0.5992732,0.002238210274336793,1.0,0.5590551181102362
HEXB,3.0338073,0.48848128,0.0024148872348660785,1.0,0.6614173228346457
PCSK5,2.9899309,0.35257408,0.002790405250189462,1.0,0.9212598425196851
SRSF7,2.9685447,0.46216467,0.0029921355314275096,1.0,0.6614173228346457
PARVB,2.9482348,0.37723848,0.0031959430395209596,1.0,0.7559055118110236
COL5A2,2.8982325,0.40144095,0.003752724388814311,1.0,0.7086614173228346
SH3BP5,2.8681812,0.3442425,0.004128389072955609,1.0,0.8661417322834646
ID1,2.8251328,0.45499748,0.004726100852074896,1.0,0.6377952755905512
ORC3,2.7284672,1.0600327,0.006362941625094496,1.0,0.29133858267716534
GDI2,2.708847,0.29523575,0.006751745132417624,1.0,0.7874015748031497
NGRN,2.7067773,0.47607166,0.006793978605547245,1.0,0.6220472440944882
PTP4A2,2.7034385,0.3390952,0.006862615930592678,1.0,0.7952755905511811
SERINC3,2.6994095,0.35452974,0.0069462635171971664,1.0,0.7795275590551181
PDIA4,2.6569407,0.28033182,0.007885332047006952,1.0,0.8818897637795275
IPO9,2.6363823,0.7975842,0.00837952643961884,1.0,0.36220472440944884
ARPC5L,2.5800607,0.4001002,0.009878295937733641,1.0,0.6771653543307087
HOXB7,2.565739,0.5360127,0.010295632449397536,1.0,0.5196850393700787
HLTF,2.555501,0.56511766,0.010603505234902487,1.0,0.48031496062992124
HES1,2.5352187,0.7208117,0.011237717448632478,1.0,0.3937007874015748
RRM2B,2.5301135,0.33643398,0.01140256325393776,1.0,0.7244094488188977
HMGA1,2.5298653,0.19476485,0.01141063725441709,1.0,0.984251968503937
CUL3,2.5224144,0.48984414,0.011655229061856223,1.0,0.5196850393700787
SND1,2.4980755,0.47590786,0.012486956970812806,1.0,0.5039370078740157
MT-ND2,2.4833674,0.14299113,0.013014678681884082,1.0,1.0
FST,2.4814634,0.77498585,0.013084417828167409,1.0,0.3779527559055118
H1FX,2.4797523,0.39722002,0.01314736367684248,1.0,0.5984251968503937
STRAP,2.4786763,0.3575796,0.013187095703584515,1.0,0.6614173228346457
MYL9,2.4702597,0.572569,0.01350149963479437,1.0,0.4645669291338583
PPIL4,2.4537027,0.5431626,0.014139385476706992,1.0,0.4409448818897638
UBA2,2.4480457,0.5584216,0.014363346526538314,1.0,0.5039370078740157
HDLBP,2.439491,0.31149662,0.014707963297087748,1.0,0.8661417322834646
CDC42EP5,2.4218302,0.40896967,0.015442561526135377,1.0,0.5748031496062992
PAK2,2.4113717,0.24529126,0.015892641630768842,1.0,0.8503937007874016
CHM,2.4041693,0.6465001,0.016209260500209356,1.0,0.4094488188976378
PMP22,2.3999748,0.25909373,0.01639619460445731,1.0,0.9291338582677166
ADAM15,2.395394,0.38652715,0.016602507485572363,1.0,0.6692913385826772
ANXA2,2.3885782,0.10820231,0.016913710694179337,1.0,1.0
PAIP1,2.348648,0.46668074,0.018841708785780106,1.0,0.4881889763779528
ADAM10,2.347351,0.3412358,0.01890743149466946,1.0,0.6929133858267716
PEBP1,2.3399556,0.23673455,0.019286034930997873,1.0,0.937007874015748
MARCH7,2.3256338,0.59437543,0.02003810083931169,1.0,0.4251968503937008
ARFGEF2,2.3240883,0.54912335,0.020120758724749915,1.0,0.4409448818897638
MRPS26,2.317438,0.32571328,0.020479887743510495,1.0,0.6771653543307087
ELK4,2.3132987,0.49734202,0.020706223762599542,1.0,0.49606299212598426
ATP5F1C,2.3099873,0.21971881,0.02088885967515723,1.0,0.8976377952755905
DRAM1,2.307421,0.60848475,0.02103136664346893,1.0,0.3858267716535433
KRT10,2.306869,0.31004313,0.02106212374423196,1.0,0.7401574803149606
IGF2BP2,2.2927403,0.30791432,0.021862960444235763,1.0,0.7716535433070866
ODC1,2.2876353,0.300199,0.02215877357413344,1.0,0.7244094488188977
LAMC1,2.2750795,0.2673419,0.02290116520688583,1.0,0.9212598425196851
B4GALT7,2.2701676,0.79087913,0.023197421967836213,1.0,0.31496062992125984
EIF4A2,2.2599297,0.18469043,0.02382561342758322,1.0,0.8503937007874016
ORMDL1,2.2539692,0.3853742,0.02419810766500806,1.0,0.5826771653543307
ELK3,2.2466288,0.33688143,0.024663755712930786,1.0,0.6929133858267716
RAB10,2.2437866,0.33566967,0.02484613691033429,1.0,0.6929133858267716
SELENOS,2.2435935,0.33786368,0.024858574026803762,1.0,0.7244094488188977
DCAF7,2.2338798,0.4013788,0.025490974916662076,1.0,0.6062992125984252
NMI,2.2264292,0.52696955,0.02598544364445793,1.0,0.4015748031496063
PPP2R5E,2.2143977,0.3319797,0.02680142815216345,1.0,0.6062992125984252
VTA1,2.2134871,0.49363852,0.026864079462585105,1.0,0.4330708661417323
CBX1,2.1932876,0.4020006,0.028286671266059635,1.0,0.6062992125984252
APPL1,2.1836016,0.3478367,0.028991534453185603,1.0,0.6456692913385826
TCF7L2,2.1824977,0.6482409,0.02907281234942542,1.0,0.3543307086614173
IFNAR1,2.1678448,0.47179833,0.030170496338875922,1.0,0.4881889763779528
LTBP1,2.1661339,0.20868596,0.03030095558450669,1.0,0.9921259842519685
TRIOBP,2.1630983,0.2810763,0.03053360849046145,1.0,0.7559055118110236
TAF10,2.157331,0.26524246,0.030979877942856265,1.0,0.8188976377952756
UBXN1,2.1566963,0.25882608,0.03102932920905213,1.0,0.7559055118110236
CFL1,2.1556754,0.0756863,0.03110902340870974,1.0,1.0
GSTK1,2.1547096,0.3231702,0.03118457142653456,1.0,0.6850393700787402
CHMP4B,2.1505427,0.40804753,0.03151231463164922,1.0,0.5433070866141733
SOCS2,2.1459067,0.61875373,0.03188042399213889,1.0,0.36220472440944884
SORBS3,2.1452997,0.39575848,0.03192890070685889,1.0,0.5669291338582677
GPN3,2.1257346,0.5632347,0.0335253593370517,1.0,0.3858267716535433
C5orf24,2.1091225,0.32534537,0.03493401796401518,1.0,0.6771653543307087
MAP1B,2.0836246,0.20374642,0.03719433573278713,1.0,0.937007874015748
SPTAN1,2.0776916,0.35920405,0.03773777690976746,1.0,0.6299212598425197
APOBEC3C,2.0764499,0.47369552,0.037852371306419046,1.0,0.4645669291338583
NDUFB6,2.0743525,0.33445746,0.038046580605222195,1.0,0.6456692913385826
RALGAPB,2.0510898,0.4613983,0.04025819592348567,1.0,0.4251968503937008
JMJD1C,2.0456812,0.5025263,0.04078774421993312,1.0,0.49606299212598426
RAI14,2.0446877,0.1995214,0.040885647173137675,1.0,0.8818897637795275
LSM3,2.0416248,0.29426998,0.04118876911047417,1.0,0.6299212598425197
HK1,2.0405762,0.44469786,0.04129297704796226,1.0,0.4645669291338583
KPNA2,2.0403278,0.4397279,0.04131769055643508,1.0,0.5039370078740157
TMEM115,2.0372648,0.794813,0.04162352192462889,1.0,0.2755905511811024
IVD,2.013726,0.46556067,0.04403830046901877,1.0,0.4330708661417323
RPS10,2.008759,0.1334639,0.04456270282137387,1.0,0.9606299212598425
THRA,2.0082622,0.8735035,0.04461543162478971,1.0,0.25196850393700787
PABPN1,2.0005357,0.33043343,0.04544245839592099,1.0,0.6771653543307087
UAP1,1.9981349,0.5372614,0.0457020437736594,1.0,0.4015748031496063
APMAP,1.9941059,0.29803696,0.04614047712875201,1.0,0.6850393700787402
CPD,1.984972,0.29431215,0.047147590545787335,1.0,0.6141732283464567
LAMA5,1.984834,0.29770836,0.04716294438396421,1.0,0.7165354330708661
UBQLN1,1.9746238,0.37320793,0.04831085639478262,1.0,0.5196850393700787
ABHD2,1.9745134,0.5228738,0.048323393357014535,1.0,0.3700787401574803
PHF5A,1.9555004,0.727194,0.0505240384034741,1.0,0.30708661417322836
TPM4,1.9480497,0.11378068,0.05140901663033204,1.0,0.9921259842519685
FADS1,1.9412613,0.22973023,0.05222659099046241,1.0,0.7952755905511811
CREM,1.9308579,0.50170124,0.053500622593456136,1.0,0.3937007874015748
FAM234A,1.9279329,0.36425424,0.053863477935613635,1.0,0.49606299212598426
OPA1,1.9232141,0.59123564,0.054453167921378214,1.0,0.36220472440944884
PSMB7,1.9216136,0.24416938,0.054654398882663886,1.0,0.7165354330708661
