names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CHCHD5,3.358115,0.5669157,0.0007847597976646915,1.0,0.759493670886076
MRPL20,3.2096212,0.49812827,0.001329099874442643,1.0,0.9113924050632911
PPP2R5C,3.1462672,0.7581166,0.0016536885272431668,1.0,0.5569620253164557
GRPEL1,2.985721,0.57255584,0.0028291050843457883,1.0,0.6329113924050633
RBM4,2.9351223,0.70477724,0.00333416310841054,1.0,0.6075949367088608
STAT1,2.92437,0.6355568,0.003451542424846494,1.0,0.620253164556962
CISD3,2.901425,0.68870896,0.003714699461359066,1.0,0.5822784810126582
EIF2D,2.8266509,0.9386855,0.004703758116337506,1.0,0.43037974683544306
CETN2,2.7959402,0.5295736,0.005174898275264504,1.0,0.7088607594936709
RAC1,2.7419329,0.2512281,0.006107882478130646,1.0,0.9873417721518988
ITGA6,2.730759,0.445532,0.0063188672374964,1.0,0.8607594936708861
SSRP1,2.6452327,0.5431501,0.008163474247955488,1.0,0.6582278481012658
YY1,2.598534,0.4027646,0.009362271964392568,1.0,0.8354430379746836
HNRNPH1,2.5637124,0.4683309,0.010355934000928761,1.0,0.7468354430379747
IRF2,2.5498328,0.815056,0.010777460440875696,1.0,0.43037974683544306
PSMG2,2.5377452,0.5436428,0.011156916543015245,1.0,0.5949367088607594
NR2F6,2.5189815,0.63026,0.011769484253641611,1.0,0.5189873417721519
PURA,2.5106888,0.57440156,0.012049583569074585,1.0,0.620253164556962
PCM1,2.4803998,0.46465376,0.013123512875467914,1.0,0.7215189873417721
ADSL,2.4133914,0.589122,0.01580483513951667,1.0,0.5189873417721519
SV2A,2.4063287,0.9916182,0.016113759773141962,1.0,0.3291139240506329
TIMM44,2.4046772,0.8265594,0.016186756978837705,1.0,0.379746835443038
NUB1,2.4019012,0.5941138,0.016310109344063732,1.0,0.5443037974683544
ERH,2.3986685,0.31352118,0.016454800569658,1.0,0.8860759493670886
SUPT16H,2.392941,0.48508152,0.016713925817623473,1.0,0.6582278481012658
IPO11,2.3442748,0.63924354,0.01906412124897106,1.0,0.5316455696202531
SRP72,2.316094,0.39187762,0.02055313722958621,1.0,0.7848101265822784
DIP2A,2.2987006,0.5650921,0.02152194509008087,1.0,0.5189873417721519
EEF1E1,2.293992,0.5125173,0.02179095161339094,1.0,0.569620253164557
SRSF7,2.279199,0.52239794,0.022655240446960438,1.0,0.6455696202531646
POLR2L,2.2709415,0.22555384,0.023150518976474296,1.0,1.0
COX4I1,2.2697117,0.1975507,0.023225082551107737,1.0,1.0
UBC,2.252494,0.2275678,0.024291071649302887,1.0,0.9746835443037974
RPS7,2.240758,0.10741726,0.025041763606408873,1.0,1.0
SNAP23,2.2352061,0.42437494,0.02540382499377916,1.0,0.7088607594936709
CDK16,2.214369,0.6135075,0.026803396141713214,1.0,0.46835443037974683
NPLOC4,2.2096605,0.6644468,0.0271287240690417,1.0,0.4177215189873418
FBN1,2.2031953,0.38786906,0.027580992380698156,1.0,0.6708860759493671
ASL,2.202387,0.5784994,0.02763798063335344,1.0,0.5063291139240507
SNU13,2.1976786,0.27812064,0.02797202253101132,1.0,0.9367088607594937
PDAP1,2.1884723,0.3543939,0.02863521365974373,1.0,0.8481012658227848
PET100,2.1847477,0.3818598,0.02890735043495999,1.0,0.7468354430379747
SMC5,2.18278,0.85463303,0.029052017537876937,1.0,0.34177215189873417
NUAK1,2.1785634,1.3761545,0.02936411803479041,1.0,0.24050632911392406
MRPS26,2.1759982,0.4079921,0.029555386825152078,1.0,0.7468354430379747
RHOA,2.1689355,0.23106772,0.030087577355269627,1.0,0.9746835443037974
MDH1,2.155337,0.42942876,0.031135464815517,1.0,0.6329113924050633
TPM4,2.1499257,0.19480032,0.03156108235039107,1.0,0.9873417721518988
POLR2H,2.1495392,0.43213287,0.03159167364404549,1.0,0.6075949367088608
P3H1,2.1490123,0.66961193,0.03163343002508853,1.0,0.43037974683544306
