names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
LRP10,3.9271438,0.8180111,8.596059299020332e-05,1.0,0.7368421052631579
MSMO1,3.5348272,0.49578056,0.0004080419350850371,1.0,0.8947368421052632
DNAJC1,3.509528,0.5902416,0.00044890280916854775,1.0,0.7894736842105263
PLOD1,3.3877263,0.7243383,0.0007047453563702419,1.0,0.6842105263157895
FKBP1A,3.2477567,0.22408359,0.0011631871708827708,1.0,1.0
MARCKSL1,3.146739,0.47984064,0.0016510224442877065,1.0,0.8552631578947368
MAFG,2.986917,1.3038522,0.0028180625513092917,1.0,0.3684210526315789
COL5A1,2.9458148,0.5839104,0.0032210526128504413,1.0,0.6710526315789473
HSPG2,2.9095144,0.3064101,0.003619907785471655,1.0,1.0
STOM,2.8772633,0.52174366,0.004011407939899921,1.0,0.9078947368421053
ACVRL1,2.8722465,0.4491018,0.004075650340303241,1.0,0.881578947368421
SPARC,2.8139794,0.28617236,0.004893235785608583,1.0,0.9868421052631579
GOLM1,2.7990365,0.6205929,0.005125535372587845,1.0,0.6578947368421053
PRSS23,2.767287,0.31935582,0.005652496463280974,1.0,0.9868421052631579
MCRIP1,2.6691363,0.7424594,0.007604660521042677,1.0,0.5263157894736842
DRAM1,2.6253822,0.883121,0.008655174696267337,1.0,0.4342105263157895
NCOA4,2.5712004,0.5611536,0.010134666650469106,1.0,0.618421052631579
EPAS1,2.5252247,0.49170262,0.011562434574618283,1.0,0.6710526315789473
FEZ2,2.4789264,0.41215083,0.013177848417759729,1.0,0.8026315789473685
VPS41,2.4713295,0.79688364,0.01346117222480065,1.0,0.40789473684210525
PANK2,2.4452777,0.9886463,0.014474061036618798,1.0,0.39473684210526316
SWAP70,2.4157143,0.59990084,0.01570437865800474,1.0,0.5921052631578947
TRAM1,2.3683052,0.35712805,0.017869788739596253,1.0,0.8947368421052632
CBX6,2.365116,0.61040235,0.018024428761671665,1.0,0.5
BAZ2A,2.364471,0.6581885,0.018055846385144757,1.0,0.5
IGBP1,2.363969,0.5927219,0.018080315463910163,1.0,0.5394736842105263
PEBP1,2.3524306,0.23114021,0.018651175845987706,1.0,0.9078947368421053
