names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
MED4,3.4470897,0.57764316,0.0005666606530629832,1.0,0.5045454545454545
KCTD12,2.7874382,0.29721138,0.005312658257082587,1.0,0.740909090909091
SDCBP,2.6870172,0.22512852,0.0072093248066305,1.0,0.9090909090909091
B4GALT5,2.6791565,0.2979852,0.007380788897616596,1.0,0.6363636363636364
G6PC3,2.6519146,0.43537632,0.008003680560752676,1.0,0.4772727272727273
SSR4,2.5603523,0.173955,0.010456610372078911,1.0,0.9590909090909091
CD55,2.5002327,0.14471824,0.012411173729236996,1.0,0.9363636363636364
NKTR,2.369388,0.37003636,0.017817550880621032,1.0,0.5136363636363637
NDUFB11,2.351088,0.18510869,0.018718604821434677,1.0,0.8863636363636364
ARHGDIB,2.32578,0.11054661,0.020030289595477334,1.0,0.9227272727272727
TCTEX1D2,2.3191047,0.41880587,0.020389360987968393,1.0,0.4636363636363636
PSAP,2.3054628,0.18725406,0.021140662850057244,1.0,0.9363636363636364
HNRNPAB,2.3021772,0.1875128,0.02132518042812356,1.0,0.9227272727272727
ERGIC3,2.2064142,0.16755962,0.027355002751849197,1.0,0.85
CHMP3,2.1947064,0.20265204,0.028184657521098846,1.0,0.6772727272727272
EBP,2.1788812,0.28301454,0.029340494850935102,1.0,0.5318181818181819
APH1B,2.1699393,0.7217396,0.03001145448850057,1.0,0.2409090909090909
DDHD2,2.1544466,0.4338504,0.031205166571951628,1.0,0.33181818181818185
RABAC1,2.14931,0.117985085,0.03160982498416356,1.0,0.9136363636363637
BIN1,2.1470227,0.48909858,0.03179148065090729,1.0,0.37272727272727274
DDX17,2.1470017,0.20912176,0.03179313616308007,1.0,0.9136363636363637
CIR1,2.1429882,0.36862335,0.03211403690470885,1.0,0.45
RPL31,2.1418238,0.07120521,0.03220766600636002,1.0,0.9954545454545455
SERPINB6,2.1378934,0.1684718,0.032525393182499834,1.0,0.8318181818181818
TRIR,2.1137292,0.20417324,0.03453840619258396,1.0,0.8227272727272728
NPC2,2.0871942,0.14749534,0.03687058234500948,1.0,0.9045454545454545
PDCD10,2.0866952,0.28466162,0.03691570236354247,1.0,0.5818181818181818
MAP1LC3A,2.08029,0.29041716,0.03749892902902617,1.0,0.5409090909090909
SQSTM1,2.044002,0.21935585,0.040953336084831635,1.0,0.8136363636363636
ARPC2,2.038013,0.1119368,0.041548627098086384,1.0,0.9818181818181818
FURIN,2.0360792,0.6583173,0.04174241471775375,1.0,0.2818181818181818
SEPTIN7,2.0340204,0.15028395,0.04194954498808103,1.0,0.8636363636363636
