names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
RNF13,3.0804582,1.6320617,0.002066823327779523,1.0,0.5357142857142857
DNAJC15,3.0790353,0.92838126,0.0020767213744014045,1.0,0.7857142857142857
POLR2K,3.015888,0.7700558,0.00256227903003421,1.0,0.9285714285714286
HSP90AB1,2.9746199,0.31128046,0.0029335176049636747,1.0,1.0
SPATS2L,2.9568913,0.8731005,0.00310757678422881,1.0,0.75
TOMM40,2.9306836,1.2450669,0.003382169705874666,1.0,0.6071428571428571
NMI,2.915208,1.2035097,0.003554513633487362,1.0,0.6428571428571429
SRPX,2.8837235,0.71700156,0.0039300366222525815,1.0,0.9642857142857143
ZKSCAN1,2.8387792,0.8880307,0.004528647173761861,1.0,0.75
CNRIP1,2.781502,1.0637399,0.005410798672145941,1.0,0.6428571428571429
VDAC3,2.7769365,0.71562934,0.0054873900261617,1.0,0.8571428571428571
ZNF581,2.768161,1.4340228,0.005637358208091304,1.0,0.5357142857142857
IDS,2.7252328,0.81944174,0.006425615464128046,1.0,0.7142857142857143
SAR1A,2.696772,0.95951325,0.007001516591090614,1.0,0.6785714285714286
NUDT3,2.6946375,0.88436985,0.007046523259326832,1.0,0.7142857142857143
CMTM6,2.6808224,0.6341011,0.007344151366609438,1.0,0.8214285714285714
FTH1,2.6574016,0.28286397,0.007874560954558478,1.0,1.0
PSMA3,2.6391392,0.6752152,0.00831168559598968,1.0,0.9285714285714286
PSMA7,2.635878,0.3684507,0.008391989068876489,1.0,1.0
RHOC,2.6346328,0.5548659,0.008422832999890344,1.0,1.0
SLC25A5,2.6148882,0.42284834,0.008925665435422817,1.0,0.9642857142857143
RPS14,2.614829,0.13941355,0.008927214978476341,1.0,1.0
ATP5PD,2.6094925,0.52046937,0.009067661599044947,1.0,0.8928571428571429
RPL29,2.594195,0.18406223,0.009481271485858632,1.0,1.0
NDUFAB1,2.5928905,0.62632024,0.009517307319118418,1.0,0.9642857142857143
SHARPIN,2.5745096,0.9865308,0.010038230237233034,1.0,0.6071428571428571
TPT1,2.5576704,0.13955551,0.010537593692949192,1.0,1.0
