names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CLU,4.257968,0.7480707,2.0629369533320327e-05,0.6139712960506796,0.9058823529411765
GRPEL1,3.6368935,0.72925705,0.00027594594742064946,1.0,0.6588235294117647
EIF4E,3.4470906,0.6024017,0.0005666582535158388,1.0,0.7294117647058823
ICAM2,3.1688871,0.410322,0.0015302381714983315,1.0,0.9176470588235294
LTA4H,3.042634,0.6577915,0.0023451732483145064,1.0,0.6
RPAIN,2.9506445,0.62943256,0.0031711179050859964,1.0,0.6588235294117647
TWISTNB,2.9482405,0.64536816,0.0031958829469763608,1.0,0.5647058823529412
RBFA,2.9296868,0.8010381,0.003393037463815616,1.0,0.5058823529411764
HDLBP,2.900942,0.410515,0.003720425028939503,1.0,0.9058823529411765
ZMYND8,2.8361735,0.48362595,0.004565762049695244,1.0,0.7058823529411765
SEPTIN6,2.8216488,0.50568575,0.004777744979545233,1.0,0.7647058823529411
XIST,2.7529528,0.28644392,0.005906039171252909,1.0,0.9529411764705882
INTS6,2.7514632,0.7700703,0.005932968673051005,1.0,0.4823529411764706
CREBRF,2.7405612,0.97508955,0.006133435576211175,1.0,0.3764705882352941
HNRNPA0,2.7399518,0.54416883,0.006144819768505289,1.0,0.6470588235294118
ARMCX3,2.7357874,0.55673456,0.0062231223740080565,1.0,0.6235294117647059
GATAD2A,2.7288465,0.59510416,0.006355624879932721,1.0,0.5764705882352941
UGGT1,2.7120197,0.8094973,0.006687461895063218,1.0,0.4588235294117647
MACF1,2.602052,0.39153513,0.009266782564304894,1.0,0.9411764705882353
FGD5-AS1,2.599411,0.74378264,0.009338387580002468,1.0,0.5058823529411764
BAZ2B,2.5787244,0.59923416,0.009916587427205014,1.0,0.5176470588235295
ZFC3H1,2.5690413,0.7109758,0.010198031610726611,1.0,0.4470588235294118
SRPRA,2.552756,0.53189397,0.010687433756961715,1.0,0.6
CCNQ,2.5504198,0.9922877,0.010759325686361747,1.0,0.32941176470588235
CTSB,2.53427,0.26668662,0.011268186069522618,1.0,0.9411764705882353
ZNF770,2.5086064,0.7440432,0.012120846890131329,1.0,0.4117647058823529
COL5A2,2.505864,0.45275265,0.01221526127841374,1.0,0.7529411764705882
PGK1,2.4690614,0.30529717,0.013546800931941699,1.0,0.8
MTRNR2L8,2.4493227,0.45904735,0.014312518434725955,1.0,0.6823529411764706
SPTAN1,2.4400797,0.43059596,0.014684024217399297,1.0,0.7058823529411765
DIMT1,2.4259274,0.683918,0.015269325176644024,1.0,0.4588235294117647
ARID1B,2.417497,0.53599805,0.01562766404679478,1.0,0.5411764705882353
RABAC1,2.4108949,0.26575315,0.015913436000337153,1.0,0.9529411764705882
ZNF593,2.3844185,0.41826048,0.017106131664066493,1.0,0.7294117647058823
TMEM173,2.3806944,0.5424959,0.017280044137664104,1.0,0.49411764705882355
S1PR1,2.361125,0.4715371,0.01821959137971193,1.0,0.7764705882352941
PPP6R1,2.3591273,0.7696,0.018317967413355365,1.0,0.4
IGFBP4,2.3361723,0.43703964,0.019482264979564404,1.0,0.6588235294117647
VEZT,2.3346148,0.5195592,0.019563550431067583,1.0,0.5529411764705883
MMP14,2.3302472,0.5298805,0.01979308538926178,1.0,0.5294117647058824
MBOAT7,2.326083,0.31519744,0.020014130762630193,1.0,0.8117647058823529
ELOVL1,2.3239498,0.4786774,0.02012818131105485,1.0,0.5882352941176471
SNCA,2.312303,0.2985059,0.020760989909247747,1.0,0.8823529411764706
RAB4A,2.3114905,0.5295803,0.020805779573749822,1.0,0.5411764705882353
RTN3,2.297372,0.4729359,0.021597554403969276,1.0,0.6352941176470588
ARL6IP5,2.2967966,0.33327833,0.021630382084024524,1.0,0.8705882352941177
