names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
S100A10,4.1165233,0.2088251,3.846308046457842e-05,0.5508872360068886,1.0
ERCC1,4.0310454,0.7376036,5.552925569587615e-05,0.5508872360068886,0.6632653061224489
UQCR10,3.925128,0.40884516,8.668365020087125e-05,0.6449696993195825,1.0
RPS26,3.4939613,0.24252905,0.00047590993564934695,1.0,1.0
MRPL13,3.095707,0.5186399,0.0019634427060186786,1.0,0.6938775510204082
C17orf49,3.0469842,0.4338846,0.002311498365560279,1.0,0.826530612244898
MPC1,2.9078078,0.7874297,0.0036397195611214406,1.0,0.4387755102040816
PSMB1,2.858266,0.33914673,0.004259629325840868,1.0,0.8571428571428571
MRPS24,2.855967,0.4257684,0.004290596910542514,1.0,0.8469387755102041
LY6E,2.8327868,0.4397013,0.004614416513924694,1.0,0.7857142857142857
MRPL42,2.8113701,0.4623301,0.004933100583002523,1.0,0.6632653061224489
PFN1,2.7889142,0.17092669,0.005288507994688011,1.0,1.0
C12orf10,2.7847254,0.6660964,0.005357308392930852,1.0,0.5102040816326531
PPM1G,2.7815127,0.33499306,0.005410619111277391,1.0,0.8571428571428571
NDUFA7,2.7505217,0.37781182,0.005950044131282333,1.0,0.8877551020408163
NDUFA4,2.7012005,0.27146488,0.006908965932491699,1.0,0.9795918367346939
DDOST,2.6806657,0.44661185,0.007347584892740768,1.0,0.7244897959183674
TOMM6,2.657517,0.31315765,0.007871861978760643,1.0,0.8979591836734694
COTL1,2.6424308,0.31806716,0.008231326090055276,1.0,0.9081632653061225
COX17,2.6169515,0.3178453,0.008871896281013923,1.0,0.7755102040816326
NDUFB4,2.5721655,0.27220398,0.010106455483074242,1.0,0.9285714285714286
YWHAQ,2.5257733,0.3001533,0.011544391737272288,1.0,0.8877551020408163
PFDN2,2.5230334,0.32246083,0.011634737238773639,1.0,0.9693877551020408
TEK,2.448894,0.78779453,0.014329557590771579,1.0,0.3877551020408163
CCDC59,2.4475713,0.524069,0.014382266574827725,1.0,0.5102040816326531
ALKBH7,2.4280128,0.3934618,0.015181803164235435,1.0,0.7244897959183674
RPL19,2.4241705,0.095997155,0.015343399450416725,1.0,1.0
GATAD1,2.4180605,0.5123512,0.01560348307123445,1.0,0.5510204081632653
SMIM4,2.4128952,0.51168627,0.01582636511543802,1.0,0.5306122448979592
RPL29,2.4042342,0.09876012,0.01620638807001856,1.0,1.0
COA3,2.4022815,0.51094925,0.01629316568076793,1.0,0.5816326530612245
UBE2I,2.4017146,0.35169873,0.016318435535097552,1.0,0.7959183673469388
AK1,2.4011161,0.43711197,0.016345146623040856,1.0,0.6428571428571429
NDUFA3,2.3904393,0.2941252,0.01682822778152374,1.0,0.7653061224489796
COA8,2.3706605,0.44135323,0.01775633276108914,1.0,0.673469387755102
STOML2,2.3688023,0.35849783,0.01784579013676956,1.0,0.8469387755102041
IK,2.348614,0.3683112,0.018843430142207032,1.0,0.7244897959183674
XPOT,2.345433,0.4859862,0.01900499398365257,1.0,0.5306122448979592
PCBD1,2.3347876,0.32377714,0.019554514669698205,1.0,0.7959183673469388
APRT,2.32304,0.22018193,0.02017700092612033,1.0,0.9795918367346939
SELENOS,2.3187883,0.371253,0.020406521910869793,1.0,0.7040816326530612
SLC38A1,2.3171506,0.43578246,0.020495535659718452,1.0,0.5816326530612245
RAN,2.3023794,0.25244167,0.02131378966966973,1.0,1.0
RPS13,2.297466,0.08645793,0.021592194329550733,1.0,1.0
RSL24D1,2.2966473,0.29931468,0.021638901587913546,1.0,0.8979591836734694
JKAMP,2.2865374,0.6734145,0.022222842159944387,1.0,0.42857142857142855
STIP1,2.2778132,0.42212346,0.02273770804010888,1.0,0.6122448979591837
PARP1,2.2737818,0.40329853,0.022979105180179975,1.0,0.6836734693877551
RPS23,2.2558613,0.08532666,0.02407932469182589,1.0,1.0
H1FX,2.24446,0.44052973,0.024802818820434808,1.0,0.6326530612244898
AURKAIP1,2.239106,0.2317546,0.02514902880087181,1.0,0.8469387755102041
PFDN4,2.2332792,0.3617473,0.02553053246854946,1.0,0.6836734693877551
INTS11,2.232744,0.95940447,0.02556583944689591,1.0,0.30612244897959184
EEF1E1,2.2302244,0.4551284,0.02573255760367663,1.0,0.5510204081632653
EIF2S2,2.2263818,0.13018668,0.025988612991776933,1.0,0.9693877551020408
AIMP1,2.2188547,0.3716154,0.026496619651303746,1.0,0.673469387755102
RPL22L1,2.2119887,0.19255772,0.02696744812829305,1.0,0.9897959183673469
TARS,2.1994536,0.42297038,0.027845681180440927,1.0,0.673469387755102
SSR2,2.1969655,0.26652756,0.028022906819285067,1.0,0.9285714285714286
CMTM6,2.1827612,0.28528592,0.02905339294590752,1.0,0.7551020408163265
PKM,2.1797378,0.15943444,0.029276904351238236,1.0,0.9591836734693877
MYCBP,2.1730924,0.5592602,0.029773368542274022,1.0,0.46938775510204084
PA2G4,2.1679587,0.22134985,0.03016183289954675,1.0,0.9795918367346939
PAIP2,2.1653445,0.386778,0.030361308049836402,1.0,0.6020408163265306
HMGB1,2.163833,0.15789089,0.03047718361230614,1.0,0.9897959183673469
SEM1,2.1614077,0.21020167,0.030663860782020443,1.0,0.9285714285714286
RBX1,2.156967,0.2236571,0.03100824419968449,1.0,0.8775510204081632
LSM4,2.1487467,0.32438415,0.03165448491143181,1.0,0.6836734693877551
RPL32,2.1449673,0.07892759,0.03195546195989187,1.0,1.0
RPP21,2.1381328,0.45109257,0.03250596008195721,1.0,0.5102040816326531
UQCRQ,2.1354873,0.15552203,0.03272122657439262,1.0,0.9795918367346939
POLR2G,2.1313615,0.35347602,0.033059375923066084,1.0,0.7040816326530612
DYNLT1,2.1309204,0.23366392,0.03309569031019327,1.0,0.9183673469387755
UBA52,2.1230783,0.09605602,0.03374729385288363,1.0,1.0
GSTK1,2.117913,0.31699845,0.034182429126767506,1.0,0.7244897959183674
DPP7,2.1171887,0.4898975,0.03424383595256322,1.0,0.5408163265306123
EIF4EBP1,2.1142912,0.2581599,0.034490406873885916,1.0,0.9693877551020408
COMMD1,2.0837095,0.5396337,0.03718659856211187,1.0,0.45918367346938777
NASP,2.077253,0.35841,0.03777821126114162,1.0,0.7040816326530612
DHX30,2.0707335,0.5720343,0.038383701311733485,1.0,0.4897959183673469
CRIP2,2.0672376,0.13287255,0.03871176861252708,1.0,0.9693877551020408
MRPS7,2.0651274,0.54844636,0.03891094198808323,1.0,0.46938775510204084
PSME1,2.0609386,0.28755245,0.0393088959979099,1.0,0.8367346938775511
TNFRSF10B,2.0582616,0.45577583,0.03956503328266097,1.0,0.5204081632653061
RPL12,2.0577576,0.084270716,0.03961340545156176,1.0,1.0
PHPT1,2.0513012,0.19296713,0.04023762844639598,1.0,0.9489795918367347
RAB32,2.0504823,0.33327958,0.04031739113323175,1.0,0.7040816326530612
MEAF6,2.0483406,0.39873093,0.04052663539137841,1.0,0.5612244897959183
HINT1,2.0462306,0.1440527,0.04073370225916697,1.0,1.0
LRRC75A,2.045758,0.40723252,0.040780183165388825,1.0,0.6632653061224489
LAMTOR5,2.0438683,0.3126542,0.040966556560913935,1.0,0.8571428571428571
KRT18,2.021255,0.21474114,0.04325338347335934,1.0,1.0
MRPS17,2.0164676,0.46341342,0.04375109497273159,1.0,0.46938775510204084
FAM8A1,2.0122788,1.0221074,0.04419055165536345,1.0,0.24489795918367346
COA4,2.0111766,0.31777704,0.0443068154487971,1.0,0.7653061224489796
POLR2L,2.0101056,0.18451144,0.0444200045014276,1.0,1.0
MZT2B,2.007271,0.19535738,0.04472080093095169,1.0,0.9489795918367347
PSMC5,2.0071766,0.3513487,0.0447308569967344,1.0,0.7040816326530612
NKAP,1.9940118,0.41189525,0.04615077179788529,1.0,0.5102040816326531
S100A11,1.9843428,0.16504358,0.04721764114002809,1.0,1.0
UQCC2,1.9776974,0.2679618,0.047962862199599075,1.0,0.8571428571428571
GMPPB,1.9668945,1.0563211,0.049195370299218985,1.0,0.23469387755102042
AKR1A1,1.9640915,0.39199078,0.04951948372004229,1.0,0.5714285714285714
RPL30,1.9511786,0.066949956,0.05103581190937692,1.0,1.0
ERO1A,1.9498873,0.46759313,0.0511895607853789,1.0,0.45918367346938777
LSM14A,1.9489108,0.39347157,0.05130606722660833,1.0,0.5714285714285714
SRM,1.9475566,0.25685444,0.05146804037324017,1.0,0.9081632653061225
TBCA,1.9462968,0.17232613,0.05161909709994102,1.0,0.9693877551020408
RPS7,1.9448481,0.079465345,0.051793270824510275,1.0,1.0
RPL28,1.9412891,0.072347626,0.05222322092391834,1.0,1.0
PRDX3,1.9393679,0.26156032,0.05245655577265756,1.0,0.7448979591836735
ID1,1.9315572,0.39059183,0.05341418984581246,1.0,0.5816326530612245
GSTP1,1.926077,0.16542172,0.05409475845780771,1.0,1.0
VPS28,1.9183292,0.26366374,0.05506927690168899,1.0,0.9081632653061225
RPL39,1.9082508,0.08259431,0.05635880351852415,1.0,1.0
ETHE1,1.8996842,0.42449066,0.057474575200354566,1.0,0.5
ZCCHC10,1.8804723,0.6184373,0.060043745471235026,1.0,0.3673469387755102
GTF2F1,1.875622,0.46055916,0.06070720122617472,1.0,0.5
SRP14,1.8752756,0.13020194,0.0607548224622842,1.0,0.9897959183673469
GID8,1.8747087,0.46206588,0.060832814884883936,1.0,0.46938775510204084
MIF,1.8735118,0.11811837,0.06099773798178252,1.0,1.0
RECQL,1.8705199,0.3876305,0.06141166669908542,1.0,0.5510204081632653
TXNDC12,1.8585203,0.4126699,0.06309517365244377,1.0,0.5102040816326531
PSMG4,1.8545203,0.33766082,0.06366474981794552,1.0,0.6224489795918368
TRAPPC2L,1.8511504,0.40952113,0.06414791960333766,1.0,0.5612244897959183
OLA1,1.8451349,0.3175936,0.06501792471907099,1.0,0.7653061224489796
COX7A2,1.844631,0.1020697,0.06509124446133294,1.0,0.9693877551020408
S100A6,1.8394028,0.08959785,0.06585596853817245,1.0,1.0
PHF14,1.8353399,0.49645406,0.06645534203201571,1.0,0.4489795918367347
PPP1R14B,1.8323479,0.21859844,0.06689960811279218,1.0,0.9693877551020408
ACTB,1.8279386,0.068261616,0.06755877042678705,1.0,1.0
TLE5,1.8252615,0.25017884,0.06796157668621146,1.0,0.8163265306122449
TMSB10,1.8240331,0.0775268,0.06814705359929679,1.0,1.0
RPS27L,1.8145847,0.09157345,0.06958775613402768,1.0,0.9897959183673469
MT2A,1.8138918,0.1369708,0.06969438453304128,1.0,0.9795918367346939
UBE2J1,1.8122226,0.4563509,0.06995181292579299,1.0,0.47959183673469385
ZNF22,1.809262,0.3918018,0.07041030333148907,1.0,0.5306122448979592
RPL35,1.8083172,0.07336743,0.07055714796752707,1.0,1.0
TBPL1,1.806081,0.62971634,0.07090568121388768,1.0,0.32653061224489793
ARPC5L,1.8051047,0.29030126,0.07105829982693133,1.0,0.6428571428571429
HES2,1.8039079,0.40005648,0.07124574800261614,1.0,0.5408163265306123
ATP5MC1,1.7929791,0.2106514,0.0729762623901321,1.0,0.9387755102040817
CEBPZ,1.7889793,0.34928262,0.07361815622806633,1.0,0.5306122448979592
HDDC2,1.7879084,0.45091125,0.07379078311481112,1.0,0.5
BTF3L4,1.7872785,0.35216165,0.07389248284909512,1.0,0.5714285714285714
SNRPG,1.7857983,0.18847345,0.07413192831341807,1.0,0.8673469387755102
MAF1,1.7839715,0.39589942,0.07442828799274842,1.0,0.5204081632653061
TPM2,1.7756568,0.15020917,0.07578949029622857,1.0,0.9081632653061225
SYNJ2,1.7742081,0.33461022,0.07602873491097065,1.0,0.5612244897959183
COX6B1,1.7713106,0.15059389,0.07650907247056608,1.0,0.9693877551020408
C9orf16,1.7668698,0.22532499,0.07725004180477318,1.0,0.9183673469387755
AP3D1,1.7614841,0.46228585,0.07815649878286848,1.0,0.41836734693877553
DNAJC8,1.7609172,0.20652457,0.07825241695920693,1.0,0.826530612244898
GLUD1,1.7595314,0.39601234,0.078487287054918,1.0,0.5408163265306123
DDHD2,1.7518781,0.6391622,0.07979476389167055,1.0,0.32653061224489793
RUVBL2,1.7461146,0.47441638,0.08079104802241369,1.0,0.4387755102040816
FLT1,1.7405084,0.49893197,0.08176977852544852,1.0,0.40816326530612246
MRPL24,1.7404139,0.3856302,0.08178635604097302,1.0,0.5
MED31,1.7387762,0.3793061,0.08207413307897161,1.0,0.5
TBRG4,1.7304931,0.6729049,0.08354222486449445,1.0,0.29591836734693877
RPS16,1.7277215,0.081570834,0.0840381718835739,1.0,1.0
VCL,1.7271546,0.29256344,0.08413990860678226,1.0,0.8673469387755102
EZR,1.727123,0.24955516,0.08414556356859135,1.0,0.826530612244898
SRI,1.7257373,0.23967962,0.08439468658414134,1.0,0.7755102040816326
YBX1,1.7249184,0.09731939,0.0845421759523951,1.0,1.0
RTRAF,1.724383,0.15455431,0.08463872401395986,1.0,0.8367346938775511
TAF7,1.7162573,0.373138,0.0861149614720454,1.0,0.47959183673469385
ZFP90,1.715029,0.7913941,0.08633991271448867,1.0,0.24489795918367346
ERG,1.7143046,0.497542,0.08647279859940056,1.0,0.3979591836734694
NMT1,1.7132968,0.30698743,0.08665795802198055,1.0,0.6122448979591837
FO393401.1,1.7065568,1.1374626,0.08790445494387093,1.0,0.19387755102040816
EMP3,1.7046356,0.19877857,0.08826240107521525,1.0,0.9897959183673469
COPS4,1.7006987,0.38635954,0.08899956830467352,1.0,0.47959183673469385
COX5A,1.6952187,0.23047002,0.09003395440802858,1.0,0.8877551020408163
MAGOH,1.6920061,0.40541863,0.09064480339090025,1.0,0.4897959183673469
MRPL33,1.6901164,0.24043311,0.09100568079494958,1.0,0.8469387755102041
UQCR11,1.6886047,0.13781448,0.0912952137836307,1.0,0.9897959183673469
TMEM223,1.6875339,0.4346993,0.09150074733673189,1.0,0.42857142857142855
MPLKIP,1.6860851,0.3073013,0.09177941393455015,1.0,0.6020408163265306
