names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
IGFBP6,4.0258055,0.8281581,5.678064876145168e-05,1.0,0.6966292134831461
ATP5F1C,3.0302608,0.38680175,0.002443427260596932,1.0,0.9213483146067416
WDR75,2.9408572,1.1218319,0.0032730542293465323,1.0,0.38202247191011235
RBM4,2.7212677,0.5595082,0.006503205798037013,1.0,0.5955056179775281
ANKRD1,2.675458,0.5339442,0.007462722818153325,1.0,0.7078651685393258
PPP1CC,2.6534295,0.43383467,0.007967839427653355,1.0,0.7640449438202247
DCTN2,2.5970685,0.45391887,0.009402313413765684,1.0,0.6853932584269663
COX14,2.590652,0.41262615,0.009579431917623227,1.0,0.7191011235955056
PIK3C2A,2.5825815,0.513097,0.00980641994735366,1.0,0.6741573033707865
TARS,2.58192,0.4417015,0.009825236361845829,1.0,0.6853932584269663
PTGES3,2.533497,0.25981045,0.011293064374418378,1.0,0.9213483146067416
CD47,2.4562986,0.38349286,0.014037647052083864,1.0,0.7415730337078652
SRSF5,2.4026167,0.39634138,0.016278236811322937,1.0,0.6741573033707865
MYOF,2.3862112,0.3776742,0.017022970330100265,1.0,0.7752808988764045
YWHAE,2.3783393,0.1783724,0.01739081905171522,1.0,1.0
SBDS,2.3627937,0.4343475,0.01813776531266809,1.0,0.7078651685393258
BUD23,2.3557816,0.60738194,0.018483780687714516,1.0,0.48314606741573035
QSOX1,2.3496296,0.42414197,0.01879210392815319,1.0,0.6404494382022472
FAM207A,2.3313055,0.550404,0.019737250239001376,1.0,0.550561797752809
FAM126A,2.3289902,0.49598926,0.019859578501457614,1.0,0.5955056179775281
ERG,2.290788,0.62769604,0.021975682651703982,1.0,0.43820224719101125
MKNK2,2.2801375,0.7662184,0.022599531556454444,1.0,0.4157303370786517
CARHSP1,2.2675357,0.52882046,0.023357519207882,1.0,0.550561797752809
CERT1,2.2354853,0.9006385,0.0253854992396148,1.0,0.34831460674157305
CCN1,2.2334347,0.34843883,0.02552029164775381,1.0,0.8089887640449438
SMARCB1,2.2259266,0.5584594,0.026019103099751174,1.0,0.5280898876404494
CBX3,2.2249672,0.30977026,0.026083431139533094,1.0,0.8764044943820225
EIF3F,2.2216928,0.22842288,0.026304070590379057,1.0,0.8764044943820225
NUDCD2,2.2210975,0.5145505,0.02634435966126478,1.0,0.5617977528089888
DEK,2.2159708,0.31185472,0.02669350534052376,1.0,0.7752808988764045
SP100,2.2078671,0.40229747,0.027253531067914418,1.0,0.7078651685393258
RBMX,2.202939,0.44545543,0.027599052789003584,1.0,0.6404494382022472
LYL1,2.199003,0.46979707,0.027877713820266305,1.0,0.5955056179775281
NUDT3,2.197713,0.43748274,0.027969565923834056,1.0,0.6067415730337079
MPLKIP,2.1940415,0.39791778,0.02823242038122719,1.0,0.6404494382022472
NDUFA5,2.1939754,0.4116147,0.02823717595413392,1.0,0.651685393258427
MOSPD2,2.188584,1.0800923,0.028627082841291365,1.0,0.2808988764044944
COL4A6,2.186368,0.59405863,0.028788690944778057,1.0,0.47191011235955055
SPTAN1,2.178992,0.4880832,0.02933225131338702,1.0,0.6179775280898876
SUCLG1,2.1746593,0.4292251,0.029655661630887967,1.0,0.6179775280898876
MRPL37,2.1690695,0.5153848,0.03007741168275361,1.0,0.550561797752809
TRIM44,2.1563354,0.46321335,0.031057491520749797,1.0,0.5955056179775281
RPS26,2.1497202,0.16624646,0.03157735508754747,1.0,1.0
SQSTM1,2.1161153,0.31921092,0.034335002561916066,1.0,0.8426966292134831
TOX4,2.1060934,0.5765241,0.03519624252483645,1.0,0.42696629213483145
UBL5,2.104142,0.2211215,0.03536607024382378,1.0,0.9887640449438202
