names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
POMP,3.5029857,0.32032263,0.00046007417019666377,1.0,0.9629629629629629
RPS29,3.0900064,0.1583785,0.0020015216354764094,1.0,1.0
CDC123,2.917154,0.62031865,0.003532413432152709,1.0,0.5925925925925926
ATP5F1E,2.8661864,0.14872183,0.004154494871710552,1.0,1.0
WDR18,2.7438853,0.96946305,0.0060716770051088146,1.0,0.4444444444444444
GNG5,2.6943054,0.28654113,0.007053548774898284,1.0,0.9259259259259259
RAC2,2.6354275,0.4904754,0.008403140367024466,1.0,0.7407407407407407
MICOS13,2.5716572,0.35843778,0.010121303887687534,1.0,0.9506172839506173
CMSS1,2.5455663,0.5627269,0.01091006387395626,1.0,0.6666666666666666
YWHAE,2.5416803,0.15962285,0.011032098881350321,1.0,0.9876543209876543
FKBP8,2.4261448,0.5085981,0.015260181478124414,1.0,0.6049382716049383
RBX1,2.4145913,0.277084,0.015752878526963224,1.0,0.8888888888888888
PGLS,2.37202,0.3681108,0.017691135087471666,1.0,0.8271604938271605
C12orf73,2.3611257,1.0423435,0.018219558533070584,1.0,0.32098765432098764
OLA1,2.3499885,0.3672586,0.018773996997349628,1.0,0.7037037037037037
UBE2R2,2.2857673,0.40714857,0.02226788093763737,1.0,0.7037037037037037
RPS27,2.2811875,0.099298306,0.02253735896427854,1.0,1.0
MRPL33,2.2746646,0.39247015,0.022926052579261343,1.0,0.8518518518518519
AIP,2.2410102,0.5908055,0.02502541738711103,1.0,0.5061728395061729
CALM2,2.2357364,0.12910713,0.02536903973092229,1.0,1.0
TNPO1,2.2342446,0.38891804,0.0254669865612829,1.0,0.7777777777777778
ARHGAP18,2.2069392,0.44792357,0.02731830198793396,1.0,0.6666666666666666
SRSF11,2.123358,0.306588,0.033723857701441005,1.0,0.8024691358024691
RWDD1,2.1211722,0.26193532,0.033907308457127056,1.0,0.8395061728395061
TSPO,2.117009,0.16458863,0.03425909953631406,1.0,1.0
RPL38,2.1075716,0.096636504,0.035068056279329636,1.0,1.0
FLT1,2.103547,0.72648,0.03541798098939311,1.0,0.43209876543209874
FAM107A,2.1030612,0.47989744,0.035460414092353475,1.0,0.5679012345679012
