names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
AP2S1,3.4744692,0.2796796,0.0005118653366545768,1.0,0.9888888888888889
SERPINB9,3.0769134,0.7824947,0.002091561168766415,1.0,0.5444444444444444
LAMTOR4,2.926021,0.3653088,0.0034332772616980384,1.0,0.8444444444444444
GNAS,2.8559687,0.19376336,0.004290575655947119,1.0,0.9888888888888889
YY1,2.8265662,0.4162563,0.004705000153074383,1.0,0.8111111111111111
PRELID1,2.781213,0.2787536,0.005415617241653472,1.0,0.9
GNAI2,2.6605453,0.20095575,0.007801422402958236,1.0,0.9444444444444444
SNHG25,2.6507776,0.5679527,0.00803067355411598,1.0,0.6333333333333333
TMEM14B,2.5374768,0.42653808,0.011165480169976738,1.0,0.7111111111111111
SRP9,2.5098832,0.3978542,0.01207710756986631,1.0,0.8555555555555555
PCYT2,2.403522,0.8831313,0.01623799107421455,1.0,0.4
ARL2,2.3972075,0.34569928,0.016520570211498806,1.0,0.9222222222222223
SLC25A1,2.3817828,0.4254156,0.01722906084365141,1.0,0.7333333333333333
PLIN3,2.3606684,0.5878084,0.018242038700324432,1.0,0.4888888888888889
CAST,2.3411984,0.17058004,0.019221952948036858,1.0,0.9333333333333333
TANK,2.3041,0.58836526,0.021217022790019736,1.0,0.4444444444444444
SNX3,2.2956479,0.24851836,0.02169602699081675,1.0,0.9111111111111111
ARID1A,2.2928195,0.6875642,0.021858404750242113,1.0,0.45555555555555555
DGKZ,2.2733824,0.8041732,0.02300315094741057,1.0,0.37777777777777777
GLUD1,2.2341464,0.45096096,0.025473443487347352,1.0,0.6222222222222222
KPNB1,2.2210896,0.28414407,0.026344889641860374,1.0,0.8666666666666667
FOXP1,2.2184587,0.397788,0.026523580965434154,1.0,0.6888888888888889
NRBP1,2.2091184,0.42837298,0.027166416882187624,1.0,0.6555555555555556
DRAM1,2.1992188,0.7481146,0.02786236645775764,1.0,0.3888888888888889
MED20,2.193595,0.9209476,0.02826454563755374,1.0,0.28888888888888886
FKBP4,2.14344,0.4960186,0.032077785202088566,1.0,0.5222222222222223
ACO1,2.132488,0.38959584,0.03296673951657668,1.0,0.6888888888888889
BRWD1,2.1223915,0.5557034,0.03380488647018934,1.0,0.4222222222222222
ABI2,2.1197932,0.38474602,0.03402349077809565,1.0,0.6333333333333333
PALMD,2.1139061,0.38443622,0.034523284396585044,1.0,0.6777777777777778
FHL2,2.1049275,0.32682362,0.03529761141015035,1.0,0.7555555555555555
DCTPP1,2.0990076,0.60617495,0.035816224723421955,1.0,0.4444444444444444
VKORC1,2.0911803,0.341049,0.03651191230126792,1.0,0.7888888888888889
PTPRE,2.0864115,0.37820694,0.036941374465144755,1.0,0.7222222222222222
TMOD3,2.0840764,0.27325448,0.03715322698081245,1.0,0.8888888888888888
SRPK1,2.0675664,0.4071401,0.03868082418940608,1.0,0.6444444444444445
IGFBP7,2.0605283,0.1870347,0.03934807628137406,1.0,0.9
PITPNB,2.05497,0.49245635,0.039881901182757376,1.0,0.5555555555555556
LINC00662,2.0197136,0.5315895,0.04341310591905187,1.0,0.4444444444444444
CCDC28B,2.016326,0.5297755,0.04376589102953333,1.0,0.45555555555555555
REX1BD,2.0111625,0.29091704,0.04430828724889455,1.0,0.7111111111111111
PRKCH,1.999553,0.6146939,0.04554855902669549,1.0,0.4222222222222222
SLC38A2,1.9849504,0.33449572,0.047149982475646085,1.0,0.7
PECAM1,1.9791292,0.33425727,0.047801460435557906,1.0,0.7555555555555555
TTYH3,1.971532,0.72144324,0.048663059358768405,1.0,0.37777777777777777
IFT20,1.9623561,0.5663173,0.04972104082231802,1.0,0.4444444444444444
AK1,1.956765,0.3857909,0.0503750974782882,1.0,0.6444444444444445
ICE2,1.9421954,0.660176,0.05211344208118114,1.0,0.4111111111111111
GID8,1.9413403,0.5602927,0.05221700672232157,1.0,0.4666666666666667
RPS14,1.9333813,0.068413705,0.053189236435143464,1.0,1.0
ESYT1,1.9285139,0.47417983,0.05379124176379473,1.0,0.4111111111111111
SRSF3,1.9196011,0.25031278,0.05490830660149858,1.0,0.7666666666666667
LARS,1.9168384,0.22550942,0.055258457698340716,1.0,0.8
SAP30BP,1.9161807,0.526774,0.05534210076299186,1.0,0.4666666666666667
C19orf48,1.9094057,0.75705504,0.056209780821781255,1.0,0.28888888888888886
TRAM2,1.905755,0.3841897,0.056681994186336564,1.0,0.5666666666666667
TAF7,1.896612,0.45087212,0.05787915907009473,1.0,0.5222222222222223
TSR3,1.8901001,0.47458968,0.058744569270794175,1.0,0.5222222222222223
CAPRIN1,1.8870414,0.27544844,0.05915474319905307,1.0,0.7333333333333333
SLC12A9,1.8828318,1.1998512,0.059723168401525854,1.0,0.2111111111111111
CRELD2,1.8773723,0.45252004,0.06046708561638613,1.0,0.5111111111111111
GFER,1.8702027,0.8856205,0.061455687188449064,1.0,0.32222222222222224
PCBP1,1.8688542,0.2505167,0.061643103930091106,1.0,0.8
UBXN1,1.865368,0.30935833,0.06212983857278512,1.0,0.7666666666666667
APLN,1.858889,0.30560893,0.06304287652095868,1.0,0.8777777777777778
PSMA5,1.8587574,0.33003843,0.06306152963632708,1.0,0.6777777777777778
HECTD1,1.858001,0.39806876,0.06316887360037307,1.0,0.6555555555555556
PDZD8,1.8564881,0.5239924,0.06338401459918952,1.0,0.36666666666666664
RAB3B,1.8537254,0.44024843,0.06377844299075577,1.0,0.5555555555555556
DRG1,1.8505682,0.6779376,0.06423169845145339,1.0,0.3333333333333333
TMX1,1.8498447,0.3997177,0.0643359431766643,1.0,0.5222222222222223
SNX5,1.8455033,0.33720306,0.06496434816971769,1.0,0.6222222222222222
NAA25,1.8428723,0.60612595,0.06534765799432858,1.0,0.35555555555555557
ACSF3,1.8423461,1.0806592,0.0654245433250686,1.0,0.23333333333333334
DYNC1I2,1.8370839,0.25043687,0.06619750663347868,1.0,0.8666666666666667
DOCK10,1.8342556,0.89781857,0.06661607367974973,1.0,0.2777777777777778
BOD1,1.8278751,0.52921164,0.0675682904201414,1.0,0.43333333333333335
CCDC92,1.8225472,0.7847896,0.06837199503741884,1.0,0.32222222222222224
HHIP-AS1,1.8190281,0.45229602,0.06890713417437799,1.0,0.5333333333333333
QARS,1.8172522,0.42407915,0.0691785082365885,1.0,0.5333333333333333
PGS1,1.8128122,1.405431,0.06986078566601613,1.0,0.2
CTSA,1.8020248,0.36347824,0.0715415003505144,1.0,0.6888888888888889
PERP,1.7995911,0.31386086,0.07192523130777348,1.0,0.7555555555555555
SH3KBP1,1.799032,0.37658694,0.0720136234481648,1.0,0.6333333333333333
CEBPZOS,1.7932436,0.49230108,0.07293398104879814,1.0,0.4444444444444444
TMEM50A,1.7875539,0.25986844,0.07384800921828029,1.0,0.8555555555555555
KATNBL1,1.7853175,0.5507319,0.07420983491256905,1.0,0.45555555555555555
TM2D3,1.7847255,0.5865204,0.0743058544418621,1.0,0.36666666666666664
MALL,1.7809104,0.45289406,0.07492708497315217,1.0,0.4666666666666667
SAT1,1.7779504,0.34276983,0.07541199083242543,1.0,0.6777777777777778
NOSIP,1.7743328,0.4951483,0.07600812914762671,1.0,0.4666666666666667
MXD4,1.7533828,0.28404766,0.07953632465299953,1.0,0.7
RNASEK,1.7505543,0.14678302,0.08002270051375746,1.0,0.9888888888888889
CNOT1,1.7444371,0.50374526,0.0810828973323415,1.0,0.43333333333333335
PPA1,1.743582,0.16547756,0.08123200111263498,1.0,0.8777777777777778
CASP4,1.7364781,0.5383841,0.0824793317068224,1.0,0.4777777777777778
RPL10,1.7337812,0.05489666,0.08295690278873219,1.0,1.0
PMF1,1.7330577,0.43476787,0.08308541213159111,1.0,0.4111111111111111
