names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
RTN3,4.0590672,0.8862623,4.9269106160867124e-05,1.0,0.8461538461538461
TGFB1I1,3.9349866,0.7999313,8.320137585471095e-05,1.0,0.8846153846153846
ANKRD17,3.1086636,0.77510756,0.0018793553992348451,1.0,0.6923076923076923
PAK1IP1,3.0988083,0.98615485,0.0019430064761284914,1.0,0.5576923076923077
KLF6,3.0950747,0.68363047,0.0019676336089600207,1.0,0.8269230769230769
NCKAP1,3.0058563,0.6804407,0.002648341400066247,1.0,0.7692307692307693
WASF2,2.9996045,0.6331048,0.0027033039134850578,1.0,0.7307692307692307
PINX1,2.935046,1.4185935,0.003334982738821658,1.0,0.40384615384615385
PRCP,2.93357,0.6704791,0.0033508824293061543,1.0,0.8076923076923077
CCAR1,2.8221662,0.78817636,0.004770043983305698,1.0,0.5961538461538461
MANF,2.7986786,0.7214151,0.005131218256001467,1.0,0.6923076923076923
CNTNAP1,2.7708495,1.0494822,0.005591027631894879,1.0,0.46153846153846156
TMEM160,2.7171447,0.67701614,0.006584780680175122,1.0,0.7307692307692307
CELF1,2.7161028,0.72823364,0.0066055411714941,1.0,0.6923076923076923
ERLIN2,2.7121954,0.9637244,0.0066839182103389395,1.0,0.4807692307692308
KPNA2,2.7094603,0.78361887,0.006739278519681867,1.0,0.6153846153846154
YTHDF3,2.6656108,0.93613434,0.007684860299677734,1.0,0.5
C22orf39,2.66522,0.7452136,0.00769379573432157,1.0,0.5961538461538461
TYMS,2.6412983,1.0383632,0.008258897949447655,1.0,0.4423076923076923
ZDHHC13,2.6354373,1.068016,0.008402897631436231,1.0,0.46153846153846156
DYNC1H1,2.624236,0.48380628,0.00868435755879919,1.0,0.8461538461538461
NCSTN,2.6225429,0.7229214,0.008727629141680817,1.0,0.5961538461538461
EIF2S1,2.5815153,0.6599026,0.009836759640968494,1.0,0.6730769230769231
ARF3,2.579692,0.6641358,0.00988884753503416,1.0,0.7115384615384616
NIBAN1,2.528462,1.0434867,0.011456350028823519,1.0,0.4230769230769231
FAM241A,2.5096197,0.7243192,0.012086123448999552,1.0,0.5769230769230769
NDUFB4,2.49386,0.36732286,0.012636237695319323,1.0,0.9423076923076923
TUBB4B,2.4628181,0.6055033,0.013784984275852721,1.0,0.8076923076923077
SNRNP27,2.4546125,0.78645855,0.014103649318338839,1.0,0.5769230769230769
DPYSL3,2.4529629,0.45159778,0.014168498843864157,1.0,0.8846153846153846
ANP32A,2.4476228,0.50702447,0.014380214233989004,1.0,0.75
HNRNPH1,2.4401987,0.5519104,0.014679184780408128,1.0,0.8461538461538461
PPIL4,2.4370294,0.76676905,0.014808475323152276,1.0,0.5192307692307693
ERO1A,2.4359007,0.72786903,0.014854765780657505,1.0,0.5384615384615384
RBX1,2.4153218,0.3914786,0.015721314708447964,1.0,0.9423076923076923
TUBB6,2.4066386,0.42263722,0.01610008863344486,1.0,0.8076923076923077
MAD2L2,2.4059007,0.81944823,0.0161326513006694,1.0,0.4807692307692308
KIAA0100,2.4039903,0.8058919,0.016217200092573963,1.0,0.4807692307692308
PTMA,2.3826735,0.16245224,0.01718743156099398,1.0,1.0
PSMD12,2.372688,0.55057013,0.017659175208028878,1.0,0.7692307692307693
PSMC5,2.3689542,0.48168638,0.017838459630651993,1.0,0.7307692307692307
NCOR2,2.3563204,0.7410941,0.018456989847469837,1.0,0.5576923076923077
PCGF3,2.3529341,1.0112777,0.018625938734439042,1.0,0.40384615384615385
CLEC14A,2.3441207,0.52052236,0.01907199722080645,1.0,0.7692307692307693
YIPF6,2.3410816,0.8389041,0.01922796145316103,1.0,0.46153846153846156
MTRF1L,2.3394318,0.89760303,0.01931309368388391,1.0,0.46153846153846156
GLS,2.332963,0.51383024,0.0196500875553836,1.0,0.8076923076923077
CAPZA1,2.3261034,0.37628385,0.020013036131998587,1.0,0.8461538461538461
CTNNA1,2.321675,0.41204095,0.020250440713935787,1.0,0.8461538461538461
SLK,2.318332,0.55060494,0.020431281886409684,1.0,0.7307692307692307
TUBA1C,2.3079557,0.46102646,0.021001595010982768,1.0,0.8269230769230769
BOLA3,2.3066099,0.44544864,0.021076575678655014,1.0,0.7692307692307693
FNDC3B,2.306089,0.5310346,0.021105663010025883,1.0,0.7115384615384616
RAD21,2.3054378,0.6358683,0.021142071351286092,1.0,0.7307692307692307
AC127502.2,2.3024855,1.3780581,0.02130780958604683,1.0,0.3076923076923077
ZNF800,2.293976,0.9822121,0.021791872609075086,1.0,0.38461538461538464
DDX3X,2.2876375,0.4338015,0.022158642921158527,1.0,0.8076923076923077
