names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
MT-ND2,4.5234075,0.27753836,6.08518852168115e-06,0.18110738078227437,1.0
UBE2E3,4.011698,0.69126636,6.028360666490353e-05,0.8970803507804295,0.775
MT-ATP6,3.5865068,0.18822904,0.000335137301481944,1.0,1.0
TSPAN18,3.3018475,1.2648386,0.0009605032693538858,1.0,0.4
MT-ND6,3.1513302,0.5125537,0.001625286775119957,1.0,0.875
MRPL34,3.070712,0.59636754,0.002135489520125913,1.0,0.6875
PLPBP,3.0037806,0.66360426,0.00266647501914071,1.0,0.6125
MARS,2.9644668,0.7313732,0.0030320805878076337,1.0,0.5125
ZNF10,2.7513475,0.70467913,0.005935065974728049,1.0,0.5875
FTH1,2.7393718,0.15388748,0.0061556737320143644,1.0,1.0
EXT1,2.665981,0.4182651,0.007676402884922325,1.0,0.8875
TARDBP,2.6341388,0.65253603,0.008435099480658651,1.0,0.525
ODC1,2.614028,0.41979462,0.0089481715701181,1.0,0.7625
STK17A,2.611968,0.41757178,0.00900226840065354,1.0,0.7875
HLTF,2.6003065,0.6586126,0.009314053601516473,1.0,0.5375
RPL38,2.5825698,0.118753314,0.009806751815579232,1.0,1.0
HK1,2.55593,0.6144526,0.010590444950492646,1.0,0.5375
ZC3H18,2.5450366,0.81618893,0.010926630892705019,1.0,0.425
DIP2A,2.5032086,0.60837567,0.012307293851759915,1.0,0.5375
GALNT1,2.4908838,0.23987265,0.01274257730738656,1.0,0.9375
FBLIM1,2.480968,0.4645365,0.013102611084651602,1.0,0.725
CTR9,2.479746,0.6919543,0.013147598335085758,1.0,0.475
NRP1,2.4686432,0.4085357,0.013562638170229754,1.0,0.875
MT-ND4,2.4476595,0.12569028,0.014378748709886934,1.0,1.0
AIFM1,2.4431555,0.74137205,0.014559464236678149,1.0,0.45
DGKZ,2.431878,0.90604013,0.015020765306008621,1.0,0.3875
TMEM50B,2.4140716,0.5398386,0.015775365474240334,1.0,0.575
RNF10,2.411453,0.61984026,0.01588910318827754,1.0,0.5625
SELENOF,2.4084852,0.39926967,0.016018877118729298,1.0,0.7
G3BP1,2.3900154,0.38453907,0.016847671017606217,1.0,0.8125
TRAF3,2.3867683,0.9408178,0.016997202994634877,1.0,0.325
UGDH,2.3858256,0.5850754,0.01704083308011674,1.0,0.575
ATRAID,2.3664827,0.37549254,0.0179580088360239,1.0,0.825
CCNY,2.3024843,0.46876168,0.021307883164480842,1.0,0.625
TES,2.2971423,0.4485963,0.02161065786574541,1.0,0.7
AP1S1,2.2638686,0.4002973,0.023582202524705442,1.0,0.725
MT-CO2,2.2617037,0.10580976,0.023715709120952864,1.0,1.0
