names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
TPM1,3.1289697,0.44626066,0.0017542044559980435,1.0,0.9672131147540983
PFN1,2.7808347,0.20104657,0.005421935372353925,1.0,1.0
PAIP1,2.7655346,0.7536385,0.00568295756283487,1.0,0.5573770491803278
NUCKS1,2.7486725,0.29151887,0.00598371284949255,1.0,0.9508196721311475
MRPL20,2.7058566,0.43426764,0.006812845780156581,1.0,0.8524590163934426
PLEC,2.673174,0.43502125,0.007513729228145589,1.0,0.8852459016393442
PITPNB,2.5328305,0.64053077,0.01131456653749748,1.0,0.6065573770491803
RPS21,2.5288253,0.1386435,0.011444500326465356,1.0,1.0
RPL36,2.5273833,0.11670561,0.0114915997029899,1.0,1.0
PDLIM4,2.5116827,0.4636252,0.0120157032577618,1.0,0.7704918032786885
NDUFB10,2.5068765,0.44757873,0.012180325034114948,1.0,0.9180327868852459
NDUFA11,2.4814835,0.26962808,0.013083682566727827,1.0,0.9344262295081968
APRT,2.4213648,0.24937193,0.015462353052023366,1.0,0.9672131147540983
PEMT,2.416919,0.83192384,0.01565250177163372,1.0,0.45901639344262296
EIF3K,2.397734,0.23848273,0.016496845665453008,1.0,0.9344262295081968
FRG1,2.3504322,0.86761785,0.018751630789607267,1.0,0.45901639344262296
ARPC1B,2.327562,0.20448455,0.019935364488044942,1.0,0.9508196721311475
PSMB1,2.3195918,0.31215253,0.020362972753421537,1.0,0.8360655737704918
RAB2A,2.3135037,0.33180794,0.020694956647713116,1.0,0.9016393442622951
DERL1,2.3000462,0.65220386,0.021445602748088394,1.0,0.5081967213114754
BUB3,2.2995255,0.6109851,0.02147511595569588,1.0,0.639344262295082
NAA38,2.276135,0.3450504,0.022837933946516963,1.0,0.9836065573770492
SNRPG,2.2567496,0.29798788,0.02402372495504869,1.0,0.9016393442622951
ATP5PF,2.256229,0.36844546,0.024056297620813284,1.0,0.9672131147540983
STK38L,2.2317169,1.2914563,0.025633680052746972,1.0,0.3114754098360656
HPRT1,2.2238667,0.6487003,0.0261574186714666,1.0,0.5573770491803278
AP2B1,2.2223046,0.39049432,0.026262728126097628,1.0,0.9016393442622951
PRDX1,2.2158961,0.22913364,0.026698610841344707,1.0,1.0
PUM3,2.1986737,0.651396,0.027901131990632315,1.0,0.5245901639344263
FTSJ3,2.1886606,0.94644856,0.028621516428069736,1.0,0.3770491803278688
TMEM256,2.1823723,0.29567957,0.0290820596904003,1.0,0.8360655737704918
TUBB6,2.1536148,0.4012064,0.03127039171436466,1.0,0.7868852459016393
ASAP1,2.150731,0.3096382,0.03149743466207966,1.0,0.9344262295081968
NDUFB1,2.1220536,0.38671076,0.03383324051681167,1.0,0.9016393442622951
TINAGL1,2.1179283,0.29041705,0.03418115155383616,1.0,0.9016393442622951
PPT1,2.1113596,0.54670304,0.0347414162149407,1.0,0.5737704918032787
CDCP1,2.1092367,0.45150396,0.034924146149774994,1.0,0.639344262295082
DLD,2.1091967,0.7896585,0.03492760175721061,1.0,0.4262295081967213
SNX3,2.1035495,0.3467523,0.03541777392110262,1.0,0.9672131147540983
REEP5,2.0784767,0.40335587,0.03766548349733599,1.0,0.7540983606557377
MT2A,2.0710268,0.26364172,0.03835628526489928,1.0,0.9836065573770492
CASC3,2.0655396,0.7122194,0.03887196357658194,1.0,0.4426229508196721
ESD,2.0655396,0.37203744,0.03887196357658194,1.0,0.7540983606557377
PFDN1,2.0400665,0.55243576,0.04134371251158615,1.0,0.5573770491803278
PCBD1,2.0366218,0.38910314,0.04168794641919788,1.0,0.8360655737704918
BMP6,2.0298932,1.1323504,0.0423674060551968,1.0,0.3442622950819672
PTMS,2.019079,0.17167556,0.0434790121393056,1.0,1.0
CERT1,2.0178773,0.8920507,0.04360403122942812,1.0,0.36065573770491804
RPLP1,1.9874376,0.08486,0.04687392273254151,1.0,1.0
CCDC107,1.9865965,0.85894316,0.04696712761325572,1.0,0.36065573770491804
RPL28,1.9857154,0.086465724,0.04706493800366525,1.0,1.0
COX20,1.9839531,0.50777537,0.04726107287898831,1.0,0.5573770491803278
RPS29,1.9826714,0.10196219,0.04740414779616154,1.0,1.0
PAIP2,1.9818703,0.51838624,0.04749375443752704,1.0,0.5737704918032787
XRN2,1.9601619,0.30549252,0.04997686244500159,1.0,0.9016393442622951
YIF1B,1.9538738,0.6745252,0.050716150027865226,1.0,0.4262295081967213
POMP,1.9520314,0.1340385,0.050934484017055366,1.0,0.8688524590163934
AP2A1,1.9507496,0.6350017,0.05108683235936057,1.0,0.45901639344262296
PSMC1,1.927239,0.45454305,0.053949859842110225,1.0,0.6721311475409836
ALDH1A3,1.9176664,0.6924189,0.055153321823674335,1.0,0.45901639344262296
CALR,1.9139816,0.21870245,0.05562250592560837,1.0,0.9836065573770492
CACYBP,1.8919929,0.43560958,0.05849193112695555,1.0,0.5737704918032787
COTL1,1.8886685,0.3150764,0.05893625898022362,1.0,0.9016393442622951
ADAM15,1.8820199,0.3826828,0.0598333229127745,1.0,0.6885245901639344
RPN2,1.8796568,0.2901592,0.06015487439902883,1.0,0.9508196721311475
MRPS9,1.8749306,0.836336,0.06080227625818463,1.0,0.36065573770491804
CFAP36,1.8733685,0.61811477,0.061017513229847935,1.0,0.4918032786885246
APOC1,1.8696036,0.8645138,0.061538884390538326,1.0,0.3442622950819672
LETM2,1.8646371,0.55249524,0.062232287056151664,1.0,0.4918032786885246
DDX24,1.8606318,0.29639027,0.06279617986498971,1.0,0.8360655737704918
SNHG8,1.8582687,0.33266485,0.06313085362861519,1.0,0.7704918032786885
CDC42,1.8433694,0.18588746,0.06527510697482862,1.0,0.9836065573770492
