names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
EIF4E,3.678285,0.9250553,0.0002348076795963239,1.0,0.8
FAM136A,3.473129,0.93820316,0.0005144280067193416,1.0,0.75
FDXR,3.1585073,0.98021597,0.0015857936893694314,1.0,0.65
SNRNP25,3.0193086,1.2042055,0.0025335236949112676,1.0,0.55
BAG6,3.000577,1.1710043,0.0026946867978342713,1.0,0.525
SNCA,2.963411,0.4940973,0.00304250010445958,1.0,0.85
GNS,2.7830324,0.6932754,0.005385341190064604,1.0,0.75
COX6B1,2.7477496,0.350777,0.006000580473206885,1.0,0.975
ANXA7,2.7411094,0.81300163,0.006123212430486425,1.0,0.7
GPN2,2.7200983,1.6882654,0.006526252582248352,1.0,0.375
CAVIN3,2.715688,0.78656805,0.006613823831494168,1.0,0.7
TGFBR2,2.7146473,0.65617704,0.006634640162448868,1.0,0.85
GTPBP6,2.7077096,0.85428137,0.006774927605392516,1.0,0.675
FDPS,2.7011683,0.48451063,0.006909634404180161,1.0,0.95
ZC2HC1A,2.6773822,1.1861134,0.007419993554725735,1.0,0.475
ELMO1,2.669751,1.2770834,0.007590755606326339,1.0,0.45
NDUFA2,2.6444285,0.57028973,0.008182900495039079,1.0,0.8
NOP10,2.6156373,0.3804633,0.008906111638552526,1.0,0.925
LIMA1,2.6125152,0.6028201,0.008987866246981467,1.0,0.85
RIOK1,2.5979464,1.145707,0.009378316155520053,1.0,0.475
CETN2,2.5324352,0.69107944,0.011327330770516444,1.0,0.75
SSU72,2.5309486,0.6795175,0.011375453207463283,1.0,0.775
TIMM17A,2.506865,0.671629,0.012180720749894909,1.0,0.725
POLR2L,2.4939313,0.2883046,0.012633698951382609,1.0,1.0
NUDT22,2.4370427,0.95655423,0.014807930619983051,1.0,0.525
ACOT9,2.338776,0.791526,0.01934702689802166,1.0,0.6
RPS10,2.3194003,0.30387235,0.020373345510666323,1.0,0.975
MRPL33,2.3157332,0.46678215,0.020572841143017825,1.0,0.85
RBM42,2.2726703,0.9775129,0.02304605612000478,1.0,0.475
THG1L,2.26603,1.1232554,0.023449547416251843,1.0,0.4
PRCP,2.265039,0.58984274,0.02351029284386026,1.0,0.775
THOC7,2.2598357,0.50832665,0.02383145183203118,1.0,0.775
ERG28,2.2588942,0.62248504,0.02388997114148481,1.0,0.725
CEP290,2.2398157,0.85996646,0.025102894504110053,1.0,0.575
MCFD2,2.2282693,0.4050883,0.025862553869510942,1.0,0.85
GARS,2.2195973,0.5176431,0.026446110188252495,1.0,0.875
