names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
SRSF4,3.3815055,0.720738,0.000720898150725677,1.0,0.8666666666666667
M6PR,3.276992,1.2267498,0.001049193091098171,1.0,0.5333333333333333
HES2,2.8340013,0.74967647,0.004596913950462653,1.0,0.7111111111111111
SERPINH1,2.7800634,0.5914693,0.005434826960996655,1.0,0.8444444444444444
THOC7,2.7519505,0.6759946,0.005924148424379589,1.0,0.8666666666666667
TM2D2,2.7068388,1.073195,0.006792723134609252,1.0,0.5333333333333333
COX7B,2.6923153,0.3998402,0.007095783066654611,1.0,0.9777777777777777
TMEM109,2.6905408,0.85611707,0.007133633225318921,1.0,0.6
PKIA,2.6860576,0.813288,0.00723006326900264,1.0,0.6
KLC1,2.6831155,0.83893156,0.007293979610720913,1.0,0.6444444444444445
COPRS,2.6373034,0.6877219,0.008356806118396131,1.0,0.6888888888888889
MT-ND3,2.6203516,0.2239775,0.008783918571434624,1.0,1.0
PPFIA1,2.602419,0.77273536,0.009256870978487038,1.0,0.5777777777777777
LRRFIP2,2.58019,0.6388787,0.009874598039959976,1.0,0.7333333333333333
RARS,2.5594554,0.6995215,0.01048363023500213,1.0,0.6888888888888889
RNF145,2.5572138,0.7789046,0.010551433113187477,1.0,0.6444444444444445
MAGEF1,2.5331635,1.4247015,0.01130381691060443,1.0,0.4
WDR46,2.5241039,1.1136187,0.011599362375704136,1.0,0.4444444444444444
MCTS1,2.496131,0.64225143,0.012555622578465658,1.0,0.8
FDFT1,2.4863708,0.44157583,0.012905341549917017,1.0,0.9777777777777777
UQCRB,2.4755833,0.28584072,0.013301874723744486,1.0,1.0
ZFAND5,2.4435475,0.69607013,0.014543657317611045,1.0,0.6888888888888889
HSPA4,2.4074955,0.58383495,0.01606236082812793,1.0,0.7555555555555555
HARS,2.4022183,0.7936488,0.016295973702731118,1.0,0.5333333333333333
ARPC3,2.3854067,0.32437357,0.017060251229511242,1.0,1.0
HMGN3,2.3809235,0.56848276,0.017269297310787548,1.0,0.8666666666666667
NR2F1-AS1,2.3803632,1.0236,0.01729558539921208,1.0,0.4222222222222222
SNTB2,2.3711634,0.49479234,0.017732193136920513,1.0,0.7777777777777778
AL096870.8,2.363925,1.0481001,0.018082476728060234,1.0,0.37777777777777777
HDDC3,2.3602824,0.8390238,0.018261029653601313,1.0,0.4666666666666667
DPP9,2.349775,0.71282524,0.01878476253391624,1.0,0.5333333333333333
SUMF2,2.3449183,0.5431171,0.019031251629243462,1.0,0.7333333333333333
NFATC2,2.339034,0.9607895,0.019333667355819477,1.0,0.4888888888888889
AGPAT3,2.3280597,0.91315824,0.01990893054822567,1.0,0.4666666666666667
SMIM12,2.3277795,0.9270559,0.01992381169380668,1.0,0.4666666666666667
CSDE1,2.3274994,0.35440603,0.019938702548569654,1.0,0.9333333333333333
ITGA6,2.3234832,0.49466082,0.020153208158477192,1.0,0.8666666666666667
KIF3B,2.3201208,0.8324031,0.020334340212290337,1.0,0.4888888888888889
DPY19L4,2.3136764,0.7067296,0.02068548273734925,1.0,0.5333333333333333
IGFBP4,2.3015811,0.61360955,0.021358802052114503,1.0,0.6888888888888889
SLC39A7,2.2925682,0.75302553,0.02187287701755537,1.0,0.5555555555555556
PODXL,2.2768304,0.56199676,0.022796349903506496,1.0,0.8
COX8A,2.2731411,0.28514934,0.02301767007410667,1.0,0.9777777777777777
C8orf33,2.272254,0.5586427,0.023071176537207073,1.0,0.7777777777777778
MAP3K13,2.2703393,0.6026702,0.023187006012292108,1.0,0.6222222222222222
PNP,2.2558625,0.68685323,0.024079246807559428,1.0,0.6222222222222222
ATP5PF,2.1802561,0.31016287,0.029238484705425283,1.0,0.8888888888888888
IL10RB,2.175446,0.89337784,0.029596707630527137,1.0,0.4444444444444444
DDX3X,2.1743252,0.4302948,0.02968071720293277,1.0,0.8222222222222222
CARS,2.1565328,0.7069237,0.031042087634354402,1.0,0.5777777777777777
ITFG1,2.1562526,0.72470963,0.031063948220819097,1.0,0.5333333333333333
DNAJC15,2.1555054,0.5416397,0.031122307725124483,1.0,0.7777777777777778
GINM1,2.1479402,0.47230244,0.031718516051423194,1.0,0.7555555555555555
ARL4C,2.1406083,1.3546938,0.0323056415015231,1.0,0.3111111111111111
SAR1A,2.1380398,0.6726069,0.032513513192467376,1.0,0.6
TCEAL8,2.1368723,0.50519925,0.03260837843088345,1.0,0.7777777777777778
PDGFA,2.1359384,0.59399533,0.032684441212211576,1.0,0.6444444444444445
ATP5F1E,2.1328561,0.14733462,0.03293652735417217,1.0,1.0
AEBP2,2.118286,0.9868985,0.03415085845120214,1.0,0.4
BLOC1S1,2.117959,0.50184274,0.034178536211816254,1.0,0.8
PLXNA2,2.1129622,0.5334573,0.03460400267531656,1.0,0.6888888888888889
SMARCB1,2.1090395,0.61992455,0.03494117605216705,1.0,0.6222222222222222
RCN3,2.0957768,0.7411991,0.03610199360895115,1.0,0.4666666666666667
PANK3,2.086437,0.73847747,0.03693906231343073,1.0,0.5111111111111111
YTHDC1,2.085176,0.5721528,0.03705332307722082,1.0,0.6
TTLL12,2.0839152,1.5067807,0.037167884646763155,1.0,0.28888888888888886
PRPF38B,2.083308,0.5867906,0.03722315138396923,1.0,0.6444444444444445
CAND1,2.0740616,0.6317767,0.0380735915532674,1.0,0.6
ORMDL1,2.0719135,0.50870234,0.038273516884812106,1.0,0.6444444444444445
ZCCHC3,2.0694385,1.0712298,0.038504971537037865,1.0,0.4222222222222222
PCK2,2.0671034,1.0099808,0.03872441444331934,1.0,0.35555555555555557
PRXL2A,2.063414,0.5257574,0.039073299798777175,1.0,0.9111111111111111
ACTR2,2.0567827,0.3365335,0.03970712339964408,1.0,0.8666666666666667
DRAP1,2.0457618,0.29817957,0.04077981855127712,1.0,0.9111111111111111
C11orf74,2.0390837,0.7540007,0.04144167304860436,1.0,0.4444444444444444
ASAH1,2.0341337,0.5652197,0.04193812933101267,1.0,0.6222222222222222
CSNK1G2,2.0300708,0.68245566,0.042349350503640554,1.0,0.4888888888888889
MCRS1,2.029417,0.9496436,0.04241584158908103,1.0,0.37777777777777777
GTF2I,2.0234861,0.41413623,0.043023054363802445,1.0,0.8888888888888888
MTIF3,2.0225055,0.607225,0.04312416417246797,1.0,0.7111111111111111
GPSM3,2.0120447,0.99764067,0.044215220019131904,1.0,0.35555555555555557
FNDC3A,2.0000896,0.5764242,0.04549057918168591,1.0,0.6222222222222222
CMC1,1.9959334,0.59033704,0.04594116741460872,1.0,0.5555555555555556
P3H4,1.9878545,0.5854918,0.046827790027982916,1.0,0.6444444444444445
CALR,1.9869205,0.26228142,0.04693121210480915,1.0,1.0
SDCBP,1.982484,0.4218319,0.04742509494855511,1.0,0.9777777777777777
IDI1,1.9762263,0.47373363,0.04812915359966785,1.0,0.7555555555555555
CCDC50,1.9703889,0.3501205,0.04879382113093061,1.0,0.8444444444444444
TIMM17A,1.9672133,0.49522707,0.04915862525960832,1.0,0.7111111111111111
SLC17A5,1.9623098,0.882711,0.049726419835734885,1.0,0.37777777777777777
PNKD,1.9532969,0.5726886,0.050784427945614226,1.0,0.6444444444444445
RAB7A,1.9491873,0.47591254,0.05127305837704591,1.0,0.7333333333333333
ATOX1,1.9460585,0.21297418,0.051647717574279134,1.0,0.9777777777777777
TERF1,1.944097,0.6335363,0.05188374471551373,1.0,0.5111111111111111
FBXW11,1.9356445,0.6486619,0.0529112575448585,1.0,0.5777777777777777
PLEKHJ1,1.9339166,0.8213625,0.053123381516776,1.0,0.4
TSPAN3,1.9322821,0.40976992,0.05332469278111417,1.0,0.8444444444444444
NMD3,1.9290131,0.7113279,0.053729227187509096,1.0,0.4222222222222222
PLP2,1.9284061,0.35184363,0.05380463640401948,1.0,0.8444444444444444
DANCR,1.9247168,0.5488138,0.054264794625084954,1.0,0.6444444444444445
GATAD2A,1.9235493,0.5401288,0.054411096545288105,1.0,0.6222222222222222
CARS2,1.9144429,0.8240379,0.05556358209674915,1.0,0.4
IFT22,1.9132288,0.6172754,0.05571877259262206,1.0,0.4888888888888889
TECR,1.908232,0.46864185,0.05636124693144568,1.0,0.6444444444444445
GPX3,1.9078116,1.0213077,0.05641556688092774,1.0,0.35555555555555557
TXNDC9,1.9047295,0.68367046,0.056815246226547746,1.0,0.5333333333333333
DUSP14,1.9002464,0.9827787,0.05740080162558025,1.0,0.35555555555555557
FBXL20,1.8953896,1.293065,0.058040807575441784,1.0,0.28888888888888886
