names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
RHEB,3.3570423,0.61564523,0.0007878107252097904,1.0,0.6896551724137931
NCL,3.3409147,0.29226014,0.0008350287608420266,1.0,1.0
VPS29,3.1167014,0.56855214,0.0018288668874659984,1.0,0.735632183908046
NT5E,3.0405138,0.5010326,0.002361748960655712,1.0,0.7126436781609196
LSM1,3.039376,0.62384456,0.0023706866565826345,1.0,0.6091954022988506
SMARCB1,2.9145381,0.6659875,0.0035621532159994932,1.0,0.5632183908045977
NPM1,2.9000502,0.24777268,0.003731030609345802,1.0,1.0
TUBB4B,2.8905475,0.43939784,0.003845713858971607,1.0,0.7816091954022989
HNRNPA2B1,2.8887742,0.28598744,0.003867467312079904,1.0,0.9425287356321839
FLOT1,2.8742862,0.53660285,0.004049419353454347,1.0,0.7241379310344828
CCAR1,2.8710406,0.772941,0.004091230642795394,1.0,0.5287356321839081
DDX27,2.866925,0.69260794,0.004144812360774675,1.0,0.5402298850574713
KPNA3,2.8373802,0.64211196,0.004548542672146884,1.0,0.5862068965517241
GOLGA3,2.8277102,0.8072919,0.004688221746506627,1.0,0.4482758620689655
EIF4G1,2.771063,0.4630459,0.005587360938885698,1.0,0.7586206896551724
ATRAID,2.7512548,0.3976345,0.0059367426317436965,1.0,0.7931034482758621
HNRNPC,2.737068,0.26395357,0.006198947640777323,1.0,0.9540229885057471
HSPA9,2.7126424,0.46205068,0.006674908555994239,1.0,0.7126436781609196
SAP18,2.697251,0.38799298,0.006991454995569323,1.0,0.8850574712643678
UBE2I,2.6886184,0.3849054,0.007174838544099376,1.0,0.7816091954022989
HNRNPDL,2.6579359,0.4072467,0.007862084820086072,1.0,0.8275862068965517
RND3,2.651545,0.45774284,0.008012441404437083,1.0,0.6781609195402298
DUT,2.5504634,0.43424705,0.010757981203350165,1.0,0.7586206896551724
DUSP23,2.5297854,0.94731957,0.01141323271951847,1.0,0.39080459770114945
LAP3,2.515632,0.75873524,0.011881920603997379,1.0,0.45977011494252873
SPTY2D1,2.5016458,0.6962495,0.012361754351740013,1.0,0.42528735632183906
TRAPPC3,2.478659,0.47126687,0.01318773297896805,1.0,0.6551724137931034
MRPL9,2.473071,0.61583686,0.013395745033775611,1.0,0.5172413793103449
