names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
STK17A,3.5249064,0.5638599,0.0004236324481674331,1.0,0.8021978021978022
PPP2R3C,3.2342956,0.8756448,0.001219431546292255,1.0,0.4725274725274725
ZMAT5,3.1438355,1.3076981,0.0016674918268302292,1.0,0.34065934065934067
CIAO2B,3.040359,0.38163093,0.002362963760286115,1.0,0.8571428571428571
PUM1,2.9668396,0.5605414,0.003008779257051335,1.0,0.6593406593406593
DPM3,2.8948574,0.5018087,0.0037933092957835287,1.0,0.6703296703296703
ARL2,2.7343445,0.35215893,0.0062504628663024985,1.0,0.8681318681318682
EIF3F,2.7332978,0.29121873,0.006270359759845524,1.0,0.9120879120879121
RPLP1,2.6389132,0.082597844,0.008317228744453575,1.0,1.0
MRPS5,2.6304755,0.42902625,0.008526553446895827,1.0,0.6703296703296703
RBBP6,2.5953183,0.6787686,0.009450336709080631,1.0,0.5164835164835165
SF3A3,2.5857687,0.68421704,0.009716213843982023,1.0,0.4835164835164835
SSB,2.4970417,0.39245227,0.012523422231681803,1.0,0.8131868131868132
RPS11,2.48553,0.08498922,0.01293587594406941,1.0,1.0
MRPL17,2.4841888,0.42330816,0.012984690369525955,1.0,0.7472527472527473
POLR2I,2.48396,0.4020656,0.012993040804641537,1.0,0.8241758241758241
NDUFB2,2.4495223,0.19054039,0.014304584636751617,1.0,0.967032967032967
MARCH6,2.4206443,0.59287226,0.015493025397219598,1.0,0.5274725274725275
RACK1,2.4172432,0.11364561,0.015638567470495485,1.0,1.0
RPS27A,2.4085438,0.077426784,0.016016305353424586,1.0,1.0
NDUFS8,2.3820205,0.33920872,0.017217936251733672,1.0,0.8681318681318682
CHCHD10,2.339603,0.30451208,0.01930424628030736,1.0,0.8901098901098901
G6PD,2.3252459,0.45005578,0.020058819346453927,1.0,0.6923076923076923
P3H3,2.3112483,0.5829851,0.02081914020476264,1.0,0.5274725274725275
ATP5F1A,2.2965314,0.24970439,0.02164551512068957,1.0,0.9230769230769231
RPS15A,2.2940786,0.0823353,0.021785984999153452,1.0,1.0
RALGAPB,2.2362247,0.6008379,0.025337061784153958,1.0,0.45054945054945056
UQCR10,2.2229793,0.20936973,0.026217192125037644,1.0,0.9560439560439561
RPL27,2.2143455,0.10366269,0.026805027140329507,1.0,1.0
DNAJC1,2.2023757,0.38512513,0.02763878649192322,1.0,0.7472527472527473
RPS15,2.1972737,0.07478026,0.02800090164826148,1.0,1.0
PRKDC,2.1956058,0.2998728,0.028120169120110776,1.0,0.9560439560439561
RPL11,2.1909618,0.06986038,0.028454556437658506,1.0,1.0
RPS25,2.1895554,0.07023853,0.02855648786855567,1.0,1.0
H3F3B,2.1700964,0.29769874,0.029999540978892732,1.0,0.989010989010989
DPYSL2,2.1700964,0.21923472,0.029999540978892732,1.0,0.9010989010989011
LMNB2,2.1476939,1.0287095,0.03173807506840105,1.0,0.2857142857142857
SSNA1,2.1238525,0.39506868,0.033682479188623445,1.0,0.6703296703296703
FOPNL,2.112504,0.9593232,0.03464323497698879,1.0,0.27472527472527475
ZRANB2,2.1101494,0.35127485,0.03484549073683416,1.0,0.7252747252747253
PNN,2.105996,0.41115385,0.035204705635825874,1.0,0.6593406593406593
SNX5,2.1052763,0.38005656,0.03526725193528177,1.0,0.6813186813186813
CHCHD7,2.0921948,0.7918607,0.03642110227100064,1.0,0.34065934065934067
SNHG8,2.0817294,0.32893384,0.03736720155646662,1.0,0.8571428571428571
RPS19,2.079767,0.064713724,0.03754690447136035,1.0,1.0
LGALS3,2.0588362,0.37067747,0.03950992531801921,1.0,0.6373626373626373
CTNND1,2.058084,0.37460986,0.03958206336218041,1.0,0.6483516483516484
SNRPD1,2.0388865,0.26452094,0.041461343730684705,1.0,0.8351648351648352
ZNF706,2.0346024,0.25360858,0.041890899715592754,1.0,0.9120879120879121
LEPROTL1,2.026884,0.3948741,0.0426742632777528,1.0,0.6813186813186813
CARD6,2.0214226,1.0062487,0.043236046326747476,1.0,0.25274725274725274
TRIAP1,2.0040565,0.46985394,0.04506400768396891,1.0,0.5164835164835165
NGLY1,2.0017672,0.6323377,0.04530977479103593,1.0,0.37362637362637363
KHSRP,1.9994452,0.64928776,0.04556020602999592,1.0,0.43956043956043955
TMEM43,1.9599056,0.494463,0.050006819240181584,1.0,0.5054945054945055
MMAB,1.952351,0.37044373,0.05089655266192299,1.0,0.6153846153846154
RPS18,1.9498327,0.048944272,0.05119606119803195,1.0,1.0
RPL18A,1.9452541,0.06640405,0.0517444028889855,1.0,1.0
PRKACA,1.9403812,0.6252658,0.05233338469561397,1.0,0.3626373626373626
ANAPC15,1.9339057,0.5102754,0.05312472328332501,1.0,0.42857142857142855
EMC9,1.9278554,0.87681884,0.053873115025202624,1.0,0.3076923076923077
RPL38,1.9240617,0.07580908,0.05434685096446116,1.0,1.0
CFL1,1.9172264,0.1062079,0.05520916459528455,1.0,1.0
HEBP2,1.9160818,0.23913452,0.05535468015798928,1.0,0.8461538461538461
PREPL,1.9124516,0.37707174,0.05581828821954524,1.0,0.5604395604395604
COPB1,1.909541,0.34906363,0.056192342258792036,1.0,0.7362637362637363
RPL30,1.90578,0.064510554,0.05667875906092414,1.0,1.0
TMED1,1.9019209,0.45849591,0.05718150224801574,1.0,0.4945054945054945
MANF,1.8966881,0.4585801,0.057869107148928886,1.0,0.5934065934065934
LIMA1,1.8961649,0.28671068,0.05793824403431447,1.0,0.6923076923076923
RPS13,1.8807285,0.079316236,0.06000886841596511,1.0,1.0
CYC1,1.8800744,0.281652,0.06009794477999749,1.0,0.7692307692307693
UBLCP1,1.8749398,0.60258174,0.06080100925815827,1.0,0.42857142857142855
CHIC2,1.8735335,0.3992387,0.0609947527863519,1.0,0.5714285714285714
SNRPG,1.8700995,0.24590713,0.06146999731727631,1.0,0.9230769230769231
PRXL2A,1.8697724,0.2572084,0.06151541816402863,1.0,0.8021978021978022
