names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
COA6,3.1689973,0.7537557,0.0015296585747939075,1.0,0.5609756097560976
MTRF1L,3.1450336,0.9855399,0.001660677838118866,1.0,0.45121951219512196
HCFC1R1,3.0012515,0.73538226,0.0026887237283149236,1.0,0.5487804878048781
SLC50A1,2.8604002,0.71889514,0.0042310655691986,1.0,0.5609756097560976
FAM43A,2.8559523,0.54924,0.004290794909903015,1.0,0.7195121951219512
MYC,2.8018875,0.52533746,0.005080457494392273,1.0,0.7317073170731707
DDX18,2.7796478,0.4927955,0.005441786518232514,1.0,0.7317073170731707
NENF,2.7789237,0.46995074,0.005453931288796038,1.0,0.8170731707317073
DRAP1,2.7755792,0.36390787,0.005510346684682215,1.0,0.9512195121951219
SIGIRR,2.7640975,0.48889977,0.005708050105649859,1.0,0.6951219512195121
HAT1,2.686138,0.85429096,0.007228325518616204,1.0,0.43902439024390244
C16orf74,2.6815865,0.8113064,0.00732739686047651,1.0,0.4634146341463415
NREP,2.6287284,0.6265328,0.008570475490404664,1.0,0.5365853658536586
ATP5MC1,2.6015236,0.30214545,0.009281065165384845,1.0,0.9390243902439024
TIMM17B,2.5908003,0.7811567,0.009575301347018573,1.0,0.43902439024390244
CKS2,2.5867662,0.5910607,0.009688129891140491,1.0,0.5853658536585366
NAV1,2.5591133,0.5880223,0.010493957126481171,1.0,0.6097560975609756
DBNDD1,2.5585616,1.0146997,0.010510622874432088,1.0,0.36585365853658536
TM9SF3,2.5445626,0.37129864,0.010941470634084832,1.0,0.7926829268292683
SMIM19,2.5426316,0.54771984,0.011002113403743966,1.0,0.6463414634146342
GOLGB1,2.5287018,0.4606721,0.011448527508190554,1.0,0.7317073170731707
CDK17,2.4621897,0.8048225,0.01380916417089318,1.0,0.4268292682926829
EHMT2,2.4289162,1.0798298,0.015144027579935975,1.0,0.3170731707317073
PIN1,2.4246063,0.4539837,0.01532499614843152,1.0,0.6951219512195121
ARF1,2.408504,0.37423605,0.01601804680415979,1.0,0.9024390243902439
ELOB,2.3811958,0.23518403,0.01725653458670368,1.0,1.0
MAPRE2,2.380127,0.6556303,0.017306673835537863,1.0,0.47560975609756095
RPS24,2.3675072,0.08571195,0.01790836922121754,1.0,1.0
FKBP15,2.3614733,1.1568547,0.018202486014622068,1.0,0.2926829268292683
TMED7,2.3407853,0.5086693,0.019243236333604488,1.0,0.524390243902439
LEPROT,2.319511,0.3691987,0.020367348278799297,1.0,0.7317073170731707
RAB18,2.305443,0.5170828,0.02114177196825341,1.0,0.5365853658536586
C12orf65,2.30465,0.8372159,0.02118618200949314,1.0,0.3780487804878049
ARPC1A,2.3044777,0.31833974,0.021195847112454216,1.0,0.7560975609756098
ITGA3,2.287341,0.46765962,0.022175926469655154,1.0,0.6707317073170732
PJA2,2.2502403,0.47258246,0.02443368764374143,1.0,0.6463414634146342
ARPP19,2.2417927,0.352684,0.02497476701825515,1.0,0.7317073170731707
FEM1B,2.2334142,0.78572255,0.025521647119921106,1.0,0.35365853658536583
TWISTNB,2.2131398,0.5476915,0.026888006727145253,1.0,0.524390243902439
NDUFAF3,2.20683,0.3219361,0.027325940202147545,1.0,0.7804878048780488
DYNC1I2,2.203382,0.356703,0.027567838404910377,1.0,0.9512195121951219
TMEM181,2.1926932,0.5612583,0.028329495966814656,1.0,0.5
HSP90B1,2.1773496,0.17201385,0.029454501575062984,1.0,1.0
PERP,2.174005,0.34559914,0.0297047660181356,1.0,0.8170731707317073
MICU1,2.1731083,0.504859,0.029772157148178723,1.0,0.573170731707317
ZNF706,2.1690743,0.24635103,0.03007704642610462,1.0,0.8902439024390244
TRIR,2.1611438,0.29379332,0.030684230154372154,1.0,0.8170731707317073
PLSCR3,2.158868,0.5121186,0.030860397371012024,1.0,0.5487804878048781
RPL8,2.144559,0.06838752,0.03198813068897798,1.0,1.0
RESF1,2.1438003,0.48123807,0.032048887576793146,1.0,0.5365853658536586
CCDC47,2.1413867,0.56288475,0.03224286341813307,1.0,0.5
RPL10A,2.1146646,0.09939712,0.03445853840353414,1.0,1.0
SDHA,2.1145267,0.51910144,0.03447030339068655,1.0,0.5
HDAC1,2.1143544,0.4318222,0.03448501445040392,1.0,0.5853658536585366
SYNCRIP,2.111665,0.4169274,0.03471520239076328,1.0,0.6829268292682927
HSD17B12,2.1028724,0.27231535,0.035476919348254,1.0,0.8902439024390244
SLC38A2,2.0803225,0.40812218,0.0374959643617744,1.0,0.7195121951219512
RNF145,2.0776331,0.5045873,0.037743171506917826,1.0,0.5609756097560976
MARK3,2.0739436,0.53189874,0.03808454362502484,1.0,0.47560975609756095
RPL36,2.0722542,0.085159555,0.03824174729492839,1.0,1.0
EIF3M,2.0722196,0.35065183,0.03824496126893586,1.0,0.8048780487804879
B4GAT1,2.0715644,0.783675,0.03830607042250354,1.0,0.36585365853658536
NBDY,2.0680132,0.33499733,0.03863879295739155,1.0,0.7560975609756098
PLSCR4,2.0575657,0.47932756,0.03963185060711462,1.0,0.5853658536585366
LRPAP1,2.0529454,0.35451967,0.040077885083563226,1.0,0.7560975609756098
JPT2,2.038636,0.90688604,0.04148636600706879,1.0,0.3048780487804878
AC093157.1,2.0364983,0.979387,0.041700346763833385,1.0,0.2804878048780488
PCK2,2.0285335,0.8935325,0.04250584158024273,1.0,0.3048780487804878
RPLP0,2.0166378,0.09150967,0.043733332602214244,1.0,1.0
ATP5MPL,2.015155,0.18336603,0.043888401928971324,1.0,0.9878048780487805
HNRNPC,2.0113966,0.18500452,0.044283565889057186,1.0,0.9390243902439024
NFYB,2.0035007,0.9490978,0.04512356062075317,1.0,0.3048780487804878
CTDNEP1,2.0017424,0.4198555,0.045312451690959425,1.0,0.6219512195121951
PLEKHA1,2.0007768,0.40739828,0.04541643970866515,1.0,0.5975609756097561
GPHN,1.9966393,1.0021675,0.04586438358306286,1.0,0.2682926829268293
GPX4,1.9956738,0.18890318,0.045969437655668924,1.0,0.9634146341463414
CCDC82,1.9935706,0.65714526,0.04619900734407605,1.0,0.36585365853658536
ZCCHC3,1.9933292,0.7209834,0.046225413047745745,1.0,0.36585365853658536
DYNC1LI1,1.9856056,0.40030465,0.04707712992734192,1.0,0.6463414634146342
HIST1H4C,1.9774338,0.53346163,0.047992610446663385,1.0,0.524390243902439
RFXANK,1.9765029,0.6791459,0.04809784861500969,1.0,0.3902439024390244
ME2,1.9739169,0.41518575,0.04839119465204903,1.0,0.5365853658536586
NDUFB2,1.9733652,0.21077304,0.048453969239284515,1.0,0.9878048780487805
PRNP,1.9709171,0.3983422,0.048733357178169706,1.0,0.6707317073170732
ZNF185,1.966883,1.0048575,0.04919670744201161,1.0,0.2804878048780488
BAG1,1.9562631,0.4910844,0.05043417204182569,1.0,0.47560975609756095
REXO2,1.9530219,0.2908198,0.050816995296387606,1.0,0.8780487804878049
RPL9,1.9527462,0.075799495,0.050849688087680846,1.0,1.0
CD55,1.9509876,0.16959402,0.051058519008254366,1.0,0.926829268292683
ATXN7L3B,1.948505,0.46512935,0.05135456135647892,1.0,0.5
ALYREF,1.9452294,0.49049827,0.051747370227676594,1.0,0.5121951219512195
PNN,1.943402,0.45090476,0.05196760663593527,1.0,0.6585365853658537
DPP7,1.939161,0.42431253,0.05248174407292614,1.0,0.5609756097560976
EMC1,1.9380231,0.5579598,0.05262040467779988,1.0,0.43902439024390244
PTHLH,1.9352647,0.75170976,0.0529578231022284,1.0,0.3170731707317073
AFG3L2,1.9173006,0.4162891,0.05519975935569001,1.0,0.6219512195121951
SF1,1.916473,0.38850126,0.05530491246461883,1.0,0.6707317073170732
SLC35E4,1.914025,0.45428613,0.055616968337107935,1.0,0.5365853658536586
TSPO,1.8984399,0.106671676,0.05763815247145929,1.0,0.9878048780487805
CHMP3,1.8760968,0.32541957,0.06064198436962556,1.0,0.7317073170731707
SETD2,1.8729936,0.46258283,0.06106926534727044,1.0,0.43902439024390244
NBEAL1,1.8698559,0.30480695,0.06150382630666116,1.0,0.7439024390243902
NDUFB9,1.8680974,0.23015913,0.061748488894344,1.0,0.8902439024390244
MED28,1.8676147,0.41714218,0.06181579192190285,1.0,0.4878048780487805
NR2F1,1.8648908,0.2835484,0.06219671215166952,1.0,0.7560975609756098
PGM2L1,1.8559605,0.6285484,0.06345919494971619,1.0,0.32926829268292684
ABI3BP,1.8515815,0.71823436,0.0640859442909872,1.0,0.35365853658536583
APEX1,1.8478922,0.2653049,0.06461795209277678,1.0,0.7560975609756098
SNX27,1.8450303,0.73568106,0.06503313660427461,1.0,0.3170731707317073
ELMO1,1.843789,0.6047266,0.06521389959374219,1.0,0.35365853658536583
UTP25,1.8413064,1.022679,0.06557666878093048,1.0,0.23170731707317074
NCL,1.8411685,0.15184462,0.06559687130885798,1.0,0.975609756097561
ASAH1,1.8375136,0.36680648,0.06613411067055219,1.0,0.5609756097560976
AP3M2,1.8348242,0.6883642,0.06653174886187406,1.0,0.32926829268292684
FNIP1,1.8334105,1.0827781,0.06674155210714564,1.0,0.25609756097560976
PPP1R8,1.8310313,1.0662022,0.06709586535165708,1.0,0.24390243902439024
ARL4A,1.8249629,0.5713808,0.06800663677484466,1.0,0.35365853658536583
PTGES3,1.8241353,0.21921416,0.0681316169686502,1.0,0.9146341463414634
LSM5,1.8222389,0.3275782,0.06841874234007919,1.0,0.7317073170731707
FBXO7,1.8149636,0.5229989,0.06952950150991088,1.0,0.43902439024390244
MRPS18C,1.8055161,0.37879154,0.070993963908342,1.0,0.573170731707317
CCT4,1.8046886,0.25516748,0.07112343372587741,1.0,0.8780487804878049
BIVM,1.7936894,0.8947307,0.07286275973291662,1.0,0.2682926829268293
RPS10,1.7913792,0.17163767,0.07323246072334008,1.0,0.9634146341463414
GHITM,1.7904828,0.28367877,0.07337633945084192,1.0,0.7560975609756098
TXNRD2,1.7862417,0.2764453,0.07406013389464701,1.0,0.8292682926829268
OTULIN,1.7837936,0.60616404,0.07445720980852215,1.0,0.3780487804878049
PPIL3,1.783104,0.62551844,0.07456937565630004,1.0,0.36585365853658536
PINK1,1.7824489,0.75038415,0.07467606103939559,1.0,0.3170731707317073
BABAM1,1.7810696,0.472376,0.07490106941435357,1.0,0.5
SDCCAG8,1.7698636,0.37315825,0.07674985927332685,1.0,0.6219512195121951
PHB,1.7674155,0.25126415,0.0771586602598045,1.0,0.7926829268292683
MCFD2,1.7636917,0.2770197,0.07778389908656225,1.0,0.8780487804878049
NQO2,1.7607265,0.5871237,0.07828472008124258,1.0,0.35365853658536583
TOMM7,1.7593817,0.115157485,0.0785127000405934,1.0,0.9878048780487805
CLOCK,1.7545545,0.71417016,0.07933554441149494,1.0,0.36585365853658536
TMEM158,1.7527615,0.67338926,0.07964295272475717,1.0,0.4024390243902439
PTPN2,1.7506583,0.66103643,0.08000479976151753,1.0,0.3902439024390244
PSMA4,1.7399694,0.18068533,0.0818643928056977,1.0,0.8536585365853658
PVT1,1.7396246,0.32160658,0.08192495854484315,1.0,0.6951219512195121
ZNRD2,1.7357628,0.49945647,0.08260578094192625,1.0,0.45121951219512196
RPS14,1.7347629,0.04740719,0.08278281079429421,1.0,1.0
HSPA13,1.731901,0.7532744,0.08329118229654951,1.0,0.3170731707317073
RTN4,1.725005,0.113398425,0.08452656663760227,1.0,0.975609756097561
RPL24,1.7202468,0.07010071,0.08538759427206444,1.0,1.0
RAB2A,1.7188675,0.23879683,0.08563848869662483,1.0,0.926829268292683
THRAP3,1.7177297,0.29788014,0.08584592485057253,1.0,0.6829268292682927
TTC3,1.7174538,0.20811383,0.08589627350012335,1.0,0.8902439024390244
SF3B6,1.7070409,0.20848851,0.08781445184921573,1.0,0.9146341463414634
TIMM21,1.7019378,1.1014266,0.08876702165890339,1.0,0.21951219512195122
PSMA1,1.6991105,0.27340484,0.08929837101788163,1.0,0.8780487804878049
DGKA,1.6980416,0.6390335,0.08949991307616585,1.0,0.35365853658536583
SAR1B,1.6888698,0.4406132,0.0912443685710461,1.0,0.47560975609756095
TMEM109,1.6810774,0.42583823,0.09274788607159835,1.0,0.45121951219512196
HSPA9,1.6810774,0.33300695,0.09274788607159835,1.0,0.6585365853658537
RABAC1,1.6808705,0.20598815,0.09278807187719745,1.0,0.9512195121951219
