names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
SNX5,3.3363888,0.5660339,0.0008487437783537981,1.0,0.7211538461538461
SLC25A11,3.2694087,0.6866965,0.0010777254279909262,1.0,0.5673076923076923
RBM18,3.12292,0.80243045,0.0017906638680826683,1.0,0.4423076923076923
YWHAB,3.1210866,0.22785453,0.0018018501062400456,1.0,1.0
EIF3F,3.1121948,0.3265859,0.0018570200570277124,1.0,0.9326923076923077
NCOR1,3.0263305,0.53207654,0.0024754158461559998,1.0,0.6538461538461539
CHD9,3.0172246,0.566366,0.002551007265613313,1.0,0.6442307692307693
STARD3NL,2.9553168,0.6418044,0.003123481121252114,1.0,0.5096153846153846
ST6GAL1,2.897687,0.69138014,0.003759255711707094,1.0,0.4807692307692308
COPS9,2.884945,0.36085573,0.0039148221753261166,1.0,0.9711538461538461
MLLT11,2.848552,0.5016806,0.004391869001137624,1.0,0.625
S100A16,2.8303401,0.20960166,0.004649854239653611,1.0,0.9903846153846154
NFE4,2.7414813,0.524973,0.006116282372710464,1.0,0.6346153846153846
TRIP10,2.7410536,0.8148847,0.006124251496584352,1.0,0.3942307692307692
KHDRBS1,2.7407787,0.31130657,0.006129379441619535,1.0,0.8942307692307693
EMC8,2.7299616,0.61501414,0.006334171424759725,1.0,0.5
TXNL1,2.721039,0.51972836,0.006507708314832342,1.0,0.625
CENPX,2.6902685,0.47160107,0.007139456018167508,1.0,0.6442307692307693
WSB1,2.688099,0.41462868,0.007186010234039909,1.0,0.7692307692307693
GCC2,2.6724539,0.5978774,0.00752987131940105,1.0,0.49038461538461536
LPP,2.6655176,0.35531768,0.007686991464068025,1.0,0.8461538461538461
ECHS1,2.663287,0.44544414,0.007738139902485021,1.0,0.7115384615384616
SLC39A4,2.6377416,0.7026827,0.008346015625230456,1.0,0.4326923076923077
UCHL3,2.6376193,0.56886345,0.008349024018654177,1.0,0.5192307692307693
CCND1,2.6189492,0.2951544,0.008820107129751193,1.0,0.8846153846153846
WDR36,2.5705476,0.49223337,0.010153789922338317,1.0,0.5673076923076923
IRF2BP2,2.5450022,0.5110897,0.010927706589189859,1.0,0.5480769230769231
