names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
SEPTIN9,3.5440326,0.59919864,0.00039405660383483006,1.0,0.49222797927461137
CLNS1A,3.5329719,0.41242287,0.0004109162432547501,1.0,0.7202072538860104
GLYR1,2.9043143,0.6077972,0.0036805850405286387,1.0,0.41450777202072536
BBS7,2.812112,0.64373887,0.004921735446989882,1.0,0.3471502590673575
RTF2,2.8010514,0.3026934,0.0050936413664621,1.0,0.7202072538860104
FUS,2.662737,0.29416224,0.007750799202683683,1.0,0.6994818652849741
DMAC2L,2.6300888,0.6976262,0.008536254437337885,1.0,0.3316062176165803
DDX5,2.577033,0.17297725,0.009965240354479129,1.0,0.9792746113989638
TGOLN2,2.5133395,0.27403855,0.011959419149350226,1.0,0.8134715025906736
UACA,2.358868,0.31354576,0.018330778252830252,1.0,0.5854922279792746
RAC1,2.3497658,0.13009247,0.018785233634607466,1.0,0.9792746113989638
YWHAE,2.3242614,0.13907637,0.020111483070623028,1.0,1.0
SNHG32,2.3164277,0.25121966,0.02053492461514902,1.0,0.7616580310880829
PRDX1,2.3070362,0.11210671,0.021052803614904126,1.0,0.9896373056994818
TPM1,2.2677116,0.18109518,0.023346784704218,1.0,0.9378238341968912
DNM1L,2.262682,0.3537906,0.023655294493895536,1.0,0.5751295336787565
ATP11B,2.254915,0.6397023,0.02413865820023045,1.0,0.31088082901554404
RPS6KA3,2.2353976,0.30586427,0.0253912628498076,1.0,0.5803108808290155
PDIA3,2.2327492,0.15113991,0.02556548922807921,1.0,0.9533678756476683
TADA3,2.228365,0.46530953,0.02585618788227747,1.0,0.38341968911917096
MGAT5,2.2256944,0.54651105,0.02603466047525539,1.0,0.3316062176165803
LMO7,2.2189734,0.32054847,0.026488536098937306,1.0,0.5854922279792746
FOXP1,2.205754,0.23735037,0.02740123304206793,1.0,0.6735751295336787
DNAJB6,2.1652722,0.2117339,0.03036684594769779,1.0,0.8031088082901554
TTC37,2.1647158,0.2940538,0.03040945424545264,1.0,0.6062176165803109
RPL38,2.161845,0.07463224,0.030630130197309802,1.0,1.0
MEAF6,2.142283,0.33264717,0.03217072827453653,1.0,0.5440414507772021
DERL1,2.1281064,0.36542132,0.03332825867516192,1.0,0.46113989637305697
DIAPH1,2.1210515,0.3426938,0.03391745750215751,1.0,0.5440414507772021
ABL2,2.118893,0.37919226,0.0340995187453655,1.0,0.46632124352331605
TMED10,2.1186705,0.19862099,0.034118335355327024,1.0,0.8860103626943006
ABI3BP,2.1086333,0.50835764,0.03497623958664508,1.0,0.33678756476683935
NENF,2.0937672,0.25192472,0.03628073437586412,1.0,0.7357512953367875
ALG13,2.0878472,0.6351276,0.03681161469470742,1.0,0.27461139896373055
UBE2Z,2.0823948,0.355206,0.03730642288048183,1.0,0.45077720207253885
TOMM40,2.0766976,0.38525206,0.03782948408918081,1.0,0.39896373056994816
APBB2,2.0735152,0.4768468,0.038124369137840945,1.0,0.35233160621761656
HMGN2,2.0609634,0.18851191,0.0393065420759741,1.0,0.8963730569948186
FRMD4A,2.0591383,0.31766114,0.03948098326315193,1.0,0.5906735751295337
POGK,2.057202,0.6660518,0.03966677917446107,1.0,0.2538860103626943
CCT8,2.0539086,0.20231323,0.039984550662260934,1.0,0.8549222797927462
ZNF148,2.0524619,0.31369168,0.04012479350617847,1.0,0.48186528497409326
SMIM10L1,2.0407557,0.45907038,0.041275105170503,1.0,0.38341968911917096
SMAD4,2.0385303,0.42411655,0.04149692636258368,1.0,0.36787564766839376
RAB10,2.032121,0.27094352,0.042141418995333295,1.0,0.689119170984456
PSME2,2.0318315,0.24437648,0.04217070935226818,1.0,0.7564766839378239
NDUFB6,2.0210378,0.29250732,0.04327583879638064,1.0,0.5854922279792746
DCTD,2.016142,0.3536568,0.04378514567383068,1.0,0.46632124352331605
AP001528.1,2.0050366,0.61791337,0.044959131442246655,1.0,0.2849740932642487
C5orf24,2.0046139,0.25668892,0.04500435190201012,1.0,0.616580310880829
PUM3,1.9994061,0.36325976,0.04556442945865025,1.0,0.48186528497409326
SERPINH1,1.9974699,0.23062772,0.045774155890521154,1.0,0.772020725388601
NARS,1.9940872,0.20207329,0.0461425261504461,1.0,0.7875647668393783
NOP58,1.9939537,0.40564525,0.04615711815017786,1.0,0.40414507772020725
SLC20A1,1.9930412,0.41958833,0.046256934184162185,1.0,0.47668393782383417
GAPVD1,1.9879893,0.43222785,0.04681286859150425,1.0,0.36787564766839376
NUTM2A-AS1,1.9835829,0.30064726,0.04730236096018337,1.0,0.5181347150259067
SCARA3,1.979666,0.500405,0.04774107195068408,1.0,0.3471502590673575
CEBPZ,1.9784642,0.3191555,0.047876360181932094,1.0,0.49222797927461137
PLK2,1.9755489,0.17450202,0.048205898826293316,1.0,0.8238341968911918
ADAM15,1.9742358,0.25750688,0.04835493819915182,1.0,0.6424870466321243
HEATR5B,1.9725667,0.61028576,0.04854495356247203,1.0,0.2694300518134715
SYNRG,1.9681602,0.5269753,0.04904960906564357,1.0,0.30569948186528495
PRPF8,1.9648442,0.30757526,0.0494322721235689,1.0,0.533678756476684
IVNS1ABP,1.9461945,0.3716263,0.051631372594873826,1.0,0.40932642487046633
PLSCR4,1.9458385,0.29030642,0.051674144063717765,1.0,0.533678756476684
EIF4A2,1.9433237,0.12307533,0.05197706245879119,1.0,0.8497409326424871
SEMA3F,1.9413208,0.38724118,0.052219386306546024,1.0,0.45077720207253885
MRPS12,1.9407198,0.28766367,0.05229226743294026,1.0,0.5854922279792746
ZCCHC3,1.9404973,0.4975855,0.05231928201953828,1.0,0.32124352331606215
ATP5F1C,1.9404528,0.16999057,0.052324686337012837,1.0,0.8808290155440415
BCL2L1,1.9396739,0.30169752,0.0524193374803923,1.0,0.5595854922279793
KTN1,1.9394736,0.06573706,0.052443699471110224,1.0,0.9585492227979274
TEAD2,1.9365137,0.7333844,0.05280482050863571,1.0,0.22279792746113988
AQR,1.9279455,0.51095164,0.05386190380609286,1.0,0.34196891191709844
NOL4L,1.9259204,0.39629158,0.05411432457910301,1.0,0.41968911917098445
INSIG1,1.9229604,0.1876283,0.05448502248120822,1.0,0.7616580310880829
SPEN,1.9216028,0.34027296,0.05465574907709795,1.0,0.44559585492227977
VPS13A,1.9179976,0.4486984,0.055111321209003465,1.0,0.38860103626943004
RNASEH2C,1.9157721,0.29317063,0.0553941154983042,1.0,0.5647668393782384
SLC23A2,1.9083612,0.64990944,0.056344552506124516,1.0,0.24870466321243523
SHC1,1.9048226,0.20020889,0.05680313120924119,1.0,0.7979274611398963
GORASP2,1.9021298,0.36345232,0.05715418981953056,1.0,0.40932642487046633
LENG8,1.9012618,0.42435086,0.05726772479411623,1.0,0.40414507772020725
RRP36,1.896299,0.3082235,0.05792052009254454,1.0,0.49740932642487046
PSMD1,1.8893332,0.17416216,0.05884719677254131,1.0,0.7772020725388601
FAM43A,1.8854163,0.24235873,0.059373652154294486,1.0,0.6424870466321243
RNF141,1.8839252,0.4319241,0.05957508852731074,1.0,0.3626943005181347
SVIL,1.8826122,0.24598311,0.0597529419560282,1.0,0.5803108808290155
TPP1,1.8825232,0.28332704,0.059765015740086504,1.0,0.5492227979274611
SERINC3,1.8730649,0.20930707,0.06105943329584429,1.0,0.7305699481865285
ZEB1,1.8628052,0.20871747,0.06248966385526018,1.0,0.6476683937823834
ATRN,1.8577089,0.5769663,0.06321036106636584,1.0,0.2849740932642487
TMEM214,1.8529018,0.56857187,0.06389642745909972,1.0,0.2849740932642487
TMEM248,1.8492298,0.33672413,0.06442463917827027,1.0,0.45077720207253885
GANAB,1.8486956,0.23317045,0.06450176938255939,1.0,0.6217616580310881
CCNL2,1.8352314,0.42306,0.06647140602298045,1.0,0.34196891191709844
CHIC2,1.8341632,0.30320922,0.06662977327190343,1.0,0.5284974093264249
SNRNP48,1.8305801,0.82983327,0.06716323393928457,1.0,0.20207253886010362
RNF11,1.822969,0.269647,0.06830809255698196,1.0,0.49740932642487046
VEGFB,1.8184067,0.40656498,0.06900199584159585,1.0,0.40932642487046633
COLEC12,1.8178058,0.20937587,0.06909381807037475,1.0,0.6994818652849741
LRRC58,1.8136663,0.45992297,0.06972910210826656,1.0,0.32124352331606215
SLC35D2,1.8077021,0.40901917,0.07065288248119002,1.0,0.34196891191709844
CCT6A,1.7992452,0.16016182,0.07197990377891354,1.0,0.8134715025906736
LYPLA1,1.7932808,0.16245101,0.07292802515831429,1.0,0.8238341968911918
CLCN3,1.7910331,0.15513882,0.07328798062675514,1.0,0.8186528497409327
RP9,1.7888076,0.43719506,0.07364580269938935,1.0,0.32124352331606215
TENT2,1.7882957,0.6028846,0.07372830352887891,1.0,0.23834196891191708
RFK,1.7836,0.25606355,0.07448869085578222,1.0,0.5647668393782384
TCEAL8,1.782465,0.24307515,0.07467343946766046,1.0,0.6528497409326425
ZNF10,1.7821534,0.258513,0.07472422020086908,1.0,0.5181347150259067
OSBPL8,1.7764561,0.23554899,0.07565776629283255,1.0,0.6062176165803109
DCAF16,1.7740303,0.7222621,0.0760581313680577,1.0,0.21243523316062177
G6PC3,1.7710705,0.3030623,0.07654898950216796,1.0,0.44559585492227977
HMGA1,1.7668865,0.1336663,0.07724723711397914,1.0,0.9792746113989638
PRKAR1A,1.7626358,0.2177159,0.07796193272164634,1.0,0.6476683937823834
PPP4R3B,1.7617456,0.351822,0.07811228696787581,1.0,0.3316062176165803
EIF3L,1.7505513,0.23429339,0.08002321629728562,1.0,0.6062176165803109
PPP1R18,1.747903,0.34525838,0.0804808178627575,1.0,0.37305699481865284
ERH,1.7463452,0.16148262,0.08075098661976834,1.0,0.8652849740932642
DGLUCY,1.7430292,0.65378183,0.08132851247246385,1.0,0.23316062176165803
MTR,1.7428734,0.34983775,0.08135572678924423,1.0,0.38341968911917096
EMC7,1.741872,0.2729224,0.08153085248273205,1.0,0.5492227979274611
ANKRD40,1.7366198,0.49447188,0.08245430438667091,1.0,0.29533678756476683
MAP4K5,1.7365975,0.30663836,0.08245823528454162,1.0,0.38860103626943004
ENO1,1.7353512,0.097018555,0.08267860815049766,1.0,0.9844559585492227
REXO2,1.7290753,0.1653845,0.08379560788832283,1.0,0.844559585492228
TIGAR,1.7275175,0.36828285,0.08407476195393343,1.0,0.43523316062176165
MLLT11,1.725381,0.27845693,0.08445882537396115,1.0,0.533678756476684
TGFB1I1,1.7226882,0.21166208,0.08494492623880122,1.0,0.6787564766839378
EBP,1.7173915,0.25417474,0.08590766018099098,1.0,0.5181347150259067
CLIC4,1.7088012,0.19365767,0.08748779667409715,1.0,0.8290155440414507
GTF2I,1.708356,0.19051893,0.08757030379655228,1.0,0.8601036269430051
PCYT1A,1.7057521,0.42429107,0.08805422897852618,1.0,0.32124352331606215
WDR1,1.7022359,0.14880417,0.08871115462882294,1.0,0.7357512953367875
ERP29,1.6999437,0.17015563,0.08914152616650073,1.0,0.8341968911917098
ECHDC2,1.6991869,0.60659426,0.08928395922590102,1.0,0.24870466321243523
PDLIM4,1.6941574,0.170816,0.09023538477677275,1.0,0.7772020725388601
SPART,1.6855001,0.23268718,0.09189210834815255,1.0,0.5854922279792746
SAFB2,1.6848993,0.5391551,0.09200800055232405,1.0,0.26424870466321243
KIAA1109,1.6831411,0.35993364,0.09234776707964303,1.0,0.41968911917098445
MT-ND4L,1.6827183,0.15723461,0.09242963321498324,1.0,0.927461139896373
AARSD1,1.682518,0.5091058,0.09246843224727971,1.0,0.27461139896373055
EIF3M,1.6784453,0.1620644,0.09326018623878266,1.0,0.7357512953367875
DNAJB1,1.675886,0.33195964,0.09376051374311858,1.0,0.38341968911917096
