names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CTSD,3.9126434,0.9036949,9.129129516298417e-05,1.0,0.7142857142857143
KLF6,3.3304956,0.7674801,0.0008669151576913484,1.0,0.7142857142857143
LRP10,3.1031988,0.6921716,0.001914410271884263,1.0,0.7142857142857143
EIF6,2.866534,0.48471358,0.004149936503814265,1.0,0.8928571428571429
CSTB,2.8595917,0.29979083,0.004241868044828014,1.0,1.0
PGF,2.7997458,0.75035524,0.005114285111881192,1.0,0.5892857142857143
PLS3,2.7943091,0.48245928,0.005201073050444965,1.0,0.8035714285714286
ARL8A,2.7333343,1.050401,0.006269668141316359,1.0,0.44642857142857145
ZMAT3,2.6599383,0.4495916,0.007815494127307457,1.0,0.8571428571428571
NFAT5,2.5816495,0.7634044,0.009832937038820965,1.0,0.5714285714285714
AFF4,2.5762546,0.68781215,0.009987705233503678,1.0,0.5892857142857143
NEAT1,2.53205,0.33689988,0.011339784532860688,1.0,1.0
ROCK2,2.521051,0.6077796,0.0117004889368901,1.0,0.6428571428571429
TLE5,2.492069,0.44189656,0.012700133215093742,1.0,0.8928571428571429
FAAP20,2.436489,0.48886913,0.014830619223061437,1.0,0.8928571428571429
CD47,2.3952117,0.42762423,0.01661076944129319,1.0,0.75
ISCU,2.3663552,0.48738673,0.017964195844070267,1.0,0.7321428571428571
RPS9,2.3534744,0.10936214,0.018598887030881334,1.0,1.0
SNHG25,2.3460722,0.529226,0.01897243599483602,1.0,0.6785714285714286
GTF3C1,2.3436465,1.0278174,0.019096260808463012,1.0,0.4107142857142857
HMGCS1,2.3287165,0.51170313,0.01987409355767304,1.0,0.8392857142857143
SMAP1,2.3179266,0.6396081,0.02045330971421067,1.0,0.5892857142857143
MRPL41,2.2965143,0.44095892,0.02164649338462561,1.0,0.9821428571428571
ALAS1,2.2860172,0.878225,0.022253250960183806,1.0,0.42857142857142855
TP53I3,2.2838843,0.69422066,0.022378328346315507,1.0,0.5357142857142857
PDCD10,2.2820442,0.5932516,0.022486728933040212,1.0,0.6071428571428571
PSME2,2.279075,0.46219483,0.022662610641546833,1.0,0.75
MDM4,2.2592518,0.93648237,0.02386772566090345,1.0,0.44642857142857145
SH3BGRL3,2.255488,0.15262382,0.024102719426836897,1.0,1.0
EIF2AK4,2.198235,0.5219868,0.027932361430318787,1.0,0.7142857142857143
SLTM,2.1931746,0.5422845,0.02829479491026649,1.0,0.6071428571428571
STUB1,2.1873198,0.43751165,0.028719189067929245,1.0,0.7678571428571429
EBLN3P,2.1775336,0.7187696,0.029440773370806556,1.0,0.4642857142857143
