names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CD99,3.6781802,0.18434711,0.00023490393914112347,1.0,1.0
PLSCR4,3.6055954,0.69958913,0.0003114380483506161,1.0,0.6888888888888889
SELENOH,3.5253804,0.49833643,0.00042287502396499456,1.0,0.9666666666666667
MT-ND5,3.091746,0.27775583,0.00198983024680838,1.0,1.0
STOM,2.9414787,0.38538852,0.003266494009129458,1.0,0.8111111111111111
ARID2,2.8932312,1.2291546,0.0038130047058455843,1.0,0.32222222222222224
NUCB2,2.8480425,0.5134262,0.004398905260355205,1.0,0.7555555555555555
TBCA,2.820449,0.34157884,0.004795648743536488,1.0,0.9888888888888889
FHL1,2.793941,0.490621,0.0052069985395613765,1.0,0.7222222222222222
SAT1,2.7920334,0.5309773,0.00523779457586586,1.0,0.7666666666666667
DUSP4,2.7898629,0.74439496,0.005273038427157519,1.0,0.4888888888888889
COQ10B,2.752929,0.6501888,0.005906469777712688,1.0,0.5111111111111111
PRELID1,2.7241187,0.3185554,0.006447332217027152,1.0,0.9555555555555556
ARGLU1,2.6596246,0.45524773,0.007822782179634967,1.0,0.8444444444444444
YWHAZ,2.645548,0.21616356,0.008155866802993393,1.0,1.0
NR2F1,2.6403189,0.44821018,0.008282804041383256,1.0,0.8111111111111111
POLR2K,2.6362407,0.36844477,0.008383022871039208,1.0,0.7888888888888889
MGAT4A,2.5263605,0.5072694,0.011525118416871476,1.0,0.6444444444444445
DEK,2.4956756,0.37832522,0.012571756486127983,1.0,0.8555555555555555
C5orf24,2.471963,0.46959782,0.013437347117555894,1.0,0.7222222222222222
AKAP11,2.458972,0.6759582,0.01393355124460896,1.0,0.45555555555555555
MYO10,2.4525917,0.46844932,0.01418312771465818,1.0,0.6
SLC7A6OS,2.4516048,0.99897766,0.014222072129227102,1.0,0.3111111111111111
PICALM,2.4478886,0.749159,0.014369611030743381,1.0,0.4111111111111111
CREBBP,2.4447641,0.86995786,0.014494691010090146,1.0,0.35555555555555557
DNAJC21,2.4393704,0.45298532,0.014712878963922945,1.0,0.7444444444444445
KLHL5,2.411481,0.61797017,0.015887880383970775,1.0,0.5
TIMM22,2.4089158,0.7790915,0.015999994002227035,1.0,0.37777777777777777
PUM1,2.3965497,0.47886187,0.016550252476799355,1.0,0.6555555555555556
ZFYVE16,2.388196,0.64024496,0.01693131173401085,1.0,0.43333333333333335
GTPBP4,2.3879986,0.4713235,0.016940405469973694,1.0,0.6222222222222222
PSMB4,2.3815525,0.37356773,0.01723983414062646,1.0,0.6888888888888889
