names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
GNG11,3.8233333,0.5064334,0.00013165968699033399,1.0,0.975
SERPINB1,3.7212427,0.65018827,0.00019824486196575965,1.0,0.85
TMSB4X,3.1649468,0.17963977,0.001551112823387802,1.0,1.0
RNF126,3.028256,1.0875206,0.0024596975341787605,1.0,0.4125
TXNRD2,2.9933062,0.45983547,0.0027597268741424434,1.0,0.8875
PTBP1,2.9503613,0.62118304,0.0031740266058728987,1.0,0.6125
CUEDC2,2.8914602,0.53412896,0.003834563038177224,1.0,0.7
RSU1,2.8734791,0.6194915,0.004059780475403876,1.0,0.6875
CD55,2.8536475,0.37312835,0.004322046274873349,1.0,0.975
MAP4,2.837063,0.41779396,0.004553062798723497,1.0,0.925
M6PR,2.8147874,0.8798935,0.004880950896598537,1.0,0.4375
POLD2,2.7918484,0.59605956,0.005240789262645006,1.0,0.6375
ACAT2,2.7415364,0.51770866,0.006115258457950544,1.0,0.7625
NGRN,2.7004418,0.510024,0.006924744952033447,1.0,0.7
DPP7,2.699569,0.5718863,0.006942936877197831,1.0,0.625
SUMO2,2.676979,0.26867095,0.007428926048161574,1.0,0.9875
PRSS3,2.6521199,0.42116338,0.007998813701027016,1.0,0.8875
SLC25A3,2.6497805,0.1974871,0.00805440583582044,1.0,1.0
WTAP,2.6316948,0.61119837,0.008496014977044806,1.0,0.575
DMRTA1,2.6117935,0.8496192,0.009006866273834806,1.0,0.425
NDUFA13,2.6007605,0.28029263,0.009301740317531913,1.0,0.9875
PRDX1,2.5639603,0.22169547,0.010348538496437111,1.0,1.0
DRAM1,2.5368664,0.7819931,0.011184960245416091,1.0,0.4375
SLC44A1,2.5294995,0.5324808,0.011422534132399777,1.0,0.6
ATP6V1F,2.5240178,0.32569015,0.011602202750025716,1.0,0.8875
AC100810.1,2.5240178,0.65254015,0.011602202750025716,1.0,0.5375
MLLT11,2.4942358,0.5637423,0.012622871167082517,1.0,0.6
RACK1,2.4878812,0.11714043,0.012850666087856075,1.0,1.0
IDI1,2.4779654,0.44119072,0.013213395698506093,1.0,0.7375
TAF1D,2.4726233,0.33256558,0.013412537885408552,1.0,0.875
SPTSSA,2.446996,0.48845425,0.014405240868754991,1.0,0.6875
ORAI1,2.4410257,0.47925135,0.014645614064864566,1.0,0.6125
FNDC3A,2.4070885,0.46331534,0.01608026898406316,1.0,0.6375
FADS1,2.4011183,0.364142,0.01634505723405484,1.0,0.85
FASN,2.3916214,0.4425399,0.01677413671052189,1.0,0.7625
RNF115,2.3777952,0.5406533,0.017416498128668488,1.0,0.5625
SSB,2.3656797,0.40106538,0.01799700410566727,1.0,0.825
HYI,2.3651211,0.47813916,0.0180241749764602,1.0,0.675
ERICH1,2.3511553,0.5329499,0.018715223521681115,1.0,0.5375
MED8,2.3264706,0.7131623,0.01999346115888745,1.0,0.425
DCTN6,2.3026936,0.57674265,0.02129608530706939,1.0,0.5375
LSM1,2.2989926,0.46284297,0.021505353822966488,1.0,0.6625
LAMC1,2.2898102,0.336618,0.022032325284193324,1.0,0.95
RPS24,2.2863536,0.07578124,0.022233581534892816,1.0,1.0
ATP6AP1,2.2861092,0.44836634,0.022247872099624824,1.0,0.675
PLAT,2.2797546,0.31965452,0.02262224073210133,1.0,0.9625
ANKRD28,2.279231,0.42672566,0.02265333808646331,1.0,0.65
RTN4,2.2696993,0.23492076,0.02322583542870283,1.0,1.0
FTL,2.2679536,0.1317837,0.023332038519538197,1.0,1.0
WDR13,2.258317,0.51081395,0.023925897809150828,1.0,0.5125
NBL1,2.2560127,0.50825673,0.024069834746261204,1.0,0.575
GABARAPL2,2.2503915,0.38565016,0.024424107189875217,1.0,0.85
ACTB,2.2394283,0.115447626,0.025128065703407018,1.0,1.0
UBA52,2.2326198,0.123525925,0.02557402237943531,1.0,1.0
XRCC6,2.219492,0.39576325,0.02645327424970851,1.0,0.7125
HSPE1,2.1950517,0.28163785,0.028159891707714456,1.0,0.9625
RAB3GAP2,2.192468,0.6619337,0.028345732692300233,1.0,0.425
SSNA1,2.1909318,0.45716092,0.028456732913188076,1.0,0.65
AGO3,2.1835647,0.6322234,0.028994247332871974,1.0,0.4625
HSPG2,2.1779087,0.21403393,0.029412845528995306,1.0,0.9875
CCT8,2.1721826,0.31199458,0.029841896732757302,1.0,0.875
PPP1R2,2.1647108,0.5286114,0.03040983938784482,1.0,0.5125
TXNL1,2.1532588,0.43083015,0.03129834615464304,1.0,0.6
ATP6V0B,2.1475327,0.40450525,0.03175089092224149,1.0,0.7375
S100A6,2.1466599,0.1033012,0.03182036689017167,1.0,1.0
PACSIN2,2.132345,0.4646265,0.03297850483077879,1.0,0.5625
