names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
FBXO9,3.4484966,1.0028087,0.0005637165014597722,1.0,0.64
PSME2,3.2921774,0.6107014,0.000994148317004799,1.0,0.88
ITM2B,3.1396224,0.40038207,0.0016916566985920865,1.0,1.0
PALMD,3.008899,0.66071886,0.002621962654377749,1.0,0.74
C4orf3,2.9239643,0.5408727,0.0034560454962136175,1.0,0.92
YY1,2.9185617,0.52254736,0.0035165036805140776,1.0,0.86
ESYT1,2.8957558,1.0651262,0.0037824654502568223,1.0,0.5
PCBD1,2.7910266,0.5075713,0.005254117136548875,1.0,0.86
RIN2,2.7137084,0.9957648,0.006653471926485793,1.0,0.48
GOLGA7,2.6975007,0.7012639,0.006986213036190627,1.0,0.68
MRPL16,2.6839502,0.7195584,0.007275795855578626,1.0,0.62
EIF3F,2.644494,0.4002078,0.008181316931764025,1.0,0.96
INO80E,2.6296148,1.329304,0.008548165188513422,1.0,0.38
TMEM218,2.5558393,1.1690326,0.01059320207732322,1.0,0.4
RTF2,2.5471156,0.5527575,0.010861745544225717,1.0,0.86
RPL9,2.5464513,0.115555294,0.010882438793207943,1.0,1.0
WDR60,2.5386574,0.86396325,0.01112786995654628,1.0,0.54
PYURF,2.5364876,0.48674688,0.01119706949865269,1.0,0.88
GRHPR,2.5216086,0.6170601,0.011681962851961283,1.0,0.76
LAMTOR2,2.4805138,0.5300826,0.013119315158514314,1.0,0.86
TUBA1C,2.4750228,0.4987097,0.013322767179246424,1.0,0.94
UBE2F,2.4591253,0.6638424,0.01392760422515875,1.0,0.6
RABAC1,2.454387,0.38050583,0.014112504860900453,1.0,0.96
AL590617.2,2.439552,0.85828024,0.014705482431026139,1.0,0.48
MPV17,2.408554,0.6646242,0.01601585812061687,1.0,0.64
CAMTA1,2.4074025,0.47012207,0.016066446770926373,1.0,0.88
CENPV,2.4051886,0.79608095,0.016164127574052594,1.0,0.6
LSM6,2.4027085,0.7206474,0.016274149404628544,1.0,0.6
GRSF1,2.3810098,0.6047083,0.01726524678545278,1.0,0.66
COX14,2.3791502,0.47923452,0.017352611379657084,1.0,0.82
KRTCAP2,2.3787072,0.43115866,0.017373469526410668,1.0,0.96
TMUB1,2.365555,1.0554615,0.01800306184281033,1.0,0.38
EPHB2,2.3552816,0.89141554,0.018508679280170956,1.0,0.46
MRPL42,2.3492148,0.5407272,0.01881305488773112,1.0,0.74
KDELR3,2.341288,0.98869216,0.01921733409271605,1.0,0.42
MGLL,2.337701,0.50105375,0.019402757938781927,1.0,0.74
AURKAIP1,2.326896,0.36869797,0.019970797818678977,1.0,0.9
PFDN4,2.3264089,0.45727727,0.019996744651213177,1.0,0.76
SNRPC,2.320342,0.731433,0.020322374348274896,1.0,0.6
CHCHD1,2.2994406,0.60908306,0.02147993360584662,1.0,0.78
TECR,2.2451053,0.5902218,0.02476137297451525,1.0,0.64
C16orf87,2.2424927,1.0320412,0.02492955247709582,1.0,0.4
PPP5C,2.236293,0.7723883,0.025332585689263224,1.0,0.5
MYL6,2.2162328,0.17049377,0.026675564506435778,1.0,1.0
SERF2,2.2127788,0.15260915,0.026912906737289667,1.0,1.0
EIF3M,2.2124245,0.43662217,0.02693735230425473,1.0,0.88
TSNAX,2.2060034,0.6606044,0.02738376217451474,1.0,0.54
ATP5PD,2.2052064,0.40914094,0.027439621453952064,1.0,0.92
CWC15,2.1973681,0.56486905,0.027994160358584985,1.0,0.68
CEP126,2.1900172,0.9662357,0.02852298806688329,1.0,0.38
KRT18,2.186519,0.26421556,0.02877766643462582,1.0,1.0
RAB11A,2.1822677,0.34189513,0.02908978221530615,1.0,0.96
ASB9,2.1730568,0.9333452,0.029776041162286535,1.0,0.4
ORMDL1,2.171374,0.53671396,0.029902907846525034,1.0,0.64
TRAPPC6A,2.149941,0.7711651,0.03155987586938706,1.0,0.5
TXLNA,2.1424572,0.71430784,0.032156705608091245,1.0,0.52
TNIP2,2.1356819,0.66387224,0.03270534729577682,1.0,0.54
ATP1B1,2.1333792,0.8937055,0.03289362994116919,1.0,0.44
SUPT4H1,2.1304564,0.74507546,0.03313393981668269,1.0,0.56
DLD,2.1131861,0.7186744,0.03458483715886996,1.0,0.48
FAU,2.1104848,0.14741574,0.03481661061899321,1.0,1.0
PCSK7,2.0916204,0.75284195,0.03647249265861493,1.0,0.48
PITPNM2,2.0799296,1.2868867,0.03753198986643732,1.0,0.3
AKR7A2,2.0793097,0.53322154,0.03758889915973511,1.0,0.62
PPTC7,2.0687702,1.2682853,0.03856764816779798,1.0,0.3
PFN2,2.0591166,0.37800142,0.039483071520369686,1.0,0.78
RNF130,2.0543783,0.70959026,0.039939091673395447,1.0,0.5
RAC2,2.0534484,0.4330788,0.04002911355247001,1.0,0.8
COX6A1,2.0491085,0.26050088,0.04045149484634676,1.0,0.98
PMEPA1,2.0380821,0.63399667,0.041541718467979286,1.0,0.48
ATP8B1,2.0365322,1.0149249,0.04169693921017515,1.0,0.34
NOL11,2.036488,0.95540947,0.04170138129347971,1.0,0.36
TBC1D20,2.0345395,0.83010226,0.04189722995531306,1.0,0.44
CCNL2,2.029137,0.7056051,0.04244434095387449,1.0,0.44
RHOA,2.0289156,0.27787414,0.04246689183846609,1.0,1.0
GLYR1,2.0242217,0.62636936,0.042947360523710905,1.0,0.48
MAD1L1,2.022716,2.1108468,0.043102443158526973,1.0,0.22
PRDX4,2.022096,0.3896278,0.04316643813757874,1.0,0.82
ALYREF,2.0203688,0.58175176,0.043345133395242,1.0,0.56
ZNF358,2.0119994,0.83676696,0.0442199959469837,1.0,0.38
CBX5,2.0027442,0.4703742,0.045204742529608294,1.0,0.7
NDUFA2,1.9966332,0.42072484,0.04586504033482788,1.0,0.88
ACAT2,1.9929577,0.5193056,0.04626607502837231,1.0,0.7
LYRM7,1.9928691,0.82489055,0.04627577482897958,1.0,0.38
PTTG1,1.9899023,0.5805193,0.04660170898656801,1.0,0.56
VEZF1,1.9788758,0.54921716,0.04782999888034542,1.0,0.54
RAD50,1.9755102,0.5535131,0.04821027546467762,1.0,0.58
MFHAS1,1.9728975,0.72392094,0.0485072385874104,1.0,0.44
MTLN,1.9658566,0.39983878,0.04931518633079182,1.0,0.8
RABGGTB,1.9647051,0.5009186,0.04944837177365434,1.0,0.7
SPCS1,1.9612068,0.33162194,0.0498549032563007,1.0,0.94
HLTF,1.9609411,0.54529685,0.049885893242077435,1.0,0.54
DTD1,1.9585499,0.36992162,0.05016553063679139,1.0,0.84
TP53INP1,1.9548743,0.8576807,0.05059790478118812,1.0,0.38
ERH,1.9520402,0.31379065,0.05093342980121834,1.0,0.88
PARVA,1.9519074,0.48969862,0.050949203148129577,1.0,0.68
UTP23,1.9393753,0.7363198,0.05245565924807446,1.0,0.42
LIMD2,1.9352126,1.5245173,0.05296420387526739,1.0,0.26
PDLIM4,1.9334856,0.41966656,0.05317640167130117,1.0,0.88
HMOX2,1.9313158,0.548034,0.05344401543966912,1.0,0.52
RBPJ,1.9274632,0.5286835,0.053921937729734526,1.0,0.56
MED17,1.9263117,0.9315518,0.054065455550933145,1.0,0.34
PDE2A,1.9184737,1.0836971,0.05505097601808655,1.0,0.36
COX6C,1.9180309,0.19156837,0.05510709922522721,1.0,1.0
ITPRIPL2,1.916658,0.67717195,0.055281384363318954,1.0,0.46
SEC31A,1.9133369,0.34206212,0.05570494295760086,1.0,0.78
YTHDF2,1.9125841,0.50845796,0.055801324502599066,1.0,0.6
SRP14,1.9058973,0.18403396,0.05666353114166307,1.0,1.0
REXO2,1.9047459,0.34656033,0.05681310369884754,1.0,0.92
HINT2,1.903019,0.63739264,0.05703807840904183,1.0,0.5
RNH1,1.8982364,0.37165412,0.05766495594616175,1.0,0.82
CD82,1.8878298,1.087522,0.05904879967093967,1.0,0.3
SSNA1,1.8872985,0.45961434,0.059120197515349526,1.0,0.72
PHF11,1.8828701,0.7721787,0.05971797050830945,1.0,0.4
GON4L,1.880656,0.7676954,0.060018732011182276,1.0,0.38
EHD4,1.8777776,0.43963107,0.060411598748534294,1.0,0.8
MRPL3,1.876892,0.42914137,0.06053290879610311,1.0,0.64
TRIR,1.8740135,0.3790745,0.060928561515280664,1.0,0.88
FTH1,1.8727736,0.13883264,0.06109965551740997,1.0,1.0
SNX3,1.8713123,0.31296033,0.061301812713419106,1.0,0.98
ATF6,1.8691866,0.58185154,0.061596848045971736,1.0,0.52
ARL2,1.8614814,0.33815324,0.06267622153196498,1.0,0.86
ZRANB2,1.8599758,0.42128026,0.06288894976298925,1.0,0.8
GALE,1.8585144,0.878256,0.06309599177294567,1.0,0.36
PTGES3,1.8483293,0.2902113,0.06455471030161702,1.0,0.94
BLOC1S2,1.846248,0.51128346,0.06485619534580797,1.0,0.56
SH3KBP1,1.8443881,0.4063053,0.06512658948084865,1.0,0.68
PERP,1.8438568,0.35997126,0.06520401550796821,1.0,0.76
ATR,1.8431482,0.7595921,0.06530736828754724,1.0,0.42
SMIM29,1.8408456,0.5130685,0.0656441982167268,1.0,0.56
DDX18,1.8347788,0.43520853,0.06653847738935298,1.0,0.76
COX7C,1.8307933,0.18874459,0.06713140309183002,1.0,1.0
G6PD,1.830749,0.44548905,0.06713801550508539,1.0,0.72
CD9,1.8297747,0.22178268,0.0672836242833612,1.0,1.0
TMX4,1.8254793,0.47893414,0.06792872898525976,1.0,0.58
MINDY2,1.8231323,0.5659303,0.06828335251664278,1.0,0.48
SCAMP4,1.8223795,0.8689049,0.06839742157092098,1.0,0.34
TFG,1.8181283,0.5309802,0.06904451968526111,1.0,0.58
RPS3A,1.8077219,0.094191745,0.0706498058624894,1.0,1.0
DSTYK,1.8062605,0.9562476,0.07087766085100966,1.0,0.32
TPRKB,1.8004152,0.66917694,0.07179511414654276,1.0,0.44
DNM1L,1.8001051,0.53228545,0.07184403736248647,1.0,0.62
NME2,1.7965182,0.14925893,0.07241213770715307,1.0,1.0
TMEM256,1.7943926,0.329617,0.07275052176014415,1.0,0.94
NTPCR,1.7910714,0.52653736,0.0732818368578477,1.0,0.52
PRRC1,1.7909386,0.7755826,0.07330315531081336,1.0,0.36
CETN2,1.7867317,0.41052133,0.07398086780536216,1.0,0.76
LRIF1,1.7852261,0.57947046,0.0742246586484207,1.0,0.46
TWISTNB,1.7840304,0.5865479,0.07441872462963912,1.0,0.5
HTRA2,1.7805763,0.9388074,0.07498168961303592,1.0,0.32
CDR2L,1.7777423,1.5909894,0.07544620287909366,1.0,0.22
ADIPOR2,1.777255,0.9377676,0.07552627716046924,1.0,0.38
UGDH,1.7760152,0.47641444,0.07573041564441174,1.0,0.58
GIPC1,1.7735796,0.50804186,0.07613271279239855,1.0,0.52
LNPEP,1.7727826,0.61425114,0.07626475167451904,1.0,0.46
MPC2,1.7721183,0.50495654,0.07637492669645031,1.0,0.62
SETD5,1.7714097,0.55004835,0.07649258975307643,1.0,0.56
PHC3,1.7701699,0.8746283,0.07669885575199323,1.0,0.34
KDSR,1.7696826,0.48616415,0.07678001278666953,1.0,0.58
PMP22,1.7695056,0.27809632,0.07680954178648665,1.0,0.92
UBE2M,1.7648559,0.41974553,0.07758799476891302,1.0,0.76
MVK,1.7642802,0.95722634,0.07768482017468616,1.0,0.3
EBPL,1.7631731,0.38984218,0.07787129948124882,1.0,0.7
B3GALNT2,1.7596748,0.76963496,0.07846297121728806,1.0,0.38
NME3,1.7558664,0.37793922,0.07911122356113394,1.0,0.8
IFI27,1.7555565,0.23233995,0.07916417943777643,1.0,1.0
DFFA,1.7537408,0.51033014,0.07947492878756253,1.0,0.58
S100A6,1.7532095,0.111901894,0.07956606719866081,1.0,1.0
YTHDF3,1.7474084,0.52069664,0.08056653182671548,1.0,0.46
DDT,1.7473198,0.38192335,0.08058188491699315,1.0,0.98
DDX6,1.7443085,0.5324002,0.08110530539873834,1.0,0.58
TM7SF3,1.7429358,0.4083252,0.08134483774058854,1.0,0.66
RAB1B,1.7425815,0.4367921,0.08140674564775847,1.0,0.64
SRSF5,1.7409873,0.41765222,0.0816858045507536,1.0,0.68
TADA3,1.7353634,0.622856,0.08267646632780047,1.0,0.44
GNAQ,1.7332377,0.42267668,0.08305341624549654,1.0,0.64
RPS23,1.7321306,0.11403807,0.08325029513573116,1.0,1.0
EXOC4,1.7299608,0.73993695,0.08363727441298054,1.0,0.38
NTMT1,1.7208828,0.49866515,0.08527209233408839,1.0,0.52
GTF3C6,1.7183144,0.37425277,0.08573928608111624,1.0,0.78
TTC28-AS1,1.7114062,0.68343675,0.0870061465998323,1.0,0.38
AC245297.3,1.709325,1.0037163,0.0873907770093167,1.0,0.28
TIAL1,1.7088379,0.46350834,0.0874809947311787,1.0,0.56
NR2F1-AS1,1.706845,0.78432095,0.08785084999845116,1.0,0.36
TAGLN,1.7066679,0.8694224,0.08788378696477198,1.0,0.34
PSMD8,1.7052952,0.35691193,0.08813938626125542,1.0,0.92
RNF121,1.7045424,0.797878,0.08827980789197497,1.0,0.34
ATP5F1C,1.7038782,0.23210137,0.08840385905979416,1.0,0.86
PSMB3,1.699317,0.3826344,0.08925947678543215,1.0,0.84
NECAP2,1.6971914,0.7555215,0.08966048339403572,1.0,0.4
OCIAD1,1.6964386,0.34436738,0.08980285392320243,1.0,0.74
SLC7A1,1.6956415,0.7180621,0.08995379749801027,1.0,0.38
RAB32,1.6955972,0.38039625,0.08996218923642066,1.0,0.74
SSR3,1.691346,0.23846522,0.09077073454527668,1.0,0.94
CDKN2D,1.6864306,1.099751,0.09171289006896441,1.0,0.26
GET3,1.6858549,0.55033356,0.09182374482406318,1.0,0.48
DENND10,1.684925,0.50846064,0.09200304529681752,1.0,0.48
