names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
SFXN3,3.6393201,1.0530834,0.00027335870763204695,1.0,0.6111111111111112
RXYLT1,3.165141,1.0256866,0.001550077450832643,1.0,0.5370370370370371
RABGGTB,3.1119387,0.69943994,0.0018586310082521465,1.0,0.7407407407407407
VPS4B,3.0311766,0.89554584,0.0024360272734121344,1.0,0.5925925925925926
PEBP1,3.0221462,0.4003891,0.002509892650943487,1.0,0.9259259259259259
DPH3,2.9442382,0.93037784,0.0032375084372767596,1.0,0.5555555555555556
CCDC167,2.9182546,0.66630393,0.0035199692929411084,1.0,0.7222222222222222
ELF2,2.9104168,0.9031242,0.003609470187807086,1.0,0.5370370370370371
COQ10B,2.8883946,0.9448994,0.0038721367859309444,1.0,0.5370370370370371
RPS26,2.8780863,0.26522714,0.004000954961414933,1.0,1.0
STOM,2.78314,0.498837,0.005383559176818367,1.0,0.8703703703703703
PET100,2.7676775,0.59179604,0.005645729079764185,1.0,0.8148148148148148
RPL22,2.7554524,0.16628824,0.005861102376121592,1.0,1.0
PPP1R12A,2.742972,0.631747,0.006088591261779174,1.0,0.6851851851851852
SNRPD1,2.7265298,0.47268707,0.006400418503865016,1.0,0.8518518518518519
PTGES3,2.6766071,0.38070148,0.0074371773751635,1.0,0.9259259259259259
EIF4E,2.6735828,0.5870212,0.00750457335727325,1.0,0.7592592592592593
ARGLU1,2.6591854,0.5143058,0.007832984517494278,1.0,0.8888888888888888
SNHG6,2.6527534,0.23969415,0.007983817539600344,1.0,0.9814814814814815
PSMC4,2.6372485,0.6447099,0.0083581591801496,1.0,0.6666666666666666
CFL1,2.630433,0.20675866,0.008527615738280906,1.0,1.0
SNX6,2.5365088,0.45187747,0.011196392364126291,1.0,0.9074074074074074
OPA1,2.522452,0.9668286,0.011653981292075375,1.0,0.46296296296296297
TSPAN4,2.4262276,0.5603023,0.01525669564534671,1.0,0.7592592592592593
TMEM183A,2.4247794,0.6298207,0.015317690963049475,1.0,0.6296296296296297
FIBP,2.415664,0.5785692,0.015706553661936296,1.0,0.7407407407407407
IL6ST,2.4015646,0.46426356,0.016325127642263036,1.0,0.8703703703703703
CMTM3,2.398583,0.9102585,0.016458652808464334,1.0,0.4444444444444444
RPL7A,2.397518,0.099131644,0.016506572334607363,1.0,1.0
SRSF1,2.3305995,0.68859744,0.01977448405191942,1.0,0.5555555555555556
EFNB1,2.3226342,0.89199054,0.020198816484158305,1.0,0.4074074074074074
ZNF286A,2.3182466,1.1738515,0.020435916132172653,1.0,0.35185185185185186
REEP5,2.3116016,0.4466202,0.020799640663543444,1.0,0.7407407407407407
DFFA,2.2771842,0.66127414,0.022775231701338255,1.0,0.6111111111111112
TPM2,2.2768009,0.3349977,0.022798125066590184,1.0,0.9814814814814815
SCARB1,2.2743301,0.52761745,0.022946140239372963,1.0,0.7222222222222222
SEC61G,2.2696872,0.2703087,0.023226566181871352,1.0,1.0
CLTA,2.2669184,0.30353746,0.023395205043078373,1.0,0.9444444444444444
BPHL,2.2594643,1.196821,0.02385452537514502,1.0,0.3333333333333333
RPL26L1,2.2588253,0.5145555,0.023894257208216422,1.0,0.6851851851851852
SLC17A5,2.2554603,1.0029763,0.024104460066287813,1.0,0.37037037037037035
EXOG,2.2456632,0.94939995,0.024725597045240636,1.0,0.3888888888888889
PTMA,2.2329268,0.13414334,0.025553768000551043,1.0,1.0
CEBPD,2.2243226,0.803656,0.026126756626664412,1.0,0.46296296296296297
TAF7,2.2198925,0.61418456,0.026426067634679216,1.0,0.5740740740740741
COMMD7,2.2141845,0.47951874,0.026816082574591126,1.0,0.7592592592592593
RPL36AL,2.2140143,0.26186994,0.026827800809109636,1.0,0.9814814814814815
CWC22,2.206986,0.9382681,0.027315046315483912,1.0,0.3888888888888889
TOMM40,2.2033226,0.67929506,0.027572018207000774,1.0,0.5
IER2,2.198552,0.43526143,0.027909803352420035,1.0,0.7407407407407407
PCBP2,2.1967201,0.22892855,0.028040433291416585,1.0,0.9629629629629629
TM2D1,2.1962516,0.527192,0.028073934781359312,1.0,0.6481481481481481
NCKAP1,2.181982,0.55885893,0.029110861268776184,1.0,0.7037037037037037
PYCR1,2.1619618,0.76713884,0.03062111599959811,1.0,0.46296296296296297
DYNLT3,2.1539538,0.71058893,0.031243794662853857,1.0,0.48148148148148145
FAM32A,2.1484163,0.6487435,0.03168069729672243,1.0,0.5185185185185185
UQCC2,2.1381507,0.4132961,0.032504516014696394,1.0,0.8888888888888888
UBLCP1,2.1290352,0.6631977,0.03325135442951377,1.0,0.5
FNBP4,2.113104,0.6691402,0.034591849663753726,1.0,0.5185185185185185
ATF7,2.1102076,0.85881937,0.03484047159037303,1.0,0.4074074074074074
AHSA1,2.0889947,0.5909767,0.036708186735780204,1.0,0.5555555555555556
LYRM2,2.0778773,0.5558767,0.03772066320470687,1.0,0.5740740740740741
