names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
SLC25A36,3.175991,0.6231273,0.0014932557060149375,1.0,0.625
OAT,3.0666652,0.6452597,0.0021646126235283477,1.0,0.6354166666666666
PPA1,2.8315268,0.3501304,0.004632636602067392,1.0,0.9479166666666666
A1BG,2.8175864,0.44242695,0.004838608798398916,1.0,0.7708333333333334
INSIG1,2.8060331,0.4019376,0.005015552156298957,1.0,0.8125
CENPV,2.803296,0.55596274,0.0050583207146944675,1.0,0.59375
TIMM10,2.6862998,0.51193315,0.007224823068269472,1.0,0.6770833333333334
LGALS3,2.6645937,0.46484697,0.007708138023868194,1.0,0.7083333333333334
EI24,2.6537726,0.36093724,0.007959746306735438,1.0,0.8541666666666666
BAZ1B,2.6492212,0.58358455,0.008067749156274454,1.0,0.5729166666666666
DCAF7,2.5867448,0.5019418,0.009688733812203603,1.0,0.65625
PRKAR2A,2.5663755,0.47110942,0.010276753497463528,1.0,0.6875
TUBG1,2.551194,0.76945645,0.010735457891083317,1.0,0.3958333333333333
PEBP1,2.5454013,0.22487597,0.010915219147495438,1.0,0.9270833333333334
CSNK2B,2.5377629,0.36373517,0.011156354406572692,1.0,0.71875
FUS,2.5182528,0.4124878,0.01179386071737704,1.0,0.7604166666666666
SRPX,2.462492,0.36166084,0.013797529922862303,1.0,0.8645833333333334
GOSR2,2.4502385,0.7020796,0.014276163630336566,1.0,0.3958333333333333
NAGK,2.4298372,0.96125054,0.015105601844830388,1.0,0.3125
UNC45A,2.4222307,0.5709938,0.015425556922470832,1.0,0.5
PNPLA8,2.4038029,0.61664623,0.016225524820984466,1.0,0.4583333333333333
HEXA,2.3952413,0.5665788,0.01660943116296267,1.0,0.5104166666666666
DNPH1,2.3649738,0.3935847,0.018031349114669304,1.0,0.7291666666666666
CHST14,2.3602633,0.97032124,0.018261966271632055,1.0,0.3229166666666667
CLOCK,2.336584,0.6651946,0.019460825008452136,1.0,0.40625
CDC37,2.3099449,0.2977608,0.020891213125319757,1.0,0.875
ARGLU1,2.3036113,0.330518,0.021244480590894503,1.0,0.7916666666666666
TIMM13,2.2988052,0.23687749,0.021515999021240673,1.0,0.90625
RIT1,2.2824461,0.7800711,0.02246301239091415,1.0,0.3645833333333333
FAM32A,2.2649095,0.5460559,0.023518236590198114,1.0,0.4791666666666667
THOC7,2.2452402,0.33722055,0.02475270858007946,1.0,0.71875
CLPP,2.2418349,0.39041197,0.024972049238319,1.0,0.6458333333333334
KDELR1,2.2313318,0.35225147,0.02565915220817859,1.0,0.8854166666666666
NHLRC2,2.2186966,0.8141812,0.02650737565088162,1.0,0.3333333333333333
TMED3,2.2166915,0.35954443,0.026644183547678637,1.0,0.75
TCF12,2.1909115,0.61679894,0.028458195521833807,1.0,0.40625
NUCB1,2.1691737,0.3694275,0.030069503596608035,1.0,0.6458333333333334
TPM1,2.1687598,0.2418971,0.030100918005177744,1.0,0.9479166666666666
CCDC137,2.1642404,0.50810546,0.030445900750658485,1.0,0.4479166666666667
TOMM20,2.1585433,0.21579467,0.0308856079006045,1.0,0.9166666666666666
COX6A1,2.1582887,0.16887367,0.030905386237171106,1.0,0.9479166666666666
COMMD4,2.1577795,0.55423087,0.03094497553068048,1.0,0.4166666666666667
RNH1,2.1496317,0.2673696,0.03158434923127551,1.0,0.78125
TMEM165,2.1446033,0.35508037,0.031984590597090384,1.0,0.7604166666666666
SARAF,2.1410704,0.33653235,0.03226836600325507,1.0,0.84375
MNAT1,2.1403701,0.43019164,0.032324865211981094,1.0,0.5833333333333334
PARK7,2.1243293,0.24707505,0.033642616912219786,1.0,0.96875
SUB1,2.1095934,0.22844212,0.03489339559803096,1.0,0.9583333333333334
SNAPC3,2.1004908,0.5688563,0.03568568617558525,1.0,0.4166666666666667
MRPS6,2.0897014,0.5500507,0.03664462598168182,1.0,0.4479166666666667
STK25,2.0781164,0.5291962,0.0376986389463718,1.0,0.4791666666666667
DNAJC4,2.0756977,0.55436796,0.037921932778887085,1.0,0.4375
PLAC9,2.0705097,0.44879538,0.0384046351372491,1.0,0.5729166666666666
ATP5MPL,2.0516682,0.22869293,0.040201927531103125,1.0,0.9895833333333334
SNHG16,2.0508087,0.2770839,0.04028557181270097,1.0,0.9166666666666666
NOC2L,2.0460348,0.6452832,0.04075295440388495,1.0,0.40625
CSNK1D,2.0422473,0.46390766,0.041127006408742346,1.0,0.5208333333333334
RNF145,2.0376325,0.4550696,0.04158671139864017,1.0,0.5520833333333334
SEPHS2,2.0331447,0.73921895,0.04203789975678388,1.0,0.3229166666666667
AFAP1,2.030344,0.38310838,0.042321586589503905,1.0,0.59375
AK2,2.017295,0.62103844,0.04366474919283178,1.0,0.4270833333333333
NT5C3A,2.0167856,0.80332816,0.04371788700254512,1.0,0.3125
ATP6V0B,2.010261,0.31100568,0.04440356140931267,1.0,0.71875
IPO7,1.9972439,0.29861927,0.045798701557993336,1.0,0.8020833333333334
CSTF2T,1.9968301,1.1632768,0.04584364463628794,1.0,0.21875
ACACA,1.9868046,0.66387343,0.04694405961216908,1.0,0.375
CHMP2A,1.9839401,0.28061086,0.047262515735126215,1.0,0.8333333333333334
NPEPPS,1.9813621,0.3528503,0.04755067776191311,1.0,0.6041666666666666
HES2,1.9744874,0.4687077,0.048326339533669035,1.0,0.5625
RSF1,1.9627751,0.3081782,0.04967230985604609,1.0,0.71875
INTS13,1.9615657,0.70348877,0.0498130697653207,1.0,0.3333333333333333
SNRPB2,1.9599106,0.28733307,0.05000623048904025,1.0,0.8645833333333334
PLSCR4,1.9558686,0.408774,0.05048062948407466,1.0,0.5625
ATP6AP2,1.9545637,0.33967078,0.050634584856875636,1.0,0.7083333333333334
TSR1,1.9531634,0.57759005,0.05080024265101149,1.0,0.3854166666666667
SLC17A5,1.9506172,0.7056522,0.051102601719053765,1.0,0.3229166666666667
RBMX,1.9411008,0.35692227,0.05224604119207274,1.0,0.6875
TAGLN,1.9374726,0.81954974,0.052687599070645394,1.0,0.3125
NDUFAF2,1.9368043,0.34651104,0.05276927795762728,1.0,0.71875
B4GAT1,1.9355948,0.7389196,0.05291734685984502,1.0,0.3541666666666667
NDUFB3,1.9289429,0.31190082,0.053737944963272465,1.0,0.8125
CIRBP,1.9254102,0.3558953,0.05417806723359783,1.0,0.6666666666666666
TGFBRAP1,1.9163712,0.7370912,0.05531785634643365,1.0,0.3020833333333333
SNU13,1.9118836,0.2682096,0.055891120070512224,1.0,0.9583333333333334
SEC61B,1.9116609,0.22249691,0.055919708420051485,1.0,0.9791666666666666
DYNC1LI1,1.909433,0.41576496,0.056206262344322105,1.0,0.6354166666666666
TRAF7,1.9050727,0.43547565,0.056770627832537016,1.0,0.46875
KCTD12,1.9003941,0.33891907,0.057381424147364066,1.0,0.75
NKAP,1.8971795,0.49832186,0.05780424630443678,1.0,0.46875
TGM2,1.8902731,0.16934367,0.05872144903298401,1.0,1.0
PCGF2,1.8858491,0.4333515,0.05931529168059877,1.0,0.5104166666666666
SEM1,1.8794837,0.18801756,0.060178478347076826,1.0,0.9479166666666666
CTNNAL1,1.8673894,0.3396873,0.061847228118375064,1.0,0.6354166666666666
CCNB1IP1,1.8576185,0.3801952,0.06322320988996857,1.0,0.6145833333333334
CHMP1A,1.8536719,0.7148675,0.06378610834568613,1.0,0.2916666666666667
TOLLIP,1.8518578,0.8396245,0.06404624535667652,1.0,0.2708333333333333
ARSG,1.8503938,1.1199316,0.06425681869258511,1.0,0.21875
SDR39U1,1.8392224,0.6554003,0.06588247344569417,1.0,0.3229166666666667
CLN5,1.8369627,0.58565474,0.06621539732761222,1.0,0.34375
TMED7,1.8361034,0.46071306,0.06634236541499337,1.0,0.4791666666666667
CCN2,1.8339392,0.31388366,0.06666302571395663,1.0,0.90625
PSMG2,1.8281784,0.36357737,0.06752277239330638,1.0,0.5729166666666666
RPN2,1.8248366,0.20310757,0.06802568792467001,1.0,0.9270833333333334
CCT2,1.8219403,0.29584536,0.06846403596901317,1.0,0.7083333333333334
LINC02577,1.8193624,0.6488044,0.0688561645482676,1.0,0.3020833333333333
SEC62,1.8189805,0.29507267,0.06891441431313625,1.0,0.84375
NCSTN,1.8185349,0.45577684,0.06898242353697533,1.0,0.46875
SLC38A1,1.8174846,0.30632827,0.06914294917913826,1.0,0.6145833333333334
COQ4,1.8171027,0.36044464,0.06920139816440649,1.0,0.5
SUMO2,1.8169754,0.19098084,0.06922089017574225,1.0,0.9895833333333334
ZBTB8OS,1.8167526,0.44767198,0.06925501204660481,1.0,0.4583333333333333
MT-ND2,1.8157977,0.1219133,0.06940140514606333,1.0,1.0
EBNA1BP2,1.8114055,0.28392377,0.07007809003429796,1.0,0.6875
VCL,1.8068862,0.24909624,0.0707800316822157,1.0,0.8020833333333334
TMEM192,1.8013164,0.7295349,0.07165302146246302,1.0,0.28125
PACS2,1.7968606,0.64768547,0.07235774825665903,1.0,0.3125
INPP4A,1.794951,0.9022202,0.07266150637918957,1.0,0.23958333333333334
SERBP1,1.7908771,0.12777875,0.07331301266553478,1.0,1.0
PPP6R3,1.7840025,0.6268227,0.07442325974729665,1.0,0.3020833333333333
ABRACL,1.7833978,0.2770547,0.07452157425564697,1.0,0.75
DHX36,1.7821565,0.3238984,0.07472371016398853,1.0,0.6666666666666666
HSD17B7,1.7762685,0.6002384,0.07568866957765565,1.0,0.34375
ARMCX3,1.7747726,0.35981673,0.0759354346650914,1.0,0.5416666666666666
FASN,1.7697439,0.3324777,0.07676980155469985,1.0,0.6458333333333334
RPL23,1.7685345,0.045803647,0.07697158299325318,1.0,1.0
MT-ND4,1.7674843,0.095270276,0.07714716474155664,1.0,1.0
NTAN1,1.7523983,0.4378486,0.07970535747616757,1.0,0.4791666666666667
ARPC2,1.7522073,0.17837426,0.0797381763153926,1.0,1.0
NME1,1.7474014,0.19161367,0.08056774004947721,1.0,0.8645833333333334
TAPBP,1.7469558,0.27604654,0.08064500701716534,1.0,0.71875
