names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
KPNB1,3.4870632,0.32339177,0.0004883561416502403,1.0,0.8932584269662921
PITPNB,2.7924674,0.4118992,0.005230772756927244,1.0,0.5786516853932584
EHD4,2.779218,0.31352523,0.005448996862217094,1.0,0.7528089887640449
AAK1,2.6681159,0.36563876,0.007627792636696883,1.0,0.6348314606741573
BLOC1S1,2.625954,0.28208923,0.008640652866211547,1.0,0.7808988764044944
FTSJ3,2.578385,0.59147555,0.0099263283172948,1.0,0.3595505617977528
PRMT2,2.5472684,0.33450234,0.010856992578308819,1.0,0.7696629213483146
ENOSF1,2.5302827,0.4712702,0.011397062635969181,1.0,0.46629213483146065
COMMD4,2.5260596,0.5220908,0.011534990302619449,1.0,0.398876404494382
SLC12A2,2.5182397,0.5846196,0.011794299339172512,1.0,0.37640449438202245
RB1CC1,2.5106983,0.36565557,0.012049258627747946,1.0,0.6123595505617978
CD70,2.4946876,0.2707102,0.012606810380021068,1.0,0.9101123595505618
NBL1,2.4935968,0.37921828,0.012645606441930121,1.0,0.5393258426966292
NIPSNAP3A,2.439531,0.49616712,0.014706339850026937,1.0,0.43820224719101125
ELAVL1,2.438162,0.40614215,0.014762157785181789,1.0,0.5280898876404494
CCDC80,2.428277,0.3175843,0.015170752770692497,1.0,0.7134831460674157
MCTS1,2.4268847,0.30327237,0.015229094296271001,1.0,0.6797752808988764
HTATIP2,2.423752,0.45046034,0.015361085537030725,1.0,0.5168539325842697
ACADVL,2.4053977,0.38829815,0.016154879075904544,1.0,0.4887640449438202
GABBR2,2.3933313,0.35569787,0.01669615340016086,1.0,0.5786516853932584
SYPL1,2.3861613,0.30253425,0.01702528284620884,1.0,0.7359550561797753
MAP1LC3B,2.386138,0.35842824,0.017026357166729223,1.0,0.6404494382022472
RDH11,2.372819,0.30271024,0.01765291965754972,1.0,0.6797752808988764
UBE2N,2.3658576,0.29460973,0.017988363161232278,1.0,0.6460674157303371
ANP32A,2.3532112,0.29080635,0.018612056263837228,1.0,0.6685393258426966
MSL3,2.3521206,0.49096903,0.018666718483433452,1.0,0.4606741573033708
TMEM230,2.3520741,0.22422802,0.018669047647607063,1.0,0.898876404494382
GOT2,2.3386621,0.28370476,0.01935292258489428,1.0,0.6741573033707865
DAAM1,2.318521,0.36699635,0.020421026855035596,1.0,0.5730337078651685
ACOT7,2.3141122,0.2551533,0.02066157253532693,1.0,0.7359550561797753
PRKAG1,2.3017676,0.66650397,0.02134828896158224,1.0,0.3539325842696629
CCT3,2.2909544,0.18389317,0.02196605717548555,1.0,0.9213483146067416
LIMA1,2.283204,0.25392494,0.022418349860306146,1.0,0.7752808988764045
NRDC,2.2738063,0.2449222,0.022977631399778573,1.0,0.7303370786516854
LINC02802,2.27137,0.4142283,0.023124593756339785,1.0,0.4887640449438202
EXOSC1,2.265244,0.49303156,0.023497710321907367,1.0,0.37640449438202245
RNF149,2.2621114,0.32221222,0.023690519617245484,1.0,0.6179775280898876
PROS1,2.2296255,0.74782854,0.025772315633875966,1.0,0.25842696629213485
G3BP1,2.2277226,0.264379,0.02589900893296075,1.0,0.8146067415730337
ARL4A,2.2188356,0.5667876,0.02649791599329223,1.0,0.33146067415730335
CAND1,2.2178144,0.35078877,0.026567480213159102,1.0,0.5337078651685393
JCAD,2.2175825,0.50888586,0.026583312245746886,1.0,0.34831460674157305
GTF2A2,2.199576,0.27211234,0.02783699069968176,1.0,0.702247191011236
TNPO1,2.198091,0.23968504,0.02794262600403471,1.0,0.7921348314606742
NSD3,2.1968844,0.3297065,0.028028708968733582,1.0,0.5617977528089888
GRINA,2.1876025,0.30800033,0.028698560448295725,1.0,0.6179775280898876
ZNF106,2.183426,0.27397904,0.029004463084548876,1.0,0.7078651685393258
PSENEN,2.1680415,0.34428927,0.03015553267057122,1.0,0.4887640449438202
EEF2K,2.1647232,0.6972437,0.030408885628782974,1.0,0.24719101123595505
MIR99AHG,2.1503599,0.40291786,0.03152676357753228,1.0,0.4438202247191011
YY1,2.1449068,0.23228227,0.03196029707422354,1.0,0.7640449438202247
RLIM,2.1414957,0.43384752,0.03223407626599335,1.0,0.38764044943820225
SEC22C,2.1346505,0.4100368,0.03278956447997428,1.0,0.4157303370786517
ITPR2,2.1336296,0.31091836,0.032873115412050555,1.0,0.5730337078651685
FAM174C,2.1300561,0.28521767,0.03316698058315619,1.0,0.6292134831460674
CTSB,2.1290352,0.14054632,0.033251353885758776,1.0,0.9382022471910112
SAP18,2.128246,0.20867947,0.03331667717454666,1.0,0.8426966292134831
PIH1D1,2.1219347,0.48841625,0.03384322744229324,1.0,0.38202247191011235
ZFYVE21,2.1204495,0.37653685,0.03396815062019592,1.0,0.5393258426966292
SCO2,2.1197534,0.4862383,0.03402684393274516,1.0,0.3539325842696629
STK24,2.108337,0.41951445,0.03500185375211109,1.0,0.4606741573033708
RHEB,2.1034176,0.25535676,0.03542927653957601,1.0,0.6910112359550562
DNAJC1,2.0980575,0.23787306,0.035900068437740365,1.0,0.6966292134831461
SEL1L3,2.086525,0.38163453,0.0369310957675675,1.0,0.47752808988764045
SNCA,2.085388,0.21858129,0.03703409863405515,1.0,0.8764044943820225
NCOA4,2.085156,0.35996622,0.03705514965573328,1.0,0.5112359550561798
WDR61,2.0833228,0.501129,0.03722181118913528,1.0,0.3595505617977528
AC027031.2,2.0814433,0.6633277,0.03739335413808419,1.0,0.25280898876404495
RPS10,2.081072,0.18292388,0.03742731863103821,1.0,1.0
ACTR2,2.0778003,0.1833835,0.037727767535735444,1.0,0.8876404494382022
PANK3,2.0669174,0.4308424,0.03874193882251092,1.0,0.42696629213483145
KDM1A,2.0628102,0.27529424,0.03913066075748672,1.0,0.6123595505617978
IGF2R,2.0586336,0.5903051,0.03952936322765392,1.0,0.2640449438202247
PAK2,2.0441773,0.2195416,0.040936040998864914,1.0,0.8539325842696629
FAM3C,2.0429242,0.29441854,0.0410599413971496,1.0,0.550561797752809
GATAD1,2.0408359,0.348092,0.041267148081447255,1.0,0.550561797752809
USP47,2.028584,0.38570455,0.04250068053273749,1.0,0.42134831460674155
SRP19,2.0283287,0.3154234,0.042526707187406705,1.0,0.6179775280898876
IFITM3,2.0262635,0.094664246,0.042737782626251594,1.0,0.9943820224719101
IFT57,2.025521,0.26350933,0.04281389110682343,1.0,0.7415730337078652
SF3A1,2.0207875,0.4637743,0.04330178109829416,1.0,0.33146067415730335
EEA1,2.007329,0.20440856,0.04471465283690181,1.0,0.7640449438202247
PLIN3,1.9971191,0.3592946,0.0458122524402094,1.0,0.47752808988764045
MT-ND4,1.9954484,0.085259736,0.04599400309205795,1.0,1.0
XIST,1.9916661,0.15730207,0.04640771106958712,1.0,0.9382022471910112
LMCD1,1.9912484,0.7030365,0.046453588092175715,1.0,0.25280898876404495
MT-ND6,1.990761,0.22451617,0.04650715953160112,1.0,0.8370786516853933
MAPK12,1.9898329,0.56351954,0.046609344237176914,1.0,0.2752808988764045
MT-CO2,1.9879766,0.07716712,0.046814280607750315,1.0,1.0
CCDC117,1.9811546,0.59433705,0.047573946541548826,1.0,0.2808988764044944
UCHL5,1.9802032,0.42550504,0.047680705264654843,1.0,0.38764044943820225
CBX3,1.9793679,0.18962312,0.047774610606835057,1.0,0.8707865168539326
NUFIP2,1.9789734,0.2620442,0.04781900880211592,1.0,0.5898876404494382
ARL5A,1.9783005,0.27827424,0.04789482693465987,1.0,0.5280898876404494
BTG3,1.9781612,0.3857511,0.047910526051476894,1.0,0.449438202247191
NSMCE1,1.9757712,0.42563176,0.0481807025917288,1.0,0.4044943820224719
EBP,1.9735668,0.30044168,0.048431028144747056,1.0,0.5337078651685393
VPS37A,1.9681602,0.32980445,0.04904961284201824,1.0,0.43258426966292135
COL5A1,1.9622198,0.28919175,0.04973689112608593,1.0,0.5955056179775281
