names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
PLSCR4,4.588535,0.78635496,4.4636757927593926e-06,0.13284791894410503,0.680672268907563
TMSB4X,3.797486,0.1812803,0.0001461710589577699,1.0,1.0
CRIP1,3.5747974,0.37905315,0.00035049909141393224,1.0,0.9915966386554622
PRSS23,3.4774034,0.29865375,0.0005062955044935662,1.0,0.9831932773109243
PDGFB,3.4704425,0.5425992,0.0005196014361368044,1.0,0.7815126050420168
COPA,3.3078623,0.4772528,0.0009401102016509617,1.0,0.7058823529411765
SRGN,3.2693498,0.21803403,0.0010779498956261543,1.0,0.9915966386554622
MYL9,3.0128272,0.6899015,0.0025882625972509453,1.0,0.5126050420168067
NQO1,2.9330347,0.29115006,0.003356663017986011,1.0,0.9915966386554622
RAB11B,2.9234495,0.662192,0.003461764782323807,1.0,0.48739495798319327
APLN,2.906732,0.41079357,0.0036522586187418557,1.0,0.907563025210084
CAPZB,2.8978884,0.32954484,0.003756841912555399,1.0,0.8403361344537815
BTBD7,2.8643396,0.5816795,0.004178796253377978,1.0,0.4957983193277311
POLR2F,2.8530142,0.37257624,0.004330669696229773,1.0,0.7310924369747899
IRF2BP2,2.8194654,0.50171304,0.004810372268061496,1.0,0.5546218487394958
NPC2,2.781352,0.24253868,0.005413298348941226,1.0,0.8991596638655462
LAMC1,2.7540224,0.28541732,0.005886772970479908,1.0,0.907563025210084
AIG1,2.7378187,0.49974102,0.006184817507124882,1.0,0.5798319327731093
LDLR,2.731999,0.41052973,0.0062951342677786135,1.0,0.7815126050420168
CLSTN1,2.6826172,0.44186082,0.007304854674831491,1.0,0.6554621848739496
LOXL2,2.6738021,0.22945134,0.007499669115721597,1.0,0.9495798319327731
ATRX,2.6733456,0.34157923,0.007509882304177377,1.0,0.8235294117647058
ENG,2.6651297,0.2779824,0.007695864815524573,1.0,0.9411764705882353
FSTL1,2.6609075,0.26197183,0.0077930358416515,1.0,0.9495798319327731
MIR217HG,2.631267,0.34318075,0.008506715675009408,1.0,0.7563025210084033
MALAT1,2.6233363,0.17053618,0.008707326980483024,1.0,1.0
NDUFS4,2.613266,0.398901,0.008968147387915341,1.0,0.7142857142857143
CRLS1,2.606562,0.5520245,0.009145627878921403,1.0,0.5126050420168067
TCF25,2.5884469,0.30851272,0.009640984976017097,1.0,0.8151260504201681
ACTR2,2.58625,0.2934029,0.009702649597425544,1.0,0.8823529411764706
MMRN2,2.5859077,0.50256807,0.009712291267007787,1.0,0.5630252100840336
SUMO3,2.5806873,0.35060698,0.009860388557784336,1.0,0.7815126050420168
MANF,2.5715582,0.45975786,0.010124197778092776,1.0,0.6050420168067226
UBXN4,2.5622582,0.30851278,0.010399397851421984,1.0,0.8487394957983193
QKI,2.5219197,0.390168,0.01167163183699784,1.0,0.7394957983193278
CDH2,2.5168703,0.5145143,0.01184023864200558,1.0,0.5378151260504201
EMC7,2.5133328,0.45279416,0.011959641841544556,1.0,0.6134453781512605
IGFBP7,2.493991,0.24175864,0.012631574123859257,1.0,0.957983193277311
TRIOBP,2.4731371,0.3624695,0.013393273217613208,1.0,0.7815126050420168
CD93,2.4691718,0.31950504,0.013542619081171912,1.0,0.8823529411764706
STAB1,2.4540806,0.4397173,0.014124534164077563,1.0,0.6050420168067226
KANSL1,2.4496303,0.58683854,0.014300299982751763,1.0,0.46218487394957986
COL13A1,2.4441242,0.36271274,0.014520422017726188,1.0,0.6974789915966386
ARIH2,2.417679,0.5182921,0.015619849601692583,1.0,0.46218487394957986
MRPS25,2.41611,0.4965523,0.015687323038323358,1.0,0.5210084033613446
DPYSL2,2.4014466,0.27508906,0.016330390476129733,1.0,0.9327731092436975
ZNF451,2.366015,0.565252,0.01798071388410423,1.0,0.4369747899159664
GPI,2.359197,0.38378772,0.018314536154352627,1.0,0.7226890756302521
TMA7,2.3518367,0.16805209,0.018680974376379396,1.0,1.0
P3H1,2.3517225,0.49895543,0.018686705722295048,1.0,0.4369747899159664
MACF1,2.3437064,0.27446362,0.01909320209961107,1.0,0.8991596638655462
