names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
FIS1,3.9816592,0.56051105,6.843586243532914e-05,1.0,0.9466666666666667
CTSB,3.4127064,0.3566958,0.0006432119148107948,1.0,0.9733333333333334
VAPA,3.1136012,0.43729332,0.0018481906573635666,1.0,0.8933333333333333
RPL29,3.0957077,0.14026242,0.001963438476356399,1.0,1.0
RPL39,3.0086565,0.13901983,0.002624055850519401,1.0,1.0
VPS35,3.00173,0.5414641,0.0026845019129433712,1.0,0.72
IFITM2,2.85822,0.2584085,0.004260247750048135,1.0,1.0
RACK1,2.8399296,0.12125119,0.004512348715356065,1.0,1.0
HSPB1,2.8350594,0.26324207,0.004581716839683428,1.0,0.9733333333333334
NDUFS7,2.825355,0.41678914,0.0047228262853500095,1.0,0.8666666666666667
PRELID3B,2.8217113,0.6143723,0.004776815695924799,1.0,0.6266666666666667
RPL11,2.7850943,0.10777747,0.005351216063609423,1.0,1.0
BOLA3,2.717524,0.47593015,0.006577235447805214,1.0,0.8266666666666667
MIR100HG,2.6999552,0.64195246,0.006934881405113611,1.0,0.5466666666666666
RPL12,2.678454,0.12700254,0.007396289686611511,1.0,1.0
CAST,2.6421976,0.27712464,0.008236995752353867,1.0,0.9733333333333334
C12orf76,2.6292105,0.7925232,0.008558339414284842,1.0,0.44
CHD9,2.6096933,0.56479037,0.009062342058087744,1.0,0.64
TMEM223,2.5294244,0.7686093,0.011424975251964219,1.0,0.49333333333333335
BLOC1S1,2.5184934,0.46087742,0.011785805732812049,1.0,0.8
RPL6,2.5055783,0.101530254,0.012225131366526882,1.0,1.0
RPL41,2.4818044,0.08506608,0.013071903330648536,1.0,1.0
PPP6R1,2.4656425,0.861249,0.013676782444828275,1.0,0.41333333333333333
GSTP1,2.464596,0.1865669,0.013716776182486304,1.0,0.9866666666666667
CUL5,2.4565513,0.5436992,0.014027780639406358,1.0,0.5733333333333334
RPL26,2.4020045,0.08084907,0.01630550888579925,1.0,1.0
CDKN1A,2.3916147,0.3826394,0.0167744452408604,1.0,0.9466666666666667
RPS19,2.3869247,0.09074143,0.01698996814407259,1.0,1.0
NTMT1,2.3840387,0.64942,0.017123802111471416,1.0,0.5066666666666667
ATP6V1F,2.3526888,0.3394757,0.01863822809141862,1.0,0.9333333333333333
LSM1,2.3449323,0.50566137,0.019030528152147317,1.0,0.5866666666666667
ECM1,2.3082793,1.4013594,0.020983605259921337,1.0,0.26666666666666666
RPS5,2.296771,0.10591887,0.021631829619619347,1.0,1.0
SNHG7,2.2679465,0.53729105,0.023332468087342396,1.0,0.6533333333333333
SNRPG,2.267766,0.32378167,0.023343465775174748,1.0,0.92
EIF2S2,2.2499084,0.19377515,0.024454750977308534,1.0,0.9866666666666667
ARHGEF12,2.2425492,0.5611076,0.02492590753329376,1.0,0.5466666666666666
FUOM,2.2260263,0.5706181,0.026012418708835052,1.0,0.5066666666666667
C1orf43,2.2249079,0.43743175,0.0260874172495586,1.0,0.6933333333333334
FAU,2.213508,0.12407427,0.026862643320753794,1.0,1.0
RPS18,2.204056,0.06460124,0.027520398717453484,1.0,1.0
SMIM26,2.2019277,0.3680989,0.027670421150276552,1.0,0.84
RWDD1,2.182158,0.2798144,0.02909787069848301,1.0,0.8533333333333334
S100A6,2.181184,0.10211476,0.029169810238339776,1.0,1.0
CPSF2,2.170686,0.57677096,0.029954922880732548,1.0,0.5066666666666667
RPL27A,2.1477056,0.077828854,0.031737152311394956,1.0,1.0
SLC25A6,2.147417,0.23650715,0.03176010109865784,1.0,1.0
NMI,2.1354399,0.7173745,0.03272510477621309,1.0,0.4266666666666667
RPL10A,2.13461,0.117818795,0.03279287764149136,1.0,1.0
MAT2A,2.1311107,0.5035177,0.03308002611204178,1.0,0.6133333333333333
UBAP2,2.1290543,0.6678638,0.033249764676248975,1.0,0.4266666666666667
RPS23,2.127431,0.07885126,0.0333842947491624,1.0,1.0
TIMM8B,2.125122,0.3222638,0.033576428401054396,1.0,0.8266666666666667
TCF3,2.1128924,0.8575206,0.03460998312315258,1.0,0.3466666666666667
DRAP1,2.0877836,0.29025868,0.03681736580150806,1.0,0.9466666666666667
SELENOS,2.0863044,0.35370657,0.036951056556930435,1.0,0.72
PQBP1,2.080857,0.67631596,0.0374470005304035,1.0,0.38666666666666666
STAB1,2.0745797,0.42414653,0.038025499749496976,1.0,0.64
CNPY2,2.0663183,0.29482156,0.03879842699091134,1.0,0.7333333333333333
CHSY1,2.0654526,0.750991,0.03888019988233473,1.0,0.38666666666666666
ZFAND1,2.0634685,0.5260923,0.0390681484674527,1.0,0.4666666666666667
C12orf57,2.0436988,0.30110455,0.040983311690378776,1.0,0.92
MEAF6,2.0356538,0.45839462,0.04178512335619647,1.0,0.6133333333333333
MECR,2.0203938,0.7355434,0.04334255801580723,1.0,0.36
