names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
ESD,3.395308,0.51249915,0.0006855141310898898,1.0,0.8072289156626506
CIRBP,3.369538,0.65261745,0.0007529429993559408,1.0,0.7590361445783133
FNDC3A,3.2309213,0.6571556,0.0012339197095572818,1.0,0.6144578313253012
HYI,2.9388833,0.5640294,0.003293970398421526,1.0,0.6746987951807228
SPATS2,2.9354222,0.47843996,0.003330941333356472,1.0,0.7951807228915663
GNG11,2.9257243,0.33769277,0.0034365550216101546,1.0,0.9759036144578314
ODC1,2.8261392,0.4715462,0.004711276719429965,1.0,0.8192771084337349
OAZ1,2.77316,0.1731147,0.005551483144925814,1.0,0.9879518072289156
COX6C,2.755169,0.19704215,0.005866185205705375,1.0,0.9879518072289156
STX2,2.7093515,0.673572,0.0067414853723969026,1.0,0.5301204819277109
STMP1,2.6699426,0.3667285,0.007586421222132053,1.0,0.927710843373494
CLTB,2.6506836,0.45285732,0.008032905314644527,1.0,0.7951807228915663
ACTN4,2.5903707,0.40668106,0.009587262999758437,1.0,0.8674698795180723
RSL24D1,2.5812552,0.37140548,0.009844177302080264,1.0,0.9156626506024096
RPL11,2.5587065,0.090194486,0.01050624238389196,1.0,1.0
SLC25A6,2.5403042,0.21064624,0.011075610985432076,1.0,0.9879518072289156
SNRPE,2.5338616,0.2700966,0.011281327179428435,1.0,0.8795180722891566
ARFRP1,2.5302978,0.65985054,0.011396579176458477,1.0,0.4819277108433735
POLDIP2,2.5231698,0.71841276,0.01163022320734435,1.0,0.5060240963855421
COX20,2.5173783,0.60341144,0.011823178088920906,1.0,0.5542168674698795
RPL10,2.4765644,0.083234765,0.013265370522915175,1.0,1.0
UQCR11,2.4699504,0.21834971,0.01351317481038013,1.0,1.0
ZNF131,2.461726,0.825011,0.013827024758498008,1.0,0.39759036144578314
SRSF7,2.4506915,0.50600684,0.014258209775275907,1.0,0.6746987951807228
BUB3,2.4333515,0.53823054,0.014959768933091649,1.0,0.6144578313253012
CYP51A1,2.381743,0.3412285,0.01723092370276541,1.0,0.8674698795180723
HINT1,2.2949746,0.20480351,0.02173458320095056,1.0,1.0
LY6E,2.2823637,0.3687807,0.02246787873665253,1.0,0.7349397590361446
NDUFA7,2.2699585,0.3056449,0.023210107441125193,1.0,0.8554216867469879
SSRP1,2.2414126,0.39253938,0.024999362872695635,1.0,0.6506024096385542
CTDNEP1,2.2378144,0.45187864,0.025233163608866165,1.0,0.6024096385542169
CYC1,2.2364435,0.35888913,0.02532272708803528,1.0,0.8192771084337349
PSMC6,2.2255805,0.5219991,0.026042297890192304,1.0,0.5421686746987951
TRIR,2.2216737,0.31118268,0.026305358140130988,1.0,0.8554216867469879
NHP2,2.2067327,0.20913745,0.02733274260354163,1.0,0.9036144578313253
FAM120AOS,2.199502,0.75129884,0.027842250075642713,1.0,0.3855421686746988
CHCHD10,2.1950812,0.30667397,0.028157766643690872,1.0,0.891566265060241
ENG,2.1893241,0.2976418,0.02857328789518924,1.0,0.9518072289156626
TMA16,2.1748285,0.5085913,0.02964297074759385,1.0,0.5421686746987951
RPL26,2.1697567,0.06524011,0.03002527989967306,1.0,1.0
FJX1,2.1674607,1.0267668,0.03019974111292121,1.0,0.2891566265060241
BAG1,2.1538217,0.5613587,0.03125415046875452,1.0,0.4819277108433735
NOP16,2.1497781,0.65966433,0.03157277281711365,1.0,0.43373493975903615
RP9,2.147345,0.74110746,0.03176582554233971,1.0,0.37349397590361444
RBMS2,2.1309302,0.64214736,0.033094884896099235,1.0,0.43373493975903615
DNM1L,2.1186278,0.47491384,0.03412193133874405,1.0,0.5903614457831325
ME2,2.1045434,0.4490243,0.03533107274914801,1.0,0.5662650602409639
LDLR,2.1009452,0.32486624,0.03564577794955709,1.0,0.7228915662650602
PRDX1,2.0979295,0.096008345,0.035911369710646034,1.0,0.9759036144578314
EIF3D,2.0941257,0.3312434,0.03624878255933634,1.0,0.8313253012048193
