names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
LIMS1,3.7009172,0.6822359,0.00021482160221637846,1.0,0.8524590163934426
NFAT5,3.5379841,0.88122797,0.0004031941738291419,1.0,0.6557377049180327
SETD5,3.434409,0.8476458,0.0005938477947631945,1.0,0.639344262295082
NPC2,3.1742687,0.43672824,0.0015021449621512688,1.0,0.9508196721311475
SVIL,3.1505978,0.6886019,0.0016293664737999118,1.0,0.7049180327868853
CHMP3,2.988466,0.5545304,0.0028038171550602148,1.0,0.8688524590163934
LRP10,2.9491346,0.7028972,0.003186651856778428,1.0,0.7049180327868853
CBX1,2.9099233,0.61086017,0.0036151744002475474,1.0,0.7213114754098361
PPM1G,2.8914993,0.46043584,0.003834085203722277,1.0,0.9016393442622951
UTP11,2.8443577,0.8255061,0.00445010689844608,1.0,0.5409836065573771
DCAF7,2.8076696,0.6271547,0.004990138428756639,1.0,0.7049180327868853
ALCAM,2.8041852,0.7003979,0.00504439332786433,1.0,0.6229508196721312
KMT2A,2.7922895,0.6065741,0.00523364964348047,1.0,0.7049180327868853
NT5C,2.785721,0.7211392,0.005340882142647675,1.0,0.6229508196721312
BAZ1B,2.7690592,0.6998665,0.0056218417794059745,1.0,0.6721311475409836
EIF5B,2.751957,0.436485,0.005924032508364278,1.0,0.9508196721311475
MTUS1,2.7389798,0.56373984,0.006163014228142557,1.0,0.8688524590163934
PMPCB,2.7304487,0.6971709,0.006324816748667084,1.0,0.5901639344262295
ANP32B,2.6971252,0.37875968,0.006994097088720757,1.0,0.9344262295081968
AFF4,2.6683676,0.7893048,0.007622081255277011,1.0,0.5573770491803278
SYT1,2.592108,0.79398173,0.009538984028470853,1.0,0.5245901639344263
SOAT1,2.5865407,1.2044206,0.009694473361284955,1.0,0.3442622950819672
ALYREF,2.5468888,0.7221777,0.010868805246452914,1.0,0.5901639344262295
APPL1,2.5198936,0.5512776,0.011739033152087429,1.0,0.6721311475409836
CDS2,2.480442,1.0280675,0.01312196169835039,1.0,0.4262295081967213
SH3GLB1,2.4517245,0.40816414,0.014217348920086362,1.0,0.8524590163934426
EBP,2.4203234,0.6155632,0.015506709127508487,1.0,0.6229508196721312
IFNAR1,2.3912454,0.683647,0.016791325431804838,1.0,0.5409836065573771
PLEKHO1,2.3780682,0.5551999,0.017403607843721164,1.0,0.639344262295082
TPM2,2.3775876,0.36610278,0.01742630568896976,1.0,0.9836065573770492
NAP1L4,2.3762658,0.47319168,0.017488858654234753,1.0,0.6885245901639344
CCT3,2.3604052,0.33871824,0.01825498881620092,1.0,0.9672131147540983
EIF5,2.343463,0.47226802,0.019105659888330025,1.0,0.7213114754098361
DNAJC15,2.3380158,0.49209625,0.019386427116904924,1.0,0.7540983606557377
BBIP1,2.3109405,0.7216792,0.020836144980665945,1.0,0.5245901639344263
SMAGP,2.3072555,0.69602597,0.021040573861234618,1.0,0.4918032786885246
WLS,2.3056936,0.5644736,0.021127760013451423,1.0,0.5901639344262295
PSMA3,2.2748532,0.47135162,0.022914733239911188,1.0,0.7704918032786885
SRSF11,2.260955,0.42012742,0.023762037111483968,1.0,0.8524590163934426
RHEB,2.2590325,0.45651272,0.023881357416214107,1.0,0.6721311475409836
ULBP2,2.2588322,0.95741254,0.023893816449871073,1.0,0.4098360655737705
STAT1,2.2529848,0.5661805,0.02426011430537038,1.0,0.6065573770491803
PBX3,2.2430518,1.4322156,0.02489348031734647,1.0,0.29508196721311475
CAMSAP2,2.2428916,0.73080844,0.024903812148506805,1.0,0.47540983606557374
NFIB,2.2268305,0.29413188,0.025958603742598098,1.0,0.9672131147540983
PLK3,2.2096882,1.3282781,0.0271268161531732,1.0,0.3114754098360656
HNRNPM,2.1895018,0.43603876,0.02856039390985155,1.0,0.819672131147541
JUP,2.185096,0.9125956,0.028881811537363706,1.0,0.36065573770491804
MCRIP1,2.1817715,0.6039915,0.029126392592470823,1.0,0.5409836065573771
PFDN4,2.1816914,0.4403424,0.029132308038216686,1.0,0.819672131147541
C9orf16,2.1793685,0.31221703,0.02930430628931522,1.0,0.9508196721311475
ANAPC13,2.1785274,0.6450859,0.029366796598827263,1.0,0.4918032786885246
HMGB2,2.1646292,0.7809395,0.03041609236865049,1.0,0.45901639344262296
JKAMP,2.1624262,0.6450125,0.030585329978183362,1.0,0.4918032786885246
ELF1,2.1542156,0.60393476,0.031223268258644007,1.0,0.5409836065573771
SEPTIN9,2.1519728,0.7265744,0.03139950729898047,1.0,0.5081967213114754
KLF6,2.1486883,0.45581546,0.031659110983712525,1.0,0.7377049180327869
CISD1,2.1462052,0.48651072,0.03185661669746533,1.0,0.7213114754098361
PEX13,2.1456845,1.5147338,0.031898162889001984,1.0,0.26229508196721313
NMI,2.1437619,0.7313634,0.03205196684173996,1.0,0.4426229508196721
RABGAP1,2.1427605,0.73627627,0.03213232450749934,1.0,0.4262295081967213
FAM222B,2.1258986,0.8078541,0.03351170463414987,1.0,0.39344262295081966
PDLIM4,2.1191297,0.38840708,0.0340795040380842,1.0,0.8524590163934426
NDUFB1,2.1182888,0.36960465,0.0341506301267776,1.0,0.9344262295081968
APH1B,2.1130419,1.1827596,0.03459719185566133,1.0,0.3114754098360656
APBB2,2.1098776,0.7976356,0.0348688961185193,1.0,0.4098360655737705
EIF2B4,2.1081955,0.77651376,0.035014086872059015,1.0,0.39344262295081966
CSTB,2.1075947,0.20738892,0.03506606564612952,1.0,0.9836065573770492
RIC8A,2.1035495,0.97770536,0.03541777392110262,1.0,0.32786885245901637
EIF3L,2.099504,0.45130977,0.035772487809940086,1.0,0.7049180327868853
GRN,2.0980222,0.42863274,0.03590318862822324,1.0,0.9016393442622951
CAPRIN1,2.0968606,0.34078544,0.036005914273643955,1.0,0.7377049180327869
SMARCA5,2.09646,0.48054716,0.036041394968182414,1.0,0.8360655737704918
STK16,2.0930157,1.0400325,0.036347761314615756,1.0,0.32786885245901637
ACP1,2.08865,0.47954997,0.03673924965356736,1.0,0.639344262295082
ANTKMT,2.0867274,0.6653354,0.036912784003483995,1.0,0.5081967213114754
MAP7D3,2.0827622,0.48999417,0.037272904101118574,1.0,0.639344262295082
KIF3C,2.060533,0.94856614,0.03934759986751743,1.0,0.32786885245901637
SRPX,2.0560071,0.3256639,0.03978181862527082,1.0,0.8524590163934426
KXD1,2.0553665,0.5182657,0.03984362834341443,1.0,0.5573770491803278
EIF2B1,2.0532036,1.018193,0.04005283807429039,1.0,0.36065573770491804
OGA,2.043551,0.5418246,0.040997928493813715,1.0,0.6065573770491803
PACSIN2,2.0312147,0.561662,0.042233206346822615,1.0,0.5409836065573771
TRAPPC3,2.0277302,0.44121048,0.042587783599651284,1.0,0.6721311475409836
RPS19,2.0269692,0.07248013,0.0426655540435077,1.0,1.0
CCNL1,2.0221229,0.6046585,0.0431636516536533,1.0,0.4426229508196721
TAGLN2,2.0154743,0.1996737,0.04385498044033896,1.0,1.0
TTC1,2.0125904,0.45101297,0.044157728189413666,1.0,0.5901639344262295
MGST2,2.011349,0.46342263,0.04428862016626312,1.0,0.5901639344262295
TMTC4,2.0096266,1.7037002,0.04447072198682683,1.0,0.22950819672131148
EPRS,2.0082247,0.38806263,0.04461941041763722,1.0,0.7704918032786885
SH2B3,1.9986923,0.57595986,0.04564165388340676,1.0,0.5245901639344263
YKT6,1.9971703,0.8843626,0.04580668229007057,1.0,0.3770491803278688
ZMYND11,1.9964894,0.6570375,0.04588067337174751,1.0,0.45901639344262296
TOLLIP,1.9787863,1.0408016,0.04784007070280824,1.0,0.3114754098360656
RHOJ,1.974781,0.5033631,0.04829299782009999,1.0,0.5901639344262295
TPD52L2,1.973219,0.642161,0.04847061309089488,1.0,0.5081967213114754
GFPT1,1.9731389,0.70460343,0.0484797363355386,1.0,0.4426229508196721
IER3IP1,1.9647679,0.40284443,0.0494410971236122,1.0,0.7049180327868853
PECAM1,1.9621246,0.40262794,0.04974798760395277,1.0,0.8688524590163934
TOMM6,1.960202,0.27695623,0.04997218272044259,1.0,0.9016393442622951
PRPF8,1.9591607,0.4707,0.050093975024450184,1.0,0.5737704918032787
SNHG32,1.9468246,0.3405708,0.05155577463005344,1.0,0.7868852459016393
REV3L,1.9421384,0.6951223,0.05212034687597047,1.0,0.4262295081967213
AKAP13,1.9373722,0.52333486,0.052699864909737576,1.0,0.5409836065573771
STK25,1.928,0.5787444,0.05385513496296813,1.0,0.5081967213114754
PERP,1.9261174,0.42550585,0.05408970785061161,1.0,0.8524590163934426
RHOC,1.9218318,0.28172395,0.0546269170631087,1.0,0.9344262295081968
MTRNR2L8,1.9217517,0.4093358,0.05463700057157711,1.0,0.6885245901639344
CPSF6,1.9198292,0.59201574,0.05487947089223356,1.0,0.45901639344262296
PPP4R3A,1.9142619,0.5839952,0.055586690631307764,1.0,0.45901639344262296
UBR1,1.9122593,0.8268494,0.05584293620011407,1.0,0.3442622950819672
ENDOD1,1.9080539,0.70425534,0.056384255410514734,1.0,0.4262295081967213
GOLT1B,1.9009646,0.6999144,0.05730665037575271,1.0,0.39344262295081966
PPP4R2,1.8952771,0.598292,0.0580556924139602,1.0,0.47540983606557374
SF1,1.8802174,0.41301572,0.060078444683522844,1.0,0.7049180327868853
