names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
SNHG6,3.066098,0.2560231,0.002168722912356298,1.0,0.9772727272727273
EDF1,2.7342358,0.3074239,0.006252523921715131,1.0,0.9204545454545454
RPL7L1,2.559822,0.51939416,0.010472578902260977,1.0,0.6818181818181818
HSPE1,2.5550983,0.26104468,0.010615783863527108,1.0,0.8977272727272727
RPS20,2.5207677,0.09670336,0.01170991418712582,1.0,1.0
PTRHD1,2.4841084,0.4998185,0.01298762362006715,1.0,0.5795454545454546
CAPZB,2.4833434,0.3441024,0.01301555617638425,1.0,0.8409090909090909
FAM174C,2.4693384,0.45255566,0.013536315786888816,1.0,0.6590909090909091
COPG1,2.4517074,0.7693028,0.014218024111151162,1.0,0.4090909090909091
THOC7,2.421668,0.4176578,0.01544945290936811,1.0,0.6931818181818182
JPT1,2.396153,0.20672299,0.016568169876242312,1.0,0.9204545454545454
REXO2,2.3722348,0.29627746,0.017680851737581132,1.0,0.8522727272727273
WASF2,2.3435595,0.4624154,0.01910071785814031,1.0,0.6931818181818182
DPYSL2,2.3225021,0.30759448,0.020205918372504534,1.0,0.9318181818181818
PLP2,2.3126552,0.3346877,0.02074159863217374,1.0,0.8068181818181818
HSBP1,2.3057692,0.2661413,0.021123530603309255,1.0,0.9431818181818182
CDA,2.2805536,0.7500069,0.0225748776411039,1.0,0.4090909090909091
MRPL57,2.2644196,0.31781986,0.023548323572423972,1.0,0.8977272727272727
CAV1,2.2485185,0.18957448,0.024543155259144852,1.0,0.9886363636363636
SCRN2,2.2302885,0.8872892,0.02572829114123367,1.0,0.32954545454545453
IL13RA1,2.2211404,0.44900334,0.026341452523870008,1.0,0.5568181818181818
FNTA,2.2196102,0.46962535,0.02644524093772058,1.0,0.6363636363636364
ZNF576,2.2165165,1.2634056,0.026656153665138627,1.0,0.23863636363636365
SRP14,2.1849136,0.1372256,0.02889517533046684,1.0,0.9886363636363636
CD81,2.1741688,0.22247152,0.02969246349382549,1.0,0.9659090909090909
DKC1,2.159931,0.5223168,0.030778019654333112,1.0,0.5681818181818182
MT1X,2.136312,0.7745484,0.03265399105962437,1.0,0.3977272727272727
GGH,2.1338503,0.524037,0.0328550355038614,1.0,0.5113636363636364
COX8A,2.1319873,0.21861497,0.033007880841389815,1.0,0.9886363636363636
KLF6,2.1139572,0.44817534,0.03451892102281158,1.0,0.6363636363636364
UBTF,2.1055741,0.58122975,0.035241357375388326,1.0,0.4659090909090909
ZNF721,2.0988545,0.7485303,0.03582973409133741,1.0,0.3522727272727273
ATP5MF,2.0938644,0.2019632,0.036272049426570245,1.0,0.9090909090909091
IMPDH2,2.0845833,0.32283548,0.03710714097066286,1.0,0.8068181818181818
SLBP,2.0780964,0.53295624,0.03770047846369167,1.0,0.5227272727272727
