names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
NDUFS5,3.550181,0.24534588,0.00038496634620476005,1.0,1.0
PRDX3,3.2131748,0.43576077,0.0013127638894288,1.0,0.7777777777777778
YY1,3.1873364,0.44853866,0.0014358961096108494,1.0,0.8055555555555556
C1QBP,3.0485833,0.28329405,0.0022992313958422094,1.0,0.8981481481481481
HMGN4,3.0246334,0.65084213,0.0024893459031164267,1.0,0.5370370370370371
SEC61B,2.8762584,0.26863715,0.0040242011587276975,1.0,0.9537037037037037
DDX21,2.8273096,0.36958152,0.004694091746561956,1.0,0.9166666666666666
TYMS,2.7718563,0.91642594,0.0055737634612015655,1.0,0.3888888888888889
TOMM40,2.6542654,0.7493328,0.00794813067826231,1.0,0.4351851851851852
GLO1,2.6528864,0.35531577,0.007980670799505115,1.0,0.8518518518518519
CCDC124,2.650009,0.45149833,0.008048965168774694,1.0,0.7037037037037037
CLINT1,2.5836148,0.56374156,0.009777092461852467,1.0,0.5648148148148148
TAF10,2.552651,0.3192053,0.010690660011683839,1.0,0.7962962962962963
IMPA1,2.5469258,0.56362617,0.010867657454002193,1.0,0.49074074074074076
EVA1B,2.5411406,0.40402,0.011049149172626196,1.0,0.7592592592592593
KIF2A,2.5304697,0.5241056,0.011390997564240501,1.0,0.5833333333333334
TRAPPC3,2.4911726,0.44750732,0.012732224281919736,1.0,0.6574074074074074
GRPEL1,2.4300542,0.45301393,0.01509657006301049,1.0,0.5925925925925926
TIA1,2.4259176,0.6520238,0.015269738381391887,1.0,0.4166666666666667
NOP10,2.4173748,0.26571333,0.01563291285843234,1.0,0.9351851851851852
JPT1,2.407423,0.17078084,0.016065543777206176,1.0,0.9166666666666666
SLC39A10,2.3610222,0.458796,0.018224639606712594,1.0,0.6018518518518519
SRP54,2.332696,0.44077498,0.019664103757192616,1.0,0.6018518518518519
PSMD10,2.3169892,0.3973406,0.02050431616380872,1.0,0.6481481481481481
PSMB6,2.3108144,0.30812833,0.02084310486420706,1.0,0.8333333333333334
ERCC1,2.3058088,0.41004518,0.0211213247119774,1.0,0.6111111111111112
SPOP,2.2947779,0.53798676,0.021745851644303073,1.0,0.5
ATM,2.2906713,0.41252884,0.021982424235198212,1.0,0.6481481481481481
PYURF,2.279071,0.32570145,0.022662833419392864,1.0,0.8148148148148148
TXNL4A,2.2767632,0.29991207,0.022800373792908096,1.0,0.8518518518518519
CYCS,2.2600973,0.2724175,0.023815220698098678,1.0,0.8703703703703703
SRSF3,2.242382,0.28487232,0.02493668860561251,1.0,0.8240740740740741
RPL24,2.2216396,0.063435934,0.02630767485751722,1.0,1.0
PRKAG1,2.2188518,0.6891574,0.026496802035928697,1.0,0.37037037037037035
TJP2,2.1647174,0.50536346,0.030409328119064855,1.0,0.4444444444444444
COX6A1,2.1515286,0.19798487,0.031434502698724984,1.0,0.9537037037037037
TOMM5,2.1494005,0.23780383,0.03160267621735332,1.0,0.9351851851851852
COQ4,2.1385794,0.48309338,0.03246974089002557,1.0,0.5
CSRP1,2.134533,0.32318008,0.03279918460138491,1.0,0.6574074074074074
SLAIN2,2.1342332,0.61857796,0.0328237012922085,1.0,0.3888888888888889
NDUFAB1,2.1276386,0.25830126,0.03336705173008505,1.0,0.8333333333333334
FDX1,2.1269794,0.44267842,0.033421807637088304,1.0,0.5648148148148148
ATP6V1F,2.1208644,0.2552138,0.03393321577440977,1.0,0.8611111111111112
FLOT1,2.1208045,0.39173177,0.03393826251356704,1.0,0.6203703703703703
CIB1,2.1151693,0.35696796,0.03441552993058648,1.0,0.8055555555555556
XPA,2.1139703,0.7596789,0.034517812740878694,1.0,0.3333333333333333
QSER1,2.1055772,0.6569552,0.035241089247489824,1.0,0.3611111111111111
TAGLN,2.094037,0.6782576,0.036256686084082626,1.0,0.3148148148148148
PKN1,2.0795891,0.41628286,0.03756323349366114,1.0,0.5925925925925926
RPL27,2.0791395,0.08023855,0.03760452829728167,1.0,1.0
KRT8,2.07866,0.28248084,0.03764861865795887,1.0,0.8148148148148148
CCNY,2.0691879,0.37101442,0.03852845754888246,1.0,0.5555555555555556
SNRPE,2.0648415,0.2406085,0.03893799396504815,1.0,0.8981481481481481
GALNT11,2.0623236,0.5049591,0.039176929909724635,1.0,0.46296296296296297
SNRNP27,2.0503037,0.4191636,0.040334793925354946,1.0,0.5
ACO1,2.0318694,0.34440583,0.042166887058801956,1.0,0.6666666666666666
ACER3,2.0275528,0.46245107,0.0426058945725471,1.0,0.48148148148148145
MPST,2.0165222,0.40312982,0.04374539478030571,1.0,0.6111111111111112
LINC02742,2.0129852,0.88977236,0.0441161842297802,1.0,0.26851851851851855
ESD,2.0116663,0.25754917,0.04425512209234454,1.0,0.7592592592592593
APPL1,2.0078297,0.35064,0.0446614064020765,1.0,0.6203703703703703
CCT4,2.0029137,0.25343943,0.045186552361538714,1.0,0.8240740740740741
ATP6V0B,2.0003958,0.32510948,0.045457539446910035,1.0,0.7037037037037037
SNX5,1.9898447,0.32016358,0.046608045340529855,1.0,0.6666666666666666
RNPEP,1.9877764,0.5103319,0.0468364200499735,1.0,0.42592592592592593
IDS,1.9872069,0.38208762,0.04689947092130092,1.0,0.5925925925925926
RPS19BP1,1.9722196,0.35390756,0.04858454977257069,1.0,0.6574074074074074
FAM120A,1.9714701,0.27622053,0.048670121443513424,1.0,0.75
SRF,1.9708407,1.256959,0.04874209941100499,1.0,0.21296296296296297
CYP51A1,1.9572321,0.2202049,0.05032017934346351,1.0,0.7870370370370371
RPS7,1.9380783,0.050550506,0.052613672152697785,1.0,1.0
RPS23,1.9365796,0.07533622,0.052796759996098536,1.0,1.0
COX14,1.9290859,0.28532663,0.0537202044502951,1.0,0.75
DNAJC15,1.9240202,0.34007967,0.05435206129885043,1.0,0.7037037037037037
LAMTOR2,1.9232109,0.28187487,0.054453581029987944,1.0,0.7407407407407407
NDUFA6,1.9167962,0.30406535,0.055263827392900346,1.0,0.7314814814814815
DHCR7,1.9115506,0.37799534,0.055933858112728246,1.0,0.5648148148148148
HNRNPH3,1.9108013,0.37069637,0.05603012684907708,1.0,0.6203703703703703
PIN4,1.9048063,0.4415886,0.05680525483367108,1.0,0.5092592592592593
DNAJC12,1.8939854,0.37661833,0.058226946613358734,1.0,0.5370370370370371
FMNL2,1.8885,0.68442774,0.05895885425515968,1.0,0.3333333333333333
KRT19,1.8875408,0.20017706,0.059087619364491396,1.0,0.9722222222222222
MRPS21,1.8846632,0.1578196,0.05947531596221885,1.0,0.9074074074074074
MRPS15,1.883794,0.29575804,0.059592846902110745,1.0,0.8240740740740741
KDELR2,1.8828049,0.25435847,0.05972682332005523,1.0,0.8333333333333334
PRRC2C,1.8761204,0.1971643,0.060638742206131475,1.0,0.9259259259259259
SSB,1.8684769,0.2749999,0.0616956290791544,1.0,0.7592592592592593
EIF1AX,1.8596044,0.20072517,0.06294152269354823,1.0,0.9351851851851852
TXN,1.8557376,0.11349263,0.06349096712902397,1.0,0.9814814814814815
MYC,1.8547784,0.31121093,0.06362787514797666,1.0,0.6574074074074074
TOMM20,1.8528001,0.121176876,0.06391101821447928,1.0,0.8888888888888888
SUSD5,1.8518709,0.57800096,0.06404436836714565,1.0,0.3611111111111111
CARS,1.8451566,0.48013455,0.06501477346946623,1.0,0.46296296296296297
HES2,1.8424888,0.33934832,0.06540368837699286,1.0,0.5555555555555556
NME2,1.8406903,0.10556944,0.0656669592295212,1.0,1.0
MED10,1.831548,0.46889946,0.06701879363565034,1.0,0.39814814814814814
SCP2,1.8311883,0.27165395,0.06707244551573781,1.0,0.7962962962962963
CCNB1IP1,1.8289402,0.3441046,0.06740857132851075,1.0,0.5925925925925926
C9orf78,1.8207271,0.33284962,0.06864835257269099,1.0,0.5833333333333334
SLC38A1,1.814852,0.3199593,0.06954665158663623,1.0,0.5925925925925926
AKAP1,1.8146123,0.65214044,0.0695835209021546,1.0,0.3148148148148148
SH3KBP1,1.8105656,0.31161192,0.07020811467016361,1.0,0.6203703703703703
PPP2R5E,1.8029221,0.36339274,0.07140045322470284,1.0,0.6018518518518519
ASPSCR1,1.8001643,0.8043258,0.07183468339011709,1.0,0.26851851851851855
ZNF281,1.7997748,0.4887948,0.07189621608250431,1.0,0.37962962962962965
MZT2B,1.7976465,0.14676315,0.07223304151972622,1.0,0.9074074074074074
OGFOD1,1.7944692,0.6282301,0.07273831133690103,1.0,0.3425925925925926
CCNB1,1.7941694,0.83765066,0.07278612725742725,1.0,0.2777777777777778
FES,1.7916516,1.2562913,0.07318879743203424,1.0,0.18518518518518517
MLLT10,1.7876649,0.7391586,0.0738300841985758,1.0,0.28703703703703703
EBP,1.786406,0.3627977,0.07403354764578837,1.0,0.5462962962962963
RFTN1,1.7853268,1.2761539,0.07420830946941305,1.0,0.18518518518518517
ZBTB38,1.7727075,0.33460084,0.07627718507495243,1.0,0.5555555555555556
VDAC3,1.7545428,0.27101362,0.07933754130152373,1.0,0.7037037037037037
BCL7B,1.7513056,0.71379596,0.07989329489333812,1.0,0.2962962962962963
RPP21,1.7490275,0.38039055,0.0802862741657285,1.0,0.5
TM4SF1,1.7482481,0.13740337,0.08042107440936289,1.0,0.9814814814814815
LXN,1.7427627,0.17333074,0.08137506956813377,1.0,0.8240740740740741
RRBP1,1.7418934,0.21643677,0.08152708875801495,1.0,0.8611111111111112
ATP5MD,1.7375472,0.11252226,0.08229064474870693,1.0,0.9537037037037037
HP1BP3,1.7329609,0.19606952,0.08310260455292588,1.0,0.7685185185185185
UBE2O,1.7273257,1.0560286,0.08410918186174927,1.0,0.2037037037037037
NDUFS8,1.7231293,0.18665735,0.08486515314160686,1.0,0.8333333333333334
DDX39B,1.7229794,0.33972657,0.08489225342754918,1.0,0.5833333333333334
NDUFA7,1.7224098,0.2563872,0.08499529835518344,1.0,0.8055555555555556
FAM200B,1.7184832,0.4161838,0.08570852192660239,1.0,0.5
COX6B1,1.7171643,0.10225723,0.0859491602472687,1.0,0.9537037037037037
MICU2,1.7126081,0.6451112,0.08678465939260774,1.0,0.3333333333333333
MRPL21,1.7076323,0.38161674,0.08770459039326232,1.0,0.5185185185185185
PFN1,1.7045449,0.06745581,0.08827933457749197,1.0,0.9814814814814815
ADAMTS1,1.6943535,0.44473222,0.09019813303850707,1.0,0.4166666666666667
ELAC2,1.6859006,0.756375,0.09181494626761592,1.0,0.26851851851851855
AURKAIP1,1.6857208,0.22212353,0.09184959790963766,1.0,0.8796296296296297
DHRSX,1.6853311,0.6506128,0.09192471251524927,1.0,0.3055555555555556
RFX5,1.6841321,1.1010345,0.09215614397686502,1.0,0.17592592592592593
ISOC2,1.6833827,0.37648672,0.09230102615218916,1.0,0.5555555555555556
ATXN2,1.6820339,0.3413508,0.09256227502708868,1.0,0.5648148148148148
