names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
TM9SF4,3.988127,0.96430904,6.659699376800679e-05,1.0,0.6470588235294118
TNIP2,3.3627467,0.8764975,0.0007717115431209899,1.0,0.5882352941176471
UQCRC2,3.2857494,0.61328053,0.0010171148055426477,1.0,0.75
TOR1AIP2,3.138882,0.7474907,0.0016959373461029634,1.0,0.6470588235294118
ILF3,3.1097283,0.5847453,0.0018725944514190653,1.0,0.7794117647058824
MT-ND6,2.9150553,0.49910882,0.0035562559148218384,1.0,0.8823529411764706
PPP1R11,2.8855605,1.1763364,0.003907174136390692,1.0,0.4117647058823529
PABPN1,2.8314614,0.5342445,0.004633582467552051,1.0,0.7352941176470589
AHNAK2,2.8219078,0.6743545,0.004773889563125711,1.0,0.6617647058823529
CDKN1A,2.7423325,0.51926047,0.006100454189562014,1.0,0.9705882352941176
LARS,2.7300494,0.43629745,0.006332483710893192,1.0,0.8823529411764706
FKBP5,2.7172356,0.75001067,0.006582975620830148,1.0,0.5588235294117647
ITGB1BP1,2.7156053,0.6349106,0.0066154737280868185,1.0,0.6470588235294118
GOLIM4,2.7147713,0.5840047,0.006632156387664226,1.0,0.75
STK17A,2.701199,0.4627401,0.006908996632820222,1.0,0.75
TGM2,2.6963086,0.26347008,0.007011268373427911,1.0,1.0
EEF1G,2.69138,0.21376498,0.007115706304586409,1.0,1.0
SNHG14,2.6812959,0.5814189,0.007333765738942846,1.0,0.6911764705882353
FLNB,2.6711736,0.36567003,0.007558655378713438,1.0,0.8529411764705882
GATC,2.6673825,1.0363348,0.007644462515029476,1.0,0.39705882352941174
ITGA10,2.662909,0.47018677,0.007746837230522678,1.0,0.8382352941176471
EIF3A,2.6623023,0.35895193,0.007760812722383625,1.0,0.9264705882352942
SMARCA1,2.6472895,0.6022322,0.008113983238470955,1.0,0.6764705882352942
ANXA1,2.6261353,0.23859605,0.008636049537826011,1.0,0.9705882352941176
TPM4,2.6221924,0.24581578,0.008736606821199751,1.0,1.0
NQO2,2.6101367,1.1351645,0.00905060239936342,1.0,0.39705882352941174
NUTF2,2.5983086,0.4169067,0.009368427073526297,1.0,0.8382352941176471
SERINC1,2.5935318,0.6266217,0.009499576521505826,1.0,0.6176470588235294
SNX13,2.5724912,1.1214563,0.010096954190368048,1.0,0.38235294117647056
C20orf27,2.5656292,0.553407,0.01029888472589927,1.0,0.6617647058823529
GPI,2.5536494,0.48137146,0.010660055032575708,1.0,0.7647058823529411
MRPS2,2.5244958,0.82439065,0.011586440090320388,1.0,0.4411764705882353
DYNC1H1,2.5236995,0.50722516,0.011612710385439495,1.0,0.8088235294117647
GNB1,2.517975,0.37271315,0.011803167591776418,1.0,0.8382352941176471
RUFY2,2.492423,0.89309865,0.01268748260757566,1.0,0.4264705882352941
SMIM19,2.4819596,0.49692357,0.013066209399467059,1.0,0.6764705882352942
SMS,2.4559906,0.36615723,0.014049686116049575,1.0,0.9558823529411765
DCTN1,2.4484084,0.58213365,0.014348894188607998,1.0,0.6176470588235294
ARIH1,2.42297,0.79930365,0.015394197236398392,1.0,0.4852941176470588
MAP4K4,2.4066303,0.2716585,0.016100456723764624,1.0,0.8823529411764706
C12orf75,2.3963945,0.4645123,0.016557264551614975,1.0,0.9117647058823529
ANKRD50,2.394802,0.6429003,0.016629337262983976,1.0,0.5441176470588235
CDC27,2.3864996,0.61729306,0.017009625834638564,1.0,0.5441176470588235
LRPPRC,2.3731549,0.5577276,0.01763686489472538,1.0,0.6764705882352942
AP2B1,2.3610992,0.4074046,0.018220855473535767,1.0,0.9117647058823529
MAP2K2,2.3346753,0.42939246,0.019560393879348048,1.0,0.8382352941176471
G3BP2,2.3346753,0.45223677,0.019560393879348048,1.0,0.7205882352941176
GABBR2,2.332666,0.5254528,0.019665685552837993,1.0,0.6176470588235294
XIST,2.3324385,0.33242297,0.019677636499022072,1.0,0.9852941176470589
ANAPC13,2.330998,0.76231855,0.019753473219841507,1.0,0.47058823529411764
KIAA0100,2.329254,0.84076476,0.019845616934600345,1.0,0.4264705882352941
MSANTD3,2.3233778,0.5905349,0.02015886945519879,1.0,0.5441176470588235
FBXW11,2.3196244,0.5354417,0.02036119733074105,1.0,0.6029411764705882
RANBP2,2.3187525,0.7758868,0.020408455589302862,1.0,0.45588235294117646
TOP1MT,2.312118,0.9044435,0.020771173112514123,1.0,0.39705882352941174
BORCS8,2.3101468,1.2957406,0.020880029410187656,1.0,0.29411764705882354
FAM204A,2.3029058,0.51229084,0.02128414542215209,1.0,0.6617647058823529
IPO7,2.292594,0.44753334,0.02187139191490819,1.0,0.8529411764705882
CCNB1IP1,2.275534,0.50680244,0.022873915242340795,1.0,0.6176470588235294
SRPX2,2.2724254,0.6551326,0.023060835118498872,1.0,0.5
TBL1X,2.265753,0.75830853,0.023466513146945776,1.0,0.45588235294117646
PRKAR2A,2.2552516,0.5630254,0.024117540703225294,1.0,0.6911764705882353
PPP2R5E,2.2411866,0.42369384,0.025013990030614934,1.0,0.6617647058823529
UGGT1,2.2282588,0.7872147,0.02586325242662001,1.0,0.4264705882352941
QKI,2.186064,0.495157,0.02881092602827526,1.0,0.7205882352941176
VCPIP1,2.1844337,1.0010006,0.028930387638313095,1.0,0.3235294117647059
KIAA0319L,2.181818,0.8196402,0.029122972939450764,1.0,0.39705882352941174
HDLBP,2.1786335,0.31009135,0.02935891287637161,1.0,0.8529411764705882
SLC25A5,2.1751835,0.23539309,0.029616368410011105,1.0,0.9705882352941176
EIF4H,2.1751456,0.45549315,0.02961920834302818,1.0,0.7058823529411765
RAB5B,2.1675634,0.63856906,0.030191922636924468,1.0,0.4852941176470588
KRT18,2.1666915,0.17704773,0.030258390900989623,1.0,0.9705882352941176
SDCCAG8,2.154901,0.4472998,0.031169574837809376,1.0,0.6764705882352942
PRRC2B,2.1489491,0.49920475,0.031638438136747146,1.0,0.6176470588235294
ASCC3,2.141784,0.41797948,0.03221087757011077,1.0,0.7647058823529411
NPM1,2.1416702,0.14574549,0.032220035002721144,1.0,0.9852941176470589
HAT1,2.139623,0.75378984,0.03238525067324264,1.0,0.4264705882352941
TSPYL2,2.131131,1.249187,0.03307836179103836,1.0,0.29411764705882354
COMMD7,2.1295764,0.40835556,0.03320659106168986,1.0,0.7058823529411765
HIF1A,2.1266196,0.37972128,0.033451714138016855,1.0,0.7794117647058824
GEMIN6,2.1248755,0.7499614,0.0335969982858284,1.0,0.4264705882352941
C6orf62,2.1235108,0.42736202,0.03371107507219916,1.0,0.6617647058823529
TRAPPC1,2.123473,0.25708282,0.033714248594608615,1.0,0.9117647058823529
GNAQ,2.1213877,0.49192905,0.03388918622335819,1.0,0.6176470588235294
STX16,2.1141467,0.40039918,0.034502736901935616,1.0,0.7352941176470589
OLA1,2.113654,0.34325796,0.03454483964898091,1.0,0.7647058823529411
MYADM,2.1027734,0.25100893,0.035485580454667945,1.0,1.0
BAG2,2.099551,0.5788125,0.03576835849783097,1.0,0.5588235294117647
CCS,2.0976176,0.69630027,0.035938946121742,1.0,0.4117647058823529
CASP10,2.0932577,1.1964612,0.03632615187995175,1.0,0.27941176470588236
PDE12,2.0923858,0.9245793,0.03640401821385834,1.0,0.3382352941176471
SIPA1L2,2.0899594,0.88584316,0.03662143871068357,1.0,0.3382352941176471
ZDHHC12,2.0814674,0.68554,0.037391143202859266,1.0,0.4411764705882353
PPP3CA,2.0706627,0.45081857,0.03839032125404651,1.0,0.6470588235294118
DBN1,2.0704353,0.5437782,0.03841159818994837,1.0,0.5294117647058824
UGGT2,2.0658102,0.6844564,0.038846408121407404,1.0,0.39705882352941174
CAPZA1,2.062474,0.3284287,0.03916263120492655,1.0,0.8088235294117647
IKBKB,2.0602372,0.7093729,0.039375866342451146,1.0,0.4117647058823529
RPS6KA3,2.059858,0.49638513,0.03941210540942038,1.0,0.5882352941176471
TNRC6B,2.0482953,0.47055224,0.04053107667144341,1.0,0.6029411764705882
MTHFD2,2.0442388,0.4602733,0.04092996340770029,1.0,0.6617647058823529
PDLIM3,2.0431774,0.41819695,0.041034892442189504,1.0,0.8676470588235294
S1PR1,2.0362775,0.4391697,0.04172250115017543,1.0,0.6764705882352942
TARDBP,2.0338511,0.5816711,0.04196660440925486,1.0,0.5147058823529411
ZEB1,2.0282404,0.42554817,0.04253572583937459,1.0,0.6911764705882353
RND3,2.024032,0.45482817,0.04296683842056037,1.0,0.6470588235294118
UBE2J1,2.0228949,0.49620557,0.04308398735396661,1.0,0.5441176470588235
ZRANB1,2.0157676,0.82413614,0.04382428328636147,1.0,0.36764705882352944
UBE3C,1.9897227,0.73840386,0.04662148878924552,1.0,0.4117647058823529
EXOSC1,1.9828608,0.654328,0.0473829781270718,1.0,0.4117647058823529
PDLIM1,1.978956,0.1578661,0.04782096224698473,1.0,1.0
DIAPH1,1.9755061,0.50373256,0.04821074538553371,1.0,0.5588235294117647
NOL10,1.9744446,0.9356605,0.04833121429842378,1.0,0.3088235294117647
SELENOI,1.9728903,1.1131021,0.0485080713384272,1.0,0.27941176470588236
EEF2,1.9683409,0.14486077,0.04902882767615416,1.0,1.0
SPTAN1,1.9675448,0.39375097,0.04912044074021769,1.0,0.7205882352941176
KLC1,1.9664074,0.49793148,0.04925156571963872,1.0,0.5294117647058824
MRPS5,1.9656492,0.41184786,0.04933914544442857,1.0,0.7205882352941176
YBX3,1.9634503,0.22078528,0.04959386585203544,1.0,1.0
YWHAE,1.9634124,0.10920644,0.04959826723761339,1.0,0.9705882352941176
VPS4A,1.9622751,0.5769866,0.049730461233781234,1.0,0.5294117647058824
UBALD2,1.9577637,1.0310574,0.050257744911577786,1.0,0.3088235294117647
HPS1,1.9511293,0.7492061,0.05104166841307539,1.0,0.36764705882352944
ACP6,1.9485134,1.4822681,0.05135356026636792,1.0,0.22058823529411764
TKT,1.9479448,0.14170341,0.051421573534150646,1.0,0.9852941176470589
OSBP,1.9469969,0.7892497,0.051535096526407906,1.0,0.36764705882352944
GEMIN8,1.9441158,0.8039875,0.05188149521124623,1.0,0.3088235294117647
C12orf76,1.942713,0.6496526,0.05205084041420384,1.0,0.39705882352941174
ERGIC2,1.9382775,0.5402223,0.052589382781995764,1.0,0.5294117647058824
FBXO17,1.9358511,0.7516228,0.052885935671270215,1.0,0.38235294117647056
SPATS2,1.9357753,0.40953392,0.052895225421002896,1.0,0.8088235294117647
MYO6,1.934638,0.6240578,0.05303473538097409,1.0,0.4852941176470588
ANKRD11,1.9303161,0.21569638,0.053567680070772665,1.0,0.7794117647058824
B4GALT5,1.9264871,0.388713,0.054043579539010816,1.0,0.6764705882352942
HAX1,1.9246294,0.4414274,0.05427572964609256,1.0,0.6029411764705882
HERC1,1.9162133,0.6832865,0.055337961075657416,1.0,0.38235294117647056
ORAI3,1.9114364,0.75899976,0.05594851862843359,1.0,0.39705882352941174
EIF3H,1.9096546,0.23053433,0.056177698397146356,1.0,0.9117647058823529
ZNF580,1.9014658,0.51128757,0.05724102410576784,1.0,0.4852941176470588
UFL1,1.900973,0.50053793,0.05730555103352885,1.0,0.5294117647058824
RIF1,1.8993428,0.43230948,0.05751941737347754,1.0,0.5588235294117647
NDUFB8,1.8983951,0.2586023,0.057644063057357066,1.0,0.9117647058823529
FNDC3B,1.8952863,0.42672935,0.058054478064420295,1.0,0.6617647058823529
OPTN,1.8936561,0.42100236,0.058270664380744366,1.0,0.6470588235294118
FIBP,1.8921397,0.40107515,0.0584723679740007,1.0,0.7058823529411765
PRPF38A,1.8912678,0.75882334,0.058588609905631445,1.0,0.38235294117647056
SUMF2,1.8893343,0.44335136,0.058847048442512255,1.0,0.6911764705882353
YWHAQ,1.889069,0.25014874,0.05888259415880028,1.0,0.8823529411764706
STAM,1.8856949,1.055673,0.059336088712383696,1.0,0.29411764705882354
BACE1,1.8834581,1.0526785,0.059638314569041354,1.0,0.27941176470588236
AHCYL1,1.883041,0.3942234,0.059694802763077225,1.0,0.7647058823529411
EIF5A,1.8742079,0.2180019,0.06090179000968514,1.0,0.9705882352941176
VBP1,1.8733737,0.4891812,0.061016791771504604,1.0,0.5147058823529411
SMIM4,1.8644267,0.39248863,0.06226179935576099,1.0,0.5882352941176471
GCSH,1.8637065,0.3881085,0.062362940575387264,1.0,0.7647058823529411
LAMC1,1.8624554,0.23789679,0.06253892990122208,1.0,0.9117647058823529
TTC21B,1.8589296,1.6156353,0.06303711082486732,1.0,0.20588235294117646
DCTD,1.8564655,0.5492478,0.06338724578118528,1.0,0.5
ADAM9,1.8521056,0.28935713,0.064010651455442,1.0,0.9117647058823529
EIF2S1,1.8479354,0.43709636,0.06461168151419242,1.0,0.6029411764705882
INSIG1,1.8472531,0.32508498,0.06471047388707156,1.0,0.8235294117647058
SLC9A3R2,1.8469119,0.48531905,0.0647599167962662,1.0,0.5441176470588235
SINHCAF,1.8449025,0.41642594,0.06505171324395237,1.0,0.5882352941176471
CACNG8,1.8380407,0.42290562,0.06605641269095486,1.0,0.6323529411764706
SECISBP2L,1.8344771,0.79314595,0.06658321408154956,1.0,0.35294117647058826
ABI3,1.8329606,0.7021091,0.0668084319406601,1.0,0.35294117647058826
NUDC,1.8313304,0.25060263,0.06705124034171335,1.0,0.8970588235294118
PEAK1,1.8299656,0.48770246,0.06725508004042582,1.0,0.6029411764705882
DECR1,1.8261366,0.41955042,0.06782968763830255,1.0,0.5735294117647058
SF3B1,1.8260608,0.3539798,0.06784110665180844,1.0,0.7205882352941176
RRAGC,1.8241652,0.6765932,0.06812709625752725,1.0,0.38235294117647056
CTNNBIP1,1.82299,0.65394324,0.06830490714303232,1.0,0.36764705882352944
TRIO,1.8218906,0.69374627,0.06847159159531083,1.0,0.39705882352941174
MCFD2,1.818706,0.33228996,0.06895628942823345,1.0,0.8676470588235294
ITPRIPL2,1.8175308,0.5808797,0.0691358766305404,1.0,0.4264705882352941
PRSS23,1.813588,0.18528542,0.06974117119766876,1.0,0.9705882352941176
ISY1,1.7986511,0.5804632,0.07207388788491938,1.0,0.4264705882352941
PSMD11,1.7934952,0.41550794,0.0728937767647819,1.0,0.5735294117647058
CEP112,1.7929645,1.5039716,0.07297860866086946,1.0,0.20588235294117646
SCARB1,1.7892113,0.41600856,0.07358079934865284,1.0,0.6764705882352942
BET1,1.7869366,0.6629789,0.07394773691280102,1.0,0.36764705882352944
LETMD1,1.7838658,0.6792953,0.07444547407467823,1.0,0.36764705882352944
PRPF31,1.7832214,0.5396098,0.07455028420455624,1.0,0.45588235294117646
TAF9,1.7828801,0.5137344,0.07460582070769493,1.0,0.5147058823529411
PRPF40A,1.7751083,0.31316286,0.07587999806747477,1.0,0.7647058823529411
BTG3,1.7730991,0.50165933,0.076212292407734,1.0,0.4852941176470588
WAPL,1.7727579,0.57714206,0.07626883746345992,1.0,0.39705882352941174
ZNF10,1.7718859,0.48640913,0.07641349696211294,1.0,0.5441176470588235
DST,1.7638109,0.32506713,0.07776382769855861,1.0,0.8676470588235294
HTATSF1,1.761612,0.48001188,0.07813487088916203,1.0,0.47058823529411764
CCT7,1.7559254,0.2815404,0.0791011524916708,1.0,0.7647058823529411
TGFB1I1,1.7547501,0.39161518,0.0793020576353466,1.0,0.6911764705882353
EIF1B,1.7541436,0.34325895,0.07940591284916763,1.0,0.6029411764705882
RAB31,1.753954,0.4916412,0.07943839027382263,1.0,0.5
MTOR,1.7523239,0.7390033,0.07971814218672305,1.0,0.3382352941176471
VPS26A,1.7477366,0.62438166,0.08050965047679376,1.0,0.39705882352941174
MRPS11,1.745045,0.43727714,0.08097705310063742,1.0,0.5441176470588235
EIF4G1,1.7412539,0.3714012,0.08163910068487805,1.0,0.7058823529411765
CCN2,1.7386379,0.34005785,0.08209846891183355,1.0,0.9411764705882353
SERINC3,1.7374247,0.32195663,0.08231221961044345,1.0,0.8088235294117647
PDK1,1.7357188,1.0540422,0.08261356973862174,1.0,0.23529411764705882
NR1H2,1.7351501,0.7257306,0.08271421828498465,1.0,0.35294117647058826
EHMT1,1.7350364,0.63823277,0.08273435991547562,1.0,0.39705882352941174
AGTRAP,1.7349226,0.5081664,0.08275450552092822,1.0,0.45588235294117646
HMGA1,1.7298046,0.2488145,0.08366518034548653,1.0,1.0
RLF,1.7273026,1.1277161,0.08411334349433706,1.0,0.25
MOCS2,1.723284,0.3968247,0.08483718530443368,1.0,0.6029411764705882
MLXIP,1.7162704,0.3923661,0.08611255820679925,1.0,0.6029411764705882
TRAPPC2,1.7150573,1.0225465,0.08633472660678392,1.0,0.25
SET,1.71392,0.16597176,0.0865434297232517,1.0,1.0
PSMB1,1.7137682,0.28973415,0.08657128756179232,1.0,0.8676470588235294
GLS,1.7129343,0.34436715,0.08672463513485888,1.0,0.7647058823529411
FUCA2,1.7128584,0.44039342,0.08673858669153087,1.0,0.5441176470588235
IPO11,1.7119864,0.44548336,0.08689915987271275,1.0,0.5294117647058824
EHBP1,1.7099392,0.9556017,0.08727710092823043,1.0,0.27941176470588236
LINC00342,1.7095981,0.7325488,0.08734021987333625,1.0,0.3088235294117647
TUBB,1.7094843,0.27224627,0.08736126770520343,1.0,0.8970588235294118
CDK16,1.7055037,0.5148964,0.08810052390919336,1.0,0.47058823529411764
EMC6,1.7052004,0.3669931,0.08815705436862728,1.0,0.6323529411764706
UBE2I,1.7050488,0.28054908,0.08818533056394863,1.0,0.7941176470588235
PKM,1.7026982,0.18489577,0.08862454738720629,1.0,0.9852941176470589
UTP14A,1.7009164,0.8054903,0.08895867551958102,1.0,0.3088235294117647
MMP16,1.7000824,1.1718241,0.08911542426811432,1.0,0.23529411764705882
ANTXR2,1.6991725,0.5491565,0.08928667657702168,1.0,0.45588235294117646
MTERF4,1.6991346,0.76429236,0.08929381783811881,1.0,0.3088235294117647
BAG1,1.6978078,0.49141753,0.08954405193115134,1.0,0.47058823529411764
SYAP1,1.695154,0.31174803,0.09004621403395809,1.0,0.8235294117647058
CARHSP1,1.6950781,0.41376287,0.09006059475927707,1.0,0.5294117647058824
UBASH3B,1.6911354,0.73308885,0.0908109431877731,1.0,0.3088235294117647
MYH9,1.6888229,0.33107737,0.0912533856430137,1.0,0.8676470588235294
MPP5,1.685373,0.7675151,0.09191664204008558,1.0,0.3235294117647059
CLN8,1.6818093,0.5715534,0.09260582521062675,1.0,0.36764705882352944
SLC25A1,1.6808236,0.3137374,0.09279718109404614,1.0,0.6764705882352942
DHX30,1.6805582,0.4347556,0.09284875418392315,1.0,0.5294117647058824
MALL,1.6803308,0.41229552,0.092892978000015,1.0,0.5
USO1,1.6802928,0.37485522,0.0929003502795945,1.0,0.5588235294117647
PTPN4,1.6796863,0.9108393,0.09301837063721366,1.0,0.25
CXorf38,1.6793451,0.85327446,0.09308480995272016,1.0,0.29411764705882354
ATP6V0D1,1.6776391,0.55500454,0.09341757801283612,1.0,0.47058823529411764
TRIM37,1.6758952,0.5883115,0.09375872672137982,1.0,0.4264705882352941
ANXA6,1.6745304,0.34505436,0.09402640906948782,1.0,0.6176470588235294
