names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CALD1,3.566358,0.7374989,0.00036197661342008384,1.0,0.9444444444444444
COL5A1,3.3596246,1.2518742,0.0007804846469848133,1.0,0.8333333333333334
G3BP1,3.129575,0.9682075,0.001750593060058268,1.0,0.9444444444444444
EEF1B2,3.0943422,0.40481,0.0019724974867910135,1.0,1.0
CCN2,3.0221744,1.0128604,0.002509659833456965,1.0,0.9444444444444444
SCO2,2.9514127,1.5642943,0.003163240010375713,1.0,0.6666666666666666
PEPD,2.908778,1.7502401,0.003628444041810723,1.0,0.6111111111111112
ANKRD1,2.8138123,1.1975365,0.004895780426907821,1.0,0.8888888888888888
TMCO3,2.7568922,1.3238593,0.005835360352856722,1.0,0.6666666666666666
TPM1,2.7394977,0.6621237,0.006153313423798406,1.0,1.0
POLR2F,2.7148497,0.889066,0.006630587377068514,1.0,0.8888888888888888
MAP1B,2.7061155,0.6639598,0.006807537946379901,1.0,1.0
PACS2,2.664295,1.7449545,0.007714987586118937,1.0,0.5555555555555556
EMC7,2.656153,1.0373942,0.007903775591708271,1.0,0.8333333333333334
NDUFS1,2.6511936,1.1026686,0.008020782278210587,1.0,0.7777777777777778
MRFAP1L1,2.6024895,1.419796,0.009254963213172216,1.0,0.6111111111111112
ZNF207,2.591313,0.8329288,0.009561055075159282,1.0,0.8333333333333334
SNHG14,2.572068,1.0143313,0.010109304220053223,1.0,0.8333333333333334
PDIA6,2.5414984,0.526038,0.011037847032788078,1.0,1.0
M6PR,2.5329862,1.5693907,0.011309540024258491,1.0,0.5555555555555556
YTHDC2,2.5312097,1.5092907,0.01136698443907787,1.0,0.5555555555555556
MTMR9,2.440167,1.4799441,0.01468047165249096,1.0,0.5555555555555556
COL4A2,2.4400191,0.636613,0.014686488981966507,1.0,0.9444444444444444
RNF40,2.4292862,1.6364837,0.01512857918478593,1.0,0.5
SCAMP1,2.4209962,1.1113868,0.015478036371575132,1.0,0.7222222222222222
TMED2,2.420478,0.8486098,0.015500111449465495,1.0,1.0
NOTCH4,2.3753269,1.262999,0.017533415825324025,1.0,0.6666666666666666
SLC39A4,2.3747346,1.2435782,0.017561566725873997,1.0,0.6111111111111112
DHX30,2.3657045,0.91975635,0.017995803369429297,1.0,0.7777777777777778
CSNK2A1,2.3531213,0.6635395,0.018616558898014685,1.0,0.8888888888888888
CHD1,2.3222556,1.2358716,0.020219175758522587,1.0,0.6111111111111112
FUBP1,2.3218114,1.1624827,0.020243087340321615,1.0,0.6111111111111112
CD151,2.3176665,0.58622867,0.020467454474002226,1.0,0.9444444444444444
PIGS,2.312189,1.0762416,0.020767264363195717,1.0,0.6666666666666666
CYP51A1,2.304269,0.6743235,0.02120754074955449,1.0,0.8888888888888888
MCC,2.3023446,1.5397221,0.021315743767058914,1.0,0.5
TPM2,2.3010864,0.59260267,0.021386751578359522,1.0,1.0
ABCF2,2.295091,1.1688504,0.021727919008860157,1.0,0.6111111111111112
PPIP5K2,2.287985,1.1426144,0.022138390881883456,1.0,0.6111111111111112
APLN,2.2815454,0.72037303,0.022516190001768938,1.0,0.8888888888888888
CARD10,2.2659276,1.7824311,0.023455818912564402,1.0,0.4444444444444444
ITSN1,2.2625968,1.0419818,0.023660560008457968,1.0,0.6666666666666666
LAMB1,2.251494,0.69131297,0.02435426920574876,1.0,0.9444444444444444
VEGFB,2.2460907,0.98873377,0.024698204786951443,1.0,0.6666666666666666
SERPINE1,2.239799,0.45319343,0.025103972365582355,1.0,1.0
COA4,2.2264018,0.73481023,0.025987287112191608,1.0,0.8888888888888888
PDIA5,2.2177415,1.1321237,0.02657246066609368,1.0,0.6111111111111112
CPNE7,2.2173715,2.2579901,0.02659771967585054,1.0,0.3888888888888889
AC010642.2,2.207453,0.8830597,0.027282429580910837,1.0,0.7222222222222222
GEMIN6,2.2021236,1.2651496,0.027656576416860194,1.0,0.5555555555555556
NORAD,2.1985707,0.78113455,0.027908458868079068,1.0,0.8333333333333334
LGALS3,2.1845813,0.79085386,0.02891956349718073,1.0,0.8333333333333334
MTLN,2.179548,0.756434,0.029290982948306746,1.0,1.0
CACNG8,2.1705177,0.7488221,0.029967645760045538,1.0,0.8333333333333334
MOB3A,2.167335,1.4492837,0.03020932328373514,1.0,0.5
KIF9,2.1542337,0.8946997,0.03122185072940761,1.0,0.7222222222222222
ERRFI1,2.1528273,1.6347342,0.0313322513575376,1.0,0.4444444444444444
CPSF2,2.147202,0.8986504,0.03177720941734452,1.0,0.7222222222222222
EGFL7,2.1362472,0.40589708,0.03265927069556176,1.0,0.9444444444444444
NRIP1,2.135951,1.0988675,0.03268339833235031,1.0,0.6111111111111112
UBA1,2.1281052,0.786438,0.03332836559489267,1.0,0.7777777777777778
PRSS23,2.1273649,0.46472132,0.03338976992030225,1.0,1.0
PPP2R2D,2.1261806,1.3195008,0.03348821816375449,1.0,0.5
PRKCA,2.123886,1.0577681,0.033679668393700866,1.0,0.6111111111111112
RAB40B,2.1185567,2.1685941,0.03412794184217817,1.0,0.3888888888888889
CAMLG,2.1092305,0.62352425,0.03492469485824458,1.0,0.9444444444444444
RNF213,2.1077502,0.7694494,0.03505261297617145,1.0,0.7777777777777778
ASL,2.1041973,1.1868527,0.03536124932035964,1.0,0.6111111111111112
LAMC1,2.103753,0.5841829,0.03539999143231908,1.0,1.0
PITPNB,2.099682,0.87660193,0.035756818239263806,1.0,0.6666666666666666
