names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
SNHG25,3.4999676,0.69825906,0.00046531487357059025,1.0,0.7341772151898734
PPP1CC,3.441041,0.648346,0.0005794809735435217,1.0,0.810126582278481
PRRC2B,3.1891708,0.73913145,0.0014268152673363426,1.0,0.620253164556962
GSTO1,3.059933,0.4150612,0.0022138663002509097,1.0,0.9367088607594937
EBNA1BP2,3.0499887,0.5552839,0.002288499370213292,1.0,0.759493670886076
TNRC6B,3.0036063,0.62767065,0.002668002096735733,1.0,0.6329113924050633
EGFL7,2.9334707,0.3038146,0.0033519523828551504,1.0,0.9620253164556962
CCDC50,2.925389,0.47233984,0.003440259038787804,1.0,0.8987341772151899
STXBP1,2.8885994,0.7661143,0.003869617421341843,1.0,0.5443037974683544
LXN,2.80736,0.3894647,0.0049949380270689885,1.0,0.8860759493670886
PQBP1,2.79464,0.8985972,0.0051957532026200735,1.0,0.43037974683544306
WASL,2.7743654,0.91993076,0.005530952582782507,1.0,0.43037974683544306
ACTN4,2.7317076,0.41298988,0.006300701911020506,1.0,0.8481012658227848
TKT,2.7115736,0.21601968,0.006696468801588895,1.0,1.0
NPM1,2.7039485,0.18537046,0.006852089710285678,1.0,0.9746835443037974
DDX42,2.698186,0.8724628,0.006971849533359593,1.0,0.46835443037974683
PCBD1,2.6911232,0.46570754,0.007121190436902639,1.0,0.8354430379746836
PCBP1,2.675311,0.4096031,0.007465995930410464,1.0,0.8987341772151899
KDSR,2.6674752,0.5989426,0.007642353251109664,1.0,0.6582278481012658
COA5,2.637151,0.79530114,0.008360560907126205,1.0,0.4810126582278481
POLD4,2.6287882,0.43061984,0.008568973312927277,1.0,0.8987341772151899
PRKCH,2.6279447,0.79470384,0.008590245364792094,1.0,0.46835443037974683
UFC1,2.6220767,0.46949977,0.008739575078443475,1.0,0.8607594936708861
PUM3,2.5884848,0.697967,0.00963992312148666,1.0,0.5569620253164557
TIMM10,2.571478,0.5000419,0.010126549483767414,1.0,0.6962025316455697
TRIM33,2.5609012,0.9294363,0.010440102069805397,1.0,0.3924050632911392
BRD7,2.555455,0.44769222,0.01060491147223416,1.0,0.8354430379746836
C20orf27,2.553487,0.619895,0.010665022105980852,1.0,0.6582278481012658
MAP1LC3B,2.5522223,0.5166772,0.010703824467398424,1.0,0.6708860759493671
ESF1,2.5242171,0.47574288,0.011595630202537639,1.0,0.6962025316455697
EIF4A1,2.5100915,0.17114213,0.012069986510818632,1.0,0.9746835443037974
DHX30,2.4947362,0.56872696,0.012605080551974108,1.0,0.569620253164557
PPIA,2.482684,0.16996722,0.013039677196700983,1.0,1.0
PDE10A,2.4742506,1.3626151,0.013351598035945655,1.0,0.27848101265822783
TCAF1,2.4497242,0.60184807,0.014296565055074765,1.0,0.5443037974683544
TCIM,2.4391127,0.7769426,0.014723381863130757,1.0,0.4050632911392405
MAP4K4,2.432612,0.29831502,0.01499035477879559,1.0,0.8987341772151899
HAX1,2.3922384,0.531406,0.016745965810289816,1.0,0.620253164556962
ANP32E,2.387811,0.5867886,0.016949060470893056,1.0,0.6075949367088608
HSPD1,2.3698905,0.33067518,0.017793356355817337,1.0,0.9873417721518988
PABPC1,2.3526375,0.17274731,0.01864078965783063,1.0,0.9873417721518988
MRPL40,2.3521106,0.50316864,0.018667225308555017,1.0,0.6455696202531646
TSC22D1,2.3493347,0.42184868,0.01880699501577729,1.0,0.7341772151898734
ZKSCAN1,2.3460667,0.47019336,0.01897270635369959,1.0,0.6708860759493671
MIR100HG,2.339707,0.5255768,0.019298883460134024,1.0,0.569620253164557
RNF10,2.3358417,0.52539766,0.019499497772038726,1.0,0.5822784810126582
RB1CC1,2.3302195,0.4741178,0.019794551970269053,1.0,0.6455696202531646
