names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
MRPL12,3.8239722,0.6655987,0.00013131868369789878,1.0,0.8529411764705882
LMAN1,3.199426,0.45441902,0.001377015770806297,1.0,0.8382352941176471
EIF4E2,3.165799,0.6314272,0.001546577182408662,1.0,0.7794117647058824
CCDC85B,3.1198885,0.42324227,0.0018091947382518501,1.0,0.9264705882352942
SNRNP27,2.9426923,0.7554516,0.0032537155067494006,1.0,0.5588235294117647
MTRNR2L10,2.8953793,1.0210712,0.003787004997085205,1.0,0.4411764705882353
MDH1,2.8848403,0.64057726,0.003916124548783344,1.0,0.6911764705882353
MOGS,2.8668325,1.1416863,0.004146025082511302,1.0,0.39705882352941174
SKA2,2.8039758,0.7745085,0.0050476676507508755,1.0,0.5441176470588235
ERCC1,2.5945933,0.5657374,0.009470291520473358,1.0,0.6911764705882353
ZNF593,2.5882242,0.52422,0.009647216334957572,1.0,0.7352941176470589
RBM17,2.5690033,0.63554585,0.01019914805302877,1.0,0.6470588235294118
CDC42EP2,2.552929,0.88376665,0.01068212564780655,1.0,0.4411764705882353
SSB,2.5097485,0.4828109,0.012081721842411509,1.0,0.8088235294117647
TSPAN5,2.4735813,0.5107321,0.013376638480597254,1.0,0.7205882352941176
LUC7L3,2.471534,0.47543675,0.01345347385461175,1.0,0.75
SGCB,2.4667952,0.63067096,0.01363283160642166,1.0,0.5882352941176471
TMEM50B,2.4612222,0.6259546,0.013846456265060897,1.0,0.6029411764705882
FIS1,2.434495,0.35241857,0.014912587116199706,1.0,0.8970588235294118
KIF13A,2.4223256,0.6704245,0.015421529099577107,1.0,0.5294117647058824
IL13RA2,2.4096632,0.43494645,0.015967251120779593,1.0,0.9264705882352942
SELENOM,2.4017777,0.4984702,0.016315617865528723,1.0,0.7205882352941176
CARM1,2.3818746,0.6554583,0.01722476867567588,1.0,0.5147058823529411
PELO,2.3549576,1.0352786,0.018524818283212084,1.0,0.3382352941176471
ADIPOR1,2.3540857,0.7114713,0.018568331256539377,1.0,0.4852941176470588
RPS26,2.3478303,0.22890532,0.018883120056282676,1.0,1.0
