names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
PIH1D1,3.29427,0.9969852,0.000986776162120161,1.0,0.5151515151515151
SDHB,3.2197573,0.8103571,0.0012829918996722558,1.0,0.6060606060606061
RPL22L1,3.1102972,0.28584868,0.0018689918642519241,1.0,0.9848484848484849
SBDS,3.0710394,0.6622279,0.002133150149364013,1.0,0.7575757575757576
SNRPB,2.9875588,0.36964184,0.0028121521672088805,1.0,0.9545454545454546
PSMD1,2.9023077,0.50279504,0.003704244803044127,1.0,0.8484848484848485
HPCAL1,2.8711324,0.60163236,0.004090041902533505,1.0,0.6666666666666666
RPL27A,2.7620957,0.12888305,0.005743163960497937,1.0,1.0
SNHG5,2.706519,0.21015759,0.006799270133056362,1.0,0.9848484848484849
KLF6,2.6989753,0.5608931,0.006955334003253605,1.0,0.7121212121212122
EIF2S1,2.6857355,0.60400444,0.007237037583999091,1.0,0.6515151515151515
PTCD3,2.6025627,0.7686856,0.009252989426396423,1.0,0.5151515151515151
MRPS26,2.5787387,0.47059223,0.009916179543105414,1.0,0.7272727272727273
RPL27,2.5382493,0.11716126,0.011140863951720191,1.0,1.0
PCAT19,2.5299358,0.48182613,0.01140834227283952,1.0,0.7272727272727273
RPLP0,2.5261638,0.12249182,0.011531566969362311,1.0,1.0
CYCS,2.4891384,0.3940247,0.01280531126069656,1.0,0.8939393939393939
HSPB1,2.4676235,0.29681483,0.013601327253568251,1.0,1.0
ESYT2,2.466007,0.79774517,0.01366286421756666,1.0,0.4393939393939394
SFPQ,2.4468784,0.4355569,0.014409940996711097,1.0,0.8636363636363636
CTSC,2.4392579,0.4669069,0.01471746241758327,1.0,0.7121212121212122
IMPACT,2.438719,0.9084234,0.014739423717939792,1.0,0.4393939393939394
LGMN,2.4357939,0.69704014,0.014859146902054542,1.0,0.5303030303030303
SMARCA5,2.419398,0.48587748,0.015546219385211075,1.0,0.7272727272727273
LMAN2,2.396459,0.43770635,0.016554339491125607,1.0,0.7878787878787878
PRRC1,2.3529677,1.0147351,0.01862425571284417,1.0,0.36363636363636365
GTF3A,2.3451161,0.3733863,0.019021157776345464,1.0,0.803030303030303
PFKP,2.3437304,0.39401373,0.01909196179788304,1.0,0.8333333333333334
RPSA,2.3398433,0.120086715,0.019291837819017152,1.0,1.0
MRPS35,2.327296,0.69963616,0.019949512007180453,1.0,0.48484848484848486
CALD1,2.3183284,0.2605259,0.020431481879053897,1.0,0.9545454545454546
CDC42,2.2973523,0.2422448,0.021598676346998625,1.0,0.9848484848484849
TRAPPC3,2.2689097,0.54375935,0.023273817970059136,1.0,0.7272727272727273
CCSER2,2.2578635,0.55819666,0.023954163181708666,1.0,0.5757575757575758
CORO1C,2.2569015,0.5652225,0.024014235239209706,1.0,0.5454545454545454
PHYKPL,2.25159,0.7577423,0.024348189248188476,1.0,0.42424242424242425
ELOC,2.2475488,0.36141127,0.02460497408169644,1.0,0.9393939393939394
UBE2B,2.2281125,0.51213044,0.02587302385623289,1.0,0.7272727272727273
RPL23,2.225572,0.105242856,0.02604285409723931,1.0,1.0
ZNF148,2.206867,0.68000996,0.02732335660540865,1.0,0.5303030303030303
GAS5,2.1902785,0.17084126,0.02850403880647359,1.0,1.0
AL355512.1,2.1882772,0.9699663,0.02864941607819853,1.0,0.3181818181818182
RSL1D1,2.1712656,0.40306365,0.029911109769980553,1.0,0.7575757575757576
CZIB,2.1660311,0.52274644,0.030308809843781648,1.0,0.5303030303030303
CFL1,2.165877,0.17789151,0.03032057535477893,1.0,1.0
ARHGAP6,2.1560242,0.5095917,0.031081774566679325,1.0,0.5909090909090909
SNRNP27,2.1546001,0.59377176,0.031193136956707113,1.0,0.5151515151515151
CYSTM1,2.1408215,0.445736,0.032288441236065925,1.0,0.7424242424242424
ABHD14A,2.1385505,0.7914107,0.0324720793042718,1.0,0.3787878787878788
SSR1,2.1317768,0.3904211,0.03302520516052286,1.0,0.803030303030303
USP3,2.1310456,0.6374743,0.033085397143293976,1.0,0.48484848484848486
RCN2,2.1303911,0.3176805,0.03313933269710308,1.0,0.8787878787878788
UBE2N,2.1280818,0.4427383,0.03333029537514858,1.0,0.7121212121212122
DPAGT1,2.1037574,0.8070081,0.03539961234490334,1.0,0.36363636363636365
TMEM14A,2.0958288,0.5755797,0.03609737303476283,1.0,0.5303030303030303
CCDC47,2.0909023,0.5618758,0.036536812756585414,1.0,0.5303030303030303
DNAJC12,2.081011,0.5804822,0.037432900931241964,1.0,0.5757575757575758
APBA3,2.07951,1.8643885,0.03757050450554389,1.0,0.21212121212121213
PSMD7,2.0759306,0.3352234,0.0379003740587043,1.0,0.7424242424242424
PEMT,2.0691566,0.7335443,0.03853138836476496,1.0,0.4393939393939394
SERPINH1,2.0609202,0.39527637,0.039310652543025584,1.0,0.8333333333333334
OSGIN2,2.0491428,0.93029183,0.04044814686193696,1.0,0.3333333333333333
TRIM38,2.0478728,0.6945844,0.04057246854032099,1.0,0.4393939393939394
EIF3D,2.038443,0.37213695,0.041505631140107795,1.0,0.8333333333333334
R3HDM2,2.029514,0.44332936,0.0424059690269169,1.0,0.6212121212121212
PRELID1,2.0221627,0.25520775,0.04315954260224587,1.0,0.9242424242424242
CIAO2B,2.0188913,0.29981887,0.043498523822413766,1.0,0.8636363636363636
TFF3,2.0077298,0.5964392,0.04467202141851435,1.0,0.5151515151515151
USP14,2.0061517,0.42463621,0.044840065043977737,1.0,0.803030303030303
CD276,1.9958754,0.86127526,0.045947488087221565,1.0,0.3484848484848485
TSC22D2,1.987485,0.5951682,0.046868677352611875,1.0,0.5
ACTB,1.983944,0.0708828,0.04726207295830877,1.0,1.0
STX16,1.9836361,0.42350665,0.047296412126692014,1.0,0.7424242424242424
C19orf33,1.9794794,0.45776507,0.04776204819368966,1.0,0.7575757575757576
CALM2,1.9778244,0.1356301,0.04794850980051167,1.0,1.0
KPNA3,1.977786,0.48006198,0.047952853385095584,1.0,0.5909090909090909
PRRC2A,1.9774011,0.5865094,0.047996307419843835,1.0,0.4696969696969697
GNB2,1.9742451,0.3514489,0.04835388012528548,1.0,0.7575757575757576
CAPZA1,1.963122,0.28427625,0.04963199401416519,1.0,0.8181818181818182
YBEY,1.9570024,0.7426662,0.050347180529051676,1.0,0.4090909090909091
CD44,1.9526918,0.33260491,0.05085612767539579,1.0,0.8939393939393939
ZBTB24,1.947034,1.6898233,0.05153065377969603,1.0,0.21212121212121213
CLPP,1.9437625,0.40559506,0.05192409118044122,1.0,0.6818181818181818
SPART,1.9392594,0.46824542,0.05246975361259844,1.0,0.6212121212121212
ANAPC7,1.9344485,0.73234385,0.05305801508185985,1.0,0.36363636363636365
STAMBP,1.9337171,0.6470983,0.0531479114578198,1.0,0.4090909090909091
SLIRP,1.9303303,0.34288922,0.05356593471949824,1.0,0.9242424242424242
AC100810.1,1.9210161,0.5530193,0.05472967640705637,1.0,0.5151515151515151
KCNMA1,1.9209007,0.6351389,0.05474423422966703,1.0,0.42424242424242425
JCAD,1.9145117,0.6814874,0.05555481473909656,1.0,0.3787878787878788
COA4,1.9130106,0.36027864,0.05574669621001122,1.0,0.7575757575757576
PSMF1,1.9127797,0.4606995,0.05577626538188895,1.0,0.5909090909090909
OIP5-AS1,1.9070449,0.48959196,0.05651476764711538,1.0,0.5303030303030303
EIF3I,1.9033501,0.35094196,0.05699487879662077,1.0,0.8636363636363636
NQO2,1.8964223,0.67862403,0.05790423337281365,1.0,0.3787878787878788
GPBP1,1.8956525,0.44948542,0.05800601302928349,1.0,0.6060606060606061
UBE2G1,1.8951906,0.60776746,0.05806715215326975,1.0,0.4393939393939394
GDE1,1.8946903,0.70368874,0.05813344662247965,1.0,0.3939393939393939
UBN1,1.892535,0.6436686,0.05841974214485867,1.0,0.5
TNRC6B,1.886146,0.4410282,0.05927529276192457,1.0,0.6060606060606061
ATP6V1D,1.8849913,0.47724786,0.059431014359295355,1.0,0.5303030303030303
RPS23,1.8788332,0.07679793,0.060267272822898545,1.0,1.0
G3BP2,1.878179,0.34154415,0.060356695798443175,1.0,0.7424242424242424
C2orf68,1.872983,1.0109602,0.06107073109349728,1.0,0.2878787878787879
RUSC1,1.8720593,0.9650352,0.06119840034228306,1.0,0.2878787878787879
ARL3,1.8674792,0.44849807,0.06183469635178121,1.0,0.5909090909090909
HNRNPAB,1.8634765,0.29799667,0.062395261525543574,1.0,0.9545454545454546
DPP8,1.858704,0.674577,0.06306911472362542,1.0,0.3939393939393939
GLOD4,1.8573184,0.5364988,0.06326587244893332,1.0,0.45454545454545453
SNX5,1.8560867,0.37559873,0.06344119380321944,1.0,0.6818181818181818
CNBP,1.8539699,0.3145558,0.06374346521568423,1.0,0.7575757575757576
NHP2,1.8518146,0.3114702,0.06405245371971985,1.0,0.9696969696969697
CMC1,1.8496207,0.616409,0.06436822891545002,1.0,0.45454545454545453
MTR,1.845618,0.59678674,0.06494769119494012,1.0,0.42424242424242425
EIF3K,1.842616,0.23598152,0.06538510636091195,1.0,0.9696969696969697
LAMB3,1.8420771,1.4531908,0.0654638733321397,1.0,0.22727272727272727
PTRH1,1.8394599,0.48424608,0.06584756941467944,1.0,0.5151515151515151
METTL1,1.8331479,1.3305106,0.06678058426985099,1.0,0.22727272727272727
RPS20,1.829607,0.122344956,0.06730873141466069,1.0,1.0
ACP1,1.8239107,0.39639848,0.06816556886622174,1.0,0.6060606060606061
SNRPD3,1.8234104,0.5335088,0.06824125819661142,1.0,0.5151515151515151
NDUFA7,1.8199464,0.3040517,0.06876715838012812,1.0,0.8787878787878788
NDUFV3,1.8180605,0.36799753,0.06905487916337794,1.0,0.6666666666666666
EIF3A,1.814943,0.24092102,0.06953266733005682,1.0,0.9090909090909091
LSM3,1.8109018,0.37664798,0.07015605890360964,1.0,0.6818181818181818
HNRNPC,1.8062062,0.17012337,0.07088613304650469,1.0,0.9242424242424242
SMARCA4,1.8008564,0.41421425,0.07172551913633839,1.0,0.6060606060606061
CPNE8,1.7917732,0.90856105,0.07316930322440232,1.0,0.30303030303030304
