names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
PPP1R14B,3.235331,0.2803012,0.0012150175891049242,1.0,0.9516129032258065
UQCR11,3.1742387,0.17021124,0.0015023014144564795,1.0,0.9838709677419355
PVT1,3.1356053,0.47365817,0.001714998123113991,1.0,0.7096774193548387
MEIS2,3.1009946,0.65112394,0.0019287176013908875,1.0,0.5241935483870968
FAM207A,3.0089788,0.5366522,0.002621273623669744,1.0,0.5564516129032258
PHB2,2.858692,0.33037323,0.004253916880262233,1.0,0.8225806451612904
TAF2,2.6937394,0.5923694,0.007065537156187249,1.0,0.4596774193548387
MAP4K5,2.6579275,0.69639146,0.007862278270660265,1.0,0.43548387096774194
SRI,2.657732,0.31865016,0.007866841118866591,1.0,0.8306451612903226
HES2,2.633988,0.51455456,0.008438851099178853,1.0,0.5725806451612904
SPATS2L,2.5685096,0.43994877,0.010213686310375314,1.0,0.6693548387096774
SEC61G,2.5544586,0.21274345,0.010635305239214557,1.0,0.9758064516129032
DGUOK,2.5488439,0.37375492,0.010808067527980145,1.0,0.6774193548387096
REEP5,2.539374,0.31486967,0.011105100108368883,1.0,0.7419354838709677
RPL36,2.4627502,0.06334231,0.013787596320811609,1.0,1.0
NUDC,2.458532,0.25748226,0.01395063261847587,1.0,0.9032258064516129
ELOB,2.4438665,0.13304757,0.014530802391397238,1.0,0.9758064516129032
SMURF2,2.4276366,0.30900034,0.015197561362632249,1.0,0.8548387096774194
POLR2L,2.3847854,0.15119365,0.01708909144370273,1.0,0.9919354838709677
CCDC80,2.3779972,0.3725606,0.017406955810104496,1.0,0.6935483870967742
IGF2BP2,2.3774385,0.31535715,0.01743334693243561,1.0,0.7338709677419355
DPY30,2.3771873,0.40917107,0.017445234379116745,1.0,0.6209677419354839
SF3B6,2.3690863,0.24711949,0.017832097650917384,1.0,0.9032258064516129
NDUFA10,2.3620467,0.33510002,0.01817435153647028,1.0,0.7096774193548387
CHCHD2,2.3609574,0.19184648,0.018227830190390332,1.0,0.967741935483871
RPS21,2.357689,0.09256054,0.018389093700382976,1.0,1.0
ERH,2.3537781,0.28065962,0.018583698648249228,1.0,0.9193548387096774
RPL21,2.345761,0.09306617,0.018988279817187797,1.0,1.0
VBP1,2.3343358,0.46698713,0.019578144285150558,1.0,0.5161290322580645
NDUFB2,2.3243074,0.16208532,0.020109025304123132,1.0,0.967741935483871
TARS,2.3180501,0.32924968,0.020446599191353918,1.0,0.6854838709677419
CYHR1,2.3043623,0.52017856,0.021202317635707693,1.0,0.4274193548387097
PLPP5,2.298468,0.51197857,0.021535162007757104,1.0,0.4596774193548387
RPS29,2.2982447,0.08729235,0.021547870712220602,1.0,1.0
NDUFA8,2.2952557,0.35356966,0.021718478351929558,1.0,0.7096774193548387
UROD,2.293859,0.42370752,0.021798603788342447,1.0,0.5564516129032258
UGDH,2.271176,0.44506925,0.023136313062522007,1.0,0.5483870967741935
PEBP1,2.2673213,0.20482706,0.023370607335207672,1.0,0.9274193548387096
PFDN2,2.2603936,0.18112442,0.02379683702793797,1.0,0.8709677419354839
SPCS3,2.256399,0.2971799,0.024045658869497565,1.0,0.7661290322580645
TOX,2.252041,0.85703474,0.02431967083999672,1.0,0.2903225806451613
CYC1,2.233772,0.3042262,0.025498073240350888,1.0,0.782258064516129
STX7,2.2314816,0.6512044,0.02564925389680036,1.0,0.3790322580645161
GSS,2.2128491,0.4582777,0.026908041280138455,1.0,0.5
MCRS1,2.1954741,0.7746435,0.028129609695697135,1.0,0.31451612903225806
RPL37,2.1769257,0.065968364,0.02948611630029005,1.0,1.0
AP1S1,2.160947,0.33208263,0.030699420173835534,1.0,0.6693548387096774
SNRPC,2.1552207,0.44616356,0.03114457336528116,1.0,0.532258064516129
SIGIRR,2.1511703,0.3624405,0.03146277256540666,1.0,0.6290322580645161
NSMCE4A,2.1363091,0.6486638,0.032654230983280026,1.0,0.3548387096774194
ERLIN1,2.1297445,0.7512544,0.03319271447937018,1.0,0.3387096774193548
GNG11,2.1180959,0.24900176,0.03416695108942975,1.0,0.9838709677419355
SNRPF,2.1113915,0.23558858,0.034738666583246924,1.0,0.8870967741935484
PDAP1,2.110386,0.24368912,0.034825124685053076,1.0,0.8145161290322581
ARHGAP22,2.1075087,0.62479925,0.0350735065387745,1.0,0.3548387096774194
RPS15,2.0930667,0.06462434,0.03634320522839202,1.0,1.0
GTF2H5,2.076753,0.28697497,0.037824364261278026,1.0,0.8064516129032258
LRCH3,2.07287,0.7225711,0.038184370409952116,1.0,0.29838709677419356
RPS14,2.0702443,0.054709747,0.038429475658982665,1.0,1.0
HNRNPD,2.0649648,0.25386885,0.03892634309266703,1.0,0.8467741935483871
TAF9,2.0526178,0.39412302,0.04010967153709715,1.0,0.5
PSMD13,2.0472543,0.3175178,0.04063312441418018,1.0,0.6129032258064516
RALGAPB,2.0394607,0.4699651,0.04140408062446652,1.0,0.4274193548387097
DNAJC10,2.030829,0.279106,0.04227235742349176,1.0,0.7580645161290323
S100A6,2.025633,0.08054983,0.04280239945008728,1.0,1.0
NQO1,2.0255492,0.24250387,0.042810994350468576,1.0,0.9919354838709677
CADPS2,2.013286,0.7073668,0.04408454158309097,1.0,0.27419354838709675
ZFAND1,2.010325,0.47145408,0.044396798393718406,1.0,0.41935483870967744
IDH2,2.00904,0.5251662,0.04453288563944543,1.0,0.4112903225806452
HINT2,1.997531,0.4149404,0.0457675198098402,1.0,0.46774193548387094
OAT,1.9919163,0.43243155,0.046380243495766936,1.0,0.5161290322580645
GALNT2,1.9906871,0.44721478,0.046515289445337143,1.0,0.46774193548387094
ANKRD9,1.9897933,0.61962146,0.046613712442146134,1.0,0.3387096774193548
SNU13,1.9880893,0.2371513,0.04680181683316766,1.0,0.9435483870967742
RPL39,1.9840946,0.0708777,0.04724528786806245,1.0,1.0
TSPO,1.9840388,0.14881241,0.047251515233426473,1.0,1.0
EIF1B,1.9813292,0.30061835,0.04755437217611337,1.0,0.6290322580645161
CHMP4B,1.9807705,0.35795993,0.04761701941969353,1.0,0.5403225806451613
MGST3,1.9656022,0.17147973,0.04934459023633003,1.0,0.8951612903225806
MRPL14,1.9564117,0.27853337,0.05041667486700611,1.0,0.7661290322580645
ERG28,1.955853,0.29086065,0.05048247171747029,1.0,0.6612903225806451
RPL22L1,1.9494002,0.18221577,0.05124765381752745,1.0,1.0
PYURF,1.9444557,0.20909141,0.051840511784054126,1.0,0.7580645161290323
PTPRN2,1.9440367,0.25436512,0.05189101666481708,1.0,0.8951612903225806
FAU,1.9390365,0.08150508,0.052496891229111275,1.0,1.0
RPL29,1.9362152,0.08111753,0.052841355734254795,1.0,1.0
GSPT1,1.9302931,0.26928496,0.0535705360996937,1.0,0.8548387096774194
ALDOC,1.9290919,0.7638285,0.0537194562590056,1.0,0.27419354838709675
IFT22,1.9238682,0.4754902,0.05437111148331871,1.0,0.3870967741935484
ANXA4,1.9144542,0.340166,0.0555621364283235,1.0,0.5725806451612904
PLA2G4A,1.9036995,0.8444249,0.056949326323835196,1.0,0.23387096774193547
MRPS7,1.9018558,0.47699916,0.057189999566736205,1.0,0.46774193548387094
MIF,1.8988669,0.10529504,0.05758197911863782,1.0,1.0
LRRC8A,1.8838103,0.4957601,0.05959064424058928,1.0,0.3870967741935484
PGK1,1.8791732,0.22930732,0.060220852975396574,1.0,0.7983870967741935
HNRNPA2B1,1.854982,0.19162162,0.0635987977308152,1.0,0.9596774193548387
DBI,1.8527472,0.22134024,0.0639185948166894,1.0,1.0
SMAP2,1.850736,0.47144967,0.06420754653182241,1.0,0.4596774193548387
HPRT1,1.8487805,0.3854021,0.0644895048818557,1.0,0.5
AL355312.4,1.8454285,0.25918928,0.0649752392527035,1.0,0.6612903225806451
RPS28,1.8361263,0.05203903,0.06633898034535461,1.0,1.0
RPLP1,1.8357631,0.050498933,0.0663926941169914,1.0,1.0
MMAB,1.8357352,0.31168297,0.06639682742904625,1.0,0.5887096774193549
CHRNA5,1.8270756,0.8906063,0.0676884097773957,1.0,0.22580645161290322
