names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
MIR99AHG,3.1313992,0.8208616,0.0017397553125093233,1.0,0.5227272727272727
THOC7,3.1041543,0.49135137,0.0019082381328832795,1.0,0.7613636363636364
TCF25,3.0990977,0.43590215,0.001941109220050499,1.0,0.8522727272727273
DDX42,2.978941,0.9220719,0.0028924659073501025,1.0,0.45454545454545453
LSM4,2.8203616,0.4620543,0.004796955448640587,1.0,0.7727272727272727
VKORC1L1,2.7689323,0.66534334,0.005624031301298394,1.0,0.5340909090909091
PCBD1,2.7156734,0.3885026,0.006614112890868365,1.0,0.7954545454545454
ERCC1,2.6997721,0.5991611,0.006938696054676365,1.0,0.6363636363636364
RITA1,2.6867652,1.3540208,0.007214764607831548,1.0,0.29545454545454547
IK,2.6864326,0.49164078,0.007221952688033891,1.0,0.7954545454545454
STX10,2.5926557,0.78952324,0.009523809422106526,1.0,0.4659090909090909
SNCG,2.5742261,0.36585817,0.010046456987968608,1.0,0.8068181818181818
EXT2,2.526323,0.6269607,0.011526342386942862,1.0,0.5454545454545454
EWSR1,2.468041,0.56386894,0.013585476433896898,1.0,0.6022727272727273
NMI,2.4097588,0.74608254,0.015963066646852285,1.0,0.4318181818181818
DERL2,2.4075632,0.8574748,0.016059377147646717,1.0,0.38636363636363635
GLO1,2.4056005,0.3089537,0.016145904935956867,1.0,0.8068181818181818
PSMA1,2.4048688,0.34971341,0.016178274266332372,1.0,0.9204545454545454
EVA1B,2.3921945,0.38988906,0.016747968673819377,1.0,0.75
RORA,2.3789213,0.7412779,0.017363384733535867,1.0,0.3977272727272727
PITPNB,2.3452227,0.47765324,0.019015715033025474,1.0,0.5795454545454546
FAM43A,2.34163,0.48812678,0.019199737125129394,1.0,0.7159090909090909
TRIP6,2.3115907,0.6503315,0.0208002449868515,1.0,0.4318181818181818
UBE2V2,2.3077984,0.4746704,0.021010348896685613,1.0,0.6590909090909091
LTN1,2.301844,0.7962947,0.021343980604059905,1.0,0.4090909090909091
PLAT,2.2934275,0.23915143,0.021823403485589567,1.0,0.9090909090909091
SOCS2,2.283481,0.8315295,0.02240205209335866,1.0,0.38636363636363635
RHOA,2.2798216,0.17922163,0.022618264669008736,1.0,0.9545454545454546
PCYT2,2.262956,0.8544302,0.02363841228043822,1.0,0.3977272727272727
ANXA4,2.198586,0.46696794,0.02790737073992696,1.0,0.6136363636363636
PPA2,2.168081,0.50601727,0.03015251845878168,1.0,0.5227272727272727
MRPL34,2.168048,0.4317092,0.03015504915405446,1.0,0.6477272727272727
PSMD2,2.1674824,0.339757,0.03019809890867737,1.0,0.75
CHID1,2.159432,0.41749543,0.030816674964418065,1.0,0.6022727272727273
PSMB1,2.11093,0.33535573,0.03477832785155446,1.0,0.8863636363636364
DENR,2.1014493,0.36990786,0.035601553644870686,1.0,0.6931818181818182
MT-ATP6,2.098289,0.079912014,0.03587963092928639,1.0,1.0
UQCC3,2.0961266,0.47203246,0.036070959746425206,1.0,0.5568181818181818
NLN,2.0793605,0.71032697,0.037584224619255376,1.0,0.4090909090909091
BECN1,2.0731065,0.5669323,0.03816236707973613,1.0,0.4659090909090909
TTBK2,2.0723746,0.80021244,0.03823051369737257,1.0,0.3068181818181818
HSP90AA1,2.0602658,0.21544324,0.03937313460418958,1.0,0.9886363636363636
COA6,2.0555754,0.46864122,0.03982346886087079,1.0,0.5
AK5,2.0454957,0.90034324,0.04080601196622103,1.0,0.29545454545454547
NDUFB3,2.0453293,0.30340135,0.040822396330312594,1.0,0.8409090909090909
EAPP,2.043167,0.5585405,0.041035900905869345,1.0,0.45454545454545453
CISD1,2.0359817,0.3782825,0.04175220101515737,1.0,0.6363636363636364
PRPF6,2.0313244,0.32161984,0.04222210049122438,1.0,0.7613636363636364
PRKAR2B,2.0292618,0.40051603,0.04243162393551133,1.0,0.6818181818181818
FIS1,2.0268002,0.24256341,0.04268285088928389,1.0,0.875
ILF3-DT,2.0231078,1.1058296,0.04306204890994001,1.0,0.26136363636363635
CAVIN3,2.022276,0.378461,0.04314784561242336,1.0,0.6363636363636364
TAF11,2.000886,0.45918638,0.04540468266004018,1.0,0.5681818181818182
LRRC8C,1.9969273,0.6555674,0.045833082691291833,1.0,0.3522727272727273
LYPLAL1,1.9898416,0.866967,0.04660838527974966,1.0,0.29545454545454547
CCDC80,1.985018,0.33952165,0.04714246425795696,1.0,0.7045454545454546
OGA,1.9839202,0.47847268,0.047264729718955775,1.0,0.5454545454545454
ORAI3,1.9763356,0.71751755,0.0481167796274823,1.0,0.38636363636363635
PET100,1.9743063,0.34274617,0.04834691636521953,1.0,0.75
SLC25A1,1.9655575,0.3258209,0.04934975829752975,1.0,0.7272727272727273
ATP1A1,1.965125,0.5042527,0.04939977776091278,1.0,0.5909090909090909
HNRNPU,1.9562097,0.22096549,0.05044046237854356,1.0,0.8863636363636364
RB1,1.950255,0.54214317,0.051145730095790966,1.0,0.4318181818181818
