names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CBX3,3.7770278,0.49005166,0.00015871092313809673,1.0,0.9411764705882353
IPO5,3.5476801,0.81294936,0.00038863993295312424,1.0,0.611764705882353
TIMP2,3.370303,0.63527584,0.000750856067200882,1.0,0.7411764705882353
SNHG8,2.9818268,0.48639488,0.0028653409411838913,1.0,0.8823529411764706
MAP4K5,2.961885,0.7397374,0.0030576202610964323,1.0,0.5058823529411764
MT-ND4,2.9014502,0.14181325,0.003714399908029508,1.0,1.0
CHCHD6,2.8944416,0.90288466,0.003798335153691074,1.0,0.43529411764705883
PECAM1,2.8810003,0.51959276,0.0039641516877239056,1.0,0.8235294117647058
PDIA4,2.8218858,0.37538546,0.004774215744219207,1.0,0.8941176470588236
GPI,2.8200576,0.47300592,0.004801502484345321,1.0,0.7176470588235294
XIST,2.8106792,0.3712862,0.004943704676278273,1.0,0.9764705882352941
BUD31,2.8056006,0.5075647,0.005022289174997374,1.0,0.7529411764705882
SMAD5,2.7510908,0.5039764,0.005939718315544972,1.0,0.7647058823529411
SMARCA5,2.7283049,0.53203213,0.0063660725873427035,1.0,0.788235294117647
HIF1A,2.6797879,0.4455502,0.00736688537103668,1.0,0.8235294117647058
ARHGAP26,2.6229079,0.82181156,0.008718284533252556,1.0,0.4588235294117647
CEP170,2.6023567,0.41987982,0.009258552055600064,1.0,0.8352941176470589
SRSF3,2.5964317,0.3952533,0.009419765015319825,1.0,0.8705882352941177
PABPC1,2.586681,0.19895872,0.009690531850289638,1.0,0.9882352941176471
RABL6,2.5735781,0.50171345,0.010065292634181428,1.0,0.7411764705882353
NOVA2,2.5575976,0.7651877,0.010539798821182127,1.0,0.4
EHMT1,2.5543811,0.77566016,0.010637674220378791,1.0,0.43529411764705883
SNHG32,2.540195,0.42334518,0.011079067114159588,1.0,0.8
COPG1,2.513685,0.8219191,0.011947711914852797,1.0,0.4235294117647059
PRPF38B,2.4908314,0.47466984,0.01274445792796618,1.0,0.6352941176470588
DRAP1,2.489511,0.25477466,0.012791896823939487,1.0,0.8941176470588236
PRKDC,2.4796247,0.3053217,0.013152072867089087,1.0,0.9411764705882353
LAMTOR4,2.468215,0.34138337,0.013578878138698541,1.0,0.8941176470588236
UBE3A,2.4455307,0.6614609,0.014463916119105346,1.0,0.5294117647058824
ZC3H13,2.423151,0.45948482,0.015386525223695748,1.0,0.6823529411764706
NDUFA9,2.3893957,0.56916916,0.016876119678857403,1.0,0.5294117647058824
MGST1,2.3848927,0.30389705,0.01708410788068402,1.0,0.9764705882352941
ESYT2,2.3773425,0.7971294,0.017437889287838366,1.0,0.4
SPTLC2,2.3645444,0.659129,0.018052258430808606,1.0,0.49411764705882355
PABPN1,2.3534732,0.4145636,0.018598946728755842,1.0,0.7294117647058823
LRPPRC,2.3431468,0.48542705,0.01912185631275233,1.0,0.6235294117647059
TKT,2.3411493,0.17065391,0.019224479735440444,1.0,0.9882352941176471
DDX17,2.339761,0.29064482,0.019296077504574155,1.0,0.8941176470588236
THUMPD3-AS1,2.316806,0.6522643,0.020514300961302027,1.0,0.49411764705882355
XRCC5,2.3158243,0.29178008,0.020567871268169512,1.0,0.9529411764705882
BTG1,2.3099668,0.6025203,0.020889987254931772,1.0,0.5294117647058824
PYGB,2.2849464,0.87696165,0.022315964442776438,1.0,0.36470588235294116
SLC4A7,2.2733674,0.42170402,0.023004049670334134,1.0,0.7058823529411765
SNHG14,2.26988,0.4842072,0.023214858268607932,1.0,0.6235294117647059
RALA,2.2665284,0.35525173,0.02341905898558377,1.0,0.788235294117647
TPR,2.2610772,0.32631552,0.023754472697772727,1.0,0.7411764705882353
CDC37,2.2582333,0.3056402,0.023931119795794587,1.0,0.8823529411764706
TBCD,2.2285745,0.73102146,0.025842231043018995,1.0,0.3764705882352941
NSD3,2.2039266,0.50611645,0.02752951209363809,1.0,0.5882352941176471
CMC2,2.1947513,0.5721392,0.02818144604040066,1.0,0.5058823529411764
KPNA2,2.1889956,0.46722704,0.02859716353191483,1.0,0.5411764705882353
