names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
DEGS1,3.2520854,0.7483732,0.001145615487480993,1.0,0.6857142857142857
DPCD,3.1156137,0.8777579,0.001835625451481565,1.0,0.5142857142857142
ARL2,3.0530005,0.43785357,0.0022656567491867647,1.0,0.8857142857142857
WWTR1,2.9990542,0.6294621,0.002708191171828023,1.0,0.7428571428571429
RER1,2.9975972,0.56047976,0.0027211705468809396,1.0,0.7714285714285715
ARGLU1,2.9433148,0.5046025,0.0032471799548039544,1.0,0.8285714285714286
ASH1L,2.9067779,0.6344808,0.003651723533931954,1.0,0.6285714285714286
MEAF6,2.821002,0.6429152,0.004787389545390063,1.0,0.6285714285714286
CRIPT,2.7658978,0.87447524,0.005676632278239466,1.0,0.5
NRP1,2.760817,0.4375616,0.005765697392270666,1.0,0.8285714285714286
PDIA3,2.6616294,0.30578303,0.007776346242325858,1.0,0.9714285714285714
ADAR,2.639214,0.61193246,0.00830984993703876,1.0,0.6571428571428571
TRIM38,2.6300986,0.97975206,0.0085360137921034,1.0,0.44285714285714284
TMEM101,2.6258023,0.8160613,0.008644503239975171,1.0,0.45714285714285713
CALCRL,2.6009586,0.5086639,0.009296367360957077,1.0,0.7857142857142857
SERINC3,2.5684564,0.46439195,0.010215255623767216,1.0,0.8714285714285714
PSMF1,2.562367,0.5447595,0.01039614181249877,1.0,0.6142857142857143
DYNC1H1,2.5582948,0.43078303,0.01051868731060619,1.0,0.7714285714285715
MCRIP1,2.5191429,0.62578475,0.01176409445112155,1.0,0.5428571428571428
SIGIRR,2.4988196,0.4634917,0.012460773516129014,1.0,0.6714285714285714
CCDC88A,2.4957936,0.54837984,0.012567573622322682,1.0,0.6142857142857143
ERGIC2,2.492319,0.6430323,0.012691194741141833,1.0,0.5571428571428572
DST,2.4723694,0.33991402,0.013422069774422056,1.0,0.8571428571428571
SIVA1,2.4660184,0.45245975,0.013662426741183616,1.0,0.6714285714285714
MBOAT7,2.4603775,0.4127359,0.013879100383335506,1.0,0.8142857142857143
C6orf62,2.4463303,0.48033327,0.01443186679412765,1.0,0.6571428571428571
POLR1D,2.4306023,0.3668305,0.015073747442579055,1.0,0.7857142857142857
MRGBP,2.397652,0.71241367,0.016500538682982704,1.0,0.5142857142857142
UBE2D1,2.3916745,0.72021717,0.016771710531983675,1.0,0.45714285714285713
GGNBP2,2.387154,0.5824375,0.016979374668788516,1.0,0.5571428571428572
DDX17,2.3767684,0.35040647,0.017465054850502187,1.0,0.9142857142857143
C11orf74,2.3750124,0.850259,0.017548359005495826,1.0,0.4142857142857143
ARHGEF12,2.3690724,0.54335284,0.017832763118028828,1.0,0.5714285714285714
CAVIN2,2.354241,0.37765694,0.018560576667647464,1.0,0.9
ESYT2,2.323121,0.8324087,0.020172651528309018,1.0,0.4
SVBP,2.3183765,0.77403015,0.020428870280304316,1.0,0.4142857142857143
BID,2.3136318,0.53856456,0.020687922913872656,1.0,0.6714285714285714
CIR1,2.313146,0.5983723,0.020714601005331186,1.0,0.5428571428571428
PPIP5K2,2.2957745,0.8486252,0.02168878551489249,1.0,0.42857142857142855
YTHDF2,2.2660367,0.5991599,0.02344913331742725,1.0,0.5428571428571428
