names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
NF2,3.1793156,1.7019678,0.0014762329692471665,1.0,0.6666666666666666
RPS16,3.1237276,0.30446848,0.001785756582901677,1.0,1.0
GSK3B,2.956446,1.5162629,0.0031120681320630362,1.0,0.6666666666666666
SURF6,2.8859804,1.7838132,0.0039019655510184313,1.0,0.6111111111111112
COPRS,2.8390527,1.118256,0.004524769645166468,1.0,0.7777777777777778
NCOA7,2.8320208,1.173407,0.004625483209114686,1.0,0.7222222222222222
DDX60L,2.7873876,1.8079042,0.0053134865058071115,1.0,0.5555555555555556
SEC61A1,2.7475657,1.1382265,0.006003946527096887,1.0,0.7222222222222222
PSMA4,2.6810973,0.71103907,0.007338120164122768,1.0,1.0
SEL1L,2.6110756,1.2135539,0.00902579105456254,1.0,0.6666666666666666
ATG101,2.595384,1.5757177,0.009448534865248664,1.0,0.5555555555555556
EIF4EBP1,2.5908687,0.5962936,0.009573402003644173,1.0,1.0
RPS18,2.568145,0.14402379,0.010224438052509739,1.0,1.0
ACIN1,2.5318758,1.1723256,0.01134541249838865,1.0,0.6666666666666666
IKBKG,2.5050073,1.4569527,0.012244888959077722,1.0,0.5555555555555556
MAP4K3-DT,2.492276,1.4602327,0.01269273442007864,1.0,0.5555555555555556
FKBP3,2.4406853,0.8105731,0.014659428109595085,1.0,0.8333333333333334
SH3BP5,2.3811743,0.6177319,0.017257543021078018,1.0,0.8888888888888888
PKIG,2.3699236,0.75792384,0.017791765317760503,1.0,0.7777777777777778
CCT5,2.3571184,0.6446356,0.018417377541018843,1.0,0.7777777777777778
FDX1,2.3491244,0.933734,0.01881762247454695,1.0,0.7222222222222222
PAIP2,2.3288434,0.9603693,0.019867370561585444,1.0,0.7222222222222222
RBFOX2,2.3133733,1.0563484,0.02070211817609829,1.0,0.6666666666666666
SNHG29,2.2932403,0.28817707,0.021834169760318812,1.0,1.0
H1FX,2.2788067,0.8871058,0.022678554050743226,1.0,0.7222222222222222
RPS27A,2.2734034,0.17823546,0.023001879913913368,1.0,1.0
LETM2,2.2668898,1.0479473,0.02339695850128655,1.0,0.6666666666666666
BRD4,2.2628927,0.7964805,0.02364229822017619,1.0,0.7777777777777778
FAM126A,2.2201102,0.91437435,0.026411293154459125,1.0,0.6666666666666666
NBDY,2.2181857,0.71262276,0.02654217720796488,1.0,0.8888888888888888
EBAG9,2.1845071,1.0219371,0.02892499603601875,1.0,0.6666666666666666
HNRNPC,2.1799922,0.4517099,0.029258046360940614,1.0,0.9444444444444444
RPL22,2.1567502,0.25360566,0.031025124713223343,1.0,1.0
NUDT3,2.1567502,0.85026467,0.031025124713223343,1.0,0.7222222222222222
DYNLT1,2.1538637,0.59256005,0.03125087111504785,1.0,1.0
PCGF2,2.1532714,1.0362291,0.031297351873865294,1.0,0.6111111111111112
PROCR,2.1523092,0.3787217,0.031373009616161386,1.0,0.9444444444444444
CCT3,2.1503108,0.6168913,0.0315306464047169,1.0,1.0
UBE2G1,2.1403182,1.0277839,0.03232905945798652,1.0,0.6111111111111112
ABRAXAS1,2.1362472,1.4736019,0.03265927069556176,1.0,0.5
DENND10,2.1207032,1.1998447,0.033946777587892905,1.0,0.5555555555555556
BCL2L13,2.1150038,1.4824657,0.034429615767406774,1.0,0.5
DEGS1,2.1148558,0.9611876,0.03444223480214526,1.0,0.6666666666666666
JTB,2.106788,0.6813254,0.0351359740634493,1.0,0.7777777777777778
RER1,2.1020505,0.75816035,0.03554883856997125,1.0,0.8333333333333334
SLC4A7,2.0942047,0.8710734,0.03624174939323755,1.0,0.6666666666666666
RPL38,2.0906518,0.24502131,0.036559287601006546,1.0,1.0
MRPL11,2.0814736,0.8050908,0.037390585298106946,1.0,0.6666666666666666
DIAPH2-AS1,2.0725174,1.5953794,0.038217225910917786,1.0,0.4444444444444444
NBAS,2.063117,1.3464924,0.03910151913320053,1.0,0.5
GCSH,2.0491273,0.7164973,0.04044965416885014,1.0,0.8333333333333334
LDHA,2.01989,0.490895,0.043394783192298364,1.0,0.9444444444444444
DKK1,2.01952,1.491484,0.04343319469409886,1.0,0.4444444444444444
DDX42,2.010712,1.0433093,0.04435590063058257,1.0,0.5555555555555556
DPM1,2.0089355,1.216501,0.04454398338839751,1.0,0.5
PSMB6,2.0056787,0.54044765,0.04489054950801345,1.0,0.8333333333333334
ZNF521,2.0019038,1.0705239,0.04529509384386822,1.0,0.5555555555555556
RGS10,1.9970185,0.6284487,0.04582317968041924,1.0,0.9444444444444444
NR2F2,1.9963523,0.5536087,0.04589559166268673,1.0,1.0
MPC1,1.9938357,1.2500521,0.04617001850650869,1.0,0.5
RPS24,1.975257,0.13792592,0.04823898916718415,1.0,1.0
NUTF2,1.954976,0.51427233,0.05058590920564356,1.0,0.7222222222222222
BOD1,1.9549019,1.0767698,0.05059464675920623,1.0,0.5555555555555556
TSN,1.9398022,1.3189687,0.0524037379431218,1.0,0.5
SLC25A24,1.9382478,1.0095047,0.05259300086492063,1.0,0.5555555555555556
FAM107B,1.927589,0.3914139,0.05390625415202115,1.0,0.8888888888888888
SERPINB1,1.9258866,0.5898563,0.05411852402271787,1.0,0.7222222222222222
ARL3,1.9162643,0.83781934,0.055331464311634916,1.0,0.6666666666666666
MTREX,1.9050875,1.1805784,0.056768698463226026,1.0,0.5
PABPC4,1.9036812,0.5661808,0.05695172346028257,1.0,0.7777777777777778
KRR1,1.9022008,0.97474617,0.057144911444762504,1.0,0.5555555555555556
RPLP2,1.9022008,0.17230485,0.057144911444762504,1.0,1.0
ABCB7,1.9016086,1.6992953,0.05722233911372344,1.0,0.3888888888888889
UBE2J1,1.8995361,0.85879844,0.05749402339908536,1.0,0.6111111111111112
C1GALT1C1,1.8994621,0.792665,0.057503746211763615,1.0,0.6666666666666666
COX7A2L,1.8985739,0.5233568,0.057620526635704286,1.0,0.8333333333333334
DYNLRB1,1.8979818,0.46693835,0.05769848973646258,1.0,0.7777777777777778
YY1,1.8932445,0.62724924,0.05832535667596635,1.0,0.8333333333333334
SRI,1.8920603,0.6199177,0.05848295439402901,1.0,0.8888888888888888
METTL26,1.883326,0.48268133,0.05965619319986638,1.0,0.8888888888888888
ATP5PD,1.879181,0.55923384,0.06021977890595443,1.0,0.9444444444444444
TCF25,1.8774046,0.53626364,0.06046266330108052,1.0,0.8888888888888888
TMEM53,1.8697066,2.269098,0.06152456339018771,1.0,0.3333333333333333
HMGCS1,1.8683003,0.7708735,0.06172022281637097,1.0,0.9444444444444444
USP15,1.8600843,1.1874411,0.0628736051706409,1.0,0.5555555555555556
VAPA,1.8579377,0.5026069,0.06317785790664789,1.0,0.8888888888888888
SPAAR,1.8554951,1.6302787,0.0635255556664955,1.0,0.3888888888888889
CTNNBL1,1.8551251,1.0049064,0.06357837480299877,1.0,0.5555555555555556
AVEN,1.8480933,1.1030096,0.06458885105957775,1.0,0.5
AURKAIP1,1.8479452,0.5104325,0.06461026587449765,1.0,0.9444444444444444
SNHG5,1.8457987,0.3248146,0.06492143968357669,1.0,1.0
EMC8,1.8454286,0.9276576,0.06497521509975208,1.0,0.5555555555555556
RTL8A,1.8409874,0.9602814,0.06562339088695829,1.0,0.5555555555555556
SSBP4,1.8359542,0.9553152,0.06636442452024001,1.0,0.6111111111111112
ISG15,1.835214,0.9669688,0.06647397921586502,1.0,0.5555555555555556
PRKAG1,1.8335856,1.4263514,0.06671552394469546,1.0,0.4444444444444444
GGNBP2,1.8335856,0.90777403,0.06671552394469546,1.0,0.6111111111111112
EIF5,1.8316612,0.7053119,0.06700191722879033,1.0,0.7222222222222222
MRPL3,1.8201883,0.709685,0.06873033330950513,1.0,0.6666666666666666
TPST2,1.8193741,1.0248872,0.06885437489609239,1.0,0.5555555555555556
WDR43,1.8145629,0.7308369,0.06959110792377264,1.0,0.7222222222222222
NUDC,1.8133786,0.40943557,0.06977344686544816,1.0,0.8888888888888888
SLC25A39,1.8126384,0.9093979,0.06988760773312704,1.0,0.5555555555555556
RPL13A,1.8116761,0.13585381,0.07003624602260954,1.0,1.0
ERI1,1.8007214,1.7168871,0.07174679540122697,1.0,0.3888888888888889
SLC25A5,1.7999072,0.38162836,0.07187528562573575,1.0,1.0
RPS3,1.7982048,0.13255993,0.07214455615199769,1.0,1.0
AP1AR,1.7890265,1.2585003,0.0736105433055527,1.0,0.4444444444444444
CSNK2B,1.7882123,0.60838157,0.07374175853806661,1.0,0.7222222222222222
