names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CSNK2A1,3.807447,0.5586109,0.00014040882847555445,1.0,0.9
BBX,3.3164418,0.5890646,0.0009117161016631827,1.0,0.75
KIF5B,3.0361814,0.42595065,0.0023959511289564435,1.0,0.775
VPS8,2.9129326,1.2882853,0.0035805185622502004,1.0,0.3375
VEZF1,2.8725014,0.8250097,0.004072362695848475,1.0,0.5125
UBA6,2.8405197,0.73712385,0.004504011250952861,1.0,0.55
STX16,2.8287883,0.45736292,0.0046724608362858555,1.0,0.7125
FNTA,2.776416,0.5732428,0.005496180541279716,1.0,0.7125
UTP18,2.7590635,0.7914778,0.0057967256612578314,1.0,0.5
LMAN1,2.6255498,0.40068874,0.008650915330796935,1.0,0.8875
MAP4K4,2.608686,0.3888369,0.009089060031497105,1.0,0.95
ENAH,2.5740156,0.42760327,0.010052570682392497,1.0,0.7875
UHMK1,2.5632968,0.6341223,0.010368334094788522,1.0,0.55
CFL1,2.519444,0.1328257,0.011754031732686514,1.0,1.0
UBE2F,2.5075731,0.6818637,0.012156344784278243,1.0,0.525
PPP1R14B,2.4914076,0.30186895,0.012723807245843082,1.0,0.975
RFK,2.47608,0.5809709,0.013283380659635687,1.0,0.625
CDC37,2.457261,0.389627,0.014000093481010906,1.0,0.9125
H2AFV,2.4554105,0.41994962,0.014072378455243995,1.0,0.775
FAM120A,2.4285262,0.4203962,0.015160329638968502,1.0,0.825
NDUFB3,2.4234288,0.37305787,0.015374772856367416,1.0,0.8375
FAM43A,2.419204,0.45267487,0.01555451514960776,1.0,0.675
CUL2,2.4084504,0.6734122,0.01602040940046552,1.0,0.5125
GPS2,2.4050984,0.5716785,0.016168109721800564,1.0,0.55
ZFYVE21,2.3796806,0.53959256,0.017327652161492957,1.0,0.625
ELF2,2.367216,0.7707391,0.01792246912072397,1.0,0.4375
ISCU,2.3633404,0.42286214,0.018111022060527456,1.0,0.725
DCXR,2.3628516,0.42081356,0.018134926451570308,1.0,0.7
DST,2.3555546,0.35768047,0.018495083831172016,1.0,0.9125
SLC7A1,2.355345,0.7569827,0.018505515059376865,1.0,0.4125
SERPINH1,2.351644,0.38209704,0.018690650884081943,1.0,0.8125
MIB1,2.350003,0.50368714,0.018773256587232015,1.0,0.6125
BRD4,2.3446262,0.45848054,0.01904616366411741,1.0,0.7375
SLC35E4,2.3432994,0.5957737,0.0191140355535832,1.0,0.55
RAC2,2.3355832,0.43734306,0.019512970017675962,1.0,0.775
SERINC1,2.334047,0.5449941,0.01959325844087806,1.0,0.5625
ZRANB2,2.3302414,0.4522939,0.019793398735489257,1.0,0.775
TNPO1,2.3264008,0.34732112,0.019997182604083893,1.0,0.8375
C1QBP,2.324236,0.3025127,0.020112847685216838,1.0,0.95
SNHG25,2.3186147,0.4963525,0.020415934275215784,1.0,0.6375
ZC3H13,2.31034,0.44710034,0.02086933944853051,1.0,0.725
PSMD1,2.3097813,0.37090936,0.020900262904025437,1.0,0.775
LAPTM4A,2.2891467,0.31860515,0.022070826876211085,1.0,0.9
NAT14,2.2845728,0.69401926,0.022337881534056043,1.0,0.425
NRP2,2.2831764,0.3422381,0.02241998288138952,1.0,0.9125
RAB10,2.2744477,0.41665253,0.02293908387479408,1.0,0.725
PXDN,2.2744129,0.43763503,0.022941181068062564,1.0,0.775
CHD9,2.273156,0.4288986,0.02301679102802899,1.0,0.675
EEF1G,2.2668712,0.122555725,0.023398095935958416,1.0,0.9875
COPE,2.253045,0.37164623,0.024256313799827067,1.0,0.9
ZNF281,2.2295473,0.61004335,0.025777506428149938,1.0,0.4375
PAFAH1B1,2.2229135,0.4165053,0.02622162720850657,1.0,0.625
DLD,2.2045834,0.6855901,0.027483343248449116,1.0,0.425
NNMT,2.2029424,0.30649048,0.027598809573354536,1.0,0.8
MAP1B,2.1937249,0.3087652,0.028255191990207006,1.0,0.9375
MAP1LC3B,2.1824126,0.39391822,0.029079098977957754,1.0,0.675
RANBP1,2.1792352,0.3055524,0.029314191910211094,1.0,0.8625
GPX8,2.1729507,0.46170926,0.029784030383434582,1.0,0.6
DUSP6,2.1693544,0.41130465,0.030055783931233034,1.0,0.7875
TM9SF3,2.165444,0.3459484,0.03035369881643916,1.0,0.775
G6PC3,2.163838,0.56171936,0.030476789683443133,1.0,0.5125
BCKDK,2.1550045,0.6852357,0.031161480722026295,1.0,0.45
BRI3,2.152735,0.17009556,0.031339506227575344,1.0,0.95
IPO7,2.1524558,0.35869557,0.03136147724911101,1.0,0.8375
PGLS,2.1450539,0.3927207,0.031948543265620286,1.0,0.8875
PFDN4,2.14254,0.37464285,0.03215005564237309,1.0,0.7625
SMARCE1,2.1410036,0.33427107,0.03227373754563007,1.0,0.775
PABPC1,2.1357317,0.18005428,0.032701296484938115,1.0,1.0
RPL27,2.1310182,0.092398375,0.033087649006004055,1.0,1.0
NRBP1,2.1255715,0.46596834,0.03353896030870725,1.0,0.65
ANTKMT,2.1214516,0.5558273,0.03388382527783795,1.0,0.5
SIKE1,2.0955796,0.584556,0.036119490283682824,1.0,0.45
SIPA1L1,2.0949163,0.9419341,0.03617843047441092,1.0,0.3
BUD31,2.0848958,0.38045487,0.03707875827000329,1.0,0.725
TPM3,2.0838485,0.17776711,0.037173961162640205,1.0,1.0
PRDM2,2.0731645,0.657455,0.038156974527557515,1.0,0.425
HDGFL2,2.0658674,0.6830604,0.03884101003262431,1.0,0.4
NUP153,2.0604205,1.1570675,0.03935834720506404,1.0,0.25
GFOD1,2.055358,0.7985893,0.039844439889080055,1.0,0.3375
ENG,2.0527394,0.24519695,0.04009785967258838,1.0,0.925
FBXO21,2.0509586,0.7099056,0.04027096497249575,1.0,0.4
