names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
RPL6,3.276802,0.13539307,0.001049899565925945,1.0,1.0
DBI,3.0005789,0.29319713,0.0026946690151724464,1.0,0.97
EEF1D,2.9229271,0.16574597,0.003467575425871906,1.0,0.99
SNCA,2.7745442,0.32072294,0.005527911906422239,1.0,0.88
RPL5,2.6935883,0.1040042,0.007068744269204652,1.0,1.0
TJP1,2.5502863,0.45750955,0.010763447192655836,1.0,0.71
TMEM65,2.541028,0.4934267,0.011052706732142576,1.0,0.6
UPF3A,2.5196433,0.4433135,0.011747378227346785,1.0,0.61
UBE2K,2.5146558,0.41637027,0.011914866990629174,1.0,0.72
RPS18,2.4834828,0.06635752,0.01301046091087399,1.0,1.0
IFT52,2.480802,0.7890706,0.013108718382103689,1.0,0.38
PLBD2,2.4622228,0.8706199,0.013807882260083995,1.0,0.34
GSDME,2.4562066,0.8284521,0.014041243386757322,1.0,0.39
RPL32,2.4115982,0.08626647,0.01588277806567922,1.0,1.0
GOLGB1,2.4031503,0.3917972,0.016254507299863247,1.0,0.72
PNRC1,2.4030879,0.5652804,0.016257278871100046,1.0,0.53
PDCD11,2.3608487,0.588283,0.01823317158386123,1.0,0.47
PTMS,2.358729,0.16595426,0.01833764837660097,1.0,1.0
PPP4R2,2.356609,0.59187025,0.018442648854206715,1.0,0.45
EPRS,2.331858,0.426177,0.019708171912391097,1.0,0.72
SCP2,2.3213215,0.32523626,0.02026950506527487,1.0,0.8
ARL4A,2.307013,0.66523266,0.021054094298658177,1.0,0.37
SYF2,2.3031476,0.34289008,0.021270541040845393,1.0,0.73
SNHG6,2.2928293,0.17452517,0.02185783163066237,1.0,0.97
PCSK5,2.2879975,0.2761769,0.022137663856312325,1.0,0.91
NDUFB9,2.2835085,0.26437324,0.022400423863485914,1.0,0.91
LARP7,2.2697613,0.6710244,0.023222063712746342,1.0,0.47
FBXO22,2.26122,0.44991907,0.02374563565597112,1.0,0.6
RPS9,2.2555466,0.0683038,0.02409904341212123,1.0,1.0
CYFIP1,2.2495613,0.45931152,0.024476803630256817,1.0,0.55
TPP1,2.2365,0.47450185,0.025319042967234598,1.0,0.6
NOP53,2.2322605,0.37772304,0.025597757589875814,1.0,0.73
GNG12,2.2033007,0.35117233,0.027573556609596397,1.0,0.73
KCTD12,2.2000587,0.34991613,0.0278027241883087,1.0,0.76
SMAD2,2.1985936,0.382166,0.0279068279264962,1.0,0.6
APP,2.1983442,0.14678815,0.027924581139375976,1.0,0.96
AHSA1,2.186374,0.4657387,0.02878826255555966,1.0,0.54
TOPORS,2.177926,0.76713264,0.029411544299646118,1.0,0.36
EIF2AK4,2.1677325,0.38743746,0.030179045967094476,1.0,0.65
ITM2B,2.1664233,0.18451476,0.03027886057304173,1.0,0.98
RAB11B,2.1661115,0.5799069,0.030302667720019803,1.0,0.43
EEA1,2.1636176,0.28524426,0.030493704528655026,1.0,0.82
RPL13A,2.1498704,0.074414924,0.031565466273676374,1.0,1.0
RPL13,2.1330059,0.054019123,0.03292424417045231,1.0,1.0
YWHAE,2.1265843,0.15741384,0.03345464160192696,1.0,1.0
NDUFAF3,2.1155803,0.271159,0.03438052530871524,1.0,0.76
PRKAR2B,2.114084,0.33234915,0.03450809998002826,1.0,0.67
NT5C3A,2.1087222,0.82429063,0.034968568759134226,1.0,0.31
PPP4C,2.0768635,0.41626075,0.03781416141517159,1.0,0.59
AC006504.5,2.0700054,1.2997622,0.03845183507653496,1.0,0.21
ARHGAP18,2.0663893,0.32952523,0.038791727639645314,1.0,0.72
EPB41L4A-AS1,2.0645814,0.60566616,0.038962628977314125,1.0,0.43
ZBED5,2.0581908,0.8256468,0.03957181092120449,1.0,0.28
CYP51A1,2.055323,0.29110256,0.03984781701991444,1.0,0.85
GALNT11,2.053733,0.5352163,0.040001522913535356,1.0,0.45
SEPTIN6,2.0514576,0.3448518,0.040222408336080345,1.0,0.68
KDM4A,2.0513017,1.0598114,0.04023757525377064,1.0,0.26
TOX2,2.0427291,0.36078826,0.04107925758121341,1.0,0.62
ECE1,2.0304158,0.21776985,0.042314286591460575,1.0,0.86
RPS2,2.0215316,0.05828134,0.043224767117534355,1.0,1.0
EIF4G2,2.0144866,0.2838946,0.0439584808783686,1.0,0.96
RPL35A,2.0141125,0.055002917,0.04399773134652892,1.0,1.0
NPRL3,2.0114315,0.8083265,0.04427989310951888,1.0,0.32
HES2,2.010964,0.37635416,0.044329263451695716,1.0,0.57
SRGAP2,2.0022044,0.6725392,0.045262755269311915,1.0,0.35
SPOP,1.9997106,0.470318,0.04553152900678598,1.0,0.49
CLPTM1L,1.9866492,0.3819569,0.046961296358079864,1.0,0.54
RPLP0,1.9857451,0.08337145,0.04706163635169392,1.0,1.0
PREPL,1.985558,0.4219448,0.04708241885138624,1.0,0.52
CCT5,1.9802587,0.2536137,0.047674472334182795,1.0,0.82
PLAAT3,1.9787935,0.37753037,0.0478392577240697,1.0,0.57
GPAT4,1.9769543,0.765091,0.048046793364940575,1.0,0.31
PARP4,1.973837,0.47662166,0.04840027629003135,1.0,0.45
SRM,1.9718419,0.23973364,0.048627649685416954,1.0,0.9
AKAP13,1.9700962,0.48468983,0.04882733651207817,1.0,0.5
GLO1,1.9529512,0.23697594,0.05082537921909019,1.0,0.81
SMAD4,1.946062,0.55230755,0.05164729517449283,1.0,0.39
TARDBP,1.9375206,0.5417004,0.05268173744022556,1.0,0.46
PDLIM3,1.9333123,0.25649512,0.05319774235423646,1.0,0.81
MRPS10,1.9259554,0.3634752,0.054109936092169866,1.0,0.58
EIF4A2,1.9251761,0.25733078,0.054207326911148566,1.0,0.91
EEF1A1,1.9193468,0.052532773,0.05494045888046975,1.0,1.0
P3H1,1.9132057,0.5948512,0.055721719210517356,1.0,0.39
SMC1A,1.9124888,0.43023935,0.05581353275572033,1.0,0.52
PPP2R1A,1.9113977,0.42869663,0.05595349078554739,1.0,0.56
TMEM258,1.9061918,0.22224158,0.05662532118135468,1.0,0.94
HSD17B12,1.9043838,0.15754254,0.05686021660145565,1.0,0.81
B4GALT1,1.9018588,0.46483108,0.057189616453214666,1.0,0.46
POLR2F,1.892694,0.29256782,0.0583985790234299,1.0,0.69
SCRN2,1.8903248,0.6984966,0.05871453026655361,1.0,0.31
