names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
PKN1,3.8991597,0.818866,9.652715042541729e-05,1.0,0.7083333333333334
IFITM3,3.164481,0.26821423,0.0015535988339245577,1.0,1.0
EZR,2.862956,0.42758062,0.004197086305097005,1.0,0.8333333333333334
SNRPF,2.8589418,0.38779253,0.004250568634949866,1.0,0.9027777777777778
PSMD2,2.780163,0.46529332,0.005433161760844512,1.0,0.75
FNDC3A,2.7441068,0.62230927,0.006067580491062001,1.0,0.6388888888888888
LIMA1,2.7302587,0.50297564,0.006328462783801782,1.0,0.8055555555555556
RAP1B,2.706651,0.4956884,0.0067965677020021455,1.0,0.75
SRPX,2.6881993,0.39671952,0.007183851232523069,1.0,0.8472222222222222
RBM3,2.634612,0.2989322,0.008423349271690049,1.0,0.9583333333333334
RAB5B,2.6289403,0.7048862,0.008565139776559582,1.0,0.5138888888888888
TMEM115,2.6258466,1.1901778,0.008643376099456332,1.0,0.3472222222222222
PHF20L1,2.6146505,0.45154247,0.008931883376448914,1.0,0.7222222222222222
SS18L2,2.5710073,0.7557765,0.01014032227456669,1.0,0.4722222222222222
FAM120AOS,2.561763,0.86347795,0.010414237791286628,1.0,0.4305555555555556
THAP1,2.510496,1.0880082,0.012056168758091618,1.0,0.3333333333333333
PRAG1,2.5047138,0.9551174,0.01225505342882056,1.0,0.4027777777777778
PSMC6,2.5001469,0.554808,0.012414183268758964,1.0,0.5972222222222222
COMMD6,2.4837945,0.28377795,0.012999080841114254,1.0,0.9444444444444444
ANKRD17,2.4297652,0.51079434,0.015108602333841007,1.0,0.625
MYL12B,2.4242408,0.24553938,0.015340427281715481,1.0,1.0
EXOSC1,2.4169118,0.88519007,0.015652811502095663,1.0,0.4305555555555556
ERG,2.4055314,0.74620634,0.01614896510952708,1.0,0.4722222222222222
ARPC2,2.4007435,0.22517057,0.01636180011640654,1.0,0.9861111111111112
CAPZB,2.3717585,0.4067737,0.017703655559799077,1.0,0.8888888888888888
SSR3,2.3624039,0.30168656,0.018156852797002274,1.0,0.9583333333333334
IFRD1,2.3436942,1.0330349,0.019093812896665462,1.0,0.3194444444444444
PAIP1,2.3416686,0.58921057,0.019197748204480888,1.0,0.5555555555555556
G6PC3,2.3395693,0.59669906,0.01930598445789419,1.0,0.5416666666666666
