names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
ZNF706,3.2823322,0.3486156,0.001029522569313033,1.0,0.9207920792079208
DICER1,3.104986,0.8172921,0.0019028808788181632,1.0,0.4752475247524752
FAM204A,3.090998,0.49289644,0.001994850099176632,1.0,0.7227722772277227
ROBO4,2.9495366,0.5101277,0.003182509097632229,1.0,0.7623762376237624
KRT8,2.9408522,0.43134663,0.0032731061979644903,1.0,0.8514851485148515
TTC3,2.8586924,0.34752825,0.004253910998469257,1.0,0.9207920792079208
SERF2,2.8550947,0.13001058,0.004302401475791133,1.0,1.0
TPP1,2.787667,0.5695033,0.005308907905126555,1.0,0.594059405940594
C1orf43,2.6576815,0.4527898,0.007868024600645772,1.0,0.693069306930693
TMEM161B-AS1,2.6033423,0.77272457,0.009231972472967061,1.0,0.4158415841584158
ADIRF,2.5983489,0.2730663,0.009367328025947847,1.0,1.0
SNHG7,2.5698767,0.47712117,0.010173472796084342,1.0,0.6732673267326733
HLA-E,2.5481968,0.2868105,0.010828134317014243,1.0,0.9504950495049505
ITGA10,2.544382,0.39185205,0.010947129889934439,1.0,0.8217821782178217
SF3B1,2.530394,0.4425724,0.011393449933719884,1.0,0.693069306930693
CAPN2,2.477947,0.3551026,0.013214080076247643,1.0,0.8514851485148515
RNF7,2.429687,0.26864702,0.015111870722632027,1.0,0.8514851485148515
PABPC1,2.405743,0.15933843,0.0161396143477721,1.0,0.9900990099009901
DENR,2.403293,0.38239735,0.016248172874655194,1.0,0.6732673267326733
BTBD10,2.3963144,0.5491874,0.016560882508339696,1.0,0.504950495049505
ARL4A,2.3820782,0.81062186,0.017215240183909762,1.0,0.3564356435643564
TRIOBP,2.3711298,0.35249522,0.01773380318253525,1.0,0.7425742574257426
LATS2,2.3528616,0.6059475,0.01862956224348533,1.0,0.504950495049505
EMC6,2.3349967,0.48376614,0.019543588053737848,1.0,0.6336633663366337
MIR217HG,2.331244,0.35628164,0.019740500928691472,1.0,0.7128712871287128
RPL24,2.329724,0.09089187,0.01982073404094578,1.0,1.0
SMARCD1,2.2904897,0.43582502,0.021992947747875448,1.0,0.594059405940594
CLOCK,2.2723765,0.68369853,0.02306377139680782,1.0,0.39603960396039606
MRPL34,2.2653983,0.42870906,0.023488256675902628,1.0,0.6039603960396039
CDK6,2.265274,0.5481211,0.023495864019101153,1.0,0.46534653465346537
COA6,2.2611802,0.5250041,0.02374810878529676,1.0,0.48514851485148514
HP1BP3,2.2600634,0.3005178,0.023817309226917768,1.0,0.7920792079207921
ZNHIT3,2.257241,0.6431953,0.023993012964963856,1.0,0.44554455445544555
ICA1,2.2413301,0.864874,0.02500469461655089,1.0,0.31683168316831684
LAMC1,2.2339485,0.25108343,0.025486460540430318,1.0,0.900990099009901
PPFIBP1,2.224675,0.35732797,0.026103070073705863,1.0,0.6732673267326733
EIF1B,2.2131681,0.4459924,0.026886052957124477,1.0,0.6237623762376238
P4HB,2.1892552,0.23199666,0.028578290596789215,1.0,0.9405940594059405
CCDC25,2.1882627,0.26642188,0.028650465799559887,1.0,0.7920792079207921
CAPNS1,2.1873324,0.25392997,0.028718272565130376,1.0,0.900990099009901
NXN,2.1805398,0.7921675,0.02921746116894039,1.0,0.32673267326732675
LNPEP,2.1803539,0.52795434,0.029231242001306876,1.0,0.46534653465346537
SPPL2A,2.1798265,0.5469322,0.029270318070294635,1.0,0.45544554455445546
FUNDC2,2.1650631,0.46284956,0.030382842202084065,1.0,0.48514851485148514
EPB41L4A-AS1,2.138452,0.5590772,0.03248007554479311,1.0,0.45544554455445546
