names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
PRSS3,3.1951888,0.48222032,0.0013973946799453482,1.0,0.9041095890410958
ARPC1B,3.1711965,0.31327048,0.0015181237539649112,1.0,0.9863013698630136
HMGN2,3.1699164,0.47188827,0.0015248274636362378,1.0,0.9452054794520548
SMAGP,3.0375211,0.90580803,0.002385326197154552,1.0,0.5068493150684932
PPIA,3.017479,0.18928567,0.002548866621115472,1.0,1.0
PTPN12,3.0147727,0.69766647,0.002571719721648763,1.0,0.6301369863013698
KMT2A,2.9106486,0.5189104,0.0036067955460806662,1.0,0.7671232876712328
SETD7,2.8727586,0.99707484,0.00406904971557873,1.0,0.4246575342465753
CNOT7,2.8211172,0.47370973,0.004785673503072071,1.0,0.7945205479452054
ACTR1A,2.7598202,0.71548754,0.005783317440030058,1.0,0.547945205479452
PSMB5,2.7004619,0.32275727,0.006924328954576179,1.0,0.8904109589041096
MPV17,2.6501005,0.59566516,0.0080467859555776,1.0,0.6301369863013698
ACTB,2.6310823,0.12106608,0.00851134297723598,1.0,1.0
TMBIM6,2.599995,0.3847303,0.009322512570507355,1.0,0.9315068493150684
OTUD6B-AS1,2.5867555,0.53417665,0.00968843277825003,1.0,0.6986301369863014
NCEH1,2.534858,0.6948408,0.011249293199503041,1.0,0.5068493150684932
CLUAP1,2.5226424,0.99131685,0.011647675650300877,1.0,0.3698630136986301
MYL12B,2.4951394,0.24794695,0.012590766977266504,1.0,1.0
TIMM17B,2.4945543,0.82006276,0.012611546859984302,1.0,0.4383561643835616
GCSH,2.4780595,0.4121815,0.013209906398350311,1.0,0.7671232876712328
MAPK6,2.476487,0.72445345,0.013268246276605495,1.0,0.4794520547945205
VEGFB,2.4644177,0.70291036,0.013723603799588275,1.0,0.4931506849315068
MT2A,2.4580176,0.3369849,0.013970637616255915,1.0,0.9863013698630136
TRMT112,2.4518,0.34416053,0.01421436365903349,1.0,0.958904109589041
ZFP91,2.4332573,0.44826174,0.014963660865533971,1.0,0.726027397260274
SIVA1,2.406888,0.4581072,0.01608910237344063,1.0,0.6986301369863014
RHOC,2.4068515,0.27975324,0.016090713632349603,1.0,0.9178082191780822
TMSB10,2.405169,0.100230806,0.016164985038455367,1.0,1.0
CIB1,2.3966842,0.42010182,0.016544181416009364,1.0,0.821917808219178
MT1X,2.3815794,0.79476815,0.017238578521205857,1.0,0.4520547945205479
REEP3,2.3706439,0.5520269,0.01775713052407399,1.0,0.6986301369863014
PLP2,2.3595257,0.35070783,0.0182983176878655,1.0,0.8493150684931506
AASDHPPT,2.336192,0.6599571,0.019481244610439243,1.0,0.5068493150684932
UBA52,2.3184538,0.12489861,0.020424670451733885,1.0,1.0
KTN1,2.30686,0.18144378,0.021062621665556867,1.0,0.958904109589041
TMEM165,2.3052142,0.37712687,0.02115457543987546,1.0,0.7534246575342466
CAV2,2.3028371,0.3104671,0.02128801490720085,1.0,0.8493150684931506
GFPT2,2.3017032,0.5824653,0.021351913051111133,1.0,0.5342465753424658
NT5C3B,2.294096,0.59697014,0.021784984974444657,1.0,0.5205479452054794
RPL22L1,2.284075,0.17902948,0.022367128183164244,1.0,0.9863013698630136
ABRACL,2.275334,0.41822574,0.02288590697155313,1.0,0.7397260273972602
HMGN1,2.2731395,0.23902641,0.023017774237828914,1.0,0.9863013698630136
TUBB4B,2.2718961,0.5092615,0.023092791560890377,1.0,0.7808219178082192
FOXA1,2.2622771,1.1034049,0.023680279582259038,1.0,0.3150684931506849
TNPO3,2.2588394,0.81431246,0.023893379607247408,1.0,0.3835616438356164
ARMC10,2.254926,0.60030967,0.024137973311561138,1.0,0.5205479452054794
MRPS12,2.2536094,0.4398229,0.02422075315355784,1.0,0.6575342465753424
CCN1,2.2525854,0.37105784,0.024285307510946832,1.0,0.821917808219178
NOP16,2.2522926,0.59192497,0.024303778983679275,1.0,0.4931506849315068
SCO2,2.2499154,0.74903923,0.02445431165488715,1.0,0.410958904109589
CCDC43,2.2487817,0.61795694,0.024526388269971076,1.0,0.4657534246575342
NACA,2.235981,0.14909233,0.02535301257221017,1.0,1.0
ALYREF,2.2345912,0.50774086,0.025444194903240534,1.0,0.5753424657534246
VKORC1,2.2333844,0.38669586,0.025523609628412283,1.0,0.8082191780821918
TRPC4AP,2.2273862,0.68058556,0.025921465485336644,1.0,0.4520547945205479
PKN2,2.2186818,0.4549384,0.026508374355002477,1.0,0.6164383561643836
BNIP2,2.213269,0.49334067,0.0268791029277083,1.0,0.6027397260273972
H2AFZ,2.2106724,0.3735961,0.0270585356931162,1.0,0.958904109589041
SPAG7,2.2095752,0.5095918,0.027134662531357802,1.0,0.6712328767123288
PSMB1,2.2053692,0.3156134,0.0274281969927001,1.0,0.8767123287671232
CSKMT,2.195787,0.758163,0.028107192126319142,1.0,0.3972602739726027
GAPDH,2.1946533,0.12657264,0.02818848175818703,1.0,1.0
MTIF3,2.192788,0.39593497,0.0283226571548344,1.0,0.726027397260274
DDX42,2.1774638,0.7249454,0.029445980707751052,1.0,0.4246575342465753
ABCE1,2.1672964,0.42629328,0.030212259633923103,1.0,0.684931506849315
FRMD4A,2.159104,0.41826236,0.030842099452466812,1.0,0.6301369863013698
IER2,2.1587384,0.41533396,0.030870478231328356,1.0,0.7808219178082192
COL5A1,2.1580434,0.4348189,0.030924459674614112,1.0,0.6164383561643836
NELFE,2.1574583,0.44946805,0.03096998056280702,1.0,0.589041095890411
S100A10,2.1567633,0.12564774,0.031024111312246954,1.0,1.0
SLC35B1,2.152923,0.7722925,0.03132472160406573,1.0,0.3972602739726027
LY6E,2.131674,0.37059864,0.03303365285123965,1.0,0.7808219178082192
RALY,2.1313083,0.49109182,0.033063751629218235,1.0,0.6438356164383562
NCKAP1,2.128419,0.4011149,0.033302358246601535,1.0,0.6986301369863014
PTK7,2.1262245,1.122426,0.033484561525361736,1.0,0.2876712328767123
NAE1,2.1250908,0.5831075,0.03357903355067078,1.0,0.5205479452054794
CCM2,2.1230428,0.67028654,0.03375027065957795,1.0,0.410958904109589
UBE2D2,2.1212142,0.34015313,0.03390379141399106,1.0,0.7808219178082192
CYCS,2.1194952,0.326571,0.03404864492630826,1.0,0.9178082191780822
COX6A1,2.1150331,0.25845876,0.03442711875766303,1.0,0.958904109589041
YIPF3,2.1081939,0.45940214,0.03501421346482647,1.0,0.5616438356164384
DIAPH1,2.1078281,0.45711637,0.03504584822226433,1.0,0.5753424657534246
ARL2BP,2.1073163,0.4184206,0.03509017787240243,1.0,0.684931506849315
RBIS,2.1068408,0.30594173,0.03513138397013693,1.0,0.8082191780821918
AL445524.1,2.1030006,0.79812044,0.035465719040006595,1.0,0.410958904109589
DRAP1,2.095503,0.29954156,0.036126297314797357,1.0,0.9315068493150684
PRDX2,2.0895782,0.3004789,0.03665570823585813,1.0,0.9315068493150684
GNG5,2.0873837,0.31044993,0.03685345665032885,1.0,0.9863013698630136
GTF3C4,2.0820441,1.051111,0.037338443250885776,1.0,0.2876712328767123
BCAP31,2.0752048,0.357212,0.03796755064499318,1.0,0.9315068493150684
SNRPA,2.0629528,0.5301577,0.03911711021047037,1.0,0.5068493150684932
AL354740.1,2.0629163,1.1302444,0.03912058549827848,1.0,0.273972602739726
NDUFS7,2.0520175,0.35155937,0.04016796997280094,1.0,0.8493150684931506
DDR2,2.0519443,0.48720875,0.04017507897042247,1.0,0.6575342465753424
VPS29,2.0503716,0.3888509,0.04032818072326642,1.0,0.7123287671232876
INSIG2,2.050006,0.8926259,0.04036385660620908,1.0,0.3287671232876712
VBP1,2.046056,0.57106626,0.04075086435820478,1.0,0.5205479452054794
FAF2,2.0392168,0.63535184,0.04142839846554256,1.0,0.4246575342465753
ZKSCAN1,2.0357423,0.38296497,0.04177623888528449,1.0,0.6986301369863014
PPP1R2,2.02488,0.5530826,0.04287968404139279,1.0,0.5068493150684932
PODXL,2.023417,0.33511537,0.04303016217341785,1.0,0.7534246575342466
PDGFA,2.021808,0.4329935,0.043196203394787906,1.0,0.6301369863013698
DNAJA3,2.0152247,0.97124946,0.04388111183571315,1.0,0.2876712328767123
CCNY,2.0122988,0.48007905,0.04418844619600922,1.0,0.547945205479452
C1orf21,2.0117137,0.7666882,0.04425013059037645,1.0,0.3561643835616438
TUBA1B,2.0095558,0.34361488,0.04447822024241363,1.0,0.9315068493150684
CMSS1,2.006374,0.43112037,0.04481636519414581,1.0,0.684931506849315
CALM1,2.0053134,0.2780607,0.0449295609164068,1.0,1.0
G3BP2,2.0026069,0.34253994,0.04521949821827311,1.0,0.726027397260274
C12orf75,2.0007417,0.2882437,0.045420236675839255,1.0,0.863013698630137
PARP1,1.9956579,0.38250813,0.04597116385970249,1.0,0.7397260273972602
PCLAF,1.9886359,0.61150277,0.04674140490077983,1.0,0.4246575342465753
NAA10,1.98571,0.3507766,0.04706552892213648,1.0,0.8356164383561644
C20orf27,1.9795291,0.39766994,0.0477564598739565,1.0,0.6438356164383562
GGH,1.9685571,0.4809922,0.04900396451875566,1.0,0.547945205479452
ZCRB1,1.9676794,0.3572167,0.049104935773552454,1.0,0.7671232876712328
OAZ1,1.9656314,0.1737866,0.04934121453294716,1.0,1.0
SMTN,1.9650828,0.7046546,0.049404665212512244,1.0,0.3698630136986301
PUF60,1.9636929,0.37481177,0.04956571336370233,1.0,0.6575342465753424
ALCAM,1.9611694,0.4691653,0.04985926865672855,1.0,0.5616438356164384
DDX21,1.9599625,0.31717724,0.05000017918634606,1.0,0.9178082191780822
TMF1,1.9555737,0.5507669,0.050515398621452955,1.0,0.5342465753424658
RNH1,1.9542204,0.32003647,0.050675152384015515,1.0,0.8082191780821918
TRIB1,1.9535255,0.7605159,0.050757352436921574,1.0,0.3698630136986301
HMGB1,1.9514043,0.14955163,0.0510089700808492,1.0,0.9863013698630136
RGS4,1.9507459,0.61401105,0.05108727038289992,1.0,0.4383561643835616
TMEM97,1.9436507,0.4982647,0.0519375795577674,1.0,0.4657534246575342
UFD1,1.9435776,0.45418128,0.0519464069167638,1.0,0.5342465753424658
RTCB,1.937031,0.56372726,0.05274155398913792,1.0,0.4657534246575342
SNRPB2,1.9368848,0.29416892,0.052759438200162226,1.0,0.8904109589041096
SLC30A9,1.9332274,0.61309785,0.05320819340087607,1.0,0.3972602739726027
STRADB,1.9199878,0.86385804,0.05485943427162936,1.0,0.3013698630136986
BLOC1S6,1.9199513,0.4090418,0.05486405422771018,1.0,0.6027397260273972
MTCH2,1.9189638,0.37541488,0.05498891572695121,1.0,0.726027397260274
DR1,1.9179032,0.5148399,0.05512329002802397,1.0,0.4657534246575342
CGGBP1,1.9157454,0.51560444,0.055397517266522645,1.0,0.5205479452054794
NOP10,1.9153064,0.23204586,0.05545343120400375,1.0,0.9315068493150684
PDS5A,1.9099668,0.4206586,0.05613749222223658,1.0,0.5753424657534246
SNRPB,1.9068581,0.25841865,0.056538973189395755,1.0,0.958904109589041
NXT1,1.8996165,0.55779576,0.05748346162260974,1.0,0.4657534246575342
WDR6,1.8989582,0.7059333,0.057569970956087305,1.0,0.3424657534246575
PSMD2,1.8981171,0.33056828,0.05768066815228925,1.0,0.7534246575342466
CRIP2,1.8973856,0.17971112,0.0577770703606868,1.0,0.9726027397260274
SNX5,1.8965443,0.35769182,0.057888098426268936,1.0,0.6986301369863014
SF3B5,1.889632,0.29910666,0.05880719155852908,1.0,0.9041095890410958
APOL6,1.8871816,0.98671734,0.059135902862317284,1.0,0.273972602739726
COX8A,1.8857918,0.19982572,0.05932301293275744,1.0,0.9863013698630136
H2AFV,1.8855358,0.3562789,0.05935753410746552,1.0,0.7808219178082192
PHF20,1.8853164,0.3780564,0.059387136952048475,1.0,0.6438356164383562
COPS5,1.8844386,0.40904891,0.059505670863046436,1.0,0.5616438356164384
TSN,1.8805252,0.63861495,0.060036525421875674,1.0,0.3835616438356164
CEP55,1.8771605,1.2545003,0.06049609539251698,1.0,0.2328767123287671
MED8,1.8755878,0.62762195,0.060711892156462194,1.0,0.410958904109589
PPP2R5C,1.8745272,0.57373124,0.06085778935717053,1.0,0.4657534246575342
NR2F1,1.8736861,0.28518826,0.06097370737071544,1.0,0.821917808219178
DDX18,1.8643965,0.36969548,0.06226605068843278,1.0,0.7397260273972602
ME2,1.8641039,0.4588298,0.06230711970492351,1.0,0.5616438356164384
NCBP3,1.8574475,0.5140184,0.06324750990351803,1.0,0.4520547945205479
NABP2,1.8562406,0.59862834,0.06341927013831884,1.0,0.4246575342465753
GRASP,1.8560212,0.9831543,0.0634505406424356,1.0,0.273972602739726
TIMP1,1.8529856,0.22986713,0.06388442451019768,1.0,0.9726027397260274
RNF19A,1.8487797,0.5191416,0.06448963567673198,1.0,0.4794520547945205
MAGT1,1.8483773,0.470115,0.06454777258993755,1.0,0.5068493150684932
SNRPE,1.8480848,0.20654732,0.06459008114376479,1.0,0.8356164383561644
HOXB9,1.847207,0.9664294,0.06471714414094157,1.0,0.2876712328767123
MRPL57,1.8457075,0.25636557,0.06493468721076881,1.0,0.9041095890410958
DHRS7B,1.8374053,1.6623658,0.06615007514500454,1.0,0.1917808219178082
TCEA1,1.8352841,0.2641612,0.06646360331394047,1.0,0.9178082191780822
ITGA2,1.8328702,0.40419966,0.06682186457185536,1.0,0.6438356164383562
MINDY2,1.8282986,0.5446959,0.06750474708658986,1.0,0.4246575342465753
PTOV1,1.8281157,0.5589964,0.06753218138283393,1.0,0.4794520547945205
PPME1,1.8276403,0.7346588,0.06760355348735207,1.0,0.3561643835616438
SNRPG,1.8260311,0.3007939,0.06784558122339077,1.0,0.9726027397260274
NNMT,1.8218983,0.27430347,0.06847041936908331,1.0,0.8082191780821918
TOMM20,1.8201061,0.2654198,0.06874283331618704,1.0,0.958904109589041
UBE2B,1.8172901,0.35570827,0.06917271133792366,1.0,0.7123287671232876
ZFAND5,1.8079638,0.38312152,0.07061212384782309,1.0,0.6164383561643836
KRTCAP2,1.8076713,0.29547417,0.07065767637535822,1.0,0.9315068493150684
RPS27A,1.8073422,0.07560678,0.07070895177522775,1.0,1.0
NDUFA7,1.8039774,0.32251912,0.07123485269467489,1.0,0.9041095890410958
LRRC8C,1.8005029,0.68681073,0.07178126290762087,1.0,0.3424657534246575
DENND3,1.799808,1.0570521,0.07189095594741148,1.0,0.2465753424657534
RBCK1,1.799296,0.35621622,0.07197187023251557,1.0,0.7397260273972602
UBE2K,1.7987474,0.36497658,0.07205864687116587,1.0,0.6986301369863014
UXT,1.7929323,0.27139652,0.07298375789434818,1.0,0.8356164383561644
NUTF2,1.7922374,0.28776908,0.07309495291953781,1.0,0.8356164383561644
PTPRN2,1.7876657,0.28563493,0.07382995930055716,1.0,0.8904109589041096
APTX,1.7863857,0.65020573,0.0740368404783356,1.0,0.3835616438356164
SRRM1,1.7861662,0.26971632,0.07407235335721848,1.0,0.8904109589041096
FAF1,1.784045,0.7408744,0.07441636284493564,1.0,0.3424657534246575
ORMDL2,1.7832769,0.5217478,0.07454123945227098,1.0,0.4657534246575342
CEP97,1.7814848,1.258765,0.07483328406947184,1.0,0.2328767123287671
EIF5A,1.7809728,0.25338882,0.07491689682584422,1.0,0.9726027397260274
TUBA1C,1.7806436,0.3559753,0.07497068816188064,1.0,0.7808219178082192
PGD,1.779583,0.20001963,0.07514423039481129,1.0,0.958904109589041
VPS4B,1.7766571,0.48595583,0.07562466862899182,1.0,0.4931506849315068
PTX3,1.773073,0.3708809,0.07621661877730411,1.0,0.7534246575342466
SRGN,1.7704396,0.13616985,0.07665392481843593,1.0,0.9863013698630136
SELENOK,1.7702568,0.36698574,0.07668436910123817,1.0,0.6712328767123288
IKBIP,1.7701471,0.4809905,0.07670264040215741,1.0,0.547945205479452
WARS,1.7674041,0.37631446,0.07716057757109897,1.0,0.6575342465753424
ZZEF1,1.7668555,0.8738339,0.07725243182541977,1.0,0.2602739726027397
ZNF770,1.7661972,0.62612796,0.0773627745175348,1.0,0.3698630136986301
CD59,1.7605283,0.09656239,0.07831827054955565,1.0,0.9863013698630136
MRPL16,1.7598335,0.49363738,0.0784360539596524,1.0,0.4931506849315068
MESD,1.7564687,0.28897116,0.07900841429962974,1.0,0.7397260273972602
CMPK1,1.7539085,0.3608715,0.07944617789463027,1.0,0.6712328767123288
HADHB,1.7533965,0.47616184,0.07953396683213615,1.0,0.5205479452054794
CD55,1.753104,0.2644473,0.0795841673386853,1.0,0.958904109589041
UFSP2,1.7527748,0.57250607,0.07964067369565815,1.0,0.3972602739726027
GTF2F2,1.751641,0.5721201,0.0798355563921017,1.0,0.4383561643835616
BOD1L1,1.7509462,0.48807117,0.07995519208209291,1.0,0.4794520547945205
NDUFB1,1.7509096,0.2795936,0.07996149273098224,1.0,0.8767123287671232
SETD5,1.7435583,0.46713713,0.08123613786168721,1.0,0.4794520547945205
SDHB,1.7407056,0.40911528,0.08173519690027332,1.0,0.5205479452054794
TGFB1I1,1.7370849,0.2810624,0.08237219675291017,1.0,0.726027397260274
FOXP1,1.7332813,0.31886125,0.08304569729237596,1.0,0.7397260273972602
PSMD1,1.731928,0.25943324,0.08328638143244607,1.0,0.7945205479452054
RAB7A,1.7302822,0.3261982,0.08357986657786047,1.0,0.6986301369863014
TUBG1,1.7300627,0.6753626,0.0836190611319372,1.0,0.3561643835616438
TLE2,1.7288924,0.60600966,0.08382835019978309,1.0,0.3424657534246575
EID1,1.7279049,0.20480025,0.08400526755404768,1.0,0.9041095890410958
SH3GL1,1.7250888,0.48372385,0.08451147021619311,1.0,0.4520547945205479
SRSF6,1.7242476,0.44767424,0.08466315139591864,1.0,0.4931506849315068
SMARCC1,1.7231504,0.41952005,0.08486132730931314,1.0,0.589041095890411
MPST,1.7228578,0.34073022,0.08491423753910153,1.0,0.6301369863013698
ERG28,1.7205538,0.3301344,0.08533183858226735,1.0,0.6986301369863014
UTP18,1.7204806,0.5025396,0.08534512290133967,1.0,0.4383561643835616
TEAD1,1.7186885,0.45767048,0.08567111131939115,1.0,0.4246575342465753
PTTG1,1.7141534,0.6514464,0.08650055862466911,1.0,0.4931506849315068
ASF1A,1.7136048,0.8701298,0.08660133321225923,1.0,0.2602739726027397
POLRMT,1.7133853,0.89496434,0.08664166958267297,1.0,0.2328767123287671
NUDT19,1.7125807,0.83710515,0.08678969941289429,1.0,0.2465753424657534
MGRN1,1.7121419,0.86792815,0.08687052897899049,1.0,0.273972602739726
RBM42,1.7090697,0.59896624,0.08743803890866896,1.0,0.3835616438356164
AIMP1,1.7075336,0.32096452,0.08772291356424029,1.0,0.7123287671232876
MRPL15,1.7071679,0.39759803,0.08779085109085102,1.0,0.5753424657534246
ZFAND6,1.706985,0.3331597,0.08782483576477705,1.0,0.6438356164383562
RMND1,1.70501,0.8068623,0.08819254676392962,1.0,0.273972602739726
ADTRP,1.7031448,0.5519642,0.08854096817247618,1.0,0.4383561643835616
RNF126,1.7025597,0.72597194,0.08865050519810995,1.0,0.3287671232876712
PLRG1,1.6997435,0.7049877,0.08917918049980912,1.0,0.3150684931506849
ZNF428,1.6986463,0.3377111,0.0893858441420794,1.0,0.6027397260273972
TCF25,1.6941478,0.29260454,0.09023720085248485,1.0,0.8493150684931506
DUT,1.6901613,0.34625727,0.09099709743747607,1.0,0.6986301369863014
MBD4,1.6874183,0.5686012,0.09152294424671387,1.0,0.3698630136986301
BTBD10,1.6863211,0.44582292,0.09173396563846631,1.0,0.5068493150684932
IPO7,1.6861017,0.2715242,0.09177621679773411,1.0,0.7534246575342466
AAMDC,1.6853702,0.36728877,0.09191716694102803,1.0,0.726027397260274
