names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
RPL12,2.779547,0.1503499,0.005443479133814508,1.0,1.0
UBE2H,2.7689538,0.5176142,0.005623659251010199,1.0,0.7636363636363637
RPL19,2.7592049,0.1484624,0.005794218352963503,1.0,1.0
ST6GALNAC4,2.6308227,0.95049703,0.008517845418310143,1.0,0.4909090909090909
SLC25A39,2.6239858,0.80285203,0.008690740794204148,1.0,0.5454545454545454
CLEC11A,2.6103542,0.54122853,0.00904485293944539,1.0,0.8181818181818182
GTF3C6,2.5986216,0.5088218,0.009359887089113669,1.0,0.7454545454545455
C7orf50,2.5968914,0.6251458,0.009407168101157713,1.0,0.6727272727272727
RPL39,2.5919535,0.16802606,0.009543265562521495,1.0,1.0
RPL29,2.5624535,0.12686297,0.010393550663461624,1.0,1.0
C12orf75,2.5573046,0.44414294,0.010548677344843941,1.0,0.8727272727272727
RPS15,2.532827,0.13547653,0.01131468362513968,1.0,1.0
TMEM74B,2.5281422,1.4683673,0.01146678762838671,1.0,0.34545454545454546
PPA1,2.436477,0.31705123,0.014831118649146094,1.0,0.8909090909090909
TOPORS,2.410353,0.98287237,0.01593708992217135,1.0,0.41818181818181815
SNU13,2.3869302,0.35972303,0.01698971381043809,1.0,0.9272727272727272
TAF1D,2.367137,0.40837306,0.017926298263519717,1.0,0.8545454545454545
ARF1,2.3444738,0.42155054,0.019053948560973956,1.0,0.8727272727272727
RBCK1,2.3294916,0.4398546,0.01983303402664264,1.0,0.6909090909090909
SERP1,2.303199,0.38385397,0.02126764607079994,1.0,0.8727272727272727
CFDP1,2.28387,0.33842388,0.022379173728929037,1.0,0.8363636363636363
KCNMA1,2.2679172,0.9372341,0.023334256640704973,1.0,0.45454545454545453
RPS23,2.25188,0.10566096,0.024329861007958538,1.0,1.0
PPDPF,2.2022488,0.18967569,0.0276477296139281,1.0,0.9454545454545454
DGUOK,2.1987038,0.49299756,0.02789898654129686,1.0,0.6909090909090909
STARD10,2.168402,1.2571424,0.030128118385237334,1.0,0.34545454545454546
SLC25A11,2.1666715,0.72893816,0.030259903159833085,1.0,0.509090909090909
POLR2K,2.160341,0.42475295,0.030746271843607342,1.0,0.8363636363636363
IFI16,2.1568804,0.45263848,0.031014980089081833,1.0,0.7272727272727273
RPL36A,2.1560364,0.13856024,0.03108082362841642,1.0,1.0
CHCHD1,2.1510987,0.49721205,0.0314684169047042,1.0,0.6363636363636364
TMEM161B-AS1,2.1498747,0.8632595,0.031565125762645106,1.0,0.41818181818181815
MICOS10,2.148862,0.26125193,0.031645353345155204,1.0,0.9454545454545454
